PLACEID	LCPRIDR4	PPSTD0101	CDVEN0101	CDIR0101
1	0	-77	88	3
1	1	6	1	2
1	2	50	1	2
1	3	80	1	2
1	4	85	1	2
1	5	100	1	2
1	6	120	1	2
1	7	5	10	4
1	8	2.5	10	4
1	9	10	10	4
1	10	3	10	4
1	11	14	1	2
1	12	42	1	2
1	13	14	17	4
1	14	-88	16	3
1	15	-88	16	3
1	16	15.75	18	4
1	17	14.5	18	4
1	18	8.75	18	4
1	19	10	18	4
1	20	6	18	4
1	21	8	18	4
1	22	-88	16	3
1	23	-88	16	3
1	24	15	18	4
1	25	6.5	18	4
1	26	7	18	4
1	27	9.69999980926514	18	4
1	28	-88	16	3
1	29	-88	88	3
1	30	10.5	1	2
1	31	-88	16	3
1	32	110	18	4
1	33	2	18	4
1	34	-88	16	3
1	35	-77	16	3
1	36	-77	16	3
1	37	-77	16	3
1	38	-77	16	3
1	39	11	18	4
1	40	110	6	4
1	41	-77	16	3
1	42	-77	16	3
1	43	-77	16	3
1	44	-88	88	3
1	45	280	1	2
1	46	20	1	2
1	47	24	1	4
1	48	75	1	2
1	49	-88	88	3
1	50	16	18	4
1	51	5.5	18	4
1	52	25	18	4
1	53	15	18	4
1	54	40	19	4
1	55	-88	79	3
1	56	1.5	1	2
1	57	-88	16	3
1	58	4	18	4
1	59	6	18	4
1	60	9	18	4
1	61	7	18	4
1	62	7	18	4
1	63	24	18	4
1	64	-88	16	3
1	65	12	18	4
1	66	9	18	4
1	67	-88	88	3
1	68	-88	16	3
1	69	-77	16	3
1	70	-88	88	3
1	71	50	19	4
2	0	-88	16	14
2	1	6	19	8
2	2	140	17	11
2	3	120	17	11
2	4	80	17	11
2	5	130	17	11
2	6	90	17	11
2	7	8	9	3
2	8	.25	9	3
2	9	1.5	9	3
2	10	5	9	3
2	11	13	1	7
2	12	16	1	7
2	13	16	1	7
2	14	16.3999996185303	2	4
2	15	14.5600004196167	2	4
2	16	15	19	8
2	17	12	19	8
2	18	8	19	8
2	19	6	19	8
2	20	4.5	19	8
2	21	-88	88	8
2	22	5	19	8
2	23	-88	16	14
2	24	18	19	9
2	25	6	19	9
2	26	9	19	9
2	27	11	19	10
2	28	-88	16	14
2	29	-88	88	14
2	30	7	2	4
2	31	9	1	7
2	32	12	1	7
2	33	2	19	10
2	34	24	19	10
2	35	-88	16	10
2	36	-88	77	14
2	37	16	19	10
2	38	18	19	10
2	39	14	19	9
2	40	120	17	6
2	41	140	17	6
2	42	75	19	10
2	43	-88	16	14
2	44	-88	88	14
2	45	200	17	13
2	46	36	18	10
2	47	10	1	10
2	48	80	1	7
2	49	-88	88	14
2	50	24	1	7
2	51	5	1	7
2	52	45	1	7
2	53	17	19	8
2	54	40	19	9
2	55	-88	88	7
2	56	1	1	7
2	57	-88	16	8
2	58	5	19	10
2	59	6	19	10
2	60	5	19	10
2	61	16	19	7
2	62	10	19	9
2	63	18	19	9
2	64	-88	16	14
2	65	20	19	9
2	66	10	19	8
2	67	-88	16	14
2	68	10	19	10
2	69	60	17	12
2	70	-88	88	14
2	71	60	19	8
3	0	-88	16	14
3	1	-88	16	14
3	2	130	1	15
3	3	80	1	15
3	4	250	1	15
3	5	380	1	15
3	6	260	1	15
3	7	-88	16	12
3	8	.150000005960464	9	16
3	9	1.20000004768372	9	16
3	10	2	9	16
3	11	13	1	5
3	12	87	19	7
3	13	17	19	8
3	14	16	2	12
3	15	12	2	2
3	16	16	19	13
3	17	12	19	4
3	18	6.5	19	2
3	19	6	19	11
3	20	6	19	13
3	21	4.80000019073486	19	4
3	22	5	19	6
3	23	-88	16	14
3	24	26	19	7
3	25	7	19	9
3	26	11	19	7
3	27	10	19	2
3	28	-88	88	14
3	29	-88	88	14
3	30	8.5	2	8
3	31	9.5	2	12
3	32	120	2	4
3	33	2	19	4
3	34	24	19	12
3	35	-88	88	14
3	36	-88	88	14
3	37	18	19	10
3	38	18	19	8
3	39	14	19	8
3	40	110	6	17
3	41	140	6	17
3	42	90	6	17
3	43	-88	88	14
3	44	-88	88	14
3	45	200	1	6
3	46	40	19	4
3	47	10	1	5
3	48	70	19	1
3	49	-88	88	14
3	50	15	11	3
3	51	5	1	7
3	52	46	1	7
3	53	20	19	2
3	54	42	19	2
3	55	-88	88	14
3	56	1	1	1
3	57	-88	88	14
3	58	4	19	2
3	59	8	19	12
3	60	9	19	12
3	61	7	19	9
3	62	12	19	10
3	63	15	19	10
3	64	-88	88	14
3	65	18	19	4
3	66	10	19	7
3	67	-88	88	14
3	68	15	2	7
3	69	65	1	6
3	70	-88	88	14
3	71	60	19	5
4	0	-88	16	1
4	1	8	1	10
4	2	125	18	9
4	3	20	18	9
4	4	40	18	9
4	5	90	18	9
4	6	97	18	9
4	7	7	17	4
4	8	.5	17	4
4	9	1.25	17	4
4	10	2.5	17	4
4	11	12	1	10
4	12	65	1	10
4	13	15	19	2
4	14	18	13	2
4	15	17.5	12	2
4	16	14	19	6
4	17	10	19	6
4	18	7	19	6
4	19	8	19	6
4	20	10	19	6
4	21	12	19	7
4	22	9	19	6
4	23	-88	16	8
4	24	12	19	6
4	25	7	19	6
4	26	9	19	6
4	27	8	19	6
4	28	-88	19	8
4	29	-88	19	6
4	30	7.5	14	5
4	31	12	19	5
4	32	105	19	5
4	33	2	19	5
4	34	24	19	6
4	35	-88	16	8
4	36	-88	19	8
4	37	15	19	6
4	38	16	19	6
4	39	9	19	6
4	40	110	6	10
4	41	-88	16	8
4	42	90	6	10
4	43	-88	16	8
4	44	-88	16	8
4	45	-88	16	8
4	46	48	19	7
4	47	8	19	7
4	48	60	19	10
4	49	-88	16	8
4	50	20	1	10
4	51	5	19	10
4	52	45	19	10
4	53	20	19	5
4	54	44	19	5
4	55	-88	16	8
4	56	1.5	1	10
4	57	-88	19	8
4	58	5	19	5
4	59	11	19	5
4	60	12	19	5
4	61	9.5	19	5
4	62	8	19	5
4	63	18	19	5
4	64	-88	16	8
4	65	16.5	19	5
4	66	10	19	5
4	67	-88	16	8
4	68	7	19	5
4	69	-88	16	8
4	70	-88	16	8
4	71	75	2	10
5	0	-88	16	12
5	1	6	1	4
5	2	140	1	7
5	3	120	1	7
5	4	80	1	7
5	5	130	1	7
5	6	90	1	7
5	7	7	9	8
5	8	.150000005960464	9	8
5	9	1.20000004768372	9	8
5	10	2	9	8
5	11	12	1	4
5	12	48	1	4
5	13	16	19	9
5	14	15	2	3
5	15	12	2	3
5	16	16	19	10
5	17	13	19	10
5	18	9	19	10
5	19	12	19	10
5	20	8	19	10
5	21	13	19	10
5	22	6	19	10
5	23	-88	16	12
5	24	13	19	10
5	25	9	19	10
5	26	16	19	10
5	27	10	19	10
5	28	-88	16	12
5	29	-88	16	12
5	30	8	2	13
5	31	10	2	13
5	32	120	2	13
5	33	2	19	4
5	34	24	19	10
5	35	-88	16	12
5	36	-88	16	12
5	37	18	19	10
5	38	18	19	10
5	39	14	19	10
5	40	110	1	1
5	41	140	6	17
5	42	90	6	17
5	43	-88	16	12
5	44	-88	16	12
5	45	180	1	15
5	46	40	19	10
5	47	10	1	18
5	48	70	19	5
5	49	-88	16	12
5	50	15	2	13
5	51	5	1	4
5	52	46	1	4
5	53	20	19	6
5	54	42	19	4
5	55	-88	16	12
5	56	1	1	16
5	57	-88	16	12
5	58	4	19	6
5	59	8	19	6
5	60	9	19	6
5	61	7	1	4
5	62	13	19	6
5	63	15	19	6
5	64	-88	16	12
5	65	15	19	10
5	66	10	19	6
5	67	-88	16	12
5	68	15	1	13
5	69	65	88	4
5	70	-88	16	12
5	71	60	19	5
6	0	-88	16	9
6	1	8	1	6
6	2	120	19	7
6	3	30	19	7
6	4	75	19	7
6	5	70	19	7
6	6	40	19	7
6	7	5	10	4
6	8	2	10	4
6	9	1.25	10	4
6	10	2.5	10	4
6	11	12	1	6
6	12	90	1	6
6	13	15	19	6
6	14	14	2	3
6	15	16	2	3
6	16	14	19	5
6	17	10	19	5
6	18	7	19	5
6	19	9	19	5
6	20	8	19	5
6	21	9	19	5
6	22	6	19	5
6	23	-88	16	9
6	24	16	19	5
6	25	8	19	5
6	26	9	19	5
6	27	10	19	5
6	28	-88	16	9
6	29	-88	16	9
6	30	7	2	7
6	31	10	2	7
6	32	120	19	7
6	33	2	19	7
6	34	-20	19	6
6	35	-88	16	9
6	36	-88	16	9
6	37	8	19	5
6	38	16	19	6
6	39	10	19	5
6	40	100	6	6
6	41	-88	16	9
6	42	-88	16	9
6	43	-88	16	9
6	44	-88	16	9
6	45	190	1	7
6	46	60	1	7
6	47	6	19	7
6	48	80	1	6
6	49	-88	16	9
6	50	15	2	6
6	51	5	19	7
6	52	25	19	7
6	53	15	19	7
6	54	40	19	5
6	55	-88	16	9
6	56	1	1	3
6	57	-88	16	9
6	58	5	19	5
6	59	10	19	5
6	60	-88	16	9
6	61	10	19	5
6	62	8	19	5
6	63	10	19	5
6	64	-88	16	9
6	65	-88	16	9
6	66	10	19	5
6	67	-88	16	9
6	68	8	19	7
6	69	-88	16	9
6	70	-88	16	9
6	71	70	1	5
7	0	4	1	4
7	1	6	1	4
7	2	45	1	3
7	3	85	1	3
7	4	40	1	2
7	5	120	1	3
7	6	140	1	3
7	7	4	9	4
7	8	2	11	4
7	9	.150000005960464	10	4
7	10	3	9	1
7	11	14	1	3
7	12	50	1	1
7	13	14.6999998092651	17	4
7	14	14	17	3
7	15	10	17	3
7	16	16	19	1
7	17	12	19	1
7	18	7.34999990463257	19	4
7	19	9	19	1
7	20	7	19	3
7	21	8	19	1
7	22	7	19	1
7	23	17	19	4
7	24	12	19	1
7	25	7	19	4
7	26	9	19	1
7	27	9	19	3
7	28	-88	16	3
7	29	7	19	1
7	30	-88	16	3
7	31	-88	16	3
7	32	150	19	4
7	33	1.5	19	4
7	34	12	19	4
7	35	-88	19	3
7	36	7	19	4
7	37	7.34999990463257	19	4
7	38	.150000005960464	10	3
7	39	10	19	1
7	40	90	19	3
7	41	-88	19	3
7	42	35	19	4
7	43	-88	19	3
7	44	-88	19	3
7	45	-88	16	3
7	46	25	17	4
7	47	20	17	3
7	48	60	19	4
7	49	-88	19	1
7	50	15.3000001907349	1	3
7	51	6	1	1
7	52	24.6499996185303	1	2
7	53	6	19	4
7	54	30	19	4
7	55	-88	19	2
7	56	2	17	4
7	57	-88	19	3
7	58	5	19	1
7	59	12	19	1
7	60	15	19	1
7	61	7	19	1
7	62	7	19	4
7	63	10	19	4
7	64	-88	16	1
7	65	15	19	4
7	66	8.35000038146973	19	1
7	67	-88	19	3
7	68	-88	19	4
7	69	-88	19	3
7	70	-88	16	1
7	71	80	19	4
8	0	15	1	4
8	1	7	1	4
8	2	25	1	4
8	3	40	1	4
8	4	70	1	4
8	5	60	1	4
8	6	25	1	4
8	7	6	9	3
8	8	2	9	2
8	9	18	9	4
8	10	4	9	2
8	11	11	9	3
8	12	50	2	3
8	13	16	1	3
8	14	16.2600002288818	2	4
8	15	13.3000001907349	2	4
8	16	15	1	4
8	17	14	1	4
8	18	5	1	4
8	19	6	1	3
8	20	4.5	1	3
8	21	4	1	4
8	22	4	1	3
8	23	20	1	3
8	24	26	1	4
8	25	4	1	4
8	26	12	1	4
8	27	12	1	4
8	28	12	1	4
8	29	88	88	4
8	30	12	1	4
8	31	15	1	4
8	32	130	1	4
8	33	1.5	1	4
8	34	15	1	4
8	35	-88	16	4
8	36	-88	16	4
8	37	-77	16	4
8	38	-88	16	4
8	39	26	1	4
8	40	100	1	4
8	41	100	1	4
8	42	-88	16	4
8	43	100	19	2
8	44	-88	16	4
8	45	120	1	4
8	46	50	1	4
8	47	30	1	4
8	48	60	1	3
8	49	-88	16	3
8	50	22	1	3
8	51	6	1	4
8	52	25	1	3
8	53	14	3	3
8	54	50	1	3
8	55	-88	16	3
8	56	1.25	1	2
8	57	8	1	3
8	58	4	1	4
8	59	10	19	2
8	60	12	19	3
8	61	15	19	4
8	62	14	19	2
8	63	35	1	4
8	64	11	1	4
8	65	23	2	4
8	66	6	1	4
8	67	-88	16	4
8	68	30	1	4
8	69	38	1	3
8	70	88	16	4
8	71	80	1	4
9	0	10	16	2
9	1	5.5	1	5
9	2	25	1	5
9	3	80	1	6
9	4	100	1	6
9	5	110	1	6
9	6	150	1	6
9	7	1.5	9	4
9	8	2.5	9	4
9	9	9	9	4
9	10	5	9	4
9	11	11	1	5
9	12	-77	16	5
9	13	15	18	1
9	14	17	12	3
9	15	6	12	3
9	16	16	1	3
9	17	12	1	3
9	18	6	1	3
9	19	7	1	3
9	20	5.80000019073486	1	3
9	21	5.5	1	3
9	22	5	1	3
9	23	16	19	7
9	24	20	1	5
9	25	6.5	1	5
9	26	16	1	5
9	27	14	1	5
9	28	-77	19	7
9	29	-88	88	5
9	30	-88	16	5
9	31	-88	16	5
9	32	120	1	5
9	33	2.5	1	5
9	34	15	19	7
9	35	-77	16	7
9	36	88	88	7
9	37	15	19	7
9	38	9	19	7
9	39	16	19	7
9	40	-77	16	4
9	41	-88	16	4
9	42	-88	16	4
9	43	-88	16	4
9	44	-88	16	4
9	45	40	1	4
9	46	30	1	1
9	47	16	1	1
9	48	52	1	5
9	49	-88	88	5
9	50	22	1	5
9	51	5	1	5
9	52	28	1	5
9	53	13	19	7
9	54	30	1	5
9	55	-88	88	5
9	56	1	1	5
9	57	7	19	7
9	58	5	19	7
9	59	4	19	7
9	60	-77	16	7
9	61	10	19	7
9	62	4	19	7
9	63	20	19	7
9	64	-77	16	7
9	65	20	19	7
9	66	8	19	7
9	67	-88	88	7
9	68	10	19	7
9	69	45	19	7
9	70	-88	88	4
9	71	80	1	5
10	0	20	15	3
10	1	7	1	3
10	2	120	19	1
10	3	60	19	2
10	4	120	19	2
10	5	15	19	1
10	6	70	19	4
10	7	5	9	3
10	8	3	9	4
10	9	25	9	2
10	10	6	9	3
10	11	15	1	2
10	12	10	1	3
10	13	18	1	3
10	14	14	2	1
10	15	12	2	1
10	16	13	19	2
10	17	9	19	3
10	18	5	19	3
10	19	8	19	2
10	20	5	19	4
10	21	-77	16	3
10	22	8	19	4
10	23	-77	16	3
10	24	22	1	4
10	25	8	19	4
10	26	10	19	3
10	27	10	19	3
10	28	-77	16	2
10	29	-88	88	4
10	30	12	17	1
10	31	-77	16	2
10	32	130	19	1
10	33	1.75	19	4
10	34	-77	16	2
10	35	-77	16	2
10	36	-77	16	2
10	37	-77	16	3
10	38	7	19	2
10	39	8	19	3
10	40	120	6	4
10	41	140	6	2
10	42	-77	16	2
10	43	120	6	1
10	44	-88	88	2
10	45	140	19	1
10	46	48	19	3
10	47	9	19	4
10	48	65	19	2
10	49	-88	88	3
10	50	24	1	1
10	51	6	1	2
10	52	25	1	3
10	53	12	19	3
10	54	40	19	3
10	55	-88	88	4
10	56	2	1	2
10	57	8	19	3
10	58	10	19	3
10	59	8	19	3
10	60	6	19	2
10	61	18	19	3
10	62	7	19	1
10	63	15	19	4
10	64	12	19	3
10	65	9	19	1
10	66	8	19	4
10	67	-88	88	4
10	68	15	19	3
10	69	-77	16	2
10	70	-88	88	2
10	71	80	19	2
11	0	20	15	2
11	1	8	1	1
11	2	150	1	2
11	3	80	1	1
11	4	70	1	2
11	5	20	1	2
11	6	45	1	3
11	7	6	9	2
11	8	3	9	2
11	9	25	9	4
11	10	7	9	2
11	11	12	1	2
11	12	10	1	1
11	13	20	19	2
11	14	15	2	4
11	15	12.5	2	3
11	16	14	19	3
11	17	10	19	2
11	18	6	19	2
11	19	8	19	4
11	20	6	19	2
11	21	7	19	3
11	22	8	19	4
11	23	-77	16	4
11	24	24	1	1
11	25	7	19	4
11	26	9	19	2
11	27	10	19	2
11	28	-77	16	1
11	29	-88	88	4
11	30	12	17	2
11	31	10	17	3
11	32	130	19	1
11	33	2.5	1	4
11	34	10	19	3
11	35	-77	16	1
11	36	-77	16	4
11	37	-77	16	2
11	38	7	19	2
11	39	9	19	4
11	40	130	6	3
11	41	140	6	1
11	42	-77	6	2
11	43	120	6	1
11	44	-88	88	4
11	45	140	1	2
11	46	52	19	1
11	47	12	1	1
11	48	80	1	1
11	49	-88	88	3
11	50	24	1	2
11	51	6	1	4
11	52	25	1	3
11	53	12	19	1
11	54	35	19	1
11	55	-88	88	3
11	56	2	1	2
11	57	12	19	4
11	58	10	19	1
11	59	9	19	1
11	60	7	19	2
11	61	22	1	2
11	62	7	19	4
11	63	13	19	3
11	64	12	19	2
11	65	11	19	2
11	66	9	19	2
11	67	-88	88	4
11	68	15	19	2
11	69	-77	16	1
11	70	-88	88	4
11	71	90	19	4
12	0	15	15	2
12	1	7	1	1
12	2	120	1	4
12	3	70	1	4
12	4	50	1	3
12	5	18	1	2
12	6	50	1	3
12	7	6	9	3
12	8	3	9	3
12	9	28	9	2
12	10	6	9	1
12	11	12	1	2
12	12	10	1	3
12	13	18	1	2
12	14	15	2	2
12	15	13	2	2
12	16	12	19	4
12	17	10	19	4
12	18	6	19	2
12	19	8	19	4
12	20	5	19	3
12	21	-77	16	2
12	22	9	19	1
12	23	10	19	4
12	24	24	1	3
12	25	7	19	3
12	26	10	19	2
12	27	8	19	2
12	28	-77	16	4
12	29	-88	88	3
12	30	10	17	3
12	31	8	17	1
12	32	120	19	4
