PLACEID	LCPRIDR4	PPSTD0101	CDVEN0101	CDIR0101
12	33	2	19	2
12	34	12	1	4
12	35	-77	16	2
12	36	-77	16	2
12	37	-77	16	2
12	38	7	19	2
12	39	9	19	2
12	40	140	6	4
12	41	150	6	4
12	42	-77	16	2
12	43	120	6	3
12	44	-88	88	4
12	45	160	19	2
12	46	55	19	4
12	47	7	17	2
12	48	75	1	4
12	49	-88	88	1
12	50	20	1	2
12	51	5	1	2
12	52	23	1	3
12	53	10	1	4
12	54	40	19	1
12	55	-88	88	4
12	56	2	1	3
12	57	12	19	3
12	58	10	1	1
12	59	8	19	4
12	60	6	19	2
12	61	18	19	4
12	62	7	19	4
12	63	14	19	4
12	64	12	19	4
12	65	9	19	4
12	66	8	19	2
12	67	-88	88	3
12	68	10	19	1
12	69	-77	16	2
12	70	-88	88	3
12	71	80	19	4
13	0	-77	16	4
13	1	8	1	3
13	2	100	19	2
13	3	60	19	3
13	4	70	19	4
13	5	20	19	2
13	6	50	19	1
13	7	6	9	4
13	8	3	9	2
13	9	25	9	4
13	10	5	9	3
13	11	12	1	1
13	12	10	1	2
13	13	20	19	3
13	14	15.5	2	4
13	15	12.8000001907349	2	1
13	16	13	19	2
13	17	11	19	2
13	18	6	19	4
13	19	8.5	19	3
13	20	6	19	2
13	21	-77	16	2
13	22	10	19	4
13	23	-77	16	3
13	24	22	1	3
13	25	7	19	3
13	26	10	19	3
13	27	10	19	3
13	28	-77	16	4
13	29	-88	88	1
13	30	12	17	2
13	31	-77	16	2
13	32	120	19	3
13	33	2	19	3
13	34	-77	16	1
13	35	-77	16	3
13	36	-77	16	2
13	37	-77	16	2
13	38	7	19	2
13	39	10	19	3
13	40	130	6	2
13	41	-77	16	4
13	42	-77	16	1
13	43	-77	16	1
13	44	-88	88	4
13	45	140	19	3
13	46	50	19	2
13	47	6	17	2
13	48	75	19	3
13	49	-88	88	4
13	50	20	1	3
13	51	6	1	3
13	52	25	19	3
13	53	10	19	2
13	54	40	19	3
13	55	-88	88	4
13	56	2	1	3
13	57	-77	16	3
13	58	8	19	3
13	59	7	19	3
13	60	8	19	3
13	61	20	19	4
13	62	7	19	3
13	63	15	18	3
13	64	-77	16	2
13	65	10	19	3
13	66	10	19	3
13	67	-88	88	1
13	68	-77	16	2
13	69	-77	16	3
13	70	-88	88	1
13	71	80	19	3
14	0	-88	16	8
14	1	10	19	9
14	2	200	1	6
14	3	60	1	6
14	4	180	1	6
14	5	320	1	6
14	6	280	1	6
14	7	2	10	10
14	8	.100000001490116	10	10
14	9	.75	9	10
14	10	.300000011920929	10	10
14	11	13	19	9
14	12	-88	16	7
14	13	16	2	6
14	14	15.5	12	3
14	15	16	12	3
14	16	16	19	7
14	17	12	19	7
14	18	8	19	7
14	19	8	19	7
14	20	9	19	7
14	21	6	19	7
14	22	6	19	7
14	23	-88	16	8
14	24	14	19	7
14	25	7	19	7
14	26	12	19	7
14	27	13	19	7
14	28	-88	16	8
14	29	-88	16	8
14	30	8	2	4
14	31	9	2	4
14	32	115	19	6
14	33	2	19	11
14	34	22	19	11
14	35	-88	16	11
14	36	-88	16	8
14	37	16.5	19	11
14	38	15	19	11
14	39	8.5	19	11
14	40	110	6	12
14	41	140	6	12
14	42	70	19	11
14	43	-88	16	8
14	44	-88	16	8
14	45	-88	16	8
14	46	38	19	11
14	47	9	2	11
14	48	80	19	9
14	49	-88	16	8
14	50	20	1	9
14	51	5	1	9
14	52	40	1	9
14	53	12	19	13
14	54	75	1	11
14	55	-88	16	8
14	56	1.5	1	9
14	57	-88	16	8
14	58	6.5	19	6
14	59	11	19	13
14	60	12	19	13
14	61	10	19	13
14	62	13	19	13
14	63	12	19	13
14	64	-88	16	8
14	65	16	19	11
14	66	8	19	13
14	67	-88	16	8
14	68	11	19	11
14	69	-88	19	8
14	70	-88	16	8
14	71	60	19	7
15	0	-88	16	9
15	1	8	1	7
15	2	180	1	6
15	3	200	1	6
15	4	120	1	6
15	5	300	1	6
15	6	90	1	6
15	7	2	10	11
15	8	.100000001490116	9	11
15	9	.75	10	11
15	10	.300000011920929	10	11
15	11	13	1	7
15	12	50	1	7
15	13	17	1	7
15	14	16.8400001525879	12	2
15	15	16.3400001525879	12	2
15	16	16	19	5
15	17	12	19	5
15	18	7	19	5
15	19	8	19	2
15	20	16	19	5
15	21	11.5	19	5
15	22	7	19	5
15	23	-88	19	9
15	24	14	19	5
15	25	5.5	18	5
15	26	8.5	18	5
15	27	11	10	5
15	28	-88	19	9
15	29	-88	19	9
15	30	8.5	19	6
15	31	-88	16	9
15	32	120	19	6
15	33	2	19	5
15	34	24	19	5
15	35	-88	16	9
15	36	-88	16	9
15	37	17	19	5
15	38	18	19	5
15	39	8.5	19	5
15	40	120	6	6
15	41	-88	19	9
15	42	75	19	5
15	43	-88	16	9
15	44	-88	16	9
15	45	-88	16	9
15	46	36	19	10
15	47	4	1	10
15	48	80	19	7
15	49	-88	6	9
15	50	24	1	7
15	51	5	1	7
15	52	48	1	7
15	53	12	19	10
15	54	80	1	7
15	55	-88	16	9
15	56	1.79999995231628	1	7
15	57	-88	16	9
15	58	6	19	10
15	59	9	18	10
15	60	8	19	10
15	61	11	19	10
15	62	15	19	10
15	63	14	19	10
15	64	-88	16	9
15	65	13	19	5
15	66	10	19	10
15	67	-88	16	9
15	68	14	19	5
15	69	-88	19	9
15	70	-88	19	9
15	71	80	1	7
16	0	-88	16	12
16	1	6	17	10
16	2	165	19	5
16	3	130	19	5
16	4	150	19	5
16	5	80	19	5
16	6	75	19	5
16	7	7	9	11
16	8	.150000005960464	9	11
16	9	1.20000004768372	9	11
16	10	2	9	11
16	11	12	19	7
16	12	87	19	7
16	13	17	19	9
16	14	15	2	3
16	15	13	2	3
16	16	16	19	6
16	17	12	19	6
16	18	6.5	19	6
16	19	6	19	6
16	20	5	19	6
16	21	5	19	6
16	22	-88	19	6
16	23	-88	16	12
16	24	25	19	6
16	25	7	19	6
16	26	9	19	6
16	27	13	19	6
16	28	-88	16	12
16	29	20	19	10
16	30	9	2	2
16	31	12	19	10
16	32	130	19	10
16	33	2	19	6
16	34	12	19	6
16	35	-88	16	6
16	36	-88	16	12
16	37	10	19	8
16	38	10	19	8
16	39	11	19	10
16	40	140	17	4
16	41	140	17	4
16	42	100	19	4
16	43	-88	16	4
16	44	-88	16	12
16	45	120	17	10
16	46	36	1	9
16	47	12	1	7
16	48	80	19	6
16	49	-88	16	12
16	50	16	19	10
16	51	5	19	9
16	52	50	19	8
16	53	16	19	10
16	54	42	19	6
16	55	-88	88	1
16	56	1	1	9
16	57	-88	16	9
16	58	5	19	10
16	59	7	19	10
16	60	8	19	10
16	61	10	19	9
16	62	10	19	10
16	63	17	19	10
16	64	-88	16	10
16	65	15	19	9
16	66	10	19	10
16	67	-88	88	12
16	68	25	19	8
16	69	60	17	9
16	70	-88	16	12
16	71	60	19	7
17	0	-88	16	13
17	1	8	1	11
17	2	80	1	4
17	3	25	1	4
17	4	250	1	4
17	5	180	1	4
17	6	300	1	4
17	7	4	9	5
17	8	.200000002980232	9	5
17	9	.75	9	5
17	10	.349999994039536	9	5
17	11	11	1	11
17	12	45	1	11
17	13	18	1	11
17	14	17	12	2
17	15	15.5	12	1
17	16	18.5	19	6
17	17	16	19	6
17	18	7.5	19	6
17	19	11	19	6
17	20	7	19	6
17	21	11	19	6
17	22	12	19	6
17	23	-88	16	13
17	24	18	19	6
17	25	7	19	6
17	26	9	19	6
17	27	13	19	6
17	28	-88	16	13
17	29	-88	19	13
17	30	8.5	18	7
17	31	12	18	7
17	32	120	19	7
17	33	1.5	19	7
17	34	24	19	6
17	35	-88	16	13
17	36	-88	19	13
17	37	17	19	6
17	38	17	19	6
17	39	9	19	6
17	40	113	6	8
17	41	130	6	8
17	42	90	6	8
17	43	-88	16	13
17	44	-88	16	13
17	45	180	18	9
17	46	40	1	10
17	47	8	1	10
17	48	75	19	11
17	49	-88	16	13
17	50	15	1	11
17	51	5	1	11
17	52	32	1	11
17	53	14	19	10
17	54	60	19	10
17	55	-88	16	13
17	56	1.60000002384186	1	9
17	57	-88	16	13
17	58	5	19	12
17	59	10	19	12
17	60	12	19	12
17	61	10	19	10
17	62	15	19	12
17	63	20	19	12
17	64	-88	16	13
17	65	16	1	11
17	66	8	19	12
17	67	-88	16	13
17	68	10	19	7
17	69	-88	19	13
17	70	-88	16	13
17	71	90	1	11
18	0	-88	16	12
18	1	8	1	8
18	2	120	1	4
18	3	80	1	4
18	4	190	1	4
18	5	180	1	4
18	6	300	1	4
18	7	7	9	11
18	8	.25	9	11
18	9	.75	9	11
18	10	1.20000004768372	9	11
18	11	12	1	8
18	12	48	1	8
18	13	16	2	5
18	14	18	12	1
18	15	17	2	1
18	16	12.5	19	5
18	17	10.8000001907349	19	5
18	18	6	19	5
18	19	7.5	19	5
18	20	7.19999980926514	19	5
18	21	10	19	5
18	22	6	19	5
18	23	-88	16	12
18	24	17	19	5
18	25	7	19	5
18	26	8.5	19	5
18	27	12	19	6
18	28	-88	16	12
18	29	-88	16	12
18	30	8	2	7
18	31	9.5	2	7
18	32	102	19	6
18	33	1.75	19	10
18	34	24	19	5
18	35	-88	16	12
18	36	-88	16	12
18	37	16	19	5
18	38	17	19	5
18	39	9	19	5
18	40	110	6	9
18	41	135	6	9
18	42	80	6	9
18	43	-88	16	12
18	44	-88	16	12
18	45	190	1	8
18	46	40	19	7
18	47	10	2	7
18	48	65	19	10
18	49	-88	16	12
18	50	22	1	8
18	51	4	19	10
18	52	38	19	6
18	53	14	19	7
18	54	60	19	10
18	55	-88	16	12
18	56	1.20000004768372	2	6
18	57	-88	19	12
18	58	5	19	10
18	59	10	19	7
18	60	12	19	10
18	61	8	19	10
18	62	15	19	7
18	63	20	19	7
18	64	-88	16	12
18	65	15	19	5
18	66	10	19	10
18	67	-88	16	12
18	68	15	19	10
18	69	-88	16	12
18	70	-88	16	12
18	71	60	1	8
19	0	-88	16	13
19	1	6	1	10
19	2	180	1	7
19	3	150	1	7
19	4	130	1	7
19	5	210	1	7
19	6	85	1	7
19	7	7	9	11
19	8	.200000002980232	9	12
19	9	1.20000004768372	9	12
19	10	2	9	12
19	11	12	19	8
19	12	90	19	8
19	13	16	19	10
19	14	16	2	3
19	15	13	2	3
19	16	16.5	19	10
19	17	13	19	10
19	18	6.5	19	10
19	19	7	19	10
19	20	5	19	10
19	21	9	19	10
19	22	6	19	10
19	23	10	19	10
19	24	24	19	10
19	25	7	19	11
19	26	10	19	11
19	27	14	19	10
19	28	-88	16	13
19	29	-88	88	13
19	30	12	2	8
19	31	15	2	8
