PLACEID	TYWKIDR4	TYPWMALE	TYPWFMLE
64	18	1500	1500
65	3	2100	2100
65	6	470	470
65	7	600	500
65	9	2200	2200
65	18	-1111	1800
66	3	4500	4000
66	6	525	-1111
66	7	-1111	150
66	9	2500	2500
66	18	2000	2000
67	3	30	30
67	6	500	500
67	7	-88	100
67	9	1233	1233
67	18	1400	1400
68	3	40	40
68	6	500	500
68	7	300	300
68	9	1600	1600
68	18	-88	1427
69	3	1200	1200
69	6	650	650
69	7	-88	300
69	9	1499	1499
69	18	-88	1427
70	3	50	45
70	6	600	600
70	7	-88	150
70	9	1172	1172
70	18	-88	1428
71	3	4680	3800
71	6	1000	800
71	7	-1111	400
71	9	1700	1700
71	18	-1111	1968
72	3	2400	2400
72	6	1200	1200
72	7	300	200
72	9	3125	3125
72	18	-1111	1427
73	3	3750	-1111
73	6	120	-1111
73	7	-1111	300
73	9	1784	1784
73	18	-1111	1295
75	3	1500	750
75	6	470	-1111
75	7	200	150
75	9	1800	1800
75	18	-1111	1250
76	3	4200	-1111
76	6	500	-1111
76	7	-1111	-1111
76	9	1400	1400
76	18	-1111	1100
77	3	400	-88
77	6	400	-88
77	7	-88	100
77	9	1200	1200
77	18	-88	1233
78	3	-1111	-1111
78	6	495	-2222
78	7	190	190495
78	9	1233	1233
78	18	1233	-1111
79	3	5000	3000
79	6	550	550
79	7	-1111	300
79	9	1400	1400
79	18	-1111	1290
80	3	1500	800
80	6	600	-88
80	7	-88	300
80	9	2500	1800
80	18	-88	1980
82	3	40	40
82	6	300	-1111
82	7	-1111	100
82	9	1090	1090
82	18	-1111	1100
83	3	6500	5200
83	6	470	-7777
83	7	450	500
83	9	3656	3200
83	18	2151	2151
84	3	5200	3120
84	6	470	-1111
84	7	-1111	350
84	9	1289	1289
84	18	1636	1636
85	3	2700	-1111
85	6	-7777	1500
85	7	-1111	500
85	9	3000	3000
85	18	-7777	-7777
86	3	80	70
86	6	850	850
86	7	300	250
86	9	2800	2800
86	18	1000	1000
87	3	3000	3000
87	6	900	900
87	7	250	200
87	9	1200	1200
87	18	1244	1244
88	3	2800	2800
88	6	650	650
88	7	350	300
88	9	2100	2100
88	18	1644	1644
89	3	60	60
89	6	600	600
89	7	-88	300
89	9	1499	1499
89	18	-88	1427
90	3	35	35
90	6	300	-1111
90	7	-1111	-1111
90	9	1090	1090
90	18	-1111	1200
91	3	1560	1560
91	6	400	400
91	7	200	200
91	9	1300	1300
91	18	1400	1400
92	3	3900	3900
92	6	600	600
92	7	-1111	500
92	9	1200	1200
92	18	-1111	2600
93	3	3000	2500
93	6	350	-1111
93	7	-1111	220
93	9	2000	2000
93	18	1800	1800
94	3	3000	-1111
94	6	600	-1111
94	7	-1111	85
94	9	1800	1800
94	18	1500	1500
95	3	4000	4000
95	6	525	-1111
95	7	-1111	250
95	9	1900	1900
95	18	1800	1800
96	3	3000	3000
96	6	300	-1111
96	7	-1111	200
96	9	2500	2500
96	18	1500	1500
97	3	3250	3250
97	6	500	-1111
97	7	-1111	300
97	9	2000	2000
97	18	1500	1500
98	3	1600	-1111
98	6	500	-1111
98	7	-1111	150
98	9	2000	2000
98	18	-1111	1500
99	3	1800	1800
99	6	600	-1111
99	7	-1111	500
99	9	2300	2300
99	18	-1111	1700
100	3	1400	1200
100	6	550	-1111
100	7	-1111	300
100	9	1300	1300
100	18	-1111	1100
101	3	1400	1000
101	6	500	-1111
101	7	-1111	300
101	9	1300	1300
101	18	-1111	1200
102	3	-1111	-1111
102	6	400	-1111
102	7	-1111	-1111
102	9	1400	1400
102	18	-1111	1200
103	3	-1111	-1111
103	6	300	-1111
103	7	-1111	-1111
103	9	1400	1400
103	18	-1111	884
104	3	-1111	-1111
104	6	400	-1111
104	7	-1111	-1111
104	9	1600	1600
104	18	-1111	1050
105	3	-1111	-1111
105	6	-1111	-1111
105	7	-1111	-1111
105	9	1500	1500
105	18	-1111	1250
106	3	-1111	-11111
106	6	450	-1111
106	7	-1111	-1111
106	9	1600	1600
106	18	-1111	1350
107	3	-1111	-1111
107	6	500	-1111
107	7	-1111	-1111
107	9	1499	1499
107	18	-1111	1296
108	3	-1111	-1111
108	6	600	-1111
108	7	-1111	200
108	9	1295	1295
108	18	-1111	1295
109	3	-1111	-1111
109	6	500	-1111
109	7	-1111	200
109	9	1295	1295
109	18	-1111	1296
110	3	-1111	-1111
110	6	600	-1111
110	7	-1111	-1111
110	9	1499	1295
110	18	-111	1295
111	3	50	50
111	6	700	1111
111	7	1111	200
111	9	1200	1200
111	18	1150	1150
