childid	id	dpnamtr3	dpntmer3	dpnnumr3	cshrcdr3	cshamtr3	cshtmer3	cshnumr3
PE018001	16	450	4	8	0	 	 	 
PE018003	1	150	3	52	0	 	 	 
PE018004	18	500	5	12	1	300	7	2
PE018005	1	112	3	21	0	 	 	 
PE018005	1	420	3	17	0	 	 	 
PE018006	6	1200	5	12	1	300	8	1
PE018006	7	700	5	5	1	200	8	1
PE018007	1	75	4	12	0	 	 	 
PE018007	1	35	2	6	0	 	 	 
PE018007	1	550	5	11	0	 	 	 
PE018007	2	336	5	1	0	 	 	 
PE018008	7	200	3	52	1	100	6	4
PE018009	1	1800	5	12	1	500	7	2
PE018012	1	150	3	3	0	 	 	 
PE018015	1	210	3	52	0	 	 	 
PE018016	1	1400	5	12	1	1200	7	2
PE018022	1	700	5	12	0	 	 	 
PE018023	1	1300	5	12	1	500	7	2
PE018024	1	1030	5	12	1	500	6	3
PE018027	18	800	5	12	0	 	 	 
PE018031	18	1200	5	12	1	800	7	2
PE018031	18	500	5	12	0	 	 	 
PE018031	19	700	5	10	0	 	 	 
PE018031	19	550	5	3	1	250	8	1
PE018037	1	480	5	12	1	300	5	2
PE018039	1	600	5	12	0	 	 	 
PE018039	1	410	5	7	1	205	5	1
PE018040	5	1000	5	12	0	 	 	 
PE018042	1	1080	5	12	1	500	7	2
PE018042	2	1200	5	1	0	 	 	 
PE018043	2	300	5	12	1	50	7	2
PE018048	3	1400	5	12	0	 	 	 
PE018050	1	600	5	12	1	200	7	2
PE028002	1	220	4	24	1	109	7	2
PE028006	1	520	5	12	0	 	 	 
PE028007	1	450	5	12	0	 	 	 
PE028008	1	280	4	24	0	 	 	 
PE028012	4	100	3	52	0	 	 	 
PE028014	1	75	3	52	0	 	 	 
PE028018	1	400	5	12	0	 	 	 
PE028022	1	300	5	10	1	 	5	12
PE028025	1	180	3	52	0	 	 	 
PE038004	5	30	2	288	0	 	 	 
PE038005	1	7	2	24	0	 	 	 
PE038006	1	64	5	5	0	 	 	 
PE038007	1	180	3	40	0	 	 	 
PE038009	4	10	2	6	0	 	 	 
PE038012	1	1200	5	12	1	400	7	2
PE038012	2	105	5	6	0	 	 	 
PE038013	1	1200	5	12	1	300	7	2
PE038014	1	750	5	11	0	 	 	 
PE038015	2	300	5	9	0	 	 	 
PE038020	0	200	5	2	0	 	 	 
PE038023	1	1800	5	12	1	2100	7	2
PE038024	1	400	5	12	1	40	5	2
PE048002	3	360	5	12	0	 	 	 
PE048004	1	10	2	1	0	 	 	 
PE048005	1	1100	5	12	1	1100	7	2
PE048019	0	138	3	24	1	50	8	1
PE048019	4	138	3	24	1	50	8	1
PE048026	1	600	5	12	0	 	 	 
PE048026	1	700	5	12	0	 	 	 
PE058001	1	50	2	12	0	 	 	 
PE058002	1	20	2	300	0	 	 	 
PE058004	17	1400	5	12	1	200	7	2
PE058005	1	90	3	39	0	 	 	 
PE058006	1	180	3	48	0	 	 	 
PE058007	2	180	3	26	0	 	 	 
PE058007	3	60	3	26	0	 	 	 
PE058007	6	30	2	48	0	 	 	 
PE058007	7	30	2	48	0	 	 	 
PE058013	1	30	2	12	0	 	 	 
PE058015	1	50	3	52	0	 	 	 
PE058020	18	120	3	52	0	 	 	 
PE058027	1	10	2	365	0	 	 	 
PE058027	2	10	2	365	0	 	 	 
PE058029	8	10	3	52	0	 	 	 
PE058029	11	10	3	52	0	 	 	 
PE068001	1	1200	5	12	1	2600	8	1
PE068004	1	1000	4	24	1	1543	7	2
PE068008	1	700	5	12	0	 	 	 
PE068008	3	7	1	115	0	 	 	 
PE068009	1	900	5	12	0	 	 	 
PE068013	1	400	5	12	1	30	5	2
PE068015	2	800	5	12	0	 	 	 
PE068016	2	960	5	11	0	 	 	 
PE068017	1	90	3	30	0	 	 	 
PE068019	1	1168	5	12	1	500	7	2
PE068019	2	1038	5	12	1	500	7	2
PE068021	1	840	5	11	0	 	 	 
PE068021	2	400	5	11	0	 	 	 
PE068022	2	180	3	42	0	 	 	 
PE078006	2	350	5	12	1	200	7	2
PE078007	17	300	5	12	1	600	8	1
PE078009	1	90	5	12	0	 	 	 
PE078009	2	100	3	44	0	 	 	 
PE078009	16	350	5	2	0	 	 	 
PE078010	1	7000	5	12	1	7000	6	3
PE078010	2	1400	5	10	1	5000	6	3
PE078012	4	500	5	12	0	 	 	 
PE078012	5	900	5	12	1	500	8	1
PE078012	7	3000	5	6	1	6000	8	1
PE078013	1	1100	5	12	1	500	6	3
PE078013	2	1100	5	12	1	500	6	3
PE078015	1	1100	5	12	1	980	8	1
PE078015	2	1280	5	12	1	980	8	1
PE078017	17	3000	5	12	1	 	 	 
PE078019	1	150	3	52	0	 	 	 
PE078022	1	700	5	12	1	700	8	1
PE078022	2	2500	5	12	1	1500	8	1
PE078023	1	2000	5	12	1	250	7	2
PE078024	1	2500	5	12	1	2500	6	3
PE078026	1	1200	5	8	1	12500	8	1
PE078030	1	552	5	12	1	300	8	1
PE078032	1	350	5	12	0	 	 	 
PE078032	2	380	5	8	0	 	 	 
PE078033	1	180	3	52	0	 	 	 
PE078034	1	720	5	10	0	 	 	 
PE078034	2	400	5	2	0	 	 	 
PE078035	1	320	3	30	1	500	6	1
PE078035	2	170	3	13	0	 	 	 
PE078035	3	160	3	21	0	 	 	 
PE078036	0	490	5	2	0	 	 	 
PE078036	0	120	3	8	0	 	 	 
PE078036	2	250	3	52	0	 	 	 
PE078036	3	200	5	1	0	 	 	 
PE078038	1	1000	5	12	0	 	 	 
PE078039	1	400	5	12	0	 	 	 
PE078040	5	150	5	2	0	 	 	 
PE078041	1	600	5	8	1	1000	8	1
PE078043	1	800	5	12	1	400	8	1
PE078044	1	1150	5	12	1	340	8	1
PE078044	2	1110	5	12	1	340	8	1
