childid	id	incincr3	incprdr3	incernr3	inctmer3	incnumr3
PE018002	1	52	12	40	2	335
PE018010	1	 	 	20	2	365
PE018011	1	460	100	360	3	52
PE018013	1	45	10	35	2	360
PE018018	1	440	90	350	3	52
PE018019	1	245	0	245	3	52
PE018020	4	35	15	20	2	355
PE018020	6	32	20	12	2	350
PE018020	6	40	15	25	2	200
PE018021	1	630	30	600	5	12
PE018025	1	40	10	30	2	302
PE018026	2	300	150	150	3	12
PE018028	1	 	 	30	2	12
PE018028	3	 	 	6	2	12
PE018029	1	22	2	20	2	365
PE018029	1	 	 	15	2	48
PE018030	1	290	100	190	3	52
PE018032	1	420	315	105	3	44
PE018034	2	175	0	175	3	52
PE018035	3	420	210	210	3	52
PE018036	1	2500	1500	1000	5	12
PE018038	1	 	 	25	2	312
PE018041	2	200	170	30	2	52
PE018044	1	27	7	20	2	305
PE018044	2	50	30	20	2	365
PE018045	1	1160	360	800	5	12
PE018047	2	390	300	90	3	52
PE018047	3	1740	1500	240	3	52
PE018049	1	575	400	175	3	52
PE028001	1	362	62	300	4	24
PE028003	1	4620	2360	2260	5	12
PE028004	4	3500	2500	1000	6	4
PE028009	1	1350	120	1230	4	24
PE028011	1	550	200	350	5	12
PE028013	1	1735	210	1525	4	24
PE028015	1	14580	1200	13380	8	1
PE028016	1	850	350	500	4	24
PE028017	1	33275	19965	13310	8	1
PE028020	1	5655	2000	3655	8	1
PE028021	3	16500	12500	4000	7	2
PE028023	1	1600	600	1000	5	12
PE028024	1	72000	45000	27000	7	2
PE038001	1	692	92	600	8	1
PE038002	1	 	 	1200	5	5
PE038008	1	300	100	200	5	7
PE038008	4	300	100	200	5	7
PE038010	1	 	 	20	3	48
PE038011	1	5000	4000	1000	5	12
PE038016	4	 	240	0	 	 
PE038017	9	600	0	600	5	8
PE038019	2	32	0	32	3	52
PE038021	2	350	160	190	5	12
PE038022	2	 	 	300	5	7
PE048001	4	40	0	40	3	26
PE048003	6	195	120	75	3	15
PE048003	7	135	0	135	8	1
PE048006	1	 	 	450	5	6
PE048007	1	200	0	200	5	10
PE048009	1	12130	180	11950	8	1
PE048010	1	3230	630	2600	8	1
PE048011	1	5000	0	5000	8	1
PE048012	1	 	 	400	5	6
PE048013	16	325	195	130	2	360
PE048014	1	2190	590	1600	7	2
PE048015	1	2570	1170	1400	7	1
PE048016	1	14000	4000	10000	8	1
PE048017	3	85	60	25	2	12
PE048018	1	1140	300	840	6	3
PE048020	2	230	30	200	5	12
PE048021	1	951	80	871	7	2
PE048022	1	1700	0	1700	8	1
PE048023	1	15580	2380	13200	8	1
PE048024	1	2000	200	1800	8	1
PE048025	1	2400	800	1600	7	2
PE058003	1	600	300	300	7	2
PE058008	2	4000	2000	2000	7	2
PE058011	1	6360	2160	4200	8	1
PE058014	1	30600	18000	12600	8	1
PE058016	1	6000	3000	3000	8	1
PE058017	2	4800	0	4800	7	2
PE058019	1	5390	500	4890	8	1
PE058021	1	320	0	320	8	1
PE058022	1	 	 	1800	8	1
PE058023	1	4200	200	4000	8	1
PE058025	1	2500	0	2500	8	1
PE058026	1	2500	500	2000	5	12
PE058028	1	 	 	1200	8	1
PE058030	2	7000	325	6675	8	1
PE068002	2	1350	350	1000	5	12
PE068003	1	1600	1000	600	5	12
PE068005	17	221	0	221	3	52
PE068005	18	200	80	120	5	12
PE068007	2	630	420	210	3	26
PE068010	2	40	25	15	2	360
PE068011	2	280	140	140	3	52
PE068012	1	1500	100	1400	5	11
PE068018	1	1050	550	500	5	12
PE068020	1	3300	300	3000	8	1
PE068023	4	17480	0	17480	8	1
PE068024	1	65	15	50	2	365
PE068025	1	1850	361.5	1488.5	3	52
PE078001	2	 	 	5200	5	12
