childid	donfdid	dontypr3	donrcvr3	donamtr3	donmsrr3	donprcr3	prcmsrr3
PE068005	2	8	12	4	2	4.19999980926514	2
PE068008	1	1	12	6	1	1.20000004768372	1
PE068017	1	1	200	2	8	1	8
PE068017	2	9	200	2	7	.200000002980232	7
PE078009	1	3	24	3	2	2	2
PE078011	1	1	17	1	8	1	8
PE078011	2	9	17	1	7	.100000001490116	7
PE078011	3	10	4	1	5	2	5
PE078014	1	1	360	2	8	1	8
PE078014	2	9	360	2	7	.5	7
PE078019	1	8	12	1	2	3.5	2
PE078019	2	5	12	.25	1	6	1
PE078019	3	6	12	1	2	5	2
PE078030	1	1	280	1	8	.300000011920929	8
PE078030	2	9	280	1	7	.100000001490116	7
PE078031	1	10	1	4	8	1	8
PE078033	1	8	34	3.25	2	2.5	2
PE078046	1	10	90	1	5	2.5	5
PE088005	1	7	3	1	2	15	2
PE088005	2	7	3	1	2	25	2
PE088005	3	7	3	1	2	20	2
PE088005	4	9	192	10	7	.100000001490116	7
PE088005	5	15	3	15	7	.300000011920929	7
PE088012	1	10	2	3	8	.600000023841858	8
PE088015	1	10	300	6	8	.5	8
PE088018	1	10	312	2	9	.5	8
PE088018	2	1	204	2	8	1	8
PE088019	1	1	12	3	6	2.5	6
PE088019	2	3	12	2	3	2	3
PE088029	1	10	360	3	8	.5	8
PE088029	2	8	2	1	2	1.5	2
PE088029	3	5	2	1	7	1.39999997615814	7
PE088029	4	6	2	1	4	1.29999995231628	4
PE088029	5	4	2	3	2	2.5	2
PE098002	1	5	3	1	1	5	1
PE098002	2	6	3	1	2	4	2
PE098002	3	7	3	1	6	2	6
PE098002	4	8	3	3	2	2	2
PE098002	5	10	150	2	8	.5	8
PE098002	6	9	150	2	7	.200000002980232	7
PE098004	1	1	135	3	8	1	8
PE098004	2	9	135	3	7	.5	7
PE098006	1	1	135	2	8	.5	8
PE098006	2	9	135	2	7	.300000011920929	7
PE098009	1	8	4	.5	2	1.5	2
PE098009	2	15	2	.5	2	1	2
PE098011	1	4	16	2	2	2	2
PE098013	1	1	12	3	6	2.5	6
PE098013	2	3	12	1	2	4.5	2
PE098013	3	8	1	25	2	2	2
PE098013	4	11	1	25	2	2	2
PE098013	5	5	1	3	1	7	1
PE098019	1	1	4	1	2	3	2
PE098019	2	9	70	1	7	.5	7
PE098022	1	1	12	2	6	2.5	6
PE098022	2	3	12	3	2	3	2
PE098023	1	3	12	1	4	2	4
PE098023	2	1	12	3	6	2.29999995231628	6
PE098024	1	3	12	1	2	3	2
PE098024	2	1	12	1	6	2.5	6
PE098026	1	8	3	12	2	3	2
PE098026	2	8	1	6	2	3.59999990463257	2
PE098026	3	15	1	50	2	1	2
PE098028	1	1	12	3	3	1	3
PE098028	2	3	12	2	2	4	2
PE098028	3	9	120	1	7	.5	7
PE108004	1	1	12	3	6	2.5	6
PE108004	2	3	12	1	2	4	2
PE108008	1	1	12	3	6	2.5	6
PE108008	2	3	12	2	2	4	2
PE108009	1	3	12	1	2	4	2
PE108009	2	1	12	3	6	2.5	6
PE108018	1	3	7	1	2	4	2
PE108018	2	1	36	3	6	2.5	6
PE108023	1	3	12	1	2	4	2
PE108023	2	1	12	3	6	2.5	6
PE108028	1	1	182	2	8	1	8
PE108028	2	9	182	2	7	.200000002980232	7
PE118005	1	3	12	1	2	2	2
PE118008	1	1	180	1	8	.200000002980232	8
PE118008	2	9	50	1	7	.200000002980232	7
PE118008	3	10	90	1	5	1	5
PE118010	1	10	169	1	9	.5	9
PE118011	1	1	12	2	3	2.5	3
PE118011	2	3	12	2	2	4	2
PE118011	3	15	12	2	7	.5	7
PE118012	1	10	200	1	9	3	9
PE118013	1	10	200	1	9	2.5	9
PE118015	1	4	4	3	2	4	2
PE118015	2	10	154	2	9	1	9
PE118016	1	3	12	1	2	3	2
PE118016	2	10	200	1	8	.5	8
PE118017	1	3	12	3	2	4	2
PE118022	1	10	150	1	5	3	5
PE118022	2	5	3	1	1	6	1
PE118022	3	6	3	1	2	3	2
PE118022	4	8	3	2	2	2.79999995231628	2
PE118023	1	10	180	2	9	3.5	9
PE118024	1	10	200	1	9	3	9
PE118024	2	3	12	1	2	3	2
PE118024	3	15	12	2	7	.5	7
PE118027	1	3	12	2	2	4	2
PE118027	2	15	12	2	4	1	4
PE118028	1	8	12	1	2	3	2
PE118028	2	4	8	9	2	3	2
PE118028	3	5	12	.5	1	3	1
PE118028	4	7	12	1	7	3	7
PE118028	5	6	12	1	2	1.5	2
PE118029	1	10	80	1	5	2.5	5
PE118030	1	15	3	125	2	1.29999995231628	2
PE118030	2	15	2	50	2	1	2
PE128002	1	1	52	2	4	2	4
PE128002	2	1	52	2	4	1	4
PE128002	3	3	52	2	4	1	4
PE128004	1	10	260	5	8	1	8
PE128004	2	1	215	3	3	.5	3
PE128004	3	9	55	3	7	.5	7
PE128005	1	3	12	1	4	2	4
PE128005	2	1	12	2	6	2	6
PE128007	1	10	84	6	8	.5	8
PE128011	1	1	24	3	6	2	6
PE128011	2	3	24	2	2	3	2
PE128011	3	1	200	1	3	.5	3
PE128011	4	9	200	1	7	.200000002980232	7
PE128011	5	11	96	2	2	1.79999995231628	2
PE128013	1	1	170	1	3	1	3
PE128013	2	9	170	1	7	.200000002980232	7
PE128019	1	1	24	4	6	2	6
PE128019	2	3	24	1	2	1	2
PE128020	1	1	12	3	6	2.5	6
PE128020	2	3	12	2	4	2	4
PE128021	1	10	4	2	8	1	8
PE128022	1	10	240	2	8	.699999988079071	8
PE128024	1	10	73	4	8	1	8
PE128029	1	10	170	2	8	1	8
PE128032	1	3	52	1	4	2.5	4
PE128032	2	1	52	1	6	1.79999995231628	6
PE128037	1	3	12	2	2	1	2
PE128037	2	1	12	5	6	2	6
PE128037	3	9	180	1	7	.200000002980232	7
PE128037	4	1	180	1	3	.5	3
PE128041	1	10	172	4	8	.5	8
PE128041	2	1	140	1	3	.5	3
PE128041	3	9	140	1	7	.200000002980232	7
PE128046	1	10	240	2	8	.600000023841858	8
PE128050	1	1	12	4	6	2	6
PE128050	2	3	12	1	4	1.5	4
PE128051	1	1	340	2	3	.5	3
PE128051	2	9	340	2	7	.200000002980232	7
PE138004	1	1	260	2	6	1	6
PE138004	2	3	260	1	2	1	2
PE138011	1	10	240	2	8	1	8
PE138011	2	1	12	3	6	2	6
PE138014	1	1	310	2	3	.5	3
PE138014	2	9	310	2	7	.200000002980232	7
PE138015	1	10	200	2	8	.5	8
PE138015	2	9	200	4	7	.5	7
PE138015	3	9	200	2	7	.300000011920929	7
PE138015	4	9	40	2	7	.400000005960464	7
PE138016	1	10	280	4	8	.200000002980232	8
PE138016	2	1	128	2	3	.300000011920929	3
PE138016	3	9	128	2	7	.200000002980232	7
PE138020	1	10	260	2	8	1.70000004768372	8
PE138024	1	10	242	4	8	2	8
PE138029	1	1	60	1	3	.200000002980232	3
PE138029	2	9	60	1	7	.100000001490116	7
PE138030	1	10	300	5	8	2.5	8
PE138037	1	10	360	1	8	.699999988079071	8
PE138042	1	1	12	2	6	2.79999995231628	6
PE138042	2	8	2	1	4	2	4
PE138042	3	4	12	3	2	2	2
PE138042	4	5	12	1	1	4	1
PE138042	5	6	12	1	4	1.79999995231628	4
PE138042	6	8	12	2	2	2	2
PE138044	1	10	280	4	8	.5	8
PE138044	2	10	100	1	9	2.5	9
PE138048	1	1	310	2	3	1	3
PE138048	2	9	310	2	7	.5	7
PE138049	1	1	115	1	3	.5	3
PE138049	2	9	12	1	7	.100000001490116	7
PE138052	1	1	240	1	3	1	3
PE138053	1	10	240	3	8	2	8
PE148001	1	6	1	5	2	2	2
PE148001	2	8	1	5	2	2	2
PE148001	3	5	1	1	1	5.5	1
PE148001	4	7	1	2	6	2	6
PE148002	1	5	1	1	1	6	1
PE148002	2	6	1	3	2	7	2
PE148002	3	8	1	3	2	6	2
PE148004	1	1	48	3	3	1	3
PE148004	2	3	48	1	4	2	4
PE148005	1	1	120	10	6	1.79999995231628	6
PE148005	2	3	48	4	4	2	4
PE148005	3	10	60	25	9	1.20000004768372	9
PE148010	1	1	26	3	6	1	6
PE148010	2	3	26	1	4	2	4
PE148010	3	1	170	3	3	1	3
PE148010	4	9	170	3	7	.5	7
PE148011	1	3	12	1	2	4	2
PE148011	2	1	12	4	1	2.59999990463257	1
PE148014	1	10	52	4	8	1	6
