childid	grpid	groupr3	bcmmemr3	ldmemr3
PE178020	1	3	3	0
PE178021	1	3	1	0
PE178022	1	2	2	0
PE178022	2	3	1	0
PE178025	1	2	2	0
PE178027	1	2	2	0
PE178028	1	2	1	0
PE178029	1	2	1	1
PE178030	1	4	2	1
PE178036	1	2	3	0
PE188001	1	2	1	0
PE188010	1	2	3	0
PE188011	1	2	3	1
PE188012	1	4	1	1
PE188013	1	2	2	1
PE188014	1	3	1	0
PE188015	1	3	3	0
PE188018	1	2	2	1
PE188026	1	3	2	1
PE198004	1	3	2	0
PE198006	1	1	3	0
PE198009	1	3	1	0
PE198013	1	14	3	1
PE198014	1	4	1	0
PE198016	1	2	3	1
PE198017	1	4	1	0
PE198021	1	2	3	1
PE198026	1	4	3	0
PE198027	1	4	2	0
PE198028	1	15	1	0
PE198030	1	4	1	0
PE208001	1	2	1	0
PE208002	1	3	3	0
PE208006	1	2	1	1
PE208007	1	2	1	0
PE208011	1	2	3	1
PE208017	1	2	3	1
PE208019	1	2	1	0
PE208019	2	3	1	0
PE208020	1	2	1	1
PE208022	1	2	1	0
PE208025	1	4	1	0
PE208026	1	3	3	0
PE208029	1	2	2	0
PE208032	1	3	1	1
PE208046	1	1	2	0
PE208046	2	2	1	0
