childid	id	age	memsex	relate	livhse	grader3	stillr3	schtypr3	agestr3	agegrdr3	disabr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3
PE018001	0	15	2	0	1	 	 	 	 	 	0	11	0	1	0	0	6	1	5
PE018001	1	31	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018001	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018001	3	16	2	7	1	11	1	4	6	 	0	10	2	1	0	0	6	1	3
PE018001	15	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018001	16	29	1	2	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018002	0	14	1	0	1	 	 	 	 	 	0	8	0	0	0	0	6	2	6
PE018002	1	37	1	1	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018002	2	35	2	1	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018002	15	10	1	7	1	 	 	 	 	 	0	10	0	1	0	0	6	5	1
PE018003	0	15	1	0	1	 	 	 	 	 	0	9	0	2	0	0	6	1	5
PE018003	1	50	1	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018003	2	38	2	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018003	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018003	4	16	1	7	1	10	1	4	6	 	0	9	0	0	3	0	5	2	3
PE018003	5	47	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018004	0	14	2	0	1	 	 	 	 	 	0	10	0	1	0	0	7	2	2
PE018004	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018004	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018004	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018004	15	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018004	16	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
