childid	workid	wrkactr3	wrkpayr3	paynmer3
PE038006	1	2	0	0
PE038006	2	1	0	0
PE038008	1	2	0	0
PE078020	1	2	0	 
PE078020	2	4	0	 
PE088010	1	3	0	 
PE088010	2	2	0	 
PE088014	1	2	0	 
PE088014	2	5	0	 
PE088022	1	2	0	 
PE098004	1	2	0	 
PE098004	2	3	0	 
PE098004	3	1	0	 
PE108004	1	6	1	0
PE108008	1	6	1	2
PE108016	1	5	5	1
PE128014	1	 	 	 
PE128014	2	 	 	 
PE128014	3	 	 	 
PE128014	4	 	 	 
PE128014	5	 	 	 
PE128014	6	 	 	 
PE128014	7	 	 	 
PE128014	8	 	 	 
PE128046	1	2	0	 
PE128046	2	3	0	 
PE138012	1	2	0	 
PE138012	2	2	0	 
PE138014	1	2	0	 
PE138014	2	4	0	 
PE138028	1	2	0	 
PE138034	1	2	0	 
PE138034	2	3	0	 
PE138036	1	2	0	0
PE138044	1	7	0	 
PE138044	2	2	0	 
PE138044	3	2	0	 
PE148002	1	7	5	1
PE158010	1	1	0	 
PE158010	2	2	0	 
PE158010	3	3	0	 
PE158022	1	2	0	 
PE158026	1	4	0	 
PE158026	2	2	0	 
PE158026	3	3	0	 
PE168004	1	3	0	 
PE168004	2	2	0	 
PE168006	1	1	0	 
PE168006	2	2	0	 
PE168012	1	1	0	 
PE168012	2	2	1	 
PE168012	3	3	0	 
PE168012	4	6	1	1
PE178002	1	6	1	2
PE178010	1	2	0	 
PE178016	1	2	0	 
PE188018	1	1	0	 
PE188018	2	2	0	 
PE198026	1	2	0	0
PE208034	1	2	0	 
