childid	cropid	cropr3	qnthrvr3	qntuntr3
PE018003	1	53	11000	2
PE018011	1	4	10	11
PE018012	1	53	10000	2
PE028001	1	4	720	11
PE028003	1	4	2520	11
PE028004	1	4	200	7
PE028009	1	4	2880	11
PE028009	2	4	3000	8
PE028011	1	4	350	11
PE028013	1	4	1800	11
PE028013	2	4	90000	8
PE028015	1	4	1620	11
PE028016	1	4	1200	11
PE028017	1	4	2500	11
PE028017	2	53	70	10
PE028020	1	44	480	10
PE028020	2	56	160	8
PE028020	3	53	55	10
PE028020	4	108	400	6
PE028021	1	53	63000	2
PE028022	1	53	360	10
PE028022	2	4	1200	8
PE028023	1	53	1000	10
PE028024	1	53	2700	10
PE028025	1	89	20	2
PE028025	2	56	20	8
PE028025	3	44	1	10
PE028025	4	53	260	10
PE038001	1	55	14	10
PE038001	2	44	10	5
PE038001	3	75	18	5
PE038003	1	44	6	10
PE038003	2	75	6	10
PE038003	3	55	6	10
PE038004	1	44	10	5
PE038004	2	75	60	5
PE038004	3	55	5	10
PE038005	1	44	4	5
PE038005	2	75	5	5
PE038005	3	49	1	9
PE038006	1	44	2	5
PE038006	2	75	2	5
PE038006	3	99	1	9
PE038006	4	26	2	2
PE038006	5	89	10	2
PE038007	1	85	16	3
PE038007	2	4	200	2
PE038007	3	44	10	10
PE038007	4	53	10	10
PE038008	1	44	3	10
PE038008	2	75	2	10
PE038008	3	89	1	3
PE038009	1	44	3	10
PE038009	2	99	1	5
PE038009	3	69	30	2
PE038009	4	89	12	9
PE038009	5	83	 	 
PE038011	1	44	3	10
PE038015	1	44	60	8
PE038015	2	55	180	6
PE038015	3	99	6	2
PE038015	4	10	25	8
PE038016	1	44	12	5
PE038016	2	75	10	5
PE038016	3	99	5	5
PE038016	4	89	 	 
PE038016	5	55	 	 
PE038019	1	75	40	5
PE038019	2	99	10	5
PE038019	3	5	8	5
PE038019	4	55	15	10
PE038019	5	44	14	10
PE038019	6	69	2	10
PE038019	7	44	900	8
PE038020	1	99	2	5
PE038020	2	44	2	5
PE038020	3	75	3	5
PE038020	4	89	2	5
PE038021	1	108	60	8
PE038021	2	108	120	2
PE038021	3	108	120	2
PE038021	4	108	90	2
PE038021	5	99	120	2
PE038021	6	96	160	2
PE038021	7	86	140	2
PE038022	1	55	5	10
PE038022	2	44	1	5
PE038025	1	44	2	9
PE048001	1	44	1	10
PE048001	2	89	20	2
PE048002	1	12	2	10
PE048002	2	10	1	10
PE048002	3	44	2	10
PE048002	4	108	1.5	3
PE048002	5	108	1	3
PE048002	6	102	1	3
PE048002	7	55	3	3
