childid	nmnincid	nmnamtr3	nmntmer3	nmnnumr3
PE018001	16	0	 	 
PE018002	2	10	5	1
PE018003	1	0	 	 
PE018004	18	300	7	2
PE018005	1	0	 	 
PE018007	1	30	7	2
PE018007	2	10	8	1
PE018008	7	100	5	12
PE018009	1	0	 	 
PE018012	1	0	 	 
PE018015	1	0	 	 
PE018016	1	200	5	8
PE018022	1	30	7	2
PE018023	1	300	8	1
PE018024	1	0	 	 
PE018025	1	30	3	16
PE018027	18	180	8	1
PE018031	18	20	5	12
PE018031	18	40	5	5
PE018031	19	20	5	1
PE018032	1	0	 	 
PE018034	2	120	8	1
PE018035	1	0	 	 
PE018037	1	0	 	 
PE018039	1	0	 	 
PE018042	1	35	3	52
PE018042	2	12	5	1
PE018043	2	50	8	1
PE018044	3	0	 	 
PE018045	2	5	2	1
PE018047	1	0	 	 
PE018048	3	0	 	 
PE018050	1	0	 	 
PE028001	0	0	 	 
PE028001	1	70	8	1
PE028002	1	30	7	2
PE028006	3	0	 	 
PE028007	1	450	5	12
PE028014	1	0	 	 
PE028015	3	0	 	 
PE028017	0	0	 	 
PE028021	1	24	3	52
PE028025	1	0	 	 
PE028025	5	0	 	 
PE038004	5	0	 	 
PE038005	1	0	 	 
PE038006	1	0	 	 
PE038007	1	0	 	 
PE038009	4	7.5	2	7
PE038011	2	0	 	 
PE038012	1	0	 	 
PE038012	2	0	 	 
PE038013	1	0	 	 
PE038014	1	50	8	1
PE038015	2	0	 	 
PE038015	3	0	 	 
PE038017	9	0	 	 
PE038019	1	0	 	 
PE038020	0	0	 	 
PE038023	1	0	 	 
PE038024	1	0	 	 
PE048002	3	0	 	 
PE048004	1	0	 	 
PE048005	1	0	 	 
PE048013	4	5	2	360
PE048014	1	7	2	30
PE048016	1	0	 	 
PE048018	1	0	 	 
PE048018	2	0	 	 
PE048018	5	0	 	 
PE048019	0	0	 	 
PE048019	4	0	 	 
PE048023	3	0	 	 
PE048023	4	0	 	 
PE048023	16	0	 	 
PE048023	20	0	 	 
PE048024	2	0	 	 
PE048026	1	0	 	 
PE058001	1	0	 	 
PE058002	1	0	 	 
PE058003	3	0	 	 
PE058004	17	100	8	1
PE058005	1	0	 	 
PE058006	1	0	 	 
PE058007	2	64	3	26
PE058007	3	64	3	26
PE058007	5	256	5	3
PE058011	1	150	5	3
PE058011	3	150	5	3
PE058013	1	0	 	 
PE058015	1	0	 	 
PE058019	1	0	 	 
PE058027	1	0	 	 
PE058027	2	0	 	 
PE058029	8	0	 	 
PE058029	11	0	 	 
PE068001	1	0	 	 
PE068002	4	0	 	 
PE068003	3	0	 	 
PE068004	1	50	8	1
PE068005	19	130	8	1
PE068005	20	90	8	1
PE068008	1	0	 	 
PE068008	3	0	 	 
PE068009	1	0	 	 
PE068013	1	0	 	 
PE068015	2	0	 	 
PE068016	2	2500	5	11
PE068017	1	60	3	30
PE068019	1	150	8	1
PE068019	1	300	6	4
PE068019	2	150	8	1
PE068019	2	300	6	4
PE068020	1	0	 	 
PE068021	2	35	8	1
PE068022	2	0	 	 
PE068023	2	5	8	1
PE068023	2	200	7	2
PE078001	1	0	 	 
PE078006	2	225	5	12
PE078007	17	300	8	1
PE078007	17	84	7	2
PE078009	1	50	7	2
PE078009	2	0	 	 
PE078009	16	120	8	1
PE078010	1	205	3	52
PE078010	2	0	 	 
PE078011	2	21	3	8
PE078012	4	0	 	 
PE078012	5	0	 	 
PE078012	7	700	5	6
PE078013	1	0	 	 
PE078013	2	0	 	 
PE078015	1	0	 	 
PE078015	2	0	 	 
PE078017	17	 	 	 
PE078019	1	17.5	3	52
PE078022	1	0	 	 
PE078022	2	500	7	2
PE078023	1	370	8	1
PE078024	1	160	3	52
PE078026	1	96	5	8
PE078027	1	596	8	1
PE078030	1	30	8	1
PE078031	3	0	 	 
PE078032	1	0	 	 
PE078032	2	0	 	 
PE078033	1	0	 	 
PE078034	1	50	8	1
PE078034	2	100	8	1
PE078035	1	150	6	1
PE078035	3	0	 	 
PE078035	4	0	 	 
PE078036	0	0	 	 
PE078036	2	100	8	1
PE078036	3	0	 	 
PE078038	1	0	 	 
PE078039	1	0	 	 
PE078040	5	0	 	 
PE078041	1	60	7	2
PE078043	1	30	8	1
PE078043	1	50	8	1
PE078044	1	0	 	 
PE078044	2	0	 	 
PE078044	3	0	 	 
PE078045	1	0	 	 
PE078047	1	0	 	 
PE078047	3	0	 	 
PE078047	5	0	 	 
PE078048	3	20	3	16
PE078048	6	60	5	12
PE078049	1	0	 	 
PE088001	1	0	 	 
PE088002	3	50	5	20
PE088003	1	0	 	 
PE088004	1	0	 	 
PE088004	4	0	 	 
PE088004	6	75	8	1
PE088005	2	150	8	1
PE088008	3	0	 	 
PE088011	20	0	 	 
PE088018	4	0	 	 
PE088019	6	450	8	1
PE088021	1	56	7	2
PE088022	1	50	5	4
PE088023	2	0	 	 
PE088024	1	80	8	1
PE088025	1	42	3	52
PE088026	2	500	8	1
PE088027	2	48	3	16
PE088027	2	12	3	16
PE088028	1	0	 	 
PE088029	2	0	 	 
PE088029	3	0	 	 
PE088029	6	24	3	12
PE088031	5	100	8	1
PE088031	5	70	8	1
PE098001	3	0	 	 
PE098001	4	0	 	 
PE098002	1	0	 	 
PE098003	0	49	3	21
PE098003	1	100	8	1
PE098003	7	49	3	52
PE098004	1	0	 	 
PE098005	1	80	8	1
PE098006	1	0	 	 
PE098009	1	0	 	 
PE098010	1	150	8	1
PE098011	1	240	8	1
PE098012	3	0	 	 
PE098013	1	24	3	8
PE098014	1	0	 	 
PE098016	6	0	 	 
PE098018	1	0	 	 
PE098019	0	0	 	 
PE098021	1	0	 	 
PE098022	6	24	3	24
PE098023	1	0	 	 
PE098024	0	0	 	 
PE098024	3	6	2	50
PE098025	2	4.5	2	45
PE098026	1	0	 	 
PE098028	1	0	 	 
PE098029	1	0	 	 
PE108001	1	0	 	 
PE108003	4	0	 	 
PE108005	90	 	 	77
PE108006	2	0	 	 
PE108007	1	0	 	 
PE108011	1	200	8	1
PE108011	2	0	 	 
PE108013	1	0	 	 
PE108016	1	6	2	280
PE108017	1	400	7	2
PE108019	1	0	 	 
PE108020	2	5.59999990463257	3	52
PE108020	2	14	3	52
PE108021	1	100	7	2
PE108021	3	100	7	2
PE108022	1	300	8	1
PE108023	1	0	 	 
PE108023	2	0	 	 
PE108023	4	0	 	 
PE108024	5	0	 	 
PE108024	6	200	8	1
PE108026	7	250	6	4
PE108027	1	410	5	10
PE108028	2	120	6	12
PE118001	1	0	 	 
PE118002	2	0	 	 
PE118003	1	0	 	 
PE118004	1	0	 	 
PE118004	2	0	 	 
PE118005	1	0	 	 
PE118006	1	9	2	60
PE118008	1	6	2	200
PE118010	1	260	5	5
PE118011	1	3	2	300
PE118011	3	3	2	260
PE118012	5	70	5	3
PE118013	1	100	5	6
PE118014	1	240	5	3
PE118014	3	240	5	2
PE118015	1	480	8	1
PE118016	0	40	5	6
PE118016	1	240	5	3
PE118016	2	240	5	5
PE118017	1	3.5	2	200
PE118020	1	8	2	120
PE118021	4	0	 	 
PE118022	1	348	5	4
PE118023	2	0	 	 
PE118024	1	240	5	6
PE118027	1	5	2	90
PE118028	1	250	5	6
PE118029	1	468	8	1
PE128002	1	0	 	 
PE128003	6	0	 	 
PE128003	13	0	 	 
PE128005	1	0	 	 
PE128006	1	150	8	1
PE128006	2	0	 	 
PE128007	2	0	 	 
PE128008	1	0	 	 
PE128008	5	40	7	2
PE128008	6	100	8	1
PE128009	2	0	 	 
PE128010	1	0	 	 
PE128012	2	150	 	 
PE128014	2	600	5	12
PE128016	2	100	8	1
PE128017	3	0	 	 
PE128017	4	0	 	 
PE128017	6	0	 	 
PE128020	2	20	8	1
PE128020	6	50	8	1
PE128022	9	0	 	 
PE128026	3	39	5	12
PE128026	4	30	7	2
PE128027	1	150	5	12
PE128028	2	50	8	1
PE128029	2	70	8	1
PE128029	17	50	8	1
PE128031	1	400	7	2
PE128033	1	0	 	 
PE128033	6	0	 	 
PE128034	16	200	5	12
PE128037	1	0	 	 
PE128038	1	0	 	 
PE128039	1	700	7	2
PE128040	1	0	 	 
PE128040	7	0	 	 
PE128040	16	0	 	 
PE128041	5	0	 	 
PE128041	9	0	 	 
PE128043	1	180	8	1
PE128044	0	0	 	 
PE128044	2	0	 	 
PE128046	1	300	8	1
PE128047	2	300	8	3
PE128048	2	0	 	 
PE128048	3	0	 	 
PE128048	4	65	7	2
PE128049	3	0	 	 
PE128049	4	0	 	 
PE128050	17	0	 	 
PE128051	1	0	 	 
PE128051	3	0	 	 
PE128051	4	30	3	52
PE138002	1	300	5	10
PE138004	2	36	3	52
PE138004	3	30	3	52
PE138009	1	400	5	12
PE138010	6	0	 	 
PE138011	1	80	7	2
PE138012	1	18	2	192
PE138014	1	36	3	42
PE138014	16	4	2	18
PE138015	2	0	 	 
PE138015	90	 	 	 
PE138016	1	90	5	12
PE138016	1	80	7	2
PE138016	1	120	2	365
PE138019	0	48	3	26
PE138019	3	0	 	 
PE138019	4	48	3	26
PE138020	0	0	 	 
PE138021	5	100	5	11
PE138022	3	150	8	1
PE138023	2	60	7	2
PE138024	4	0	 	 
PE138024	5	0	 	 
PE138025	0	0	 	 
PE138027	2	300	8	1
PE138028	1	15	3	52
PE138028	2	16	3	4
PE138030	1	0	 	 
PE138031	1	0	 	 
PE138031	2	0	 	 
PE138031	5	0	 	 
PE138032	3	100	8	1
PE138033	5	0	 	 
PE138034	1	0	 	 
PE138035	3	120	5	12
PE138036	1	200	3	52
PE138037	2	150	5	12
PE138037	4	8	3	24
PE138037	5	12	2	26
PE138038	1	0	 	 
PE138039	1	50	5	1
PE138039	3	4	2	68
PE138040	2	0	 	 
PE138042	1	420	3	12
PE138042	2	840	3	24
PE138045	1	50	3	52
PE138045	2	14	3	17
PE138045	3	90	8	1
PE138048	1	0	 	 
PE138049	2	50	8	1
