childid	actidr3	actr3	actownr3	actmthr3	actdayhr3	acthrsr3	pymrecr3
PE018001	1	6	2	2	26	11	1
PE018003	1	2	1	12	5	2	0
PE018004	1	2	1	1	5	2	0
PE018005	1	2	1	12	30	2	0
PE018005	2	4	2	12	8	9	1
PE018005	3	6	2	2	30	8	1
PE018006	1	2	1	12	30	1	0
PE018007	1	2	1	12	4	1	0
PE018007	2	2	1	12	6	1	0
PE018007	3	2	1	12	3	1	0
PE018007	4	6	2	1	4	1	1
PE018008	1	2	1	9	6	2	0
PE018010	1	2	1	12	31	2	0
PE018011	1	4	1	12	30	2	0
PE018011	2	2	1	12	8	2	0
PE018011	3	2	1	12	30	1	0
PE018011	4	2	1	12	30	1	0
PE018012	1	4	1	12	30	1	0
PE018012	2	2	1	12	30	1	0
PE018015	1	4	1	12	30	1	0
PE018015	2	2	1	12	30	1	0
PE018016	1	2	1	12	30	2	0
PE018016	2	3	1	12	30	3	0
PE018017	1	6	2	0	7	6	1
PE018017	2	2	1	12	24	1	0
PE018018	1	2	1	12	30	1	0
PE018018	2	4	1	1	8	3	0
PE018019	1	2	1	12	30	1	0
PE018020	1	2	1	12	20	1	0
PE018020	2	4	1	12	30	2	0
PE018021	1	2	1	12	7	2	0
PE018022	1	2	1	12	30	1	0
PE018023	1	2	1	12	30	2	0
PE018023	2	1	2	0	21	2	1
PE018024	1	2	1	4	7	1	0
PE018025	1	2	1	12	30	1	0
PE018025	2	2	1	12	20	1	0
PE018026	1	2	1	12	16	1	0
PE018027	1	2	2	12	4	2	1
PE018028	1	2	1	12	30	1	0
PE018028	2	3	1	12	30	3	0
PE018029	1	6	2	3	30	8	1
PE018029	2	2	1	12	15	1	0
PE018029	3	2	1	12	2	1	0
PE018030	1	4	1	12	24	3	5
PE018030	2	2	1	12	30	1	0
PE018030	3	2	1	12	8	1	0
PE018031	1	2	1	9	6	1	0
PE018032	1	2	1	12	30	2	0
PE018033	1	2	1	12	20	2	0
PE018033	2	2	1	12	20	1	0
PE018034	1	2	1	12	30	2	0
PE018034	2	4	1	12	30	2	0
PE018035	1	5	2	2	20	1	1
PE018036	1	2	1	6	7	1	0
PE018039	1	2	1	1	2	8	0
PE018040	1	2	1	12	30	1	0
PE018040	2	3	1	12	30	2	0
PE018040	3	1	1	12	4	1	0
PE018041	1	2	1	12	30	3	0
PE018042	1	2	1	12	30	2	0
PE018044	1	2	1	12	4	1	0
PE018045	1	2	1	7	7	2	0
PE018047	1	4	1	12	30	1	0
PE018047	2	2	1	12	30	3	0
PE018047	3	3	1	12	30	2	0
PE018048	1	5	2	12	7	4	5
PE018048	2	2	1	12	7	2	0
PE018049	1	1	2	1	4	7	1
PE018049	2	2	1	12	3	2	0
PE018050	1	4	2	2	24	10	1
PE028001	1	1	2	6	15	5	1
PE028002	1	2	1	12	30	1	0
PE028002	2	2	1	12	20	1	0
PE028002	3	2	1	12	30	1	0
PE028002	4	2	1	12	12	1	0
PE028003	1	1	1	12	30	1	0
PE028004	1	2	1	10	15	1	0
PE028006	1	2	1	6	7	3	0
PE028007	1	2	1	1	2	1	0
PE028008	1	2	1	12	30	1	0
PE028008	2	3	1	12	30	1	0
PE028009	1	2	1	12	30	2	0
PE028011	1	2	1	7	5	3	0
PE028012	1	2	1	12	31	1	0
PE028012	2	1	1	3	4	4	5
PE028013	1	2	1	12	8	1	0
PE028014	1	2	2	1	6	3	1
PE028014	2	2	1	12	30	2	0
PE028015	1	1	1	12	30	1	0
PE028015	2	2	1	12	30	2	0
PE028016	1	1	1	12	12	3	1
PE028017	1	1	2	10	16	4	1
PE028017	2	1	1	12	12	4	2
PE028018	1	6	2	12	25	3	1
PE028018	2	2	1	12	30	2	0
PE028018	3	3	1	12	30	1	0
PE028020	1	1	1	9	20	5	0
PE028021	1	1	1	12	8	4	0
PE028022	1	2	1	12	30	2	0
