childid	monincid	montypr3	mnclssr3	monpebr3
PE018001	1	12	1	20
PE018002	1	6	1	8
PE018002	2	8	2	6
PE018002	3	7	3	4
PE018002	4	12	4	2
PE018003	1	11	1	11
PE018003	2	7	2	9
PE018004	1	12	1	20
PE018005	1	12	1	12
PE018005	2	7	2	8
PE018006	1	12	1	20
PE018007	1	12	1	20
PE018008	1	12	1	20
PE018009	1	12	1	20
PE018010	1	5	1	20
PE018011	1	2	1	11
PE018011	2	1	2	5
PE018011	3	7	3	4
PE018012	1	11	1	8
PE018012	2	1	2	6
PE018012	3	9	3	4
PE018012	4	7	4	2
PE018013	1	6	1	15
PE018013	2	9	2	5
PE018015	1	12	1	12
PE018015	2	7	2	5
PE018015	3	6	3	3
PE018016	1	12	1	20
PE018018	1	6	1	18
PE018018	2	7	2	2
PE018019	1	9	1	20
PE018020	1	7	1	14
PE018020	2	9	2	6
PE018021	1	3	1	20
PE018022	1	12	1	16
PE018022	2	9	2	4
PE018023	1	12	1	20
PE018024	1	12	1	12
PE018024	2	6	2	8
PE018025	1	9	1	14
PE018025	2	12	2	6
PE018026	1	7	1	11
PE018026	2	6	2	9
PE018027	1	12	1	12
PE018027	2	7	2	8
PE018028	1	1	1	20
PE018029	1	9	1	20
PE018030	1	7	1	18
PE018030	2	2	2	2
PE018031	1	12	1	14
PE018031	2	7	2	6
PE018032	1	6	1	11
PE018032	2	12	2	6
PE018032	3	3	3	3
PE018034	1	9	1	10
PE018034	2	6	2	6
PE018034	3	12	3	4
PE018035	1	9	1	19
PE018035	2	12	2	1
PE018036	1	7	1	20
PE018037	1	11	1	20
PE018038	1	3	1	20
PE018039	1	12	1	15
PE018039	2	9	2	5
PE018040	1	12	1	20
PE018041	1	7	1	13
PE018041	2	3	2	7
PE018042	1	12	1	11
PE018042	2	9	2	6
PE018042	3	7	3	3
PE018043	1	12	1	20
PE018044	1	6	1	9
PE018044	2	7	2	6
PE018044	3	12	3	5
PE018045	1	9	1	20
PE018045	2	12	2	0
PE018047	1	7	1	9
PE018047	2	11	2	7
PE018047	3	3	3	4
PE018048	1	12	1	20
PE018049	1	8	1	12
PE018049	2	7	2	8
PE018050	1	12	1	15
PE018050	2	7	2	5
PE028001	1	1	1	12
PE028001	2	12	2	8
PE028002	1	12	1	11
PE028002	2	4	2	6
PE028002	3	7	3	3
PE028003	1	2	1	20
PE028004	1	1	1	20
PE028006	1	12	1	13
PE028006	2	7	2	7
PE028007	1	11	1	20
PE028008	1	12	1	20
PE028009	1	1	1	17
PE028009	2	9	2	3
PE028011	1	7	1	12
PE028011	2	1	2	8
PE028012	1	11	1	20
PE028013	1	1	1	20
PE028014	1	11	1	15
PE028014	2	2	2	5
PE028015	1	1	1	10
PE028015	2	2	2	6
PE028015	3	11	3	4
PE028016	1	1	1	20
PE028017	1	1	1	17
PE028017	2	12	2	3
PE028018	1	11	1	20
PE028020	1	1	1	20
PE028021	1	1	1	13
PE028021	2	12	2	7
PE028022	1	12	1	11
PE028022	2	1	2	9
PE028023	1	1	1	11
PE028023	2	7	2	9
PE028024	1	1	1	13
PE028024	2	7	2	7
PE028025	1	12	1	8
PE028025	2	1	2	6
PE028025	3	11	3	4
PE028025	4	2	4	2
PE038001	1	2	1	14
PE038001	2	1	2	6
PE038002	1	9	1	15
PE038002	2	5	2	5
PE038004	1	12	1	12
PE038004	2	1	2	8
PE038005	1	11	1	20
PE038006	1	11	1	20
PE038007	1	11	1	11
PE038007	2	1	2	9
PE038008	1	1	1	20
PE038009	1	11	1	8
PE038009	2	7	2	6
PE038009	3	1	3	6
PE038010	1	9	1	20
PE038011	1	7	1	9
PE038011	2	12	2	6
PE038011	3	2	3	3
PE038011	4	1	4	2
PE038012	1	12	1	12
PE038012	2	7	2	8
PE038013	1	12	1	14
PE038013	2	7	2	6
PE038014	1	12	1	14
PE038014	2	7	2	6
PE038015	1	12	1	7
PE038015	2	1	2	6
PE038015	3	2	3	5
PE038015	4	11	4	2
PE038016	1	1	1	20
PE038017	1	9	1	14
PE038017	2	11	2	6
PE038019	1	7	1	11
PE038019	2	1	2	4
PE038019	3	2	3	3
PE038019	4	12	4	2
PE038020	1	11	1	20
PE038021	1	9	1	20
PE038022	1	9	1	12
PE038022	2	1	2	8
PE038023	1	12	1	11
PE038023	2	7	2	9
PE038024	1	12	1	17
PE038024	2	1	2	3
PE048001	1	9	1	20
PE048002	1	11	1	20
PE048003	1	9	1	9
PE048003	2	11	2	7
PE048003	3	1	3	4
PE048004	1	11	1	15
PE048004	2	1	2	5
PE048005	1	12	1	15
PE048005	2	1	2	5
PE048006	1	7	1	15
PE048006	2	1	2	5
PE048007	1	1	1	20
PE048009	1	1	1	20
