formno	childid	crechid	agecrech	crechdur	crechtyp	paycrech	crchqual	dayscrec	hrscrech	crechvis
R2INDX	PE011003	1	23	1	4	0	2	5	6	1
R2INDX	PE011004	1	6	2	4	1	2	5	5	1
R2INDX	PE011007	1	32	3	4	1	2	5	4	1
R2INDX	PE011010	1	24	2	4	0	2	5	4	1
R2INDX	PE011011	1	30	3	4	0	2	5	4	1
R2INDX	PE011012	1	34	3	4	1	2	5	3	1
R2INDX	PE011013	1	12	3	4	0	2	5	4	1
R2INDX	PE011016	1	24	2	4	0	2	5	4	1
R2INDX	PE011018	1	18	2	4	0	2	5	4	1
R2INDX	PE011022	1	36	2	4	0	1	5	4	1
R2INDX	PE011024	1	10	3	3	0	2	5	3	1
R2INDX	PE011026	1	24	3	4	0	2	5	7	0
R2INDX	PE011031	1	12	2	4	0	2	5	5	1
R2INDX	PE011035	1	30	3	4	0	3	5	3	1
R2INDX	PE011036	1	18	2	4	0	2	5	4	1
R2INDX	PE011036	2	24	3	4	0	2	5	4	1
R2INDX	PE011039	1	36	3	4	0	2	5	4	1
R2INDX	PE011041	1	24	2	4	0	2	5	6	1
R2INDX	PE011042	1	18	3	4	0	1	5	7	1
R2INDX	PE011046	1	24	3	4	0	2	5	4	1
R2INDX	PE011047	1	24	2	1	1	2	5	5	1
R2INDX	PE011048	1	8	1	4	1	2	5	4	1
R2INDX	PE011049	1	24	2	4	0	2	5	5	1
R2INDX	PE011051	1	30	3	4	0	2	5	3	1
R2INDX	PE011055	1	32	3	4	1	2	5	4	1
R2INDX	PE011056	1	24	2	7	1	1	5	5	1
R2INDX	PE011059	1	9	3	4	0	1	5	4	1
R2INDX	PE011060	1	30	2	4	0	3	5	4	1
R2INDX	PE011062	1	24	2	4	0	2	5	4	1
R2INDX	PE011063	1	18	2	4	0	2	5	3	1
R2INDX	PE011064	1	36	3	4	0	2	5	3	1
R2INDX	PE011067	1	30	1	4	0	3	4	3	1
R2INDX	PE011071	1	30	3	4	1	2	5	4	1
R2INDX	PE011072	1	36	3	4	0	2	5	2	1
R2INDX	PE011073	1	24	2	4	0	2	5	3	1
R2INDX	PE011074	1	17	2	4	0	3	2	1	1
R2INDX	PE011075	1	24	2	4	0	3	3	3	1
R2INDX	PE011076	1	24	3	4	0	2	5	4	1
R2INDX	PE011077	1	18	3	3	0	2	5	4	1
R2INDX	PE011078	1	12	3	4	0	2	5	4	1
R2INDX	PE011080	1	22	3	4	1	3	5	4	0
R2INDX	PE011083	1	18	2	4	0	1	6	8	1
R2INDX	PE011083	2	31	2	4	1	2	5	4	0
R2INDX	PE011085	1	8	3	4	0	2	3	2	1
R2INDX	PE011086	1	24	2	4	0	3	5	4	1
R2INDX	PE011088	1	24	3	3	0	2	5	4	1
R2INDX	PE011089	1	30	2	4	0	2	5	3	1
R2INDX	PE011090	1	36	3	4	0	2	5	2	1
R2INDX	PE011092	1	13	3	4	0	2	5	3	1
R2INDX	PE011093	1	12	3	4	0	2	5	4	1
R2INDX	PE011094	1	12	2	4	0	2	5	3	1
R2INDX	PE011096	1	21	2	4	0	3	4	2	1
R2INDX	PE011098	1	24	1	4	0	3	5	5	1
R2INDX	PE011099	1	24	2	4	0	2	5	8	1
R2INDX	PE021059	1	18	2	4	0	2	5	4	1
R2INDX	PE021076	1	24	2	3	1	2	5	3	1
R2INDX	PE021084	1	10	3	4	1	2	4	4	1
R2INDX	PE021088	1	18	2	4	1	2	5	3	1
R2INDX	PE021089	1	34	3	3	1	2	4	4	1
R2INDX	PE021093	1	24	2	4	1	2	5	3	1
R2INDX	PE031045	1	24	2	4	1	2	6	15	1
R2INDX	PE031057	1	30	2	4	0	3	2	4	1
R2INDX	PE031074	1	30	2	4	0	3	2	3	1
R2INDX	PE041018	1	35	2	4	0	2	3	2	1
R2INDX	PE041027	1	24	2	4	1	2	5	9	1
R2INDX	PE041036	1	34	1	4	0	4	3	3	1
R2INDX	PE041053	1	12	2	4	0	2	5	3	1
R2INDX	PE041094	1	28	2	4	0	2	5	3	1
R2INDX	PE051010	1	12	3	6	1	4	4	8	1
R2INDX	PE051031	1	14	2	4	1	2	5	8	1
R2INDX	PE061004	1	14	3	4	1	1	5	2	1
R2INDX	PE061014	1	30	2	4	1	2	3	4	1
R2INDX	PE061015	1	24	2	4	1	2	5	5	1
R2INDX	PE061034	1	28	2	4	0	2	5	4	1
R2INDX	PE061039	1	12	3	4	1	2	5	3	0
R2INDX	PE061045	1	24	3	4	1	3	2	2	1
R2INDX	PE061060	1	24	1	4	1	2	3	2	1
R2INDX	PE061061	1	24	2	4	1	1	5	4	1
R2INDX	PE061067	1	20	3	4	1	1	5	4	1
R2INDX	PE061086	1	6	3	4	0	3	2	2	1
R2INDX	PE061097	1	24	3	4	1	3	5	3	1
R2INDX	PE071001	1	30	1	1	1	2	5	3	1
R2INDX	PE071002	1	30	2	1	1	2	5	3	0
R2INDX	PE071003	1	28	2	4	0	2	5	4	1
R2INDX	PE071008	1	31	2	1	1	2	5	6	0
R2INDX	PE071009	1	24	2	4	0	2	5	5	1
R2INDX	PE071015	1	9	1	4	0	2	5	4	1
R2INDX	PE071019	1	30	2	4	0	2	5	3	1
R2INDX	PE071023	1	12	1	4	1	2	5	9	1
R2INDX	PE071025	1	3	3	4	0	1	5	4	1
R2INDX	PE071034	1	5	1	4	0	2	5	5	1
R2INDX	PE071036	1	8	2	4	1	2	5	7	0
R2INDX	PE071037	1	20	2	4	0	3	5	5	1
R2INDX	PE071038	1	16	2	3	1	2	5	5	1
R2INDX	PE071042	1	24	2	4	0	2	5	3	1
R2INDX	PE071044	1	8	3	4	0	2	5	9	1
R2INDX	PE071045	1	8	2	4	0	2	5	3	1
R2INDX	PE071049	1	24	2	1	1	1	5	4	1
R2INDX	PE071051	1	7	3	4	0	2	5	8	1
R2INDX	PE071055	1	7	3	4	0	2	5	7	1
R2INDX	PE071057	1	12	1	4	0	2	5	3	1
R2INDX	PE071062	1	8	1	4	0	2	3	5	1
R2INDX	PE071064	1	24	1	4	0	2	5	3	1
R2INDX	PE071066	1	9	4	1	1	2	5	6	1
R2INDX	PE071067	1	12	1	4	0	2	3	3	1
R2INDX	PE071071	1	12	3	4	0	2	5	4	1
R2INDX	PE071073	1	24	3	4	0	2	5	4	1
R2INDX	PE071076	1	30	2	4	0	2	5	3	1
R2INDX	PE071079	1	24	3	4	0	3	5	4	1
R2INDX	PE071081	1	12	2	4	0	2	5	3	1
R2INDX	PE071082	1	32	1	4	0	3	5	5	1
R2INDX	PE071083	1	12	1	4	0	2	2	5	1
R2INDX	PE071085	1	24	3	4	0	3	5	5	1
R2INDX	PE071086	1	12	3	4	1	2	5	3	1
R2INDX	PE071087	1	18	1	4	0	1	5	8	1
R2INDX	PE071088	1	3	3	4	0	2	5	5	1
R2INDX	PE071089	1	24	2	4	1	2	5	4	1
R2INDX	PE071092	1	12	3	4	0	2	5	5	1
R2INDX	PE071099	1	14	2	4	0	2	6	5	1
R2INDX	PE071102	1	12	1	4	0	2	5	5	1
R2INDX	PE071103	1	8	1	4	0	2	5	4	0
R2INDX	PE071105	1	6	3	4	0	4	5	5	0
R2INDX	PE071106	1	7	3	4	0	2	5	6	0
R2INDX	PE071109	1	24	1	4	0	2	5	4	1
R2INDX	PE081028	1	38	2	4	0	2	5	4	1
R2INDX	PE081061	1	30	2	4	0	2	5	4	1
R2INDX	PE081090	1	36	2	4	1	2	1	1	1
R2INDX	PE081092	1	24	1	4	1	1	5	3	1
R2INDX	PE091023	1	24	3	4	0	2	5	5	1
R2INDX	PE091088	1	16	3	4	0	2	5	7	1
R2INDX	PE101001	1	18	3	4	1	2	5	6	1
R2INDX	PE101005	1	32	3	1	1	2	5	5	1
