childid	rcfid	cocdmove	agemove	whymove
PE011001	1	1	0	7
PE011001	2	8888	23	8
PE011001	3	1	 	 
PE011003	1	1	19	1
PE011003	2	8888	21	13
PE011003	3	1	 	 
PE011004	1	1	6	4
PE011004	2	8888	11	2
PE011004	3	8888	15	2
PE011004	4	8888	20	2
PE011004	5	1	 	 
PE011005	1	1	17	13
PE011005	2	8888	37	5
PE011005	3	1	 	 
PE011006	1	1	14	4
PE011006	2	8888	16	4
PE011006	3	8888	20	7
PE011006	4	8888	21	1
PE011006	5	8888	25	1
PE011006	6	1	 	 
PE011008	1	1	10	1
PE011008	2	8888	27	5
PE011008	3	8888	28	1
PE011008	4	8888	31	14
PE011008	5	1	 	 
PE011011	1	1	17	13
PE011011	2	1	 	 
PE011013	1	1	16	1
PE011013	2	0	18	2
PE011013	3	1	 	 
PE011014	1	1	19	5
PE011014	2	8	 	 
PE011016	1	9999	5	14
PE011016	2	8888	16	2
PE011016	3	8888	21	2
PE011016	4	8888	24	14
PE011016	5	1	 	 
PE011017	1	1	10	10
PE011017	2	1	 	 
PE011019	1	1	15	1
PE011019	2	1	 	 
PE011020	1	1	16	5
PE011020	2	1	 	 
PE011021	1	1	7	8
PE011021	2	1	 	 
PE011025	1	1	23	1
PE011025	2	8888	24	1
PE011025	3	8888	29	1
PE011025	4	1	 	 
PE011026	1	1	2	10
PE011026	2	8888	10	16
PE011026	3	8888	29	14
PE011026	4	1	 	 
PE011027	1	1	19	13
PE011027	2	1	 	 
PE011028	1	1	16	13
PE011028	2	1	 	 
PE011030	1	1	3	1
PE011030	2	1	 	 
PE011032	1	1	14	2
PE011032	2	8888	16	13
PE011032	3	8888	18	8
PE011032	4	8888	19	4
PE011032	5	1	 	 
PE011035	1	1	7	15
PE011035	2	8888	16	15
PE011035	3	8888	17	13
PE011035	4	8888	35	1
PE011035	5	1	 	 
PE011037	1	1	1	1
PE011037	2	8888	62	7
PE011037	3	1	 	 
PE011038	1	1	6	14
PE011038	2	8888	35	12
PE011038	3	8888	38	2
PE011038	4	1	 	 
PE011039	1	1	30	1
PE011039	2	1	 	 
PE011043	1	1	12	16
PE011043	2	1	 	 
PE011044	1	1	5	15
PE011044	2	8888	7	15
PE011044	3	1	 	 
PE011048	1	1	29	13
PE011048	2	8888	 	 
PE011050	1	3	12	2
PE011050	2	8888	28	13
PE011050	3	8888	31	5
PE011050	4	8888	33	14
PE011050	5	1	 	 
PE011051	1	1	26	5
PE011051	2	1	 	 
PE011052	1	1	8	4
PE011052	2	8888	33	1
PE011052	3	8888	35	6
PE011052	4	8888	37	6
PE011052	5	8888	38	8
PE011052	6	1	 	 
PE011055	1	1	7	8
PE011055	2	8888	17	2
PE011055	3	1	 	 
PE011056	1	1	0	1
PE011056	2	8888	1	1
PE011056	3	8888	3	1
PE011056	4	8888	5	1
PE011056	5	8888	11	1
PE011056	6	8888	15	1
PE011056	7	8888	17	1
PE011056	8	1	 	 
PE011059	1	1	28	1
PE011059	2	1	 	 
PE011060	1	1	19	13
PE011060	2	1	 	 
PE011063	1	1	13	13
PE011063	2	8888	18	7
PE011063	3	8888	20	8
PE011063	4	1	 	 
PE011065	1	1	20	5
PE011065	2	1	 	 
PE011068	1	1	20	1
PE011068	2	8888	25	15
PE011068	3	8888	26	19
PE011068	4	1	 	 
PE011070	1	1	18	2
PE011070	2	8888	26	13
PE011070	3	1	 	 
PE011071	1	9999	7	15
PE011071	2	1	 	 
PE011074	1	1	10	1
PE011074	2	8888	26	5
PE011074	3	1	 	 
PE011075	1	1	34	1
PE011075	2	1	 	 
PE011077	1	1	8	1
PE011077	2	1	 	 
PE011078	1	13	2	1
PE011078	2	8888	13	1
PE011078	3	8888	27	1
PE011078	4	8888	27	8
PE011078	5	1	 	 
PE011079	1	1	28	13
PE011079	2	7	 	 
PE011080	1	1	35	5
PE011080	2	8888	38	14
PE011080	3	1	 	 
PE011081	1	1	17	5
PE011081	2	1	 	 
PE011083	1	1	7	1
PE011083	2	8888	8	1
PE011083	3	8888	17	1
PE011083	4	8888	19	13
PE011083	5	8888	29	5
PE011083	6	1	 	 
PE011084	1	1	12	6
PE011084	2	1	 	 
PE011085	1	12	17	1
PE011085	2	1	 	 
PE011086	1	1	17	2
PE011086	2	8888	20	1
PE011086	3	8888	31	1
PE011086	4	1	 	 
PE011087	1	5	21	5
PE011087	2	8888	38	6
PE011087	3	1	 	 
PE011089	1	1	12	5
PE011089	2	1	 	 
PE011093	1	1	9	15
PE011093	2	8888	12	2
PE011093	3	8888	15	15
PE011093	4	1	 	 
PE011094	1	23	10	1
PE011094	2	8888	14	1
PE011094	3	8888	17	13
PE011094	4	8888	18	5
PE011094	5	1	 	 
PE011095	1	1	18	13
PE011095	2	8888	20	5
PE011095	3	8888	21	17
PE011095	4	8888	22	7
PE011095	5	8888	31	13
PE011095	6	1	 	 
PE011097	1	1	1	1
PE011097	2	8888	4	2
PE011097	3	8888	6	5
PE011097	4	1	 	 
PE011100	1	1	16	13
PE011100	2	8888	18	7
PE011100	3	8888	18	13
PE011100	4	8888	22	5
PE011100	5	2	 	 
PE021002	1	46	7	1
PE021002	2	8888	19	13
PE021002	3	42	 	 
PE021003	1	15	11	2
PE021003	2	8888	13	15
PE021003	3	8888	18	13
PE021003	4	8888	22	5
PE021003	5	42	 	 
PE021004	1	46	15	13
PE021004	2	63	 	 
PE021005	1	46	13	7
PE021005	2	63	 	 
PE021006	1	42	8	21
PE021006	2	63	 	 
PE021007	1	9999	16	13
PE021007	2	46	 	 
PE021009	1	42	20	13
PE021009	2	46	 	 
PE021011	1	1	20	5
PE021011	2	46	 	 
PE021012	1	63	23	3
PE021012	2	63	 	 
PE021020	1	48	16	13
PE021020	2	46	 	 
PE021023	1	48	23	13
PE021023	2	46	 	 
PE021027	1	53	14	13
PE021027	2	46	 	 
PE021028	1	1	0	7
PE021028	2	47	 	 
PE021029	1	5	14	1
PE021029	2	8888	19	1
PE021029	3	8888	22	4
PE021029	4	8888	22	5
PE021029	5	47	 	 
PE021032	1	1	7	1
PE021032	2	8888	17	13
PE021032	3	8888	32	1
PE021032	4	8888	32	12
PE021032	5	47	 	 
PE021033	1	1	16	1
PE021033	2	8888	17	13
PE021033	3	47	 	 
PE021037	1	1	23	1
PE021037	2	47	 	 
PE021044	1	2	17	1
PE021044	2	8888	22	1
PE021044	3	8888	26	13
PE021044	4	8888	27	1
PE021044	5	8888	28	1
PE021044	6	1	 	 
PE021048	1	9	11	1
PE021048	2	8888	15	1
PE021048	3	8888	17	13
PE021048	4	48	 	 
PE021052	1	1	21	13
PE021052	2	48	 	 
PE021056	1	126	14	17
PE021056	2	8888	16	13
PE021056	3	8888	25	1
PE021056	4	1	 	 
PE021057	1	1	0	7
PE021057	2	8888	17	13
PE021057	3	48	 	 
PE021059	1	48	6	2
PE021059	2	8888	13	2
PE021059	3	8888	18	1
PE021059	4	8888	21	13
PE021059	5	8888	25	5
PE021059	6	51	 	 
PE021069	1	1	17	13
PE021069	2	48	 	 
PE021073	1	48	24	13
PE021073	2	47	 	 
PE021076	1	46	15	13
PE021076	2	8888	25	1
PE021076	3	8888	25	1
PE021076	4	48	 	 
PE021077	1	48	36	13
PE021077	2	8888	37	18
PE021077	3	8888	38	5
PE021077	4	51	 	 
PE021087	1	48	26	5
PE021087	2	1	 	 
PE021088	1	48	20	5
PE021088	2	8888	20	3
PE021088	3	8888	22	1
PE021088	4	8888	22	1
PE021088	5	8888	24	1
PE021088	6	8888	24	5
PE021088	7	1	 	 
PE021091	1	1	18	13
PE021091	2	48	 	 
PE021092	1	1	26	1
PE021092	2	48	 	 
PE021096	1	1	4	15
PE021096	2	48	 	 
PE021099	1	1	22	13
PE021099	2	47	 	 
PE031003	1	32	17	13
PE031003	2	30	 	 
PE031007	1	83	20	5
PE031007	2	29	 	 
PE031008	1	58	16	13
PE031008	2	8888	26	1
PE031008	3	8888	26	15
PE031008	4	29	 	 
PE031012	1	40	20	13
PE031012	2	8888	47	1
PE031012	3	8888	48	2
PE031012	4	28	 	 
PE031013	1	90	3	7
PE031013	2	8888	24	1
PE031013	3	8888	25	15
PE031013	4	8888	32	13
PE031013	5	27	 	 
PE031014	1	36	22	13
PE031014	2	24	 	 
PE031018	1	1	26	2
PE031018	2	1	 	 
PE031019	1	25	8	10
PE031019	2	1	 	 
PE031020	1	29	23	13
PE031020	2	25	 	 
PE031024	1	43	16	13
PE031024	2	8888	23	1
PE031024	3	8888	24	4
PE031024	4	1	 	 
PE031025	1	9999	13	1
PE031025	2	8888	16	15
PE031025	3	8888	17	1
PE031025	4	8888	17	5
PE031025	5	1	 	 
PE031029	1	1	17	2
PE031029	2	8888	18	6
PE031029	3	8888	22	13
PE031029	4	8888	22	4
PE031029	5	8888	23	7
PE031029	6	8888	34	5
PE031029	7	1	 	 
PE031030	1	92	9	4
PE031030	2	8888	10	4
PE031030	3	8888	11	3
PE031030	4	8888	12	1
PE031030	5	8888	14	6
PE031030	6	8888	29	7
PE031030	7	1	 	 
PE031033	1	47	18	2
PE031033	2	1	 	 
PE031037	1	1	23	1
PE031037	2	1	 	 
PE031038	1	7	24	2
PE031038	2	8888	26	2
PE031038	3	8888	28	5
PE031038	4	1	 	 
PE031042	1	1	4	1
PE031042	2	8888	21	2
PE031042	3	8888	32	8
PE031042	4	1	 	 
PE031051	1	21	19	1
PE031051	2	8888	27	8
