formno	childid	outid	remrel	remest	remgood
R2INDX	PE011003	1	14	100	 
R2INDX	PE011007	1	13	 	200
R2INDX	PE011012	1	8	1440	 
R2INDX	PE011012	2	13	800	 
R2INDX	PE011014	1	5	30	 
R2INDX	PE011014	2	17	10	 
R2INDX	PE011017	1	21	5	 
R2INDX	PE011018	1	15	100	 
R2INDX	PE011018	2	13	80	50
R2INDX	PE011021	1	21	15	 
R2INDX	PE011021	2	6	30	 
R2INDX	PE011025	1	6	1200	 
R2INDX	PE011025	2	5	600	 
R2INDX	PE011026	1	21	 	40
R2INDX	PE011026	2	21	 	100
R2INDX	PE011030	1	21	50	 
R2INDX	PE011031	1	18	1200	 
R2INDX	PE011031	2	6	300	 
R2INDX	PE011041	1	13	100	 
R2INDX	PE011045	1	13	 	360
R2INDX	PE011047	1	5	1800	 
R2INDX	PE011052	1	7	600	180
R2INDX	PE011052	2	13	600	 
R2INDX	PE011053	1	13	10	 
R2INDX	PE011059	1	13	 	150
R2INDX	PE011059	2	5	300	 
R2INDX	PE011062	1	1	1200	200
R2INDX	PE011074	1	6	500	 
R2INDX	PE011075	1	6	150	 
R2INDX	PE011077	1	17	40	 
R2INDX	PE011080	1	5	1200	 
R2INDX	PE011080	2	6	1200	 
R2INDX	PE011080	3	21	 	80
R2INDX	PE011084	1	13	2800	1200
R2INDX	PE011088	1	13	 	100
R2INDX	PE011095	1	13	200	 
R2INDX	PE011097	1	14	 	87
R2INDX	PE011098	1	14	 	50
R2INDX	PE021005	1	13	20	 
R2INDX	PE021015	1	21	10	 
R2INDX	PE021016	1	14	1500	 
R2INDX	PE021023	1	21	10	 
R2INDX	PE021027	1	19	 	40
R2INDX	PE021028	1	5	 	30
R2INDX	PE021033	1	5	30	50
R2INDX	PE021033	2	6	50	 
R2INDX	PE021034	1	21	50	 
R2INDX	PE021038	1	5	 	130
R2INDX	PE021039	1	21	15	 
R2INDX	PE021044	1	6	50	 
R2INDX	PE021055	1	6	200	4
R2INDX	PE021055	2	13	50	 
R2INDX	PE021055	3	14	40	 
R2INDX	PE021056	1	18	10	 
R2INDX	PE021056	2	13	10	 
R2INDX	PE021057	1	6	10	 
R2INDX	PE021061	1	21	5	10
R2INDX	PE021065	1	21	20	20
R2INDX	PE021067	1	13	 	20
R2INDX	PE021071	1	21	20	 
R2INDX	PE021081	1	13	 	200
R2INDX	PE021083	1	13	 	240
R2INDX	PE021083	2	8	 	180
R2INDX	PE021086	1	13	 	5
R2INDX	PE021090	1	7	2400	 
R2INDX	PE021099	1	21	30	30
R2INDX	PE021100	1	13	 	40
R2INDX	PE031016	1	13	 	250
R2INDX	PE031017	1	13	7200	 
R2INDX	PE031025	1	7	2700	160
R2INDX	PE031026	1	13	 	90
R2INDX	PE031028	1	13	50	 
R2INDX	PE031029	1	6	2400	 
R2INDX	PE031030	1	5	20	 
R2INDX	PE031037	1	8	3600	0
R2INDX	PE031040	1	6	500	200
R2INDX	PE031042	1	4	12000	120
R2INDX	PE031044	1	5	 	100
R2INDX	PE031045	1	1	 	30
R2INDX	PE031047	1	13	 	6
R2INDX	PE031048	1	13	 	30
R2INDX	PE031049	1	13	 	100
R2INDX	PE031053	1	13	1200	0
R2INDX	PE031053	2	5	600	0
R2INDX	PE031053	3	6	300	0
R2INDX	PE031053	4	21	100	50
R2INDX	PE031059	1	13	 	10
R2INDX	PE031062	1	14	 	100
R2INDX	PE031064	1	13	 	20
R2INDX	PE031066	1	13	 	50
R2INDX	PE031072	1	21	 	11
R2INDX	PE031078	1	13	100	 
R2INDX	PE031081	1	13	 	20
R2INDX	PE031084	1	21	5	 
R2INDX	PE031085	1	7	 	50
R2INDX	PE031090	1	21	 	10
R2INDX	PE031096	1	5	 	33
R2INDX	PE031097	1	13	 	9
R2INDX	PE031100	1	13	 	50
R2INDX	PE031101	1	13	700	 
R2INDX	PE041001	1	5	0	40
R2INDX	PE041003	1	13	30	30
R2INDX	PE041013	1	7	0	120
R2INDX	PE041015	1	7	20	20
R2INDX	PE041019	1	13	 	4
R2INDX	PE041026	1	9	3600	0
R2INDX	PE041027	1	6	500	 
R2INDX	PE041028	1	5	1200	 
R2INDX	PE041031	1	14	 	6
R2INDX	PE041034	1	13	 	40
R2INDX	PE041041	1	9	60	40
R2INDX	PE041042	1	13	88.8000030517578	12
R2INDX	PE041045	1	13	0	20
R2INDX	PE041055	1	19	0	10
R2INDX	PE041065	1	7	2400	 
R2INDX	PE041087	1	13	0	100
R2INDX	PE041094	1	13	 	60
R2INDX	PE041099	1	14	2000	 
R2INDX	PE051008	1	13	 	50
R2INDX	PE051009	1	5	500	100
R2INDX	PE051009	2	6	200	0
R2INDX	PE051009	3	21	0	30
R2INDX	PE051016	1	14	400	500
R2INDX	PE051018	1	5	0	120
R2INDX	PE051025	1	13	600	 
R2INDX	PE051026	1	13	130	 
R2INDX	PE051031	1	5	 	120
R2INDX	PE051035	1	21	0	4
R2INDX	PE051037	1	6	40	12
R2INDX	PE051037	2	5	50	 
R2INDX	PE051038	1	13	 	70
R2INDX	PE051042	1	6	500	0
R2INDX	PE051043	1	6	50	50
R2INDX	PE051043	2	13	 	100
R2INDX	PE051059	1	7	100	 
R2INDX	PE051061	1	6	150	 
R2INDX	PE051064	1	21	10	 
R2INDX	PE051070	1	5	 	120
R2INDX	PE051074	1	7	100	100
R2INDX	PE051085	1	13	500	 
R2INDX	PE051085	2	21	300	 
R2INDX	PE051095	1	7	480	 
R2INDX	PE051095	2	21	250	250
R2INDX	PE051101	1	6	 	60
R2INDX	PE061001	1	6	 	120
R2INDX	PE061002	1	7	 	50
R2INDX	PE061003	1	5	 	20
R2INDX	PE061004	1	13	140	 
R2INDX	PE061006	1	21	 	100
R2INDX	PE061007	1	6	100	60
R2INDX	PE061008	1	21	20	 
R2INDX	PE061010	1	13	 	30
R2INDX	PE061013	1	13	400	200
R2INDX	PE061014	1	5	300	200
R2INDX	PE061018	1	5	 	25
R2INDX	PE061025	1	13	100	 
R2INDX	PE061031	1	6	200	2400
R2INDX	PE061041	1	5	1200	 
R2INDX	PE061046	1	5	1800	 
R2INDX	PE061046	2	6	2500	 
R2INDX	PE061047	1	13	500	 
R2INDX	PE061050	1	19	50	 
R2INDX	PE061053	1	17	 	80
R2INDX	PE061057	1	5	400	 
R2INDX	PE061064	1	9	1200	 
R2INDX	PE061066	1	5	800	 
R2INDX	PE061068	1	21	10	20
R2INDX	PE061075	1	21	1	3
R2INDX	PE061076	1	13	 	150
R2INDX	PE061077	1	21	1	 
R2INDX	PE061078	1	21	50	 
R2INDX	PE061079	1	5	 	20
R2INDX	PE061085	1	6	20	 
R2INDX	PE061086	1	19	60	90
R2INDX	PE061091	1	5	 	50
R2INDX	PE061093	1	5	220	 
R2INDX	PE061097	1	21	2	 
R2INDX	PE071001	1	5	1440	 
R2INDX	PE071002	1	13	7200	 
R2INDX	PE071010	1	21	0	300
R2INDX	PE071029	1	21	 	30
R2INDX	PE071034	1	21	 	100
R2INDX	PE071041	1	5	200	 
R2INDX	PE071068	1	13	1000	 
R2INDX	PE071068	2	5	500	 
R2INDX	PE071073	1	19	2000	500
R2INDX	PE071073	2	13	16800	 
R2INDX	PE071076	1	5	700	200
R2INDX	PE071084	1	5	50	 
R2INDX	PE071088	1	6	50	 
R2INDX	PE071104	1	5	250	 
R2INDX	PE081003	1	13	1000	0
R2INDX	PE081004	1	6	100	50
R2INDX	PE081017	1	6	100	0
R2INDX	PE081017	2	5	100	0
R2INDX	PE081018	1	5	500	0
R2INDX	PE081021	1	5	1440	 
R2INDX	PE081035	1	6	80	 
R2INDX	PE081040	1	13	0	30
R2INDX	PE081042	1	5	200	 
R2INDX	PE081067	1	5	300	30
R2INDX	PE081067	2	6	 	300
