formno	childid	actid	actyest	whoact	choice
R2INDX	PE011001	1	1	5	0
R2INDX	PE011001	2	2	1	0
R2INDX	PE011001	3	44	9	1
R2INDX	PE011001	4	45	11	1
R2INDX	PE011001	5	12	6	1
R2INDX	PE011002	1	44	11	1
R2INDX	PE011002	2	2	12	1
R2INDX	PE011002	3	12	6	1
R2INDX	PE011002	4	1	5	1
R2INDX	PE011002	5	45	13	1
R2INDX	PE011003	1	1	5	1
R2INDX	PE011003	2	2	1	1
R2INDX	PE011003	3	45	11	1
R2INDX	PE011003	4	44	1	1
R2INDX	PE011003	5	12	1	1
R2INDX	PE011004	1	1	5	1
R2INDX	PE011004	2	2	1	0
R2INDX	PE011004	3	12	1	0
R2INDX	PE011004	4	44	7	1
R2INDX	PE011005	1	1	5	0
R2INDX	PE011005	2	2	6	0
R2INDX	PE011005	3	44	6	1
R2INDX	PE011005	4	12	1	1
R2INDX	PE011006	1	45	9	0
R2INDX	PE011006	2	1	4	0
R2INDX	PE011006	3	2	1	0
R2INDX	PE011007	1	1	5	1
R2INDX	PE011007	2	44	6	1
R2INDX	PE011007	3	2	1	1
R2INDX	PE011007	4	12	6	1
R2INDX	PE011008	1	1	5	1
R2INDX	PE011008	2	12	1	1
R2INDX	PE011008	3	44	1	1
R2INDX	PE011008	4	2	1	1
R2INDX	PE011009	1	1	5	0
R2INDX	PE011009	2	46	11	1
R2INDX	PE011009	3	12	1	1
R2INDX	PE011009	4	44	6	1
R2INDX	PE011009	5	2	1	0
R2INDX	PE011010	1	1	5	0
R2INDX	PE011010	2	46	10	1
R2INDX	PE011010	3	44	11	1
R2INDX	PE011010	4	12	1	1
R2INDX	PE011010	5	2	1	0
R2INDX	PE011011	1	1	5	0
R2INDX	PE011011	2	2	6	0
R2INDX	PE011011	3	45	11	1
R2INDX	PE011012	1	1	5	0
R2INDX	PE011012	2	44	6	1
R2INDX	PE011012	3	12	6	1
R2INDX	PE011012	4	2	1	0
R2INDX	PE011013	1	1	5	0
R2INDX	PE011013	2	2	1	0
R2INDX	PE011013	3	44	7	1
R2INDX	PE011013	4	12	7	1
R2INDX	PE011013	5	45	11	1
R2INDX	PE011014	1	1	5	1
R2INDX	PE011014	2	2	1	1
R2INDX	PE011014	3	44	1	1
R2INDX	PE011015	1	1	5	1
R2INDX	PE011015	2	44	8	1
R2INDX	PE011015	3	2	1	1
R2INDX	PE011015	4	12	13	1
R2INDX	PE011016	1	2	1	1
R2INDX	PE011016	2	12	7	1
R2INDX	PE011016	3	1	5	1
R2INDX	PE011016	4	44	1	1
R2INDX	PE011017	1	1	5	0
R2INDX	PE011017	2	44	6	1
R2INDX	PE011017	3	12	1	1
R2INDX	PE011017	4	2	1	0
R2INDX	PE011018	1	1	5	1
R2INDX	PE011018	2	2	6	1
R2INDX	PE011018	3	44	9	1
R2INDX	PE011018	4	12	8	1
R2INDX	PE011019	1	1	5	0
R2INDX	PE011019	2	2	1	0
R2INDX	PE011019	3	12	1	1
R2INDX	PE011019	4	44	7	1
R2INDX	PE011020	1	1	5	1
R2INDX	PE011020	2	2	1	2
R2INDX	PE011020	3	44	1	1
R2INDX	PE011020	4	12	1	1
R2INDX	PE011021	1	1	5	0
R2INDX	PE011021	2	2	1	0
R2INDX	PE011021	3	18	9	1
R2INDX	PE011022	1	1	5	0
R2INDX	PE011022	2	2	1	1
R2INDX	PE011022	3	44	1	1
R2INDX	PE011022	4	12	12	1
R2INDX	PE011023	1	1	5	0
R2INDX	PE011023	2	46	11	1
R2INDX	PE011023	3	2	1	0
R2INDX	PE011023	4	12	1	1
R2INDX	PE011023	5	44	7	1
R2INDX	PE011024	1	1	5	0
R2INDX	PE011024	2	46	11	1
R2INDX	PE011024	3	12	1	1
R2INDX	PE011024	4	2	1	0
R2INDX	PE011025	1	1	5	1
R2INDX	PE011025	2	2	1	1
R2INDX	PE011025	3	45	6	1
R2INDX	PE011025	4	12	1	1
R2INDX	PE011026	1	1	5	1
R2INDX	PE011026	2	44	1	1
R2INDX	PE011026	3	2	1	2
R2INDX	PE011027	1	2	6	0
R2INDX	PE011027	2	44	6	1
R2INDX	PE011027	3	1	5	1
R2INDX	PE011027	4	12	6	1
R2INDX	PE011028	1	12	12	1
R2INDX	PE011028	2	1	5	0
R2INDX	PE011028	3	44	1	1
R2INDX	PE011028	4	12	1	1
R2INDX	PE011028	5	2	1	1
R2INDX	PE011029	1	1	5	1
R2INDX	PE011029	2	12	1	1
R2INDX	PE011029	3	2	1	1
R2INDX	PE011030	1	1	5	1
R2INDX	PE011030	2	2	2	1
R2INDX	PE011030	3	12	2	1
R2INDX	PE011030	4	44	2	1
R2INDX	PE011031	1	1	5	1
R2INDX	PE011031	2	44	10	1
R2INDX	PE011031	3	2	1	0
R2INDX	PE011032	1	1	5	1
R2INDX	PE011032	2	12	2	1
R2INDX	PE011032	3	2	2	0
R2INDX	PE011032	4	45	11	1
R2INDX	PE011033	1	1	5	0
R2INDX	PE011033	2	44	8	1
R2INDX	PE011033	3	12	8	1
R2INDX	PE011033	4	2	2	0
R2INDX	PE011034	1	12	1	0
R2INDX	PE011034	2	1	5	0
R2INDX	PE011034	3	2	1	0
R2INDX	PE011034	4	44	8	0
R2INDX	PE011035	1	1	5	0
R2INDX	PE011035	2	2	1	0
R2INDX	PE011035	3	44	6	1
R2INDX	PE011035	4	45	11	1
R2INDX	PE011036	1	1	5	0
R2INDX	PE011036	2	45	12	1
R2INDX	PE011036	3	2	1	1
R2INDX	PE011036	4	12	1	1
R2INDX	PE011037	1	1	5	0
R2INDX	PE011037	2	2	2	0
R2INDX	PE011037	3	45	2	1
R2INDX	PE011037	4	12	12	1
R2INDX	PE011039	1	1	5	0
R2INDX	PE011039	2	2	6	0
R2INDX	PE011039	3	44	6	1
R2INDX	PE011040	1	1	5	0
R2INDX	PE011040	2	23	5	1
R2INDX	PE011040	3	23	10	1
R2INDX	PE011040	4	46	11	1
R2INDX	PE011040	5	44	6	1
R2INDX	PE011040	6	2	1	0
R2INDX	PE011040	7	12	1	1
R2INDX	PE011041	1	1	5	1
R2INDX	PE011041	2	2	1	0
R2INDX	PE011041	3	44	7	1
R2INDX	PE011041	4	45	10	1
R2INDX	PE011041	5	12	1	1
R2INDX	PE011042	1	1	5	0
R2INDX	PE011042	2	45	1	1
R2INDX	PE011042	3	44	1	1
R2INDX	PE011042	4	2	1	0
R2INDX	PE011043	1	1	5	1
R2INDX	PE011043	2	2	1	0
R2INDX	PE011043	3	12	6	1
R2INDX	PE011043	4	44	7	1
R2INDX	PE011044	1	1	5	0
R2INDX	PE011044	2	44	6	1
R2INDX	PE011044	3	2	8	1
R2INDX	PE011045	1	1	5	0
R2INDX	PE011045	2	46	10	1
R2INDX	PE011045	3	2	1	0
R2INDX	PE011045	4	23	1	1
R2INDX	PE011045	5	12	1	1
R2INDX	PE011046	1	1	5	0
R2INDX	PE011046	2	44	7	1
R2INDX	PE011046	3	2	1	0
R2INDX	PE011046	4	12	1	0
R2INDX	PE011047	1	1	5	0
R2INDX	PE011047	2	2	1	0
R2INDX	PE011047	3	18	1	1
