formno	childid	preid	agepresc	prescdur	presctyp	paypresc	presccre	dayspres	hrspresc	prescvis
R2INDX	PE011001	1	42	3	4	1	2	5	4	1
R2INDX	PE011002	1	41	3	4	1	2	5	5	1
R2INDX	PE011003	1	32	3	4	1	2	5	4	0
R2INDX	PE011004	1	36	3	4	1	2	5	5	1
R2INDX	PE011005	1	40	3	4	1	2	5	3	1
R2INDX	PE011006	1	48	2	4	1	2	5	4	1
R2INDX	PE011007	1	43	3	4	1	2	5	5	1
R2INDX	PE011008	1	36	3	4	1	3	5	5	1
R2INDX	PE011009	1	36	3	1	1	2	5	4	1
R2INDX	PE011010	1	48	3	4	1	2	5	4	1
R2INDX	PE011011	1	48	3	4	1	2	5	4	1
R2INDX	PE011012	1	46	3	4	1	2	6	4	1
R2INDX	PE011013	1	44	3	4	1	3	5	5	0
R2INDX	PE011014	1	36	3	4	1	2	5	4	1
R2INDX	PE011015	1	36	3	4	1	2	5	4	1
R2INDX	PE011016	1	36	3	4	1	2	5	5	0
R2INDX	PE011017	1	48	3	4	0	2	5	4	1
R2INDX	PE011018	1	48	2	4	1	2	5	4	1
R2INDX	PE011019	1	42	3	4	1	2	5	4	1
R2INDX	PE011020	1	36	3	4	1	3	5	5	1
R2INDX	PE011021	1	48	3	4	1	3	5	5	1
R2INDX	PE011022	1	48	3	4	0	2	5	4	1
R2INDX	PE011023	1	36	3	4	1	2	5	4	1
R2INDX	PE011024	1	36	3	4	1	2	5	4	1
R2INDX	PE011025	1	45	2	4	1	2	5	5	1
R2INDX	PE011026	1	48	3	4	1	2	5	5	1
R2INDX	PE011027	1	36	3	4	1	3	5	4	1
R2INDX	PE011028	1	36	3	4	1	1	5	4	1
R2INDX	PE011029	1	36	3	4	1	2	5	5	1
R2INDX	PE011030	1	36	3	4	0	1	5	4	1
R2INDX	PE011031	1	36	2	4	1	2	5	4	1
R2INDX	PE011032	1	55	1	1	1	1	5	5	1
R2INDX	PE011033	1	38	3	4	1	2	5	5	0
R2INDX	PE011034	1	48	2	4	1	2	5	5	1
R2INDX	PE011035	1	48	3	4	1	2	5	4	1
R2INDX	PE011036	1	36	3	4	1	2	5	4	1
R2INDX	PE011037	1	36	3	4	1	2	5	4	1
R2INDX	PE011038	1	35	3	4	1	2	5	4	1
R2INDX	PE011039	1	48	3	4	1	3	5	4	1
R2INDX	PE011040	1	36	2	4	0	2	5	4	1
R2INDX	PE011041	1	57	2	4	1	2	5	5	1
R2INDX	PE011042	1	36	3	4	1	2	5	4	1
R2INDX	PE011043	1	36	2	4	1	2	5	4	1
R2INDX	PE011044	1	40	3	4	1	3	5	4	1
R2INDX	PE011045	1	36	3	1	1	2	5	4	1
R2INDX	PE011046	1	36	3	4	1	3	5	4	1
R2INDX	PE011047	1	36	3	1	1	2	5	5	1
R2INDX	PE011048	1	36	3	4	1	3	5	5	1
R2INDX	PE011049	1	36	3	4	1	1	5	5	1
R2INDX	PE011050	1	32	3	4	1	2	5	5	0
R2INDX	PE011051	1	48	3	4	1	2	5	4	1
R2INDX	PE011052	1	48	3	4	1	2	5	4	1
R2INDX	PE011053	1	36	3	4	1	2	5	4	1
R2INDX	PE011054	1	36	1	1	1	2	5	5	1
R2INDX	PE011055	1	44	3	4	1	2	5	4	1
R2INDX	PE011056	1	36	2	4	1	5	5	4	1
R2INDX	PE011056	2	48	2	1	1	1	5	6	1
R2INDX	PE011057	1	36	2	4	1	2	5	5	1
R2INDX	PE011059	1	36	3	4	1	2	5	4	1
R2INDX	PE011060	1	48	3	4	1	2	5	4	1
R2INDX	PE011061	1	48	2	4	1	2	5	4	0
R2INDX	PE011062	1	36	3	4	1	2	5	5	1
R2INDX	PE011063	1	36	3	4	1	2	5	4	1
R2INDX	PE011064	1	48	3	4	1	2	5	4	1
R2INDX	PE011065	1	48	3	4	1	1	5	4	1
R2INDX	PE011066	1	45	2	4	1	2	5	5	1
R2INDX	PE011067	1	34	3	4	1	2	5	4	0
R2INDX	PE011068	1	43	2	4	1	2	5	5	0
R2INDX	PE011069	1	36	3	4	1	2	5	4	1
R2INDX	PE011070	1	48	3	1	1	2	5	5	0
R2INDX	PE011071	1	48	3	4	1	2	5	4	1
R2INDX	PE011072	1	48	3	4	1	2	5	4	1
R2INDX	PE011073	1	36	3	4	1	2	5	5	1
R2INDX	PE011074	1	41	3	4	1	2	3	3	1
R2INDX	PE011075	1	48	2	4	1	2	5	4	1
R2INDX	PE011076	1	48	3	4	1	2	5	5	1
R2INDX	PE011077	1	36	2	4	1	1	5	4	1
R2INDX	PE011077	2	48	3	4	1	1	5	4	1
R2INDX	PE011078	1	36	3	4	1	2	5	4	1
R2INDX	PE011079	1	40	3	4	1	2	5	4	1
R2INDX	PE011080	1	36	3	4	1	3	5	5	1
R2INDX	PE011081	1	36	3	4	1	2	5	4	1
R2INDX	PE011082	1	36	2	4	0	2	5	4	1
R2INDX	PE011083	1	43	2	4	1	2	5	4	0
R2INDX	PE011084	1	39	3	1	1	2	5	5	1
R2INDX	PE011085	1	36	2	4	0	2	5	4	1
R2INDX	PE011085	2	48	3	4	1	2	5	4	1
R2INDX	PE011086	1	36	3	4	0	2	5	5	0
R2INDX	PE011087	1	48	2	4	1	2	5	5	1
R2INDX	PE011088	1	36	3	4	1	2	5	5	1
R2INDX	PE011089	1	48	2	4	1	2	5	4	1
R2INDX	PE011090	1	44	3	4	1	2	5	4	1
R2INDX	PE011091	1	48	1	4	0	2	5	5	1
R2INDX	PE011092	1	36	3	4	1	2	5	4	0
R2INDX	PE011093	1	36	3	4	1	2	5	4	1
R2INDX	PE011094	1	36	3	4	1	2	5	4	1
R2INDX	PE011095	1	36	3	4	1	2	5	5	1
R2INDX	PE011096	1	48	2	4	1	2	5	4	0
R2INDX	PE011097	1	33	3	1	1	2	5	5	1
R2INDX	PE011098	1	36	1	4	1	2	5	5	0
R2INDX	PE011099	1	48	3	4	1	2	5	5	1
R2INDX	PE011100	1	40	3	4	0	2	5	4	1
R2INDX	PE021001	1	48	1	4	1	3	5	4	1
R2INDX	PE021002	1	48	2	4	1	2	5	4	1
R2INDX	PE021003	1	48	3	4	1	2	5	5	1
R2INDX	PE021004	1	48	2	4	1	3	5	5	1
R2INDX	PE021005	1	48	3	4	0	3	5	4	1
R2INDX	PE021006	1	55	2	4	1	3	5	4	1
R2INDX	PE021007	1	60	2	4	1	2	5	4	1
R2INDX	PE021009	1	48	3	4	1	2	5	4	1
R2INDX	PE021010	1	39	3	4	1	2	5	5	1
R2INDX	PE021011	1	54	2	4	1	3	5	5	1
R2INDX	PE021012	1	48	3	4	1	2	5	4	1
R2INDX	PE021013	1	60	3	4	1	2	5	5	1
R2INDX	PE021014	1	48	2	4	1	3	5	5	1
R2INDX	PE021015	1	61	1	4	1	3	5	6	1
R2INDX	PE021016	1	52	3	4	1	2	5	5	1
R2INDX	PE021017	1	42	2	4	1	2	5	6	1
R2INDX	PE021018	1	48	3	4	1	2	5	4	1
R2INDX	PE021019	1	48	3	4	1	2	5	5	1
R2INDX	PE021021	1	34	2	4	1	2	5	5	1
R2INDX	PE021022	1	42	1	4	1	3	5	5	1
R2INDX	PE021023	1	36	2	4	0	2	4	5	1
R2INDX	PE021024	1	36	3	4	1	2	5	5	1
R2INDX	PE021027	1	36	2	4	1	1	5	4	1
R2INDX	PE021029	1	38	3	4	1	2	5	4	0
R2INDX	PE021030	1	36	3	4	1	2	5	4	1
R2INDX	PE021031	1	48	1	4	1	4	5	5	1
R2INDX	PE021032	1	36	3	4	1	2	5	5	1
R2INDX	PE021033	1	36	2	4	1	2	5	5	1
R2INDX	PE021034	1	30	3	4	1	2	5	5	1
R2INDX	PE021035	1	36	2	4	0	2	5	4	1
R2INDX	PE021036	1	42	3	4	1	2	5	4	1
R2INDX	PE021037	1	45	3	4	1	2	5	4	1
R2INDX	PE021038	1	48	2	4	1	2	5	4	0
R2INDX	PE021039	1	48	3	4	1	2	5	4	1
R2INDX	PE021040	1	39	3	4	1	2	5	4	1
R2INDX	PE021041	1	36	3	4	1	1	5	4	1
R2INDX	PE021042	1	48	2	4	1	2	5	6	1
R2INDX	PE021043	1	30	3	1	1	2	5	0	1
R2INDX	PE021044	1	36	3	4	1	3	5	5	1
R2INDX	PE021045	1	51	3	4	1	2	5	4	1
R2INDX	PE021046	1	48	2	4	1	2	5	5	1
R2INDX	PE021048	1	48	3	4	1	2	5	4	1
R2INDX	PE021049	1	50	3	4	1	2	5	5	1
R2INDX	PE021050	1	54	3	4	1	2	5	4	1
R2INDX	PE021051	1	48	2	4	1	2	5	4	1
R2INDX	PE021052	1	54	3	4	1	2	5	4	1
R2INDX	PE021053	1	39	3	4	1	2	5	4	1
R2INDX	PE021054	1	36	3	4	1	2	5	5	1
R2INDX	PE021055	1	48	3	4	1	3	5	6	1
R2INDX	PE021058	1	36	3	4	1	2	5	4	1
R2INDX	PE021059	1	48	2	4	1	2	5	4	1
R2INDX	PE021060	1	36	1	4	1	2	5	4	1
R2INDX	PE021061	1	41	3	1	1	1	5	4	0
R2INDX	PE021062	1	36	2	4	1	3	5	4	1
R2INDX	PE021063	1	48	3	4	1	2	5	4	1
R2INDX	PE021064	1	50	1	4	1	2	5	5	1
R2INDX	PE021065	1	39	3	4	1	2	5	5	1
R2INDX	PE021066	1	45	3	4	1	2	5	6	1
