childid	passid	passet	numpass	valpass	decpass
PE011002	1	18	1	10	1
PE011002	2	20	1	10	2
PE011002	3	36	1	1000	2
PE011003	1	37	1	2700	80
PE011004	1	36	1	1600	2
PE011006	1	33	1	30	1
PE011008	1	18	3	10	1
PE011008	2	19	1	10	1
PE011008	3	40	1	10	1
PE011008	4	20	1	15	1
PE011008	5	33	1	25	1
PE011008	6	33	12	2.5	1
PE011009	1	36	1	800	2
PE011009	2	33	1	30	2
PE011010	1	21	1	300	1
PE011010	2	21	4	500	1
PE011010	3	21	5	30	1
PE011010	4	21	2	50	1
PE011011	1	39	1	30	2
PE011012	1	36	1	500	1
PE011013	1	37	1	3000	1
PE011016	1	18	1	10	1
PE011016	2	33	2	10	1
PE011016	3	33	2	15	1
PE011016	4	33	1	10	1
PE011016	5	40	1	8	1
PE011017	1	18	1	40	1
PE011017	2	19	2	17	1
PE011018	1	33	6	60	1
PE011018	2	33	10	7	1
PE011019	1	18	1	25	1
PE011019	2	10	1	90	1
PE011019	3	26	1	15	1
PE011020	1	38	1	70	1
PE011021	1	33	1	150	1
PE011021	2	38	1	50	1
PE011023	1	33	1	3	1
PE011023	2	33	1	2	1
PE011023	3	33	2	2	1
PE011024	1	18	2	40	16
PE011024	2	19	2	15	16
PE011026	1	33	1	35	1
PE011026	2	33	1	150	1
PE011026	3	33	1	2	1
PE011027	1	19	2	10	1
PE011027	2	18	1	12	80
PE011027	3	38	1	50	1
PE011029	1	34	1	9000	1
PE011030	1	33	2	1500	3
PE011030	2	7	4	30	3
PE011030	3	33	3	50	3
PE011030	4	33	100	5	3
PE011032	1	33	1	300	80
PE011033	1	33	2	6000	2
PE011033	2	33	2	120	2
PE011033	3	33	3	300	2
PE011034	1	18	1	10	7
PE011036	1	37	1	3000	1
PE011039	1	18	1	30	1
PE011039	2	19	1	10	1
PE011039	3	18	1	15	1
PE011041	1	33	2	4	80
PE011042	1	18	1	30	1
PE011042	2	18	1	30	1
PE011042	3	20	1	25	1
PE011043	1	33	2	15	1
PE011043	2	33	1	12	1
PE011043	3	33	1	8	1
PE011043	4	33	1	25	1
PE011043	5	33	1	7	1
PE011043	6	33	5	.1	1
PE011044	1	33	5	10	1
PE011044	2	40	2	10	1
PE011044	3	33	1	150	1
PE011045	1	33	3	1	1
PE011045	2	39	1	5	1
PE011045	3	36	1	100	1
PE011045	4	33	1	30	1
PE011047	1	35	6	500	80
PE011048	1	33	1	1600	7
PE011048	2	33	2	80000	7
PE011048	3	33	1	9600	7
PE011049	1	37	1	2000	80
PE011050	1	18	1	10	1
PE011050	2	19	1	7	1
PE011050	3	34	0	 	 
PE011051	1	18	2	45	1
PE011051	2	19	2	10	1
PE011051	3	18	2	30	1
PE011051	4	8	1	120	1
PE011053	1	33	16	5	16
PE011054	1	26	1	500	1
PE011054	2	33	1	700	1
PE011054	3	34	1	5000	1
PE011055	1	3	1	50	1
PE011055	2	33	1	200	1
PE011055	3	33	20	5	1
PE011055	4	33	1	200	1
PE011056	1	35	0	 	 
PE011056	2	33	2	500	1
PE011057	1	33	1	5	1
PE011057	2	33	1	18	1
PE011057	3	33	1	200	1
PE011057	4	33	1	15	1
PE011057	5	33	1	20	1
PE011057	6	33	1	10	1
PE011061	1	33	7	40	16
PE011061	2	36	1	400	16
PE011062	1	22	3	330	3
PE011062	2	29	1	250	3
PE011064	1	33	2	90	2
PE011065	1	33	1	30	1
PE011066	1	37	2	1300	80
PE011067	1	37	1	3500	80
PE011071	1	33	4	20	4
PE011071	2	33	4	10	3
PE011073	1	33	20	7	1
PE011073	2	33	20	10	1
PE011073	3	33	1	8	1
PE011073	4	33	6	5	1
PE011076	1	19	1	10	1
PE011076	2	18	1	10	1
PE011080	1	37	1	2000	80
PE011080	2	34	1	5000	80
PE011082	1	33	2	3	2
PE011082	2	33	1	20	2
PE011083	1	36	1	150	6
PE011083	2	33	1	50	6
PE011083	3	33	1	80	6
PE011084	1	37	0	 	 
PE011084	2	34	0	 	 
PE011085	1	21	8	50	1
PE011086	1	39	1	100	21
PE011087	1	36	2	300	2
PE011088	1	37	2	2000	80
PE011088	2	18	3	10	80
PE011088	3	20	1	15	80
PE011088	4	33	4	2	80
PE011089	1	37	1	2000	80
PE011090	1	33	1	90	3
PE011090	2	33	1	100	3
PE011090	3	39	1	80	3
PE011091	1	33	1	150	1
PE011091	2	33	1	5	1
PE011091	3	33	2	20	3
PE011091	4	33	1	100	3
PE011091	5	33	2	15	3
PE011091	6	33	10	10	3
PE011094	1	33	1	50	1
PE011094	2	33	1	40	1
PE011095	1	39	2	35	1
PE011095	2	34	1	2000	1
PE011097	1	18	3	15	2
PE011097	2	19	3	15	2
PE011097	3	20	2	60	2
PE011097	4	33	0	 	 
PE011100	1	37	1	2000	8
PE021001	1	20	2	20	1
PE021001	2	19	1	8	1
PE021001	3	21	2	180	1
PE021002	1	20	1	30	1
PE021002	2	19	1	10	1
PE021002	3	18	1	30	1
PE021003	1	18	1	20	1
PE021003	2	19	1	10	1
PE021003	3	19	1	3	1
PE021003	4	33	8	1	2
PE021003	5	33	20	.5	2
PE021004	1	18	1	40	1
PE021004	2	19	3	10	1
PE021004	3	21	2	5	1
PE021004	4	36	1	500	2
PE021005	1	19	1	10	1
PE021005	2	18	0	25	1
PE021005	3	21	1	8	1
PE021006	1	19	1	5	1
PE021006	2	21	1	3	1
PE021006	3	21	1	10	1
PE021006	4	18	1	40	1
PE021006	5	36	1	300	2
PE021007	1	18	3	5	1
PE021007	2	19	4	5	1
PE021007	3	21	1	3	1
PE021010	1	5	1	50	80
PE021010	2	19	3	5	80
PE021011	1	18	1	30	1
PE021011	2	19	1	15	1
PE021012	1	18	1	50	1
PE021012	2	19	1	25	1
PE021012	3	20	1	30	1
PE021013	1	21	0	 	 
PE021013	2	39	1	20	2
PE021014	1	19	2	9	1
PE021014	2	18	3	10	1
PE021014	3	20	1	12	1
PE021015	1	19	0	 	 
PE021015	2	18	1	15	1
PE021015	3	19	1	10	1
PE021016	1	33	2	30	2
PE021016	2	19	2	10	1
PE021017	1	18	1	40	1
PE021017	2	19	1	15	1
PE021018	1	19	2	8	1
PE021018	2	18	1	40	1
PE021018	3	21	2	20	1
PE021019	1	18	1	20	1
PE021019	2	19	1	10	1
PE021019	3	18	1	15	1
PE021020	1	19	1	20	4
PE021020	2	18	1	50	4
PE021021	1	18	2	50	80
PE021021	2	19	4	50	80
PE021022	1	18	1	20	1
PE021022	2	19	1	14	1
PE021023	1	18	1	10	1
PE021023	2	19	1	5	1
PE021024	1	19	5	12.5	1
PE021024	2	18	4	20	1
PE021024	3	21	1	80	1
PE021024	4	20	2	10	1
PE021025	1	18	1	20	80
PE021025	2	20	1	25	80
PE021025	3	19	2	10	80
PE021025	4	1	1	300	80
PE021026	1	18	1	20	1
PE021026	2	19	1	10	1
PE021026	3	20	0	 	 
