childid	foodid	foodcode	foodnum	foodamt	foodcost
PE011001	1	10	310	1	1
PE011004	1	10	140	1	1
PE011004	2	1	8	2	2.20000004768372
PE011004	3	8	8	2	3
PE011005	1	10	210	1	.100000001490116
PE011006	1	1	6	3	2.40000009536743
PE011008	1	2	12	2	1
PE011010	1	1	10	2	2.20000004768372
PE011010	2	3	10	2	1.5
PE011010	3	10	180	1	3
PE011011	1	10	260	1	1
PE011013	1	10	72	3	1
PE011013	2	10	160	1	1
PE011013	3	10	162	3	1
PE011014	1	10	198	1	2
PE011014	2	9	198	1	1
PE011014	3	8	6	10	1.10000002384186
PE011014	4	5	6	1	4
PE011014	5	11	6	1	2
PE011014	6	7	6	6	2.5
PE011014	7	1	6	3	1.5
PE011017	1	10	190	2	1
PE011017	2	10	190	1	1.5
PE011018	1	10	20	5	1.5
PE011018	2	1	16	4	2.09999990463257
PE011019	1	1	312	2	1
PE011020	1	10	240	1	.5
PE011020	2	1	2	1	2
PE011020	3	2	2	2	1.70000004768372
PE011021	1	10	240	1	.5
PE011022	1	10	192	2	1
PE011022	2	10	192	1	2
PE011023	1	1	72	2	.5
PE011024	1	10	200	2	.5
PE011024	2	9	200	2	.200000002980232
PE011025	1	10	200	4	.5
PE011026	1	10	360	3	1
PE011026	2	1	4	3	2
PE011026	3	8	4	3	2
PE011027	1	10	198	1	2
PE011029	1	1	200	1	1
PE011029	2	9	200	1	.5
PE011030	1	10	198	1	1
PE011030	2	1	198	1	1
PE011030	3	9	198	1	1
PE011030	4	10	198	1	2
PE011031	1	10	50	2	.5
PE011031	2	1	3	2	2.20000004768372
PE011033	1	1	2	4	2.20000004768372
PE011033	2	3	12	8	2
PE011034	1	10	180	1	1
PE011034	2	10	240	1	.5
PE011035	1	10	210	1	.5
PE011036	1	10	198	1	1
PE011036	2	10	198	1	2
PE011038	1	1	2	2	2
PE011038	2	10	180	1	2
PE011039	1	10	210	2	1
PE011040	1	1	24	1	2.20000004768372
PE011040	2	3	24	1	2.5
PE011041	1	1	13	1	2.20000004768372
