CHILDCODE	DNFDIDR4	DONTYPR5	DONRCVR5	DONAMTR5	DONMSRR5	DONPRCR5	PRCMSRR5
41055	3	10	50	1	5	3	5
41055	4	10	30	1	5	3	5
41055	5	10	30	1	5	3	5
41057	1	10	40	1	9	1.5	9
41057	2	10	40	1	9	1.5	9
41057	3	3	40	1	8	1	8
41057	4	9	40	1	7	.200000002980232	7
41057	5	10	40	1	8	1	8
41059	1	1	4	9	6	3	6
41059	2	10	4	5	2	7	2
41059	3	10	60	1	8	2	8
41059	4	10	60	1	8	1.5	8
41059	5	10	92	1	9	4	9
41059	6	10	60	1	9	4	9
41060	1	1	4	9	6	2.5	6
41060	2	3	4	5	2	5	2
41060	3	10	96	1	8	1	8
41060	4	10	96	1	7	.5	7
41060	5	10	192	2	9	3.5	9
41060	6	10	192	2	9	4	9
41061	1	10	400	1	8	1	8
41061	2	10	40	1	8	1	8
41061	3	10	40	1	8	1	8
41061	4	10	40	1	8	1	8
41061	5	10	40	1	8	1	8
41061	6	10	80	1	9	3	9
41061	7	10	40	1	9	3	9
41061	8	10	80	1	9	3	9
41061	9	10	40	1	9	3	9
41064	1	10	200	1	8	1	8
41064	2	10	100	1	5	2.5	5
41064	3	10	100	1	5	2.5	5
41064	4	9	200	1	7	.5	7
41066	1	10	200	1	8	1	8
41066	2	9	125	1	7	.5	7
41066	3	10	200	1	9	3.5	9
41068	1	1	100	1	8	1	1
41068	2	3	100	1	8	.5	7
41068	3	9	100	1	7	.25	7
41070	1	10	200	1	8	1	5
41070	2	10	100	1	5	2	5
41070	3	10	100	1	5	2	5
41070	4	9	200	1	7	.5	7
41071	1	10	100	1	5	2	5
41071	2	10	200	1	8	1	8
41071	3	9	200	1	7	.5	7
41071	4	10	100	1	5	2	5
41074	1	10	120	1	5	1	5
41074	2	10	200	1	8	1	8
41074	3	10	40	1	5	1	5
41074	4	9	200	1	7	.5	7
41076	1	10	200	2	5	1	5
41076	2	10	200	2	5	3	5
41078	1	1	1	9	6	2.5	6
41079	1	1	200	2	7	3	8
41079	2	9	200	2	7	.200000002980232	7
41079	3	7	200	2	6	5	6
41079	4	10	200	2	5	4	5
41079	5	10	200	2	5	4	5
41082	1	10	54	1	8	1	8
41082	2	9	54	1	7	.300000011920929	7
41082	3	10	86	1	5	3	5
41083	1	10	40	1	7	.5	7
41083	2	1	200	1	6	1	6
41083	3	9	200	1	7	.5	7
41084	1	1	1	9	6	3.5	6
41084	2	3	1	5	2	4	2
41085	1	10	200	2	9	3	9
41085	2	10	80	2	9	4	9
41085	3	10	60	2	9	4	9
41089	1	10	200	1	8	1	8
41089	2	9	200	1	7	.5	7
41089	3	10	120	1	5	1	5
41089	4	10	40	1	5	1	5
41089	5	10	40	1	5	1	5
41090	1	10	240	1	5	2	5
41091	1	15	1	10	7	.5	7
41092	1	10	200	1	8	1	8
41092	2	10	80	1	5	1	5
41092	3	10	40	1	5	1	5
41092	4	9	200	1	7	1	7
41093	1	10	40	3	9	4	9
41093	2	10	40	3	8	1	8
41093	3	9	40	3	7	.5	7
41093	4	10	40	3	8	1	8
41096	1	10	200	2	5	4	5
41097	1	10	400	1	8	1	8
41097	2	10	200	1	5	2.5	5
41097	3	10	200	1	5	1	5
41097	4	9	400	1	7	.5	7
41098	1	10	200	1	8	1	8
41098	2	10	100	1	5	2	5
41098	3	10	100	1	5	2	5
41098	4	9	200	1	7	.5	7
41099	1	1	2	9	6	3	6
41099	2	3	2	4	2	3	2
41099	3	10	40	2	8	2	8
41099	4	10	40	2	8	2	8
41099	5	10	40	2	8	1	8
41099	6	10	80	2	9	5	9
41099	7	10	80	2	9	5	9
41100	1	3	40	1	8	1	8
41100	2	9	40	1	7	.5	7
41100	3	10	40	1	9	1.5	9
51001	1	1	40	1	6	1.5	6
51001	2	9	40	1	7	.5	7
51001	3	9	40	1	7	.100000001490116	7
51001	4	2	40	1	5	.200000002980232	5
51002	1	10	80	1	8	1	8
51002	2	10	40	1	5	1	5
51002	3	9	80	1	10	.5	10
51002	4	10	40	1	5	2	5
51004	1	10	80	1	5	1	5
51004	2	10	40	1	5	1	5
51004	3	10	40	1	5	1	5
51004	4	1	40	1	8	1	8
51004	5	9	80	1	10	.5	10
51005	1	9	200	1	7	.5	7
51005	2	10	200	1	8	1	8
51007	1	10	80	2	9	4	9
51007	2	10	80	2	9	5	9
51007	3	10	80	2	8	1	9
51007	4	9	80	2	7	.5	7
51008	1	10	200	1	9	3	9
51008	2	10	40	1	8	1	8
51008	3	10	40	1	9	3	9
51009	1	1	180	1	6	2	6
51009	2	9	108	1	7	1	7
51009	3	10	72	1	7	1	7
51010	1	10	200	1	9	2	9
51011	1	1	12	12	1	1.5	1
51011	2	3	12	4	2	2.5	2
51011	3	10	200	4	8	1	8
51011	4	9	200	4	7	.5	7
51011	5	10	50	4	9	4	9
51011	6	10	50	4	9	4	9
51011	7	10	50	4	9	4	9
51012	1	1	40	1	1	3	1
51012	2	3	12	1	2	2	2
51014	1	10	80	2	8	1	8
51014	2	9	80	2	7	.5	7
51014	3	10	120	2	9	2	9
51015	1	15	12	20	7	.100000001490116	7
51015	2	15	12	4	2	1.5	2
51015	3	15	12	7	2	2	2
51015	4	6	12	4	2	4	2
51017	1	1	200	1	6	1.5	6
51017	2	9	200	1	7	.5	7
51017	3	10	40	1	7	.5	7
51017	4	10	40	1	7	.5	7
51021	1	10	80	2	5	4	4
51021	2	1	120	2	8	1	8
51021	3	9	120	2	7	50	7
51022	1	10	80	1	8	1	8
51022	2	9	80	1	7	.300000011920929	7
51022	3	10	80	1	9	2	9
51023	1	1	200	1	6	2	6
51023	2	10	200	1	7	.5	7
51024	1	1	4	4	6	3.5	7
51024	2	3	4	2	2	5	7
51026	1	3	40	1	8	1	8
51026	2	9	40	1	7	.5	7
51026	3	10	40	1	9	2	9
51026	4	10	40	1	9	2	9
51027	1	10	96	1	5	2	5
51028	1	3	12	1	2	3	2
51028	2	1	12	3	6	3	6
51029	1	10	40	2	9	2	9
51029	2	10	40	2	9	2	9
51029	3	10	40	2	9	3	9
51029	4	10	80	2	8	1	8
51029	5	9	80	2	7	.300000011920929	7
51030	1	1	1	3	6	3.29999995231628	6
51030	2	3	1	1	2	8	2
51033	1	10	200	1	8	1	8
51033	2	10	200	1	9	3	9
51033	3	10	50	1	9	3	9
51033	4	10	50	1	9	3	9
51033	5	9	200	1	7	1	7
51034	1	1	12	3	6	3.5	6
51034	2	3	12	1	2	6	2
51034	3	10	50	2	9	2	9
51034	4	10	50	2	8	1	8
51034	5	10	50	2	9	2	9
51034	6	10	50	2	8	1	8
51034	7	10	50	2	9	2	9
51034	8	10	200	2	7	.5	7
51035	1	10	80	2	8	2	8
51035	2	10	80	2	9	2	9
51035	3	10	40	2	8	1	8
51035	4	10	80	2	8	2	8
51035	5	10	80	2	9	5	9
51035	6	9	80	2	7	.5	7
51041	1	10	120	2	5	5	5
51041	2	10	80	2	6	1.5	8
51041	3	9	80	2	7	.5	7
51041	4	1	20	1	1	1	1
51042	1	10	200	1	8	1	8
51042	2	10	100	1	5	2.5	5
51042	3	10	100	1	5	2.5	5
51042	4	10	100	1	8	1	8
51042	5	9	100	1	7	.5	7
51044	1	8	1	1	4	2	4
51046	1	1	6	12	6	3.5	6
51048	1	10	200	2	8	1	8
51048	2	10	200	2	9	3	9
51048	3	10	200	2	9	3	9
51048	4	9	200	2	7	.5	7
51049	1	3	80	2	8	.5	8
51049	2	10	80	2	9	1	9
51049	3	10	80	2	9	1	9
51049	4	9	80	2	7	.5	7
51049	5	10	80	2	8	.5	8
51052	1	10	1	40	9	4	9
51052	2	10	40	1	5	2.5	5
51052	3	3	40	1	8	.5	8
51052	4	9	40	1	7	.300000011920929	7
51056	1	10	200	1	5	5	5
51058	1	10	400	1	8	1	8
51058	2	10	200	1	5	1.5	5
51058	3	10	200	1	5	1.5	5
51058	4	9	400	1	7	.5	7
51060	1	10	144	1	5	2	5
51060	2	1	96	1	8	1.5	8
51060	3	9	96	1	10	.5	10
51061	1	10	50	1	9	4	9
51061	2	10	50	1	8	2	8
51061	3	9	50	1	7	.699999988079071	7
51061	4	10	50	1	9	4	9
51061	5	10	50	1	8	2	8
51061	6	9	200	1	7	.5	7
51061	7	10	50	1	9	4	8
51062	1	10	120	1	8	.5	8
51062	2	9	120	1	7	.300000011920929	7
51062	3	10	80	1	5	1	5
51062	4	1	3	12	6	3	7
51062	5	3	1	12	2	4	2
51064	1	1	240	1	8	1	8
51064	2	9	240	1	7	.5	7
51064	3	10	80	1	5	1.5	5
51064	4	10	40	1	5	1.5	5
51064	5	10	80	1	5	1.5	5
51065	1	10	240	1	5	3	5
51065	2	1	240	1	8	1	8
51065	3	8	240	1	8	3	8
51065	4	9	240	1	7	.5	7
51065	5	1	84	7	6	1.5	6
51065	6	3	84	1	2	4	2
51069	1	1	200	1	6	1.5	6
51069	2	10	200	1	5	.5	5
51069	3	10	200	1	5	.5	5
51069	4	9	40	1	7	.5	7
51071	1	10	80	1	7	.400000005960464	7
51071	2	1	400	1	7	1	7
51071	3	9	160	1	7	.600000023841858	7
51072	1	10	120	2	5	2	5
51072	2	1	80	2	8	.5	8
51072	3	9	80	2	7	.5	7
51074	1	10	120	1	8	1	8
51074	2	10	60	1	8	1	8
51074	3	10	100	1	8	1	8
51074	4	10	100	1	5	3	5
51074	5	10	60	1	5	3	5
51077	1	10	200	1	9	4	9
51077	2	10	200	1	8	1	8
51077	3	10	200	1	9	4	9
51077	4	10	200	1	7	.5	7
51080	1	1	12	3	6	3	6
51080	2	10	32	1	9	4	9
51080	3	10	8	32	9	4	9
51080	4	10	32	1	9	1.5	9
51080	5	10	32	1	9	1.5	9
51080	6	9	32	1	7	.5	7
51080	7	10	12	1	2	6	2
51081	1	10	200	1	9	3	9
51081	2	10	200	1	8	1	8
51081	3	10	200	1	9	3	9
51081	4	9	200	1	7	.5	7
51081	5	10	200	1	8	1	8
51082	1	10	40	1	8	.5	8
51082	2	10	40	1	8	.5	8
51082	3	10	40	1	9	3	9
51082	4	10	40	1	9	3	9
51082	5	10	40	1	8	1	8
51082	6	9	40	1	7	.300000011920929	7
51082	7	3	12	2	2	3	2
51082	8	1	72	6	6	3	6
51084	1	1	120	1	8	1	8
51084	2	9	120	1	7	.300000011920929	7
51086	1	9	200	1	7	.5	7
51086	2	10	200	1	8	1	8
51086	3	10	200	1	5	3	5
51088	1	10	80	1	8	1	8
51088	2	10	80	1	7	2	7
51088	3	10	120	1	5	3	5
51089	1	10	400	1	8	1	8
51089	2	10	200	1	5	2	5
51089	3	10	200	1	5	2	5
51089	4	9	400	1	7	.5	7
51089	5	10	200	1	8	1	8
51090	1	10	80	1	5	4	5
51090	2	10	120	1	8	3	8
51090	3	9	120	1	7	.5	7
51090	4	1	12	3	7	2.5	7
51090	5	3	12	1	2	4	2
51091	1	10	96	1	5	3	5
51091	2	1	96	1	6	2	8
51091	3	9	96	1	7	.5	7
51092	1	1	140	1	6	1	6
51092	2	9	140	1	7	1	7
51100	1	1	24	2	6	2	6
51100	2	3	12	1	2	2	2
51100	3	10	40	1	5	1	5
51100	4	10	40	1	5	2	5
51100	5	10	40	1	5	1.5	5
51100	6	10	80	1	5	1	5
51101	1	10	80	2	8	1	8
51101	2	10	80	2	7	2	7
51101	3	10	120	2	5	3	5
51102	1	1	200	2	8	1	8
51102	2	9	200	2	5	.5	5
51102	3	10	200	2	9	3	9
51102	4	3	12	1	2	4	2
51102	5	1	12	4	6	1.70000004768372	6
51103	1	10	108	1	8	1	8
51103	2	9	108	1	7	.5	7
51103	3	10	72	1	5	2	5
51103	4	1	10	3	6	3.5	6
51103	5	3	10	1	2	3	2
51103	6	1	2	4	1	1	1
51105	1	10	40	1	7	.600000023841858	7
51105	2	10	40	1	7	.5	7
51105	3	1	200	1	6	1.5	6
61001	1	10	80	1	6	2	8
61001	2	10	40	1	5	4	5
61001	3	10	40	1	9	4	9
61001	4	9	80	1	7	.5	7
61002	1	1	200	2	6	1.5	7
61002	2	9	120	2	7	.5	8
61002	3	10	40	2	7	1	7
61003	1	10	120	1	8	.5	8
61003	2	9	120	1	7	.5	7
61003	3	10	80	1	5	1	5
61005	1	1	2	2	8	2.5	8
61005	2	10	2	2	8	2	8
61005	3	10	40	2	9	5	9
61005	4	9	40	2	7	.5	7
61005	5	10	40	2	9	5	9
61006	1	10	200	1	9	5	9
61006	2	10	200	1	9	5	9
61006	3	10	200	1	8	1	8
61006	4	9	200	1	7	.5	7
61009	1	10	100	1	5	3	5
61009	2	10	200	1	8	1	8
61009	3	10	100	1	5	3	5
61009	4	9	200	1	7	.5	7
61010	1	10	80	1	8	1.5	8
61010	2	10	80	1	9	1.5	9
61010	3	10	40	1	5	1.5	9
61011	1	10	80	1	8	2	8
61011	2	9	80	2	7	.300000011920929	7
61011	3	10	40	1	9	3	9
61011	4	10	40	1	9	5	9
61011	5	10	40	1	9	5	9
61013	1	10	80	1	9	5	9
61013	2	11	80	1	9	5	9
61013	3	10	80	1	8	2	8
61013	4	9	80	1	7	.300000011920929	7
61021	1	10	200	1	8	1	8
61021	2	9	200	1	7	.5	7
61021	3	10	200	1	9	5	9
61021	4	10	200	1	9	5	9
61026	1	1	140	2	8	.5	8
61026	2	9	100	2	7	.600000023841858	7
61026	3	10	100	2	5	6	5
61026	4	10	100	2	5	3	5
61026	5	10	100	2	5	6	5
61028	1	10	72	3	5	1.5	5
61028	2	3	108	3	8	1	8
61028	3	1	108	3	8	1	8
61028	4	9	108	3	7	.5	7
61029	1	10	300	1	5	5	5
61029	2	10	300	1	5	6	5
61029	3	9	600	1	8	1	8
61029	4	9	600	1	7	.5	7
61032	1	10	200	3	8	.5	8
61032	2	10	200	3	9	4	9
61032	3	10	200	3	8	1	8
61032	4	10	200	3	7	.5	7
61032	5	10	200	3	9	3	9
61032	6	10	200	3	8	1	8
61032	7	10	200	3	9	3	9
61032	8	10	24	3	8	2	8
61033	1	10	20	3	1	10	1
61033	2	10	280	2	8	1	8
61033	3	9	280	2	7	.5	7
61033	4	10	280	2	5	2	5
61036	1	10	80	1	8	1.5	8
61036	2	9	80	1	7	.5	7
61036	3	10	120	1	5	3	5
61037	1	1	100	1	8	1	8
61037	2	10	70	1	5	1	5
61037	3	10	80	1	5	1	5
61038	1	10	200	1	8	1	8
61038	2	10	200	1	9	3.5	9
61038	3	10	200	1	9	3.5	9
61038	4	10	200	1	7	.5	7
61039	1	10	44	1	8	1	8
61039	2	1	180	1	8	1	8
61039	3	9	180	1	7	.5	7
61039	4	10	80	1	5	1	5
61039	5	10	44	1	5	1	5
61039	6	10	88	1	5	1	5
61041	1	10	200	1	5	3	5
61044	1	10	40	2	8	1.5	8
61044	2	10	40	2	9	3	9
61044	3	9	40	2	7	.5	7
61045	1	10	240	2	1	10	1
61048	1	10	72	1	8	1	8
61048	2	10	48	1	5	3	5
61048	3	9	72	1	7	.5	7
61050	1	10	40	1	5	1	5
61050	2	10	40	1	5	1	5
61050	3	10	40	1	5	1	5
61050	4	10	40	1	5	1	5
61051	1	10	80	3	8	2	8
61051	2	9	120	3	7	.300000011920929	7
61051	3	10	80	3	9	4	9
61051	4	10	80	3	9	5	9
61051	5	10	40	3	9	4	9
61051	6	10	365	3	3	2	3
61056	1	10	200	2	9	3	9
61056	2	10	200	2	8	1	8
61056	3	10	200	2	9	3	9
61056	4	9	200	2	7	.5	7
61061	1	10	1	200	8	1	8
61061	2	9	40	1	7	.5	7
61065	1	10	200	2	9	1	9
61065	2	9	200	2	7	.5	7
61066	1	10	100	1	5	1	5
61066	2	10	200	1	8	1	8
61066	3	10	100	1	5	1	5
61066	4	9	100	1	7	.5	7
61071	1	10	100	1	5	2	5
61071	2	10	100	1	5	2	5
61071	3	10	200	1	8	1	8
61071	4	9	200	1	7	.5	7
61075	1	10	200	1	8	1	8
61075	2	10	100	1	5	2	5
61075	3	9	200	1	7	.5	7
61075	4	10	100	1	5	2	5
61077	1	10	200	1	9	3	9
61077	2	10	200	1	9	3	9
61077	3	10	200	1	8	1	8
61077	4	9	200	1	7	.5	7
61078	1	10	40	1	9	4	9
61078	2	10	40	1	9	4	9
61078	3	10	80	1	8	1	8
61078	4	10	80	1	9	4	9
61081	1	10	108	1	5	2	5
61081	2	1	72	1	8	1.5	8
61081	3	9	72	1	7	1	7
61082	1	8	5	7	2	12.5	2
61082	2	5	5	2	1	10	1
61082	3	1	5	2	7	3	7
61084	1	1	60	1	8	1	8
61085	1	10	80	1	5	1	5
61085	2	10	80	1	8	1	8
61085	3	9	480	1	10	1	10
61085	4	10	80	1	5	1	5
61087	1	10	200	2	8	1	8
61087	2	10	50	2	9	3.5	9
61087	3	10	50	2	8	1	8
61087	4	10	50	2	9	3	9
61087	5	9	200	2	7	.5	7
61092	1	9	2	1	7	.5	7
61093	1	15	1	6	2	1.5	2
61095	1	10	2	80	9	2	9
61095	2	10	80	2	9	2	9
61095	3	1	80	2	8	1	8
61095	4	9	80	2	7	.200000002980232	7
61095	5	3	80	2	8	1	8
61097	1	10	120	2	8	2	8
61097	2	10	80	2	7	1	7
61097	3	10	80	2	9	5	9
61097	4	10	80	2	9	4	9
61101	1	10	64	1	8	2	8
61101	2	9	64	1	3	.5	3
61101	3	10	48	1	9	5	9
61101	4	10	48	1	9	5	9
71028	1	10	40	1	3	2	3
71028	2	10	40	1	5	3	5
71028	3	10	40	1	5	2	5
71028	4	10	40	1	5	3	5
71028	5	10	40	1	5	4	5
71030	1	1	10	1	7	1	7
71030	2	10	10	1	7	.200000002980232	7
71031	1	10	20	1	8	1.5	8
71031	2	10	20	1	9	3	9
71031	3	9	60	1	7	.800000011920929	7
71031	4	10	40	1	9	3	9
71031	5	10	20	1	8	2	8
71035	1	3	180	1	5	1	5
71035	2	10	180	1	5	5	5
71042	1	1	30	1	6	1	6
71042	2	9	30	1	7	1	7
71042	3	10	30	1	9	1	9
71042	4	10	13	1	9	1	9
71044	1	1	160	1	8	1	8
71044	2	9	200	1	7	.5	7
71044	3	10	200	1	5	4	5
71046	1	10	100	1	8	2	8
71046	2	10	100	1	9	3	9
71046	3	9	100	1	7	.800000011920929	7
71047	1	3	4	3	2	7.5	2
71049	1	10	180	1	5	2	5
71050	1	10	160	2	8	.5	8
71050	2	10	160	2	7	.5	7
71052	1	1	200	1	8	1.5	8
71052	2	9	120	1	7	.200000002980232	7
71052	3	10	120	1	5	1	5
71053	1	10	200	1	5	1	5
71061	1	3	9	1.64999997615814	10	6	2
71062	1	1	80	1	8	.800000011920929	8
71062	2	3	80	1	8	.800000011920929	8
71062	3	9	80	1	7	.600000023841858	7
71062	4	10	80	1	5	3	5
71062	6	1	40	1	8	.800000011920929	8
71062	7	1	40	1	8	.800000011920929	8
71066	1	10	192	1	7	4	7
71069	1	1	80	1	8	5	2
71077	1	10	90	1	5	1	5
71077	2	10	45	2	5	2	5
71077	3	10	45	1	5	2	5
71080	1	10	50	1	9	3	9
71080	2	9	25	1	7	.5	7
71080	3	3	25	1	8	1	8
71083	1	1	100	1	7	1	7
71083	2	10	1	50	5	3	5
71086	1	1	48	1	6	1.5	6
71086	2	9	170	1	7	.5	7
71086	3	10	48	1	5	1	5
71087	1	1	100	1	7	2	7
71087	2	9	100	1	7	.5	7
71087	3	10	40	1	5	3	5
71091	1	9	25	1	7	.5	7
71091	2	3	25	1	8	1	8
71091	3	10	25	1	9	3	9
71097	1	10	120	1	8	1.5	8
71097	2	10	80	1	8	1.5	8
71097	3	9	200	1	7	.600000023841858	7
71097	4	10	120	1	9	4	9
71097	5	10	80	1	9	4	9
71099	1	1	100	1	5	2	5
71099	2	9	100	1	7	.5	7
71099	3	10	40	1	5	2	5
71105	1	1	150	1	6	1	6
71105	2	10	75	1	5	1	5
81002	1	10	120	1	5	3	5
81002	2	9	100	1	7	.5	7
81002	3	1	100	1	6	1	6
81004	1	10	45	1	5	3	5
81004	2	3	120	1	5	1	5
81006	1	10	40	1	5	3	5
81006	2	10	40	1	5	3	5
81006	3	9	40	1	7	.5	7
81006	4	3	40	1	6	1	6
81008	1	3	180	1	8	1.5	8
81008	2	9	180	1	7	.5	7
81009	1	1	200	1	6	1.39999997615814	6
81009	2	10	160	1	7	.5	7
81009	6	15	40	1	7	.5	7
81010	1	10	160	1	6	1	8
81010	2	10	80	1	5	1.5	5
81010	3	10	80	1	5	1	5
81014	1	10	110	1	5	1	5
81014	2	10	110	1	5	3	5
81014	3	9	110	1	3	.5	3
81018	1	10	150	1	5	3	5
81018	2	3	60	1	6	1	5
81018	3	9	1	100	7	.5	7
81020	1	10	40	1	9	3	5
81020	2	10	40	1	9	3	9
81020	3	3	40	1	8	1	8
81020	4	9	40	1	7	.5	7
81021	1	9	160	1	7	.5	7
81021	2	1	100	1	6	1	6
81021	3	10	100	1	5	2	5
81022	1	10	120	1	8	1	8
81022	2	10	40	1	9	3	9
81022	3	10	40	1	9	3	9
81022	4	9	120	1	7	.300000011920929	7
81025	1	10	40	1	9	2	9
81025	2	10	40	1	8	1	8
81025	3	10	40	1	8	1	8
81025	4	10	40	1	9	1.5	9
81025	5	10	40	1	9	1.5	9
81025	6	9	80	1	7	.5	7
81029	1	10	40	1	5	4	5
81029	2	1	40	1	7	1.5	7
81029	3	10	40	1	8	1	8
81029	4	10	40	1	5	1	5
81029	5	10	40	1	5	3	5
81029	6	9	120	1	7	.5	7
81035	1	1	120	1	6	1	6
81035	2	9	120	1	7	1	7
81035	3	10	40	1	5	1	5
81038	1	10	90	1	5	1.5	5
81038	2	10	90	1	8	.5	8
81038	3	10	90	1	8	1	8
81038	4	10	90	1	9	1	9
81038	5	9	140	1	7	.5	7
81042	1	10	200	1	8	1	8
81042	2	9	200	1	7	.600000023841858	7
81042	3	10	120	1	9	4	9
81042	4	10	80	1	9	4	9
81042	5	10	40	1	9	3	9
81043	1	3	140	2	8	1.5	8
81043	2	9	140	2	7	.5	7
81046	1	10	80	1	8	1	8
81046	2	10	40	1	9	2	9
81046	3	10	40	1	8	1.5	8
81046	4	10	40	1	9	2.5	9
81046	5	9	120	1	7	.5	7
81047	1	10	120	1	8	1.5	8
81047	2	9	120	1	7	.600000023841858	7
81047	3	10	48	1	9	4	9
81047	4	10	48	1	9	4	9
81047	5	10	30	1	9	2	9
81050	1	10	108	1	9	3	9
81050	2	3	72	1	8	1	8
81052	1	3	40	3	8	1	8
81052	2	10	40	3	9	3	9
81052	3	10	40	3	9	3	9
81052	4	10	40	3	5	1	5
81052	5	10	40	3	8	1	8
81054	1	10	320	2	8	1.5	8
81054	2	9	320	2	7	.600000023841858	7
81054	3	10	144	2	9	4	9
81054	4	10	144	2	9	4	9
81054	5	10	64	2	9	2.5	9
81056	1	3	58	1	8	1	7
81056	2	9	58	1	7	.5	7
81056	3	10	45	1	5	1	5
81057	1	10	100	1	9	2.5	9
81057	2	10	80	1	9	2.5	9
81059	1	10	150	1	9	5	9
81059	2	15	100	5	2	1	2
81060	1	1	120	1	8	.5	8
81060	2	1	80	1	8	1	8
81060	3	10	120	1	5	3	5
81060	4	9	80	1	7	.5	7
81061	1	10	80	1	8	1	8
81061	2	10	40	1	5	2	5
81061	3	10	40	1	5	1	5
81062	1	3	200	2	8	1.5	8
81062	2	9	200	2	7	.800000011920929	7
81062	3	10	120	2	9	4	9
81062	4	10	80	2	9	4	9
81062	5	10	40	2	9	2	9
81063	1	3	180	1	8	.5	8
81063	2	9	180	1	7	.5	7
81069	1	10	110	1	5	1	5
81069	2	9	110	1	3	.5	5
81069	3	10	110	1	9	3	9
81073	1	10	200	2	7	1	7
81073	2	1	200	2	6	1.5	6
81074	1	10	140	1	8	1.5	8
81074	2	9	140	1	7	.600000023841858	7
81074	3	10	84	1	9	4	9
81074	4	10	56	1	9	4	9
81074	5	10	28	1	9	3	9
81088	1	1	80	1	7	.699999988079071	7
81088	2	9	160	1	7	.5	7
81088	3	10	40	1	8	.699999988079071	8
81088	4	10	40	1	9	1	9
81088	5	3	40	1	8	.699999988079071	8
81096	1	10	320	2	8	1.5	8
81096	2	9	320	2	7	.600000023841858	7
81096	3	10	192	2	9	4	9
81096	4	10	128	2	9	4	9
81096	5	10	64	2	9	2.5	9
81096	6	10	128	2	9	2	9
81098	1	10	200	4	8	1.5	8
81098	2	9	200	4	7	.600000023841858	7
81098	3	10	120	4	9	4	9
81098	4	10	80	4	9	4	9
81098	5	10	40	4	9	4	9
91001	1	10	180	1	8	1.5	8
91001	2	9	180	1	7	.300000011920929	7
91001	3	10	180	1	9	5	9
91004	1	1	12	4	6	12	6
91004	2	3	12	1	2	2.79999995231628	2
91004	3	10	32	1	9	3.5	9
91004	4	3	96	1	8	1	8
91004	5	9	40	1	7	.5	7
91004	6	10	32	1	9	4	9
91004	7	10	160	1	9	3	9
91006	1	3	80	2	8	2	8
91006	2	9	80	2	7	.5	7
91006	3	10	80	2	9	2	9
91007	1	9	160	2	3	.25	3
91007	2	10	54	2	8	1	8
91007	3	10	54	2	8	1	8
91007	4	10	54	2	8	1	8
91007	5	10	160	2	9	5	9
91010	1	3	120	1	8	1	8
91010	2	9	120	1	7	1.5	7
91010	3	10	120	1	9	2	9
91012	1	3	10	1	8	1	8
91012	2	10	10	1	7	1.5	7
91012	3	10	10	1	7	4	7
91023	1	10	180	1	8	1.5	8
91023	2	9	180	1	7	.300000011920929	7
91023	3	10	180	1	5	5	5
91024	1	8	80	1	8	.5	8
91024	2	8	80	1	8	.5	8
91024	3	10	40	1	8	.5	8
91024	4	9	200	1	7	.600000023841858	7
91024	5	10	40	1	9	5	9
91024	6	10	40	1	9	5	9
91024	7	10	40	1	9	5	9
91024	8	10	40	1	9	5	9
91024	9	10	40	1	9	5	9
91028	1	3	6	2	2	8	2
91028	2	1	6	8	6	28.7999992370605	6
91029	1	10	80	1	8	1	8
91029	2	9	80	1	7	.5	7
91029	3	10	25	1	9	5	9
91029	4	10	25	1	9	5	9
91029	5	10	25	1	9	5	9
91030	1	10	40	1	8	4	8
91030	2	10	40	1	9	5	9
91030	3	10	40	1	9	5	9
91030	4	10	40	1	9	5	9
91030	5	10	40	1	9	5	9
91030	6	10	40	1	9	5	9
91030	7	9	40	1	7	.5	7
91032	1	10	160	1	5	5	5
91033	1	10	120	2	8	2	8
91033	2	10	80	2	9	7	9
91033	3	10	40	2	9	7	9
91033	4	10	40	2	9	7	9
91033	5	1	90	4	6	12	6
91033	6	8	24	1	2	4	2
91034	1	3	10	3	8	3	8
91034	2	9	10	3	7	1.5	7
91037	1	3	84	1	5	1	5
91037	2	9	84	1	7	.5	7
91037	3	10	86	1	5	2	5
91038	1	9	180	1	7	.5	7
91038	2	10	180	1	9	3	9
91039	1	10	110	1	8	1	8
91039	2	9	110	1	7	.5	7
91039	4	10	110	1	9	2	9
91041	1	3	180	1	8	1.5	8
91041	2	9	180	1	7	.5	7
91041	3	10	180	1	9	4	9
91043	1	1	80	1	5	1	5
91043	2	9	80	1	7	.5	7
91043	3	10	120	1	5	2.5	5
91044	1	1	6	3	6	3	6
91044	2	3	6	1	2	4	2
91044	3	11	6	1	4	1.79999995231628	4
91044	4	7	6	1	6	3	6
91044	5	10	110	2	5	2	5
91046	1	1	120	1	8	1	8
91046	2	8	80	1	8	1	8
91046	3	9	120	1	7	.5	7
91046	4	10	40	1	9	2	9
91046	5	10	40	1	9	5	9
91048	1	1	180	1	5	1	5
91048	2	9	90	1	7	.5	7
91048	3	10	90	1	9	2	9
91049	1	3	10	1	8	1.5	7
91049	2	9	10	1	7	.5	7
91049	3	10	10	1	9	4	9
91049	4	10	10	1	9	4	9
91050	1	10	40	1	9	4	9
91050	2	10	40	1	8	1	8
91050	3	10	40	1	9	4	9
91050	4	10	40	1	8	1	8
91050	5	10	40	1	9	4	9
91050	6	10	40	1	8	1	8
91050	7	10	20	1	9	4	9
