CHILDCODE	SRMNIDR5	SRCRECR5	RCVLSTR5	OFTRCVR5	RCVAMTR5
11082	2	0	 	 	 
11082	3	0	 	 	 
11083	1	0	 	 	 
11083	2	0	 	 	 
11083	3	0	 	 	 
11084	1	0	 	 	 
11084	2	0	 	 	 
11084	3	0	 	 	 
11085	1	0	 	 	 
11085	2	0	 	 	 
11085	3	0	 	 	 
11086	1	0	 	 	 
11086	2	0	 	 	 
11086	3	0	 	 	 
11087	1	0	 	 	 
11087	2	0	 	 	 
11087	3	0	 	 	 
11088	1	0	 	 	 
11088	2	0	 	 	 
11088	3	0	 	 	 
11089	1	0	 	 	 
11089	2	0	 	 	 
11089	3	0	 	 	 
11090	1	0	 	 	 
11090	2	0	 	 	 
11090	3	0	 	 	 
11091	1	0	 	 	 
11091	2	0	 	 	 
11091	3	0	 	 	 
11092	1	0	 	 	 
11092	2	0	 	 	 
11092	3	0	 	 	 
11093	1	0	 	 	 
11093	2	0	 	 	 
11093	3	0	 	 	 
11094	1	0	 	 	 
11094	2	0	 	 	 
11094	3	0	 	 	 
11095	1	0	 	 	 
11095	2	0	 	 	 
11095	3	0	 	 	 
11096	1	0	 	 	 
11096	2	0	 	 	 
11096	3	0	 	 	 
11097	1	0	 	 	 
11097	2	0	 	 	 
11097	3	0	 	 	 
11098	1	0	 	 	 
11098	2	0	 	 	 
11098	3	0	 	 	 
11099	1	0	 	 	 
11099	2	0	 	 	 
11099	3	0	 	 	 
11100	1	0	 	 	 
11100	2	0	 	 	 
11100	3	0	 	 	 
21001	1	0	 	 	 
21001	2	0	 	 	 
21001	3	0	 	 	 
21002	1	0	 	 	 
21002	2	0	 	 	 
21002	3	0	 	 	 
21003	1	0	 	 	 
21003	2	0	 	 	 
21003	3	0	 	 	 
21004	1	0	 	 	 
21004	2	0	 	 	 
21004	3	0	 	 	 
21005	1	0	 	 	 
21005	2	0	 	 	 
21005	3	0	 	 	 
21006	1	0	 	 	 
21006	2	0	 	 	 
21006	3	0	 	 	 
21007	1	0	 	 	 
21007	2	0	 	 	 
21007	3	0	 	 	 
21008	1	0	 	 	 
21008	2	0	 	 	 
21008	3	0	 	 	 
21009	1	0	 	 	 
21009	2	0	 	 	 
21009	3	0	 	 	 
21010	1	0	 	 	 
21010	2	0	 	 	 
21010	3	0	 	 	 
21011	1	0	 	 	 
21011	2	0	 	 	 
21011	3	0	 	 	 
21012	1	0	 	 	 
21012	2	0	 	 	 
21012	3	0	 	 	 
21013	1	0	 	 	 
21013	2	0	 	 	 
21013	3	0	 	 	 
21014	1	0	 	 	 
21014	2	0	 	 	 
21014	3	0	 	 	 
21015	1	0	 	 	 
21015	2	0	 	 	 
21015	3	0	 	 	 
21016	1	0	 	 	 
21016	2	0	 	 	 
21016	3	0	 	 	 
21017	1	0	 	 	 
21017	2	0	 	 	 
21017	3	0	 	 	 
21018	1	0	 	 	 
21018	2	0	 	 	 
21018	3	0	 	 	 
21019	1	0	 	 	 
21019	2	0	 	 	 
21019	3	0	 	 	 
21020	1	0	 	 	 
21020	2	0	 	 	 
21020	3	0	 	 	 
21021	1	0	 	 	 
21021	2	0	 	 	 
21021	3	0	 	 	 
21022	1	0	 	 	 
21022	2	0	 	 	 
21022	3	0	 	 	 
21023	1	0	 	 	 
21023	2	0	 	 	 
21023	3	0	 	 	 
21024	1	0	 	 	 
21024	2	0	 	 	 
21024	3	0	 	 	 
21025	1	0	 	 	 
21025	2	0	 	 	 
21025	3	0	 	 	 
21026	1	0	 	 	 
21026	2	0	 	 	 
21026	3	0	 	 	 
21027	1	0	 	 	 
21027	2	0	 	 	 
21027	3	0	 	 	 
21028	1	0	 	 	 
21028	2	0	 	 	 
21028	3	0	 	 	 
21029	1	0	 	 	 
21029	2	0	 	 	 
21029	3	0	 	 	 
21030	1	0	 	 	 
21030	2	0	 	 	 
21030	3	0	 	 	 
21031	1	0	 	 	 
21031	2	0	 	 	 
21031	3	0	 	 	 
21032	1	0	 	 	 
21032	2	0	 	 	 
21032	3	0	 	 	 
21033	1	0	 	 	 
21033	2	0	 	 	 
21033	3	0	 	 	 
21034	1	0	 	 	 
21034	2	0	 	 	 
21034	3	0	 	 	 
21035	1	0	 	 	 
21035	2	0	 	 	 
21035	3	0	 	 	 
21036	1	0	 	 	 
21036	2	0	 	 	 
21036	3	0	 	 	 
21037	1	0	 	 	 
21037	2	0	 	 	 
21037	3	0	 	 	 
21038	1	0	 	 	 
21038	2	0	 	 	 
21038	3	0	 	 	 
21039	1	0	 	 	 
21039	2	0	 	 	 
21039	3	0	 	 	 
21040	1	0	 	 	 
21040	2	0	 	 	 
21040	3	0	 	 	 
21041	1	0	 	 	 
21041	2	0	 	 	 
21041	3	0	 	 	 
21042	1	0	 	 	 
21042	2	0	 	 	 
21042	3	0	 	 	 
21043	1	0	 	 	 
21043	2	0	 	 	 
21043	3	0	 	 	 
21044	1	0	 	 	 
21044	2	0	 	 	 
21044	3	0	 	 	 
21045	1	0	 	 	 
21045	2	0	 	 	 
21045	3	1	350	12	4200
21046	1	0	 	 	 
21046	2	1	250	6	1500
21046	3	0	 	 	 
21047	1	0	 	 	 
21047	2	0	 	 	 
21047	3	0	 	 	 
21048	1	0	 	 	 
21048	2	0	 	 	 
21048	3	0	 	 	 
21049	1	0	 	 	 
21049	2	0	 	 	 
21049	3	0	 	 	 
21050	1	0	 	 	 
21050	2	0	 	 	 
21050	3	0	 	 	 
21051	1	0	 	 	 
21051	2	0	 	 	 
21051	3	0	 	 	 
21052	1	0	 	 	 
21052	2	0	 	 	 
21052	3	0	 	 	 
21053	1	0	 	 	 
21053	2	1	250	12	3000
21053	3	0	 	 	 
21054	1	0	 	 	 
21054	2	0	 	 	 
21054	3	1	1000	12	12000
21055	1	0	 	 	 
21055	2	0	 	 	 
21055	3	0	 	 	 
21056	1	0	 	 	 
21056	2	0	 	 	 
21056	3	0	 	 	 
21057	1	0	 	 	 
21057	2	0	 	 	 
21057	3	0	 	 	 
21058	1	0	 	 	 
21058	2	0	 	 	 
21058	3	0	 	 	 
21059	1	0	 	 	 
21059	2	0	 	 	 
21059	3	0	 	 	 
21060	1	0	 	 	 
21060	2	0	 	 	 
21060	3	0	 	 	 
21061	1	0	 	 	 
21061	2	0	 	 	 
21061	3	0	 	 	 
21062	1	0	 	 	 
21062	2	0	 	 	 
21062	3	0	 	 	 
21063	1	0	 	 	 
21063	2	0	 	 	 
21063	3	0	 	 	 
21064	1	0	 	 	 
21064	2	0	 	 	 
21064	3	0	 	 	 
21065	1	0	 	 	 
21065	2	0	 	 	 
21065	3	0	 	 	 
21066	1	0	 	 	 
21066	2	0	 	 	 
21066	3	0	 	 	 
21067	1	0	 	 	 
21067	2	0	 	 	 
21067	3	0	 	 	 
21068	1	0	 	 	 
21068	2	0	 	 	 
21068	3	0	 	 	 
21069	1	0	 	 	 
21069	2	0	 	 	 
21069	3	0	 	 	 
21070	1	0	 	 	 
21070	2	0	 	 	 
21070	3	0	 	 	 
21071	1	0	 	 	 
21071	2	0	 	 	 
21071	3	0	 	 	 
21072	1	0	 	 	 
21072	2	0	 	 	 
21072	3	0	 	 	 
21073	1	0	 	 	 
21073	2	0	 	 	 
21073	3	0	 	 	 
