CHILDCODE	CROPIDR4	CROPR5	QNTHRVR5	OUTCRPR5
11015	1	4	50	2
11015	2	44	10	2
11015	3	51	25	2
11017	1	 	 	 
11027	1	69	350	2
11027	2	93	960	8
11027	3	108	24	2
11027	4	108	10000	2
11027	5	104	720	2
11027	6	108	400	2
11033	1	108	1.5	4
11048	1	 	 	 
11051	2	45	30	11
11051	3	51	2000	8
11051	4	108	4	11
11051	5	108	100	2
11065	1	 	 	 
11082	1	4	1200	11
21001	1	4	2160	2
21003	1	4	5760	2
21004	1	53	5000	2
21004	2	4	1800	2
21005	1	4	50	11
21006	1	4	12500	2
21007	1	4	-77	7
21013	1	4	2400	2
21014	1	88	 	 
21016	1	4	86400	2
21018	1	4	43200	2
21019	1	53	40	10
21022	1	4	4000	11
21022	2	53	200	10
21023	1	53	4750	2
21025	1	4	1200	2
21026	1	53	75	10
21028	1	4	1440	2
21029	1	53	1512	2
21033	1	53	10000	2
21035	1	4	4320	2
21038	1	53	11000	2
21038	2	45	500	2
21042	1	4	7200	2
21045	1	4	30	11
21049	1	4	14400	2
21050	1	53	8750	2
21052	1	4	5000	8
21053	1	4	3000	8
21055	1	4	9600	2
21060	1	53	10000	2
21060	2	4	6480	2
21065	1	4	40000	8
21073	1	53	600	10
21074	1	53	1000	2
21075	1	4	12000	8
21076	1	53	40	10
21077	1	53	35	10
21078	1	53	360	10
21082	1	4	84	11
21084	1	4	36000	8
21084	2	45	180	2
21084	3	93	20	2
21086	1	4	4800	2
21090	1	53	5000	2
21092	1	4	5670	2
21092	2	123	11	10
21094	1	53	700	2
21094	2	4	1296	2
21095	1	4	1000	2
21099	1	53	28000	2
31002	1	44	8	10
31002	2	75	12	10
31002	3	55	20	10
31002	4	89	8	10
31002	5	99	3	10
31003	1	44	3	10
31003	2	75	3	10
31004	1	99	2	5
31004	2	44	12	5
31004	3	75	14	5
31005	1	44	2	10
31005	2	75	10	5
31005	3	55	4	10
31005	4	99	2	5
31006	1	44	15	5
31006	2	75	15	5
31007	1	44	8	10
31007	2	99	1	5
31007	3	75	7	10
31009	1	99	1	10
31009	2	89	8	10
31009	3	44	15	10
31009	4	55	15	10
31009	5	75	22	10
31011	1	44	8	10
31011	2	75	5	10
31011	3	55	4	10
31012	1	44	4	10
31012	2	55	9	10
31012	3	99	3	10
31013	1	44	24	5
31013	2	75	300	2
31013	3	99	2	5
31013	4	55	1500	2
31013	5	89	300	2
31014	1	89	2	5
31014	2	44	6	5
31014	3	96	5	5
31014	4	55	10	10
31014	5	75	10	5
31015	1	17	60	10
31015	2	89	21	2
31015	3	132	1	10
31015	4	67	50	8
31015	5	3	12	2
31015	6	93	2	10
31015	7	4	6720	8
31016	1	44	5	5
31020	1	44	10	10
31020	2	89	18	10
31021	1	44	5	5
31021	2	99	4	5
31022	1	44	12	5
31022	2	75	6	5
31022	3	89	3	5
31025	1	44	50	2
31032	1	44	1	4
31032	2	55	2	4
31032	3	89	2	4
31033	1	44	10	5
31035	1	89	1	10
31035	2	44	1	9
31035	3	75	8	10
31036	1	44	4	5
31036	2	75	8	5
31039	1	99	3	5
31039	2	44	7	5
31039	3	89	1	5
31042	1	44	10	5
31044	1	44	2	10
31045	1	99	75	2
31045	2	44	270	2
31045	3	75	120	2
31046	1	75	15	5
31046	2	44	5	5
31047	1	99	75	2
31047	2	5	125	2
31047	3	101	5	2
31047	4	96	72	2
31047	5	75	120	2
31048	1	44	8	5
31048	2	75	10	5
31048	3	99	6	5
31048	4	55	2	10
31049	1	44	12	5
31049	2	75	22	5
31049	3	99	4	5
31049	4	55	8	10
31050	1	4	18000	11
31051	1	4	1800	8
31052	1	55	100	2
31052	2	44	120	2
31055	1	44	3	5
31055	2	89	2	5
31057	1	75	10	10
31057	2	44	5	10
31057	3	99	1	10
31057	4	89	1	10
31057	5	4	1000	8
31057	6	67	2	10
31057	7	26	20	2
31057	8	50	10	2
31057	9	10	20	7
31057	10	101	15	2
31057	11	17	30	2
31057	12	92	10	2
31057	13	55	3	10
31057	14	56	14	7
31057	15	108	3	3
31058	1	89	5	5
31058	2	44	4	5
31058	3	75	20	5
31059	1	44	150	2
31059	2	75	150	2
31059	3	89	150	2
31059	4	4	10	7
31059	5	67	20	6
31060	1	75	15	5
31060	2	44	5	5
31060	3	89	2	5
31061	1	102	60	8
31061	2	10	20	8
31061	3	44	1	10
31061	4	99	1	3
31061	5	55	1.5	10
31062	1	44	10	5
31062	2	55	15	10
31062	3	99	6	5
31063	1	75	10	5
31063	2	44	10	5
31063	3	89	6	5
31064	1	44	3	5
31064	2	75	4	5
31066	1	89	10	10
31066	2	44	10	10
31066	3	4	12000	8
31066	4	75	12	10
31066	5	17	24	2
31068	1	44	3	10
31068	2	99	2	10
31068	3	17	1	10
31068	4	67	100	8
31068	5	102	40	8
31068	6	51	1	10
31068	7	4	3840	8
31068	8	108	4	6
31069	1	99	2	10
31069	2	44	4	10
31069	3	75	3	10
31069	4	89	1	10
31069	5	4	15	7
31070	1	17	5	9
31070	2	44	3	10
31070	3	99	3	10
31070	4	4	200	7
31071	1	17	3	10
31071	2	99	10	10
31072	1	17	50	2
31072	2	99	12	2
31072	3	4	24	7
31073	1	44	1	10
31073	2	4	1800	8
31075	1	44	2	9
31075	2	67	2	11
31075	3	4	60	7
31075	4	99	1.5	9
31075	5	75	5	9
31076	1	4	100	7
31076	2	45	200	8
31076	3	51	200	8
31076	4	108	100	8
31077	1	99	50	2
31077	2	17	20	2
31077	3	89	4	10
31077	4	44	5	5
31077	5	4	4032	8
31078	1	83	8	11
31078	2	4	48	7
31079	1	17	3	9
31079	2	44	2	10
31079	3	4	20	7
31080	1	44	20	10
31081	1	4	2	4
31083	1	44	8	5
31083	2	75	12	10
31083	3	89	3	10
31084	1	4	300	2
31084	2	17	10	2
31084	3	44	3	10
31085	1	83	3	11
31085	2	44	4	10
31085	3	4	4	11
31086	1	44	20	10
31086	2	99	2	10
31086	3	75	4	10
31086	4	4	6	11
31086	5	67	360	1
31086	6	17	40	2
31087	1	75	15	5
31087	2	44	10	5
31087	3	99	1	5
31087	4	89	4	5
31087	5	17	48	2
31087	6	4	500	8
31088	1	44	5	5
31088	2	89	2	5
31088	3	17	3	9
31089	1	44	9	5
31089	2	99	20	2
31089	3	4	120	7
31089	4	67	300	6
31089	5	17	30	2
31089	6	75	5	10
31090	1	17	1	9
31090	2	4	1000	8
31091	1	17	25	2
31091	2	4	1000	8
31092	1	44	240	2
31092	2	75	436	2
31092	3	99	50	2
31093	1	44	5	5
31095	1	44	3	10
31095	2	99	1	10
31097	1	44	450	2
31097	2	75	750	2
31098	1	44	2	10
31098	2	99	1	10
31098	3	108	1	10
31098	4	67	4	10
31100	1	99	10	3
31100	2	44	20	3
41001	1	99	20	11
41001	2	44	21	3
41001	3	89	27	3
41002	1	44	10	10
41002	2	89	20	10
41002	3	66	2	10
41002	4	99	1	10
41002	5	10	2	10
41002	6	102	3	10
41002	7	56	4	10
41003	1	44	20	10
41003	2	89	40	10
41004	1	44	8	10
41004	2	89	6	10
41004	3	55	15	10
41004	4	99	4	10
41004	5	12	2	10
41005	1	55	1500	2
41005	2	44	200	2
41005	3	89	100	2
41005	4	99	250	2
41005	5	10	50	2
41005	6	12	100	2
41005	7	6	100	2
41006	1	44	7	10
41006	2	89	2	10
41008	1	44	10	10
41008	2	89	3	10
41008	3	99	20	10
41008	4	75	3	10
41008	5	5	3	10
41008	6	102	30	7
41011	1	44	16	10
41011	2	89	4	10
41011	3	108	12	6
41012	1	44	5	10
41012	2	89	2	3
41012	3	108	20	10
41012	4	99	3	10
41013	1	55	7500	2
41013	2	44	400	2
41013	3	89	20	2
41014	1	44	10	10
41014	2	89	5	10
41014	3	55	40	10
41018	1	55	10	10
41018	2	44	4	10
41018	3	89	1	10
41018	4	99	5	2
41020	1	55	35	10
41020	2	44	10	10
41020	3	99	1	10
41022	1	55	200	10
41022	2	44	15	10
41022	3	89	5	10
41023	1	44	20	10
41023	2	99	20	10
41023	3	101	20	10
41023	4	6	5	10
41023	5	5	10	10
41023	6	66	30	2
41023	7	50	2	2
41023	8	89	5	10
41023	9	86	6	10
41023	10	55	1000	10
41023	11	75	5	10
41023	12	12	40	10
41023	13	56	30	2
41023	14	108	60	2
41023	15	108	60	2
41024	1	55	3	10
41024	2	83	4	3
41025	1	55	60	10
41025	2	12	100	10
41027	1	88	 	 
41029	1	99	2	10
41029	2	17	26	10
41029	3	5	5	10
41029	4	44	20	10
41029	5	86	8	10
41029	6	55	80	10
41029	7	6	5	2
41029	8	12	5	2
41029	9	102	5	2
41029	10	101	2	10
41030	1	55	3360	2
41030	2	44	900	2
41030	3	89	400	2
41030	4	108	144	8
41030	5	12	200	2
41030	6	10	400	2
41031	1	44	19	10
41031	2	55	50	10
41031	3	108	2	2
41032	1	44	5	10
41032	2	55	40	10
41032	3	85	1	10
41032	4	56	8	2
41032	5	102	2000	7
41032	6	50	8	2
41032	7	10	1000	7
41032	8	66	30	2
41032	9	108	400	2
41032	10	51	6	10
41032	11	3	3	10
41032	12	108	1000	8
41032	13	132	4	10
41033	1	108	12	10
41033	2	3	600	8
41033	3	51	1800	8
41035	1	69	2	10
41035	2	44	2	10
41036	1	44	50	3
41036	2	89	14	3
41036	3	55	12	10
41036	4	75	4	10
41036	5	99	1	10
41037	1	87	480	2
41037	2	44	10	10
41038	1	44	6	10
41038	2	55	60	10
41038	3	10	30	10
41038	4	12	15	10
41038	5	6	3	10
41038	6	89	3	10
41039	1	44	5	10
41039	2	89	1	10
41040	1	99	1	10
41040	2	10	40	10
41040	3	101	1	10
41040	4	44	6	10
41040	5	55	40	10
41041	1	44	2000	2
41041	2	55	200	10
41041	3	75	10	10
41041	4	99	10	9
41041	5	12	15	10
41041	6	10	20	10
41041	7	89	8	10
41041	8	101	15	10
41042	1	44	25	10
41042	2	89	9	10
41042	3	87	8	10
41042	4	55	50	10
41043	1	99	1	10
41043	2	89	1	10
41043	3	44	3	10
41043	4	55	60	10
41043	5	89	2	3
41043	6	44	4	10
41044	1	44	15	10
41044	2	89	10	10
41044	3	99	100	2
41044	4	55	20	10
41044	5	86	2	10
41045	1	44	16	10
41046	1	44	400	2
41046	2	55	100	2
41046	3	89	100	2
41046	4	50	.5	2
41046	5	108	.5	2
41047	1	89	8	10
41047	2	44	15	10
41047	3	55	40	10
41047	4	12	60	10
41048	1	44	5	10
41048	2	89	3	10
41048	3	87	2	10
41048	4	102	20	7
41048	5	108	10	7
41048	6	12	6	2
41049	1	55	200	10
41049	2	44	15	10
41050	1	44	25	10
41050	2	89	6	10
41050	3	99	4	10
41050	4	10	10	10
41050	5	75	4	10
41050	6	55	5	10
41050	7	12	6	10
41052	1	44	20	10
41052	2	55	4	10
41053	1	17	1000	2
41053	2	4	50	7
41053	3	85	10	10
41053	4	89	10	10
41053	5	108	1	6
41054	1	44	1	10
41054	2	89	3	10
41055	1	44	6	10
41055	2	55	10	10
41056	1	44	20	10
41059	1	55	5500	2
41059	2	101	450	2
41059	3	44	250	2
41059	4	75	100	2
41060	1	44	240	2
41060	2	87	144	2
41060	3	55	700	2
41060	4	10	455	2
41060	5	99	100	2
41061	1	44	6	10
41061	2	89	2	10
41062	1	44	5	10
41063	1	55	560	10
41063	2	12	10	10
41063	3	101	5	10
41063	4	44	6	10
41063	5	10	30	10
41063	6	26	1	10
41063	7	26	2	2
41063	8	108	2	10
41063	9	82	1	3
41066	1	99	400	2
41066	2	101	450	2
41066	3	44	200	2
41066	4	55	2000	2
41066	5	50	12	2
41066	6	12	450	2
41067	1	17	10	10
41067	2	93	50	8
41067	3	4	6	7
41068	1	4	30	7
41068	2	17	80	2
41068	3	67	40	11
41068	4	85	150	2
41069	1	17	200	2
41069	2	89	2	10
41069	3	85	3	2
41069	4	44	3	10
41069	5	67	10	2
41069	6	4	20	1
41070	1	44	10	10
41070	2	89	3	10
41071	1	17	8	10
41071	2	44	5	10
41071	3	4	2	11
41071	4	85	1	3
41071	5	108	1	3
41072	1	99	11	10
41072	2	101	7	10
41072	3	55	19	10
41072	4	44	20	10
41073	1	44	15	10
41073	2	99	20	10
41073	3	55	300	10
41073	4	6	30	10
41073	5	12	10	10
41073	6	10	30	10
41073	7	26	2	2
41073	8	102	30	7
