CHILDCODE	CROPIDR4	CROPR5	QNTHRVR5	OUTCRPR5
41073	9	101	6	10
41073	10	89	15	10
41073	11	86	3	10
41073	12	56	20	10
41074	1	44	30	10
41074	2	55	100	10
41074	3	101	15	10
41074	4	99	10	10
41074	5	89	8	10
41074	6	50	2	2
41074	7	108	1	6
41075	1	44	20	10
41075	2	89	5	10
41075	3	10	4	10
41075	4	4	1000	8
41075	5	12	3	10
41075	6	108	15	2
41075	7	108	20	2
41075	8	108	5	10
41075	9	67	1000	8
41076	1	44	7	10
41076	2	89	2	10
41076	3	75	3	10
41076	4	5	1	10
41076	5	10	10	8
41076	6	86	3	10
41077	1	44	5	10
41077	2	89	1	10
41078	1	44	250	2
41078	2	75	150	2
41078	3	55	500	2
41079	1	17	400	2
41081	1	44	4	10
41081	2	55	10	10
41081	3	101	6	10
41081	4	12	2	10
41081	5	10	2	10
41082	1	17	15	11
41082	2	89	16	10
41082	3	10	40	11
41082	4	44	5	10
41082	5	85	70	10
41082	6	4	192	11
41082	7	93	288	8
41082	9	56	576	8
41082	10	12	48	2
41082	11	108	24	10
41082	12	3	6	10
41084	1	44	5	10
41085	1	44	400	2
41085	2	89	100	2
41085	3	75	1100	2
41086	1	44	1	10
41086	2	89	3	3
41086	3	4	15	11
41088	1	17	6	4
41089	1	44	30	10
41089	2	89	8	10
41089	3	55	120	10
41089	4	5	2	10
41091	1	89	4	10
41091	2	44	10	10
41091	3	75	5	10
41092	1	44	40	10
41093	1	17	15	10
41093	2	44	5	10
41098	1	44	1	10
41098	2	108	5	10
41099	1	44	200	2
41099	2	89	50	2
41099	3	99	50	2
41099	4	10	150	8
41099	5	55	100	2
41100	1	44	30	10
41100	2	89	10	10
41100	3	55	50	10
41101	1	44	27	10
41101	2	32	4	9
41101	3	17	2	10
41101	4	67	96	11
41101	5	4	60	7
51002	1	53	120	10
51004	1	53	60	10
51008	1	44	1	10
51008	2	89	1	10
51008	3	4	50	7
51008	4	93	500	8
51008	5	85	10	10
51008	6	12	1	10
51008	7	108	500	2
51009	1	53	180	11
51011	1	53	600	10
51011	2	89	25	2
51011	3	44	1	10
51011	4	85	20	2
51011	5	45	10	2
51011	8	109	50	8
51011	9	93	40	8
51011	10	108	1	10
51012	1	53	400	10
51013	1	53	170	10
51015	1	53	8	10
51016	1	53	10	10
51016	2	90	2	10
51016	3	85	1	10
51016	4	108	30	2
51016	5	132	20	2
51016	6	108	30	2
51016	7	4	3000	8
51016	8	51	3	10
51016	9	93	25	2
51016	10	104	30	2
51016	11	44	8	10
51016	12	89	2	10
51017	1	53	8280	10
51017	2	44	30	10
51018	1	44	3	10
51018	2	53	25	10
51022	1	17	30	10
51022	2	53	80	10
51022	3	85	20	10
51022	4	4	50	7
51023	1	53	560	10
51025	1	17	30	2
51025	2	85	2	10
51026	1	17	18	10
51026	2	44	1	10
51026	3	4	10	7
51026	4	85	4	10
51027	1	17	15	10
51028	1	17	15	10
51028	2	44	80	8
51028	3	4	20	7
51028	4	85	40	2
51030	1	99	2	10
51030	2	69	1	10
51030	3	17	1	10
51030	4	50	4	2
51030	5	10	20	7
51030	6	56	10	7
51030	7	89	1	10
51030	8	132	10	2
51030	9	4	1000	8
51030	10	75	1	10
51030	11	85	4	10
51030	12	12	5	2
51031	1	17	9	10
51032	1	53	40	4
51033	1	44	50	10
51033	2	53	8	10
51033	3	32	1500	2
51033	4	4	600	8
51033	5	85	2	10
51033	6	51	5	10
51033	7	10	100	7
51033	8	72	40	2
51033	9	12	30	2
51033	10	56	10	7
51033	11	93	100	8
51034	1	17	15	10
51034	2	85	7	10
51034	3	4	1600	8
51034	4	10	100	7
51034	5	3	200	8
51034	6	12	10	2
51034	7	44	1	10
51035	1	17	560	2
51035	2	44	56	2
51036	1	17	20	10
51036	2	4	50	7
51036	3	85	5	10
51036	4	108	5	10
51038	1	17	0	88
51038	2	44	1	10
51038	3	85	5	10
51039	1	17	9	10
51039	2	4	150	7
51039	3	85	40	10
51040	1	17	30	10
51040	2	4	6	11
51041	1	17	20	11
51042	3	85	10	10
51042	4	44	1	10
51044	1	17	30	10
51045	1	17	15	10
51045	2	4	24	11
51045	3	51	3	10
51045	4	89	2	3
51045	5	44	4	10
51045	6	93	15	7
51049	1	17	10	10
51049	2	44	5	10
51049	3	4	0	77
51049	4	89	2	3
51058	1	85	20	2
51058	3	4	2	11
51058	6	17	5	10
51058	7	44	80	2
51059	1	4	100	7
51059	2	44	2	10
51059	3	89	1	10
51059	4	85	3	10
51061	1	17	2	10
51061	2	44	5	10
51061	3	89	2	10
51061	4	4	2000	8
51061	5	10	100	7
51061	6	85	3	10
51061	7	108	35	2
51062	1	17	6	11
51062	2	89	10	2
51062	3	44	80	8
51062	4	93	20	8
51062	5	4	36	11
51062	6	85	6	10
51063	1	17	1	10
51063	2	4	10	11
51064	1	90	8	10
51064	2	17	5	10
51064	3	4	80	11
51064	4	85	60	2
51064	5	44	300	8
51064	6	50	400	8
51064	7	89	6	2
51068	1	17	560	2
51068	2	4	10	11
51068	3	85	50	2
51068	4	44	1000	2
51069	1	17	20	10
51069	2	4	10	11
51077	1	17	5	10
51077	2	44	4	10
51077	3	4	5000	8
51077	4	85	15	10
51077	5	93	50	2
51077	6	89	2	10
51077	7	3	10	2
51077	8	56	8	10
51077	9	12	15	2
51077	10	108	240	2
51080	1	17	750	10
51080	2	89	50	2
51080	3	85	1000	2
51080	4	4	1000	8
51081	1	17	8	10
51081	2	89	2	10
51081	3	44	3	10
51081	4	3	2	10
51081	5	93	30	2
51081	6	4	5000	8
51081	7	85	10	10
51081	8	108	6	3
51082	1	17	2	10
51083	1	44	500	2
51083	2	85	200	2
51083	3	4	8	11
51083	4	93	80	2
51084	2	44	180	10
51085	1	17	1120	2
51085	2	4	30	11
51085	3	85	1000	2
51086	1	17	12	10
51088	1	4	40	11
51088	2	17	2	10
51088	3	85	5	10
51088	4	67	500	8
51089	1	17	20	10
51089	2	4	5	11
51090	1	17	10	11
51090	2	89	10	2
51090	3	44	60	2
51090	4	4	80	11
51090	5	85	10	10
51100	1	102	600	8
51100	2	108	1400	8
51100	3	10	100	2
51100	4	108	40	2
51101	1	17	5	10
51101	2	4	288	11
51101	3	93	66	8
51101	4	85	1	10
51101	5	44	10	10
51101	6	108	1	10
51102	1	17	20	10
51102	2	4	120	7
51104	1	85	3	10
51104	2	44	3	10
51104	3	17	100	10
51104	4	4	92	7
61010	1	132	300	10
61029	1	 	 	 
61048	1	17	1800	2
61048	2	4	600	11
61048	3	44	5	4
61048	4	85	6	10
61061	1	44	10	4
61061	2	89	60	2
61061	3	4	500	7
61061	4	85	200	11
61077	1	3	1	10
61077	2	109	2	10
61077	3	132	1	10
61077	4	4	4000	8
61077	5	51	3	10
61077	6	104	1	10
61101	1	55	500	10
61103	1	108	24	4
61103	2	85	10	10
61103	3	4	50	11
61103	4	44	10	10
61103	5	89	150	2
61103	6	53	10	10
71021	1	88	 	 
71022	1	44	3	10
71023	1	44	320	2
71023	2	55	280	2
71032	1	55	5	3
71032	2	44	6	2
71037	1	44	100	8
71044	1	55	6	10
71044	2	86	2	10
71044	3	96	1	10
71056	1	108	-77	77
71058	1	 	 	 
71061	1	55	3	3
71061	2	101	1	3
71061	3	108	2	3
71061	4	75	10	3
71061	5	100	1	3
71061	6	44	3	3
71073	1	44	210	2
71082	1	89	50	2
71086	1	55	280	2
71086	2	101	15	2
71086	3	75	150	2
71093	1	101	20	2
71093	2	44	23	2
71109	1	44	20	2
81077	1	44	450	10
91001	1	44	1	10
91001	2	99	3	3
91001	3	101	3	3
91001	4	5	1	10
91001	5	75	1	10
91001	6	10	8	7
91001	7	50	8	6
91001	8	12	8	6
91001	9	26	8	6
91001	10	108	2	6
91002	1	44	2	10
91002	2	75	2	10
91002	3	5	2	10
91002	4	55	2	10
91002	5	50	3	6
91003	1	44	100	2
91003	2	75	150	2
91003	3	99	1	2
91003	4	108	1	2
91003	5	12	1	2
91003	6	55	300	2
91004	1	44	45	2
91004	2	75	60	2
91006	1	84	1	11
91006	2	50	30	2
91006	3	55	30	2
91007	1	44	72	2
91007	2	99	24	2
91007	3	55	72	2
91007	4	101	144	2
91007	5	5	216	2
91007	6	87	4	2
91007	7	75	72	2
91007	8	84	72	2
91008	1	5	250	2
91008	2	75	150	2
91008	3	44	150	2
91010	1	108	40	2
91011	1	99	50	2
91011	2	75	50	2
91011	3	44	34.5	2
91011	4	55	30	2
91013	1	99	35	2
91013	2	44	1	10
91014	1	99	144	2
91014	2	5	72	2
91014	3	75	72	2
91014	4	84	45	2
91016	1	44	100	2
91016	2	55	200	2
91020	1	84	168	2
91020	2	44	120	2
91020	3	55	60	2
91020	4	101	12	2
91020	5	75	60	2
91020	6	5	120	2
91020	7	99	12	2
91022	1	99	2	3
91022	2	5	6	3
91022	3	75	6	3
91023	1	44	1	10
91023	2	99	3	3
91023	3	101	3	3
91023	4	5	1	10
91023	5	75	1	10
91023	6	10	8	7
91023	7	50	8	6
91023	8	12	8	6
91023	9	26	8	6
91023	10	108	2	6
91024	1	55	60	10
91024	2	44	15	2
91024	3	82	24	8
91024	4	99	12	2
91025	1	99	300	2
91025	2	5	250	2
91025	3	75	200	2
91025	4	89	150	2
91028	1	99	24	2
91028	2	75	24	2
91028	3	44	24	2
91030	1	83	45	2
91033	1	44	200	2
91034	2	55	5	10
91034	4	50	4	2
91034	6	6	6	2
91034	7	108	3	2
91035	1	83	450	6
91037	1	44	300	2
91038	1	 	 	 
91039	1	44	60	2
91039	2	75	24	2
91039	3	55	240	2
91040	1	44	100	2
91040	2	5	96	2
91040	3	55	400	2
91040	4	75	96	2
91040	5	99	96	2
91040	6	10	7	8
91040	7	102	8	8
91040	8	6	6	7
91040	9	108	3	6
91040	10	108	8	2
91041	2	75	50	2
91041	3	44	75	2
91041	4	50	10	2
91041	5	6	10	2
91043	1	99	100	2
91043	2	55	100	2
91043	3	5	250	2
91043	4	75	250	2
91045	1	44	50	2
91045	2	75	24	2
91045	3	55	210	2
91047	1	44	780	2
91047	2	99	36	2
91047	3	75	24	2
91048	1	44	2	3
91048	2	3	27	2
91049	1	50	1	2
91049	2	102	3	8
91049	3	6	1	2
91049	4	44	3	3
91049	5	75	1	10
91050	1	99	12	2
91050	2	44	60	2
91050	3	55	60	2
91050	4	83	75	2
91050	5	5	0	88
91050	6	75	60	2
91051	1	44	2	3
91051	2	55	2	10
91051	3	96	2	3
91051	4	75	2	10
91052	1	75	48	2
91052	2	108	1	2
91053	1	75	48	2
91054	1	44	300	2
91054	2	5	223	2
91054	3	55	146	2
91056	1	44	100	2
91056	2	101	20	2
91056	3	75	50	2
91057	1	75	36	2
91057	3	87	36	2
91057	4	44	24	2
91057	5	84	75	2
91057	6	108	60	2
91057	7	55	150	2
91057	8	89	12	2
91058	1	44	50	2
91058	2	75	20	2
91059	1	105	600	2
91059	2	108	800	11
91062	1	83	21	11
91062	2	3	300	2
91062	3	51	300	2
91062	4	4	30	2
91062	5	99	200	2
91062	6	10	10	8
91062	7	102	15	8
91062	8	108	20	2
91062	9	44	200	2
91062	10	108	30	6
91062	11	132	20	2
91063	1	83	3	11
91064	1	3	50	2
91065	1	3	450	2
91065	2	108	600	2
91065	3	44	450	2
91066	1	75	360	2
91066	2	44	180	2
91067	1	99	300	2
91067	2	75	400	2
91067	3	44	800	2
91067	4	69	400	2
91067	5	85	500	2
91067	6	92	100	2
91067	7	51	120	2
91067	8	102	40	8
91067	9	72	50	2
91067	10	4	70	2
91067	11	108	10	7
91067	12	5	400	2
91067	13	108	12	8
91067	14	108	50	6
91067	15	132	50	2
91067	16	108	150	2
91067	17	105	180	2
91069	1	44	0	88
91069	2	75	24	2
91071	1	44	4	3
91071	2	83	350	6
91072	1	44	60	2
91072	2	3	9480	2
91072	3	108	3000	2
91072	4	51	200	2
91072	5	92	100	2
91073	1	105	288	2
91073	2	44	3	4
91073	3	55	700	2
91074	1	75	340	2
91074	2	44	240	2
91074	3	55	320	2
91074	4	12	1	10
91074	5	50	1	10
91074	6	99	1	10
91076	1	55	3	3
91076	2	44	2	3
91076	3	12	25	2
91076	4	50	25	2
91077	1	55	480	2
91077	2	75	140	2
91077	3	50	40	2
91077	4	6	50	2
91077	5	102	30	7
91077	6	92	40	2
91078	1	44	216	2
91078	2	55	324	2
91078	3	75	216	2
91079	1	5	400	2
91079	2	44	100	2
91079	3	75	400	2
91079	4	55	700	2
91080	1	75	2	10
91080	2	55	1	10
91080	3	5	1	10
91081	1	75	50	2
91081	2	99	40	2
91081	3	96	40	2
91081	4	86	60	2
91081	5	83	6	11
91083	1	55	36	2
91083	2	75	50	2
91083	3	44	36	2
91085	1	5	144	2
91085	2	75	150	2
91085	3	55	350	2
91086	1	75	140	2
91086	2	5	200	2
91086	3	55	700	2
91087	1	55	72	2
91087	2	75	72	2
91088	1	55	12	2
91089	1	55	1600	2
91089	2	44	34	2
91090	1	55	600	2
91090	2	75	60	2
91090	3	82	46	2
91090	4	99	30	2
91090	5	96	60	2
91090	6	86	60	2
91090	7	101	15	2
91091	1	55	360	2
91091	2	75	3	3
91091	3	5	4	3
91091	4	50	9	6
91091	5	99	5	3
91093	1	105	500	2
91093	2	44	2	4
91093	3	75	7	3
91093	4	55	420	2
91093	5	50	12	6
91094	1	55	20	10
91094	2	75	2	10
91094	3	12	40	6
91094	4	50	40	6
91094	5	5	6	3
91095	1	75	432	2
91095	2	5	36	2
91095	3	55	432	2
91095	4	96	72	2
91095	5	86	12	2
91095	6	84	24	2
91096	1	44	400	2
91096	2	55	400	2
91096	3	10	120	8
91096	4	102	80	8
91096	5	12	100	2
91096	6	50	100	2
91098	1	5	3	3
91098	2	82	2	3
91098	3	75	2	3
91098	4	55	6	3
91098	5	86	6	3
91099	1	75	216	2
91099	2	5	180	2
91099	3	96	102	2
91099	4	86	24	2
91099	5	55	288	2
91099	6	87	1	2
91100	1	55	96	2
91100	2	5	12	2
91100	3	75	24	2
91100	4	96	12	2
91100	5	99	12	2
91100	6	84	30	2
91101	1	75	72	2
91101	2	55	216	2
91101	3	5	24	2
91101	4	50	3	2
91101	5	95	12	2
91101	8	96	24	2
91101	9	10	4	7
91101	10	26	3	2
91101	11	6	5	2
91102	1	75	72	2
91102	2	55	-77	79
91103	1	75	5	1
91103	2	5	3	2
91103	3	55	48	2
91103	4	96	24	2
91103	5	86	24	2
101015	1	44	20	2
101019	1	44	560	2
101019	2	55	700	2
101019	3	99	24	2
101019	4	101	560	2
101019	5	87	210	2
101019	6	96	24	2
101019	7	75	750	2
101025	1	44	432	2
101025	2	55	288	2
101031	1	75	105	2
101032	1	55	420	2
101032	2	101	70	2
101032	3	5	350	2
101032	4	96	280	2
101032	5	86	1	2
101036	1	55	800	2
101036	2	5	200	2
101040	1	44	48	2
101040	2	101	24	2
101040	3	82	60	2
101051	1	55	144	2
101055	1	75	50	2
101062	1	55	1400	2
101062	2	99	350	2
101062	3	101	420	2
101062	4	75	700	2
101065	1	44	1	3
101067	1	5	500	2
101067	2	101	600	2
101067	3	55	800	2
101067	4	75	400	2
101071	1	101	24	2
101071	2	86	72	2
101071	3	55	240	2
101071	4	95	24	2
101071	5	87	12	2
101074	1	55	2000	2
101085	1	44	36	2
101104	1	55	720	2
111003	1	4	6600	7
111003	2	90	110	2
111003	3	3	60	2
111003	4	85	80	2
111005	1	55	450	2
111005	2	44	400	2
111005	3	75	150	2
111005	4	87	100	2
111005	5	5	150	2
111005	6	101	150	2
111005	7	50	10	2
111005	8	102	10	8
111005	9	108	30	6
