CHILDCODE	FVVLIDR5	FVVALR5	SLVALR5
11001	1	11	800
11001	2	10	700
11001	3	12	400
11001	4	24	350
11001	5	4	100
11002	1	7	1500
11002	2	21	500
11002	3	11	400
11002	4	12	300
11002	5	4	100
11003	1	7	2500
11003	2	24	700
11003	3	11	700
11003	4	4	700
11003	5	26	700
11004	1	21	300
11004	2	10	150
11004	3	26	80
11004	4	3	80
11004	5	12	60
11005	1	11	1000
11005	2	24	700
11005	3	10	600
11005	4	4	400
11005	5	12	150
11006	1	12	400
11006	2	4	400
11006	3	24	200
11006	4	10	100
11006	5	22	30
11007	1	21	5000
11007	2	24	1000
11007	3	11	800
11007	4	26	700
11007	5	12	500
11008	1	7	3000
11008	2	11	2000
11008	3	10	1000
11008	4	26	800
11008	5	21	500
11009	1	6	180000
11009	2	7	3800
11009	3	4	1500
11009	4	21	850
11009	5	11	700
11010	1	11	800
11010	2	26	500
11010	3	4	400
11010	4	12	300
11010	5	10	120
11011	1	4	200
11011	2	25	50
11011	3	23	20
11011	4	12	300
11011	5	10	40
11012	1	7	4000
11012	2	4	2000
11012	3	26	2000
11012	4	21	1100
11012	5	24	1000
11013	1	7	3000
11013	2	4	1000
11013	3	10	250
11013	4	25	70
11013	5	22	30
11014	1	24	300
11014	2	8	60
11014	3	12	35
11014	4	23	30
11014	5	22	25
11015	1	7	6300
11015	2	26	4200
11015	3	24	2800
11015	4	4	1750
11015	5	22	200
11016	1	26	500
11016	2	4	500
11016	3	21	500
11016	4	11	400
11016	5	12	200
11017	1	7	1500
11017	2	11	1000
11017	3	10	50
11017	4	4	30
11017	5	12	30
11018	1	11	500
11018	2	26	400
11018	3	10	200
11018	4	12	100
11018	5	24	100
11019	1	7	3000
11019	2	24	3000
11019	3	21	1500
11019	4	26	700
11019	5	4	200
11020	1	7	6000
11020	2	4	600
11020	3	24	600
11020	4	23	400
11020	5	11	300
11021	1	7	2500
11021	2	4	2200
11021	3	12	1000
11021	4	11	600
11021	5	10	400
11022	1	11	800
11022	2	12	300
11022	3	4	200
11022	4	10	150
11022	5	22	50
11023	1	4	800
11023	2	21	500
11023	3	12	200
11023	4	10	100
11023	5	23	50
11024	1	21	2000
11024	2	7	1500
11024	3	11	1100
11024	4	4	1000
11024	5	10	400
11025	1	4	1000
11025	2	11	800
11025	3	21	500
11025	4	10	420
11025	5	12	300
11026	1	4	1000
11026	2	21	700
11026	3	11	500
11026	4	12	400
11026	5	10	100
11027	1	24	500
11027	2	11	400
11027	3	10	100
11027	4	4	100
11027	5	23	30
11028	1	21	2000
11028	2	4	1000
11028	3	11	500
11028	4	10	400
11028	5	24	300
11029	1	6	7000
11029	2	21	1000
11029	3	11	1000
11029	4	10	600
11029	5	24	200
11030	1	4	500
11030	2	26	500
11030	3	12	300
11030	4	10	200
11030	5	11	200
11031	1	21	1500
11031	2	4	2000
11031	3	10	400
11031	4	11	300
11031	5	24	300
11032	1	12	1300
11032	2	11	1000
11032	3	4	700
11032	4	25	300
11032	5	10	120
11033	1	6	5000
11033	2	11	1000
11033	3	3	800
11033	4	7	1000
11033	5	24	300
11034	1	7	5000
