CHILDCODE	SHCKIDR5	EVNTR5	EV2013R5	EV2014R5	EV2015R5	EV2016R5
11006	4	0	 	 	 	 
11006	5	0	 	 	 	 
11006	6	0	 	 	 	 
11006	10	0	 	 	 	 
11006	12	0	 	 	 	 
11006	13	0	 	 	 	 
11006	14	0	 	 	 	 
11006	20	0	 	 	 	 
11006	24	0	 	 	 	 
11006	25	0	 	 	 	 
11006	26	0	 	 	 	 
11006	27	0	 	 	 	 
11006	28	0	 	 	 	 
11006	29	0	 	 	 	 
11006	30	0	 	 	 	 
11006	31	0	 	 	 	 
11006	32	0	 	 	 	 
11006	33	0	 	 	 	 
11006	34	0	 	 	 	 
11006	35	0	 	 	 	 
11006	36	0	 	 	 	 
11006	37	0	 	 	 	 
11006	38	0	 	 	 	 
11006	39	0	 	 	 	 
11006	40	0	 	 	 	 
11006	41	0	 	 	 	 
11006	42	0	 	 	 	 
11006	45	1	0	0	0	1
11006	46	0	 	 	 	 
11006	58	0	 	 	 	 
11006	62	0	 	 	 	 
11006	63	0	 	 	 	 
11006	69	0	 	 	 	 
11007	1	0	 	 	 	 
11007	2	1	0	0	0	1
11007	3	0	 	 	 	 
11007	4	0	 	 	 	 
11007	5	0	 	 	 	 
11007	6	0	 	 	 	 
11007	10	0	 	 	 	 
11007	12	0	 	 	 	 
11007	13	0	 	 	 	 
11007	14	0	 	 	 	 
11007	20	0	 	 	 	 
11007	24	0	 	 	 	 
11007	25	0	 	 	 	 
11007	26	0	 	 	 	 
11007	27	0	 	 	 	 
11007	28	0	 	 	 	 
11007	29	0	 	 	 	 
11007	30	0	 	 	 	 
11007	31	0	 	 	 	 
11007	32	0	 	 	 	 
11007	33	0	 	 	 	 
11007	34	0	 	 	 	 
11007	35	0	 	 	 	 
11007	36	0	 	 	 	 
11007	37	0	 	 	 	 
11007	38	0	 	 	 	 
11007	39	0	 	 	 	 
11007	40	0	 	 	 	 
11007	41	0	 	 	 	 
11007	42	0	 	 	 	 
11007	45	0	 	 	 	 
11007	46	0	 	 	 	 
11007	58	0	 	 	 	 
11007	62	0	 	 	 	 
11007	63	0	 	 	 	 
11007	69	0	 	 	 	 
11008	1	0	 	 	 	 
11008	2	0	 	 	 	 
11008	3	0	 	 	 	 
11008	4	0	 	 	 	 
11008	5	0	 	 	 	 
11008	6	0	 	 	 	 
11008	10	0	 	 	 	 
11008	12	0	 	 	 	 
11008	13	0	 	 	 	 
11008	14	0	 	 	 	 
11008	20	0	 	 	 	 
11008	24	0	 	 	 	 
11008	25	0	 	 	 	 
11008	26	0	 	 	 	 
11008	27	0	 	 	 	 
11008	28	0	 	 	 	 
11008	29	0	 	 	 	 
11008	30	0	 	 	 	 
11008	31	0	 	 	 	 
11008	32	0	 	 	 	 
11008	33	0	 	 	 	 
11008	34	0	 	 	 	 
11008	35	0	 	 	 	 
11008	36	0	 	 	 	 
11008	37	0	 	 	 	 
11008	38	0	 	 	 	 
11008	39	0	 	 	 	 
11008	40	0	 	 	 	 
11008	41	0	 	 	 	 
11008	42	0	 	 	 	 
11008	45	0	 	 	 	 
11008	46	0	 	 	 	 
11008	58	0	 	 	 	 
11008	62	0	 	 	 	 
11008	63	0	 	 	 	 
11008	69	0	 	 	 	 
11009	1	0	 	 	 	 
11009	2	0	 	 	 	 
11009	3	0	 	 	 	 
11009	4	0	 	 	 	 
11009	5	0	 	 	 	 
11009	6	0	 	 	 	 
11009	10	0	 	 	 	 
11009	12	0	 	 	 	 
11009	13	1	0	0	1	0
11009	14	0	 	 	 	 
11009	20	0	 	 	 	 
11009	24	0	 	 	 	 
11009	25	0	 	 	 	 
11009	26	0	 	 	 	 
11009	27	0	 	 	 	 
11009	28	0	 	 	 	 
11009	29	0	 	 	 	 
11009	30	0	 	 	 	 
11009	31	0	 	 	 	 
11009	32	0	 	 	 	 
11009	33	0	 	 	 	 
11009	34	0	 	 	 	 
11009	35	0	 	 	 	 
11009	36	0	 	 	 	 
11009	37	0	 	 	 	 
11009	38	0	 	 	 	 
11009	39	0	 	 	 	 
11009	40	0	 	 	 	 
11009	41	0	 	 	 	 
11009	42	0	 	 	 	 
11009	45	0	 	 	 	 
11009	46	0	 	 	 	 
11009	58	0	 	 	 	 
11009	62	0	 	 	 	 
11009	63	0	 	 	 	 
11009	69	0	 	 	 	 
11010	1	0	 	 	 	 
11010	2	0	 	 	 	 
11010	3	0	 	 	 	 
11010	4	0	 	 	 	 
11010	5	0	 	 	 	 
11010	6	0	 	 	 	 
11010	10	0	 	 	 	 
11010	12	0	 	 	 	 
11010	13	0	 	 	 	 
11010	14	0	 	 	 	 
11010	20	0	 	 	 	 
11010	24	0	 	 	 	 
11010	25	0	 	 	 	 
11010	26	0	 	 	 	 
11010	27	0	 	 	 	 
11010	28	0	 	 	 	 
11010	29	0	 	 	 	 
11010	30	0	 	 	 	 
11010	31	0	 	 	 	 
11010	32	0	 	 	 	 
11010	33	0	 	 	 	 
11010	34	0	 	 	 	 
11010	35	0	 	 	 	 
11010	36	0	 	 	 	 
11010	37	0	 	 	 	 
11010	38	0	 	 	 	 
11010	39	0	 	 	 	 
11010	40	0	 	 	 	 
11010	41	0	 	 	 	 
11010	42	0	 	 	 	 
11010	45	0	 	 	 	 
11010	46	0	 	 	 	 
11010	58	0	 	 	 	 
11010	62	0	 	 	 	 
11010	63	0	 	 	 	 
11010	69	0	 	 	 	 
11011	1	0	 	 	 	 
11011	2	0	 	 	 	 
11011	3	0	 	 	 	 
11011	4	0	 	 	 	 
11011	5	0	 	 	 	 
11011	6	0	 	 	 	 
11011	10	0	 	 	 	 
11011	12	0	 	 	 	 
11011	13	0	 	 	 	 
11011	14	0	 	 	 	 
11011	20	0	 	 	 	 
11011	24	0	 	 	 	 
11011	25	1	0	0	1	1
11011	26	0	 	 	 	 
11011	27	0	 	 	 	 
11011	28	0	 	 	 	 
11011	29	0	 	 	 	 
11011	30	0	 	 	 	 
11011	31	0	 	 	 	 
11011	32	0	 	 	 	 
11011	33	0	 	 	 	 
11011	34	0	 	 	 	 
11011	35	0	 	 	 	 
11011	36	0	 	 	 	 
11011	37	0	 	 	 	 
11011	38	0	 	 	 	 
11011	39	0	 	 	 	 
11011	40	0	 	 	 	 
11011	41	0	 	 	 	 
11011	42	0	 	 	 	 
11011	45	0	 	 	 	 
11011	46	0	 	 	 	 
11011	58	0	 	 	 	 
11011	62	0	 	 	 	 
11011	63	0	 	 	 	 
11011	69	0	 	 	 	 
11012	1	0	 	 	 	 
11012	2	0	 	 	 	 
11012	3	0	 	 	 	 
11012	4	0	 	 	 	 
11012	5	0	 	 	 	 
11012	6	0	 	 	 	 
11012	10	0	 	 	 	 
11012	12	0	 	 	 	 
11012	13	0	 	 	 	 
11012	14	0	 	 	 	 
11012	20	0	 	 	 	 
11012	24	0	 	 	 	 
11012	25	0	 	 	 	 
11012	26	0	 	 	 	 
11012	27	0	 	 	 	 
11012	28	0	 	 	 	 
11012	29	0	 	 	 	 
11012	30	0	 	 	 	 
11012	31	0	 	 	 	 
