CHILDCODE	IMEVIDR5	RKEVR5	PR2013R5	PR2014R5	PR2015R5	PR2016R5
11001	1	98	 	 	 	 
11001	2	98	 	 	 	 
11001	3	98	 	 	 	 
11002	1	98	 	 	 	 
11002	2	98	 	 	 	 
11002	3	98	 	 	 	 
11003	1	25	 	 	3	3
11003	2	98	 	 	 	 
11003	3	98	 	 	 	 
11004	1	45	 	2	 	 
11004	2	98	 	 	 	 
11004	3	98	 	 	 	 
11005	1	98	 	 	 	 
11005	2	98	 	 	 	 
11005	3	98	 	 	 	 
11006	1	45	 	 	 	3
11006	2	98	 	 	 	 
11006	3	98	 	 	 	 
11007	1	2	 	 	 	1
11007	2	98	 	 	 	 
11007	3	98	 	 	 	 
11008	1	98	 	 	 	 
11008	2	98	 	 	 	 
11008	3	98	 	 	 	 
11009	1	13	 	 	3	 
11009	2	98	 	 	 	 
11009	3	98	 	 	 	 
11010	1	98	 	 	 	 
11010	2	98	 	 	 	 
11010	3	98	 	 	 	 
11011	1	25	 	 	4	4
11011	2	98	 	 	 	 
11011	3	98	 	 	 	 
11012	1	62	4	4	 	 
11012	2	98	 	 	 	 
11012	3	98	 	 	 	 
11013	1	98	 	 	 	 
11013	2	98	 	 	 	 
11013	3	98	 	 	 	 
11014	1	2	 	 	2	 
11014	2	25	 	 	 	4
11014	3	98	 	 	 	 
11015	1	98	 	 	 	 
11015	2	98	 	 	 	 
11015	3	98	 	 	 	 
11016	1	39	 	 	2	2
11016	2	41	1	 	 	 
11016	3	98	 	 	 	 
11017	1	98	 	 	 	 
11017	2	98	 	 	 	 
11017	3	98	 	 	 	 
11018	1	98	 	 	 	 
11018	2	98	 	 	 	 
11018	3	98	 	 	 	 
11019	1	98	 	 	 	 
11019	2	98	 	 	 	 
11019	3	98	 	 	 	 
11020	1	98	 	 	 	 
11020	2	98	 	 	 	 
11020	3	98	 	 	 	 
11021	1	98	 	 	 	 
11021	2	98	 	 	 	 
11021	3	98	 	 	 	 
11022	1	98	 	 	 	 
11022	2	98	 	 	 	 
11022	3	98	 	 	 	 
11023	1	41	 	1	 	 
11023	2	98	 	 	 	 
11023	3	98	 	 	 	 
11024	1	98	 	 	 	 
11024	2	98	 	 	 	 
11024	3	98	 	 	 	 
11025	1	62	 	3	3	3
11025	2	12	 	 	2	2
11025	3	98	 	 	 	 
11026	1	41	 	 	2	 
11026	2	25	 	 	 	2
11026	3	98	 	 	 	 
11027	1	29	 	 	 	4
11027	2	28	 	 	4	 
11027	3	25	 	 	3	 
11028	1	98	 	 	 	 
11028	2	98	 	 	 	 
11028	3	98	 	 	 	 
11029	1	39	 	 	3	 
11029	2	1	 	2	 	 
11029	3	98	 	 	 	 
11030	1	98	 	 	 	 
11030	2	98	 	 	 	 
11030	3	98	 	 	 	 
11031	1	40	 	 	 	2
11031	2	98	 	 	 	 
11031	3	98	 	 	 	 
11032	1	41	 	 	 	1
11032	2	29	4	 	 	 
11032	3	98	 	 	 	 
11033	1	25	 	 	4	4
11033	2	62	 	 	 	2
11033	3	36	 	2	 	 
11034	1	98	 	 	 	 
11034	2	98	 	 	 	 
11034	3	98	 	 	 	 
11035	1	98	 	 	 	 
11035	2	98	 	 	 	 
11035	3	98	 	 	 	 
11036	1	98	 	 	 	 
11036	2	98	 	 	 	 
11036	3	98	 	 	 	 
11037	1	98	 	 	 	 
11037	2	98	 	 	 	 
11037	3	98	 	 	 	 
11038	1	38	 	 	4	 
11038	2	98	 	 	 	 
11038	3	98	 	 	 	 
11039	1	98	 	 	 	 
11039	2	98	 	 	 	 
11039	3	98	 	 	 	 
11040	1	41	 	2	 	 
11040	2	36	 	2	2	 
11040	3	98	 	 	 	 
11041	1	62	 	4	 	 
11041	2	69	 	 	 	3
11041	3	98	 	 	 	 
11042	1	36	 	 	2	 
11042	2	98	 	 	 	 
11042	3	98	 	 	 	 
11043	1	39	 	3	 	3
11043	2	98	 	 	 	 
11043	3	98	 	 	 	 
11044	1	6	 	2	 	 
11044	2	98	 	 	 	 
11044	3	98	 	 	 	 
11045	1	38	 	 	 	4
11045	2	5	 	 	 	3
11045	3	2	 	4	 	3
11046	1	98	 	 	 	 
11046	2	98	 	 	 	 
11046	3	98	 	 	 	 
11047	1	69	 	 	4	4
11047	2	98	 	 	 	 
11047	3	98	 	 	 	 
11048	1	98	 	 	 	 
11048	2	98	 	 	 	 
11048	3	98	 	 	 	 
11049	1	41	 	 	4	 
11049	2	45	3	3	3	3
11049	3	98	 	 	 	 
11050	1	37	 	 	 	2
11050	2	98	 	 	 	 
11050	3	98	 	 	 	 
11051	1	20	 	 	 	2
11051	2	98	 	 	 	 
11051	3	98	 	 	 	 
11052	1	36	 	3	 	 
11052	2	38	 	2	 	 
11052	3	98	 	 	 	 
11053	1	98	 	 	 	 
11053	2	98	 	 	 	 
11053	3	98	 	 	 	 
11054	1	98	 	 	 	 
11054	2	98	 	 	 	 
11054	3	98	 	 	 	 
11055	1	98	 	 	 	 
11055	2	98	 	 	 	 
11055	3	98	 	 	 	 
11056	1	63	 	 	4	 
11056	2	98	 	 	 	 
11056	3	98	 	 	 	 
11057	1	5	 	 	 	4
11057	2	69	 	 	 	2
11057	3	25	 	 	 	1
11059	1	69	 	 	 	4
11059	2	98	 	 	 	 
11059	3	98	 	 	 	 
11060	1	12	 	 	2	2
11060	2	98	 	 	 	 
11060	3	98	 	 	 	 
11061	1	38	 	 	 	4
11061	2	39	 	 	 	2
11061	3	98	 	 	 	 
11062	1	98	 	 	 	 
11062	2	98	 	 	 	 
11062	3	98	 	 	 	 
11063	1	98	 	 	 	 
11063	2	98	 	 	 	 
11063	3	98	 	 	 	 
11064	1	98	 	 	 	 
11064	2	98	 	 	 	 
11064	3	98	 	 	 	 
11065	1	25	 	2	 	 
11065	2	98	 	 	 	 
11065	3	98	 	 	 	 
11066	1	6	 	 	 	2
11066	2	98	 	 	 	 
11066	3	98	 	 	 	 
11067	1	42	 	 	4	4
11067	2	98	 	 	 	 
11067	3	98	 	 	 	 
11068	1	98	 	 	 	 
11068	2	98	 	 	 	 
11068	3	98	 	 	 	 
11069	1	38	 	3	3	2
11069	2	98	 	 	 	 
11069	3	98	 	 	 	 
11070	1	42	2	2	2	3
11070	2	98	 	 	 	 
11070	3	98	 	 	 	 
11071	1	25	 	 	2	 
11071	2	98	 	 	 	 
11071	3	98	 	 	 	 
11072	1	98	 	 	 	 
11072	2	98	 	 	 	 
11072	3	98	 	 	 	 
11073	1	37	 	 	2	 
11073	2	98	 	 	 	 
11073	3	98	 	 	 	 
11074	1	98	 	 	 	 
11074	2	98	 	 	 	 
11074	3	98	 	 	 	 
11075	1	98	 	 	 	 
11075	2	98	 	 	 	 
11075	3	98	 	 	 	 
11076	1	98	 	 	 	 
11076	2	98	 	 	 	 
11076	3	98	 	 	 	 
11077	1	39	 	 	2	2
11077	2	98	 	 	 	 
11077	3	98	 	 	 	 
11078	1	39	 	 	4	 
11078	2	98	 	 	 	 
11078	3	98	 	 	 	 
11079	1	98	 	 	 	 
11079	2	98	 	 	 	 
11079	3	98	 	 	 	 
11080	1	5	2	 	 	 
11080	2	25	 	 	 	2
11080	3	98	 	 	 	 
11081	1	98	 	 	 	 
11081	2	98	 	 	 	 
11081	3	98	 	 	 	 
11082	1	41	 	 	1	 
11082	2	98	 	 	 	 
11082	3	98	 	 	 	 
11083	1	98	 	 	 	 
11083	2	98	 	 	 	 
11083	3	98	 	 	 	 
11084	1	39	 	 	 	4
11084	2	38	 	 	 	2
11084	3	37	 	 	 	2
11085	1	45	 	2	 	 
11085	2	98	 	 	 	 
11085	3	98	 	 	 	 
11086	1	98	 	 	 	 
11086	2	98	 	 	 	 
11086	3	98	 	 	 	 
11087	1	98	 	 	 	 
11087	2	98	 	 	 	 
11087	3	98	 	 	 	 
11088	1	37	 	 	 	4
11088	2	63	 	 	 	4
11088	3	98	 	 	 	 
11089	1	2	 	3	 	 
11089	2	12	 	 	 	2
11089	3	37	 	 	 	2
11090	1	98	 	 	 	 
11090	2	98	 	 	 	 
11090	3	98	 	 	 	 
11091	1	98	 	 	 	 
11091	2	98	 	 	 	 
11091	3	98	 	 	 	 
11092	1	12	 	2	 	 
11092	2	39	 	2	 	 
11092	3	98	 	 	 	 
11093	1	98	 	 	 	 
11093	2	98	 	 	 	 
11093	3	98	 	 	 	 
11094	1	98	 	 	 	 
11094	2	98	 	 	 	 
11094	3	98	 	 	 	 
11095	1	98	 	 	 	 
11095	2	98	 	 	 	 
11095	3	98	 	 	 	 
11096	1	98	 	 	 	 
11096	2	98	 	 	 	 
11096	3	98	 	 	 	 
11097	1	10	4	 	 	 
11097	2	25	 	 	1	 
11097	3	32	 	 	 	1
11098	1	98	 	 	 	 
11098	2	98	 	 	 	 
11098	3	98	 	 	 	 
11099	1	38	 	 	 	2
11099	2	39	 	 	 	2
11099	3	98	 	 	 	 
11100	1	41	 	 	1	 
11100	2	98	 	 	 	 
11100	3	98	 	 	 	 
21001	1	25	 	 	2	 
21001	2	98	 	 	 	 
21001	3	98	 	 	 	 
21002	1	98	 	 	 	 
21002	2	98	 	 	 	 
21002	3	98	 	 	 	 
21003	1	98	 	 	 	 
21003	2	98	 	 	 	 
21003	3	98	 	 	 	 
21004	1	98	 	 	 	 
21004	2	98	 	 	 	 
21004	3	98	 	 	 	 
21005	1	41	 	 	1	 
21005	2	98	 	 	 	 
21005	3	98	 	 	 	 
21006	1	98	 	 	 	 
21006	2	98	 	 	 	 
21006	3	98	 	 	 	 
21007	1	28	4	 	 	 
21007	2	29	4	 	 	 
21007	3	39	 	2	2	2
21008	1	98	 	 	 	 
21008	2	98	 	 	 	 
21008	3	98	 	 	 	 
21009	1	38	 	 	2	 
21009	2	98	 	 	 	 
21009	3	98	 	 	 	 
21010	1	98	 	 	 	 
21010	2	98	 	 	 	 
21010	3	98	 	 	 	 
21011	1	62	 	4	 	 
21011	2	63	 	4	 	 
21011	3	38	4	 	 	 
21012	1	98	 	 	 	 
21012	2	98	 	 	 	 
21012	3	98	 	 	 	 
21013	1	98	 	 	 	 
21013	2	98	 	 	 	 
21013	3	98	 	 	 	 
21014	1	98	 	 	 	 
21014	2	98	 	 	 	 
21014	3	98	 	 	 	 
