CHILDCODE	MEMIDR5	EXISTHH	ALIVE	PANELSIB	MEMMOVR5	RELATER4	RELATER5	CAREGVR5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEMSEXR5	CHLBRNR5	WHRNOWR5	SEENMER5	EVRLVDR5	LNGLVDR5	GETMOMBIRTH	GETCHILDBIRTH	MTHBRNR5	RELHHR5	MRTLSTR5	MTHRHHR5	FTHRHHR5	THSDISR5	BRNDISR5	GRADER5	STILLR5	SCHTYPR5	LSTTYPR5	ATTPRER5	AGESTR5	AGEGRDR5	SLEEPR5	CHCARER5	HHCHRER5	NPYWRKR5	PAYWRKR5	SCHOOLR5	STUDYR5	PLAYR5	MEMCNSR5	MEMHLTR5	MEMDISBR5	MEMAFCR5	MEMLNGR5	MLNHLR51	HTSFFR51	MEMSMKR5	SMKHSER5	DYSSMKR5	MEMALCR5	DYSALCR5
11004	0	1	1	0	 	0	0	 	1	 	12	15	1	 	 	 	 	 	0	0	4	3	6	2	1	 	 	10	1	4	 	1	6	 	11	0	1	0	0	6	1	5	N	 	 	 	 	 	 	 	 	 	 	 
11004	1	1	1	0	 	1	1	0	1	 	46	49	1	 	 	 	 	 	0	0	 	1	3	98	98	 	 	15	1	1	 	 	 	 	 	 	 	 	 	 	 	 	N	4	0	 	0	 	 	0	 	1	0	 
11004	2	1	1	0	 	1	1	1	1	 	46	49	2	0	 	 	 	 	0	0	 	2	3	98	98	 	 	19	0	 	1	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	1	17	11	0	 	1	0	 
11004	3	1	1	1	 	7	7	0	1	 	10	13	2	 	 	 	 	 	0	0	4	3	6	2	1	 	 	7	1	4	 	1	6	 	12	0	0	0	0	6	1	5	N	3	0	 	1	27	7	0	 	1	0	 
11005	0	1	1	0	 	0	0	 	1	 	12	15	1	 	 	 	 	 	0	0	4	3	6	3	1	 	 	10	1	4	 	1	6	 	9	1	1	0	0	7	2	4	N	 	 	 	 	 	 	 	 	 	 	 
11005	1	1	1	0	 	5	5	0	1	 	47	50	1	 	 	 	 	 	0	0	 	1	3	98	98	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11005	2	1	1	0	 	1	1	0	4	 	30	32	2	0	0	1	1	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	3	1	1	0	 	5	5	1	1	 	49	51	2	 	 	 	 	 	0	0	 	2	3	98	98	 	 	11	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	4	0	 	0	 	 	0	 	1	0	 
11005	4	1	1	0	 	13	13	0	4	 	28	31	1	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	5	1	1	0	 	13	13	0	1	 	23	28	2	 	 	 	 	 	0	0	 	3	6	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
