CHILDCODE	LANDIDR5	LNDTYPR5	ALQTYR5	ALUNTR5	ALMUSER5	ALPRIRR5	NALQTYR5	NALUNTR5	NAMUSER5	BSLQTYR5	BSLUNTR5	BSMUSER5
11006	4	N	 	 	 	 	 	 	 	 	 	 
11006	5	N	 	 	 	 	 	 	 	 	 	 
11006	6	N	 	 	 	 	 	 	 	 	 	 
11006	7	N	 	 	 	 	 	 	 	 	 	 
11007	1	Y	 	 	 	 	220	1	1	0	 	 
11007	2	N	 	 	 	 	 	 	 	 	 	 
11007	3	N	 	 	 	 	 	 	 	 	 	 
11007	4	N	 	 	 	 	 	 	 	 	 	 
11007	5	N	 	 	 	 	 	 	 	 	 	 
11007	6	N	 	 	 	 	 	 	 	 	 	 
11007	7	N	 	 	 	 	 	 	 	 	 	 
11008	1	Y	 	 	 	 	160	1	1	0	 	 
11008	2	N	 	 	 	 	 	 	 	 	 	 
11008	3	N	 	 	 	 	 	 	 	 	 	 
11008	4	N	 	 	 	 	 	 	 	 	 	 
11008	5	N	 	 	 	 	 	 	 	 	 	 
11008	6	N	 	 	 	 	 	 	 	 	 	 
11008	7	N	 	 	 	 	 	 	 	 	 	 
11009	1	Y	 	 	 	 	130	1	1	0	 	 
11009	2	N	 	 	 	 	 	 	 	 	 	 
11009	3	N	 	 	 	 	 	 	 	 	 	 
11009	4	N	 	 	 	 	 	 	 	 	 	 
11009	5	N	 	 	 	 	 	 	 	 	 	 
11009	6	N	 	 	 	 	 	 	 	 	 	 
11009	7	N	 	 	 	 	 	 	 	 	 	 
11010	1	Y	 	 	 	 	80	1	3	160	1	11
11010	2	N	 	 	 	 	 	 	 	 	 	 
11010	3	N	 	 	 	 	 	 	 	 	 	 
11010	4	N	 	 	 	 	 	 	 	 	 	 
11010	5	N	 	 	 	 	 	 	 	 	 	 
11010	6	N	 	 	 	 	 	 	 	 	 	 
11010	7	N	 	 	 	 	 	 	 	 	 	 
11011	1	Y	 	 	 	 	100	1	2	0	 	 
11011	2	N	 	 	 	 	 	 	 	 	 	 
11011	3	N	 	 	 	 	 	 	 	 	 	 
11011	4	N	 	 	 	 	 	 	 	 	 	 
11011	5	N	 	 	 	 	 	 	 	 	 	 
11011	6	N	 	 	 	 	 	 	 	 	 	 
11011	7	N	 	 	 	 	 	 	 	 	 	 
11012	1	Y	4	2	11	0	320	1	3	160	1	9
11012	2	N	 	 	 	 	 	 	 	 	 	 
11012	3	N	 	 	 	 	 	 	 	 	 	 
11012	4	N	 	 	 	 	 	 	 	 	 	 
11012	5	N	 	 	 	 	 	 	 	 	 	 
11012	6	N	 	 	 	 	 	 	 	 	 	 
11012	7	N	 	 	 	 	 	 	 	 	 	 
11013	1	Y	 	 	 	 	175	1	1	0	 	 
11013	2	N	 	 	 	 	 	 	 	 	 	 
11013	3	N	 	 	 	 	 	 	 	 	 	 
11013	4	N	 	 	 	 	 	 	 	 	 	 
11013	5	N	 	 	 	 	 	 	 	 	 	 
11013	6	N	 	 	 	 	 	 	 	 	 	 
11013	7	N	 	 	 	 	 	 	 	 	 	 
11014	1	Y	 	 	 	 	42	1	1	0	 	 
11014	2	N	 	 	 	 	 	 	 	 	 	 
11014	3	N	 	 	 	 	 	 	 	 	 	 
11014	4	N	 	 	 	 	 	 	 	 	 	 
11014	5	N	 	 	 	 	 	 	 	 	 	 
11014	6	N	 	 	 	 	 	 	 	 	 	 
11014	7	N	 	 	 	 	 	 	 	 	 	 
11015	1	Y	500	1	5	3	625	1	1	0	 	 
11015	2	N	 	 	 	 	 	 	 	 	 	 
11015	3	N	 	 	 	 	 	 	 	 	 	 
11015	4	N	 	 	 	 	 	 	 	 	 	 
11015	5	N	 	 	 	 	 	 	 	 	 	 
11015	6	N	 	 	 	 	 	 	 	 	 	 
11015	7	N	 	 	 	 	 	 	 	 	 	 
11016	1	Y	 	 	 	 	81	1	1	0	 	 
11016	2	N	 	 	 	 	 	 	 	 	 	 
11016	3	N	 	 	 	 	 	 	 	 	 	 
11016	4	N	 	 	 	 	 	 	 	 	 	 
11016	5	N	 	 	 	 	 	 	 	 	 	 
11016	6	N	 	 	 	 	 	 	 	 	 	 
11016	7	N	 	 	 	 	 	 	 	 	 	 
11017	1	Y	 	 	 	 	160	1	1	0	 	 
11017	2	N	 	 	 	 	 	 	 	 	 	 
11017	3	N	 	 	 	 	 	 	 	 	 	 
11017	4	N	 	 	 	 	 	 	 	 	 	 
11017	5	N	 	 	 	 	 	 	 	 	 	 
11017	6	N	 	 	 	 	 	 	 	 	 	 
11017	7	N	 	 	 	 	 	 	 	 	 	 
11018	1	Y	 	 	 	 	90	1	1	0	 	 
11018	2	N	 	 	 	 	 	 	 	 	 	 
11018	3	N	 	 	 	 	 	 	 	 	 	 
11018	4	N	 	 	 	 	 	 	 	 	 	 
11018	5	N	 	 	 	 	 	 	 	 	 	 
11018	6	N	 	 	 	 	 	 	 	 	 	 
11018	7	N	 	 	 	 	 	 	 	 	 	 
11019	1	Y	 	 	 	 	100	1	3	100	1	11
11019	2	N	 	 	 	 	 	 	 	 	 	 
11019	3	N	 	 	 	 	 	 	 	 	 	 
11019	4	N	 	 	 	 	 	 	 	 	 	 
11019	5	N	 	 	 	 	 	 	 	 	 	 
11019	6	N	 	 	 	 	 	 	 	 	 	 
11019	7	N	 	 	 	 	 	 	 	 	 	 
11020	1	Y	 	 	 	 	180	1	1	0	 	 
11020	2	N	 	 	 	 	 	 	 	 	 	 
11020	3	N	 	 	 	 	 	 	 	 	 	 
11020	4	N	 	 	 	 	 	 	 	 	 	 
11020	5	N	 	 	 	 	 	 	 	 	 	 
11020	6	N	 	 	 	 	 	 	 	 	 	 
11020	7	N	 	 	 	 	 	 	 	 	 	 
11021	1	Y	7500	1	11	0	208	1	1	0	 	 
11021	2	N	 	 	 	 	 	 	 	 	 	 
11021	3	N	 	 	 	 	 	 	 	 	 	 
11021	4	N	 	 	 	 	 	 	 	 	 	 
11021	5	N	 	 	 	 	 	 	 	 	 	 
11021	6	N	 	 	 	 	 	 	 	 	 	 
11021	7	N	 	 	 	 	 	 	 	 	 	 
11022	1	Y	 	 	 	 	105	1	3	0	 	 
11022	2	N	 	 	 	 	 	 	 	 	 	 
11022	3	N	 	 	 	 	 	 	 	 	 	 
11022	4	N	 	 	 	 	 	 	 	 	 	 
11022	5	N	 	 	 	 	 	 	 	 	 	 
11022	6	N	 	 	 	 	 	 	 	 	 	 
11022	7	N	 	 	 	 	 	 	 	 	 	 
11023	1	Y	 	 	 	 	100	1	1	0	 	 
11023	2	N	 	 	 	 	 	 	 	 	 	 
11023	3	N	 	 	 	 	 	 	 	 	 	 
11023	4	N	 	 	 	 	 	 	 	 	 	 
11023	5	N	 	 	 	 	 	 	 	 	 	 
11023	6	N	 	 	 	 	 	 	 	 	 	 
11023	7	N	 	 	 	 	 	 	 	 	 	 
11024	1	Y	 	 	 	 	126	1	1	0	 	 
11024	2	N	 	 	 	 	 	 	 	 	 	 
11024	3	N	 	 	 	 	 	 	 	 	 	 
11024	4	N	 	 	 	 	 	 	 	 	 	 
11024	5	N	 	 	 	 	 	 	 	 	 	 
11024	6	N	 	 	 	 	 	 	 	 	 	 
11024	7	N	 	 	 	 	 	 	 	 	 	 
11025	1	Y	 	 	 	 	200	1	1	0	 	 
11025	2	N	 	 	 	 	 	 	 	 	 	 
11025	3	N	 	 	 	 	 	 	 	 	 	 
11025	4	Y	 	 	 	 	90	1	1	0	 	 
11025	5	N	 	 	 	 	 	 	 	 	 	 
11025	6	N	 	 	 	 	 	 	 	 	 	 
11025	7	N	 	 	 	 	 	 	 	 	 	 
11026	1	Y	 	 	 	 	320	1	1	0	 	 
11026	2	N	 	 	 	 	 	 	 	 	 	 
11026	3	N	 	 	 	 	 	 	 	 	 	 
11026	4	N	 	 	 	 	 	 	 	 	 	 
11026	5	N	 	 	 	 	 	 	 	 	 	 
11026	6	N	 	 	 	 	 	 	 	 	 	 
11026	7	N	 	 	 	 	 	 	 	 	 	 
11027	1	Y	0	 	 	 	210	1	1	0	 	 
11027	2	N	 	 	 	 	 	 	 	 	 	 
11027	3	Y	42	1	5	4	0	 	 	0	 	 
11027	4	N	 	 	 	 	 	 	 	 	 	 
11027	5	N	 	 	 	 	 	 	 	 	 	 
11027	6	N	 	 	 	 	 	 	 	 	 	 
11027	7	Y	1	2	5	4	0	 	 	0	 	 
