CHILDCODE	LANDIDR5	LNDTYPR5	ALQTYR5	ALUNTR5	ALMUSER5	ALPRIRR5	NALQTYR5	NALUNTR5	NAMUSER5	BSLQTYR5	BSLUNTR5	BSMUSER5
51011	2	N	 	 	 	 	 	 	 	 	 	 
51011	3	N	 	 	 	 	 	 	 	 	 	 
51011	4	N	 	 	 	 	 	 	 	 	 	 
51011	5	N	 	 	 	 	 	 	 	 	 	 
51011	6	N	 	 	 	 	 	 	 	 	 	 
51011	7	N	 	 	 	 	 	 	 	 	 	 
51012	1	Y	3	2	5	4	200	1	1	0	 	 
51012	2	N	 	 	 	 	 	 	 	 	 	 
51012	3	N	 	 	 	 	 	 	 	 	 	 
51012	4	N	 	 	 	 	 	 	 	 	 	 
51012	5	N	 	 	 	 	 	 	 	 	 	 
51012	6	N	 	 	 	 	 	 	 	 	 	 
51012	7	N	 	 	 	 	 	 	 	 	 	 
51013	1	Y	30000	1	5	0	160	1	1	0	 	 
51013	2	N	 	 	 	 	 	 	 	 	 	 
51013	3	N	 	 	 	 	 	 	 	 	 	 
51013	4	N	 	 	 	 	 	 	 	 	 	 
51013	5	N	 	 	 	 	 	 	 	 	 	 
51013	6	N	 	 	 	 	 	 	 	 	 	 
51013	7	N	 	 	 	 	 	 	 	 	 	 
51014	1	Y	1	2	11	0	160	1	1	0	 	 
51014	2	N	 	 	 	 	 	 	 	 	 	 
51014	3	N	 	 	 	 	 	 	 	 	 	 
51014	4	N	 	 	 	 	 	 	 	 	 	 
51014	5	N	 	 	 	 	 	 	 	 	 	 
51014	6	N	 	 	 	 	 	 	 	 	 	 
51014	7	N	 	 	 	 	 	 	 	 	 	 
51015	1	N	 	 	 	 	 	 	 	 	 	 
51015	2	N	 	 	 	 	 	 	 	 	 	 
51015	3	Y	1	2	5	0	300	1	1	0	 	 
51015	4	N	 	 	 	 	 	 	 	 	 	 
51015	5	N	 	 	 	 	 	 	 	 	 	 
51015	6	N	 	 	 	 	 	 	 	 	 	 
51015	7	N	 	 	 	 	 	 	 	 	 	 
51016	1	Y	10	2	5	4	250	1	1	0	 	 
51016	2	N	 	 	 	 	 	 	 	 	 	 
51016	3	N	 	 	 	 	 	 	 	 	 	 
51016	4	Y	0	 	 	 	20	1	1	0	 	 
51016	5	N	 	 	 	 	 	 	 	 	 	 
51016	6	N	 	 	 	 	 	 	 	 	 	 
51016	7	N	 	 	 	 	 	 	 	 	 	 
51017	1	Y	0	 	 	 	112.5	1	1	0	 	 
51017	2	N	 	 	 	 	 	 	 	 	 	 
51017	3	N	 	 	 	 	 	 	 	 	 	 
51017	4	Y	23	2	5	4	0	 	 	0	 	 
51017	5	N	 	 	 	 	 	 	 	 	 	 
51017	6	N	 	 	 	 	 	 	 	 	 	 
51017	7	N	 	 	 	 	 	 	 	 	 	 
51018	1	Y	8	2	5	0	120	1	1	0	 	 
51018	2	N	 	 	 	 	 	 	 	 	 	 
51018	3	N	 	 	 	 	 	 	 	 	 	 
51018	4	Y	0	 	 	 	144	1	1	0	 	 
51018	5	N	 	 	 	 	 	 	 	 	 	 
51018	6	N	 	 	 	 	 	 	 	 	 	 
51018	7	N	 	 	 	 	 	 	 	 	 	 
51020	1	Y	 	 	 	 	160	1	1	0	 	 
51020	2	N	 	 	 	 	 	 	 	 	 	 
51020	3	N	 	 	 	 	 	 	 	 	 	 
51020	4	N	 	 	 	 	 	 	 	 	 	 
51020	5	N	 	 	 	 	 	 	 	 	 	 
51020	6	N	 	 	 	 	 	 	 	 	 	 
51020	7	N	 	 	 	 	 	 	 	 	 	 
51021	1	Y	 	 	 	 	210	1	1	0	 	 
51021	2	N	 	 	 	 	 	 	 	 	 	 
51021	3	N	 	 	 	 	 	 	 	 	 	 
51021	4	N	 	 	 	 	 	 	 	 	 	 
51021	5	N	 	 	 	 	 	 	 	 	 	 
51021	6	N	 	 	 	 	 	 	 	 	 	 
51021	7	N	 	 	 	 	 	 	 	 	 	 
51022	1	Y	5	2	5	1	50	1	1	0	 	 
51022	2	N	 	 	 	 	 	 	 	 	 	 
51022	3	N	 	 	 	 	 	 	 	 	 	 
51022	4	N	 	 	 	 	 	 	 	 	 	 
51022	5	N	 	 	 	 	 	 	 	 	 	 
51022	6	N	 	 	 	 	 	 	 	 	 	 
51022	7	N	 	 	 	 	 	 	 	 	 	 
51023	1	Y	0	 	 	 	300	1	1	0	 	 
51023	2	N	 	 	 	 	 	 	 	 	 	 
51023	3	N	 	 	 	 	 	 	 	 	 	 
51023	4	Y	2	2	5	4	0	 	 	0	 	 
51023	5	N	 	 	 	 	 	 	 	 	 	 
51023	6	N	 	 	 	 	 	 	 	 	 	 
51023	7	N	 	 	 	 	 	 	 	 	 	 
51024	1	Y	1	2	5	4	120	1	1	0	 	 
51024	2	N	 	 	 	 	 	 	 	 	 	 
51024	3	N	 	 	 	 	 	 	 	 	 	 
51024	4	N	 	 	 	 	 	 	 	 	 	 
51024	5	N	 	 	 	 	 	 	 	 	 	 
51024	6	N	 	 	 	 	 	 	 	 	 	 
51024	7	N	 	 	 	 	 	 	 	 	 	 
51025	1	Y	1	2	5	0	70	1	3	0	 	 
51025	2	N	 	 	 	 	 	 	 	 	 	 
51025	3	N	 	 	 	 	 	 	 	 	 	 
51025	4	N	 	 	 	 	 	 	 	 	 	 
51025	5	N	 	 	 	 	 	 	 	 	 	 
51025	6	N	 	 	 	 	 	 	 	 	 	 
51025	7	N	 	 	 	 	 	 	 	 	 	 
51026	1	Y	15000	1	5	0	364	1	1	0	 	 
51026	2	N	 	 	 	 	 	 	 	 	 	 
51026	3	N	 	 	 	 	 	 	 	 	 	 
51026	4	N	 	 	 	 	 	 	 	 	 	 
51026	5	N	 	 	 	 	 	 	 	 	 	 
51026	6	N	 	 	 	 	 	 	 	 	 	 
51026	7	N	 	 	 	 	 	 	 	 	 	 
51027	1	Y	1.5	2	5	0	161	1	4	4	7	8
51027	2	N	 	 	 	 	 	 	 	 	 	 
51027	3	N	 	 	 	 	 	 	 	 	 	 
51027	4	N	 	 	 	 	 	 	 	 	 	 
51027	5	N	 	 	 	 	 	 	 	 	 	 
51027	6	N	 	 	 	 	 	 	 	 	 	 
51027	7	N	 	 	 	 	 	 	 	 	 	 
51028	1	Y	2	2	5	0	80	1	1	0	 	 
51028	2	N	 	 	 	 	 	 	 	 	 	 
51028	3	N	 	 	 	 	 	 	 	 	 	 
51028	4	N	 	 	 	 	 	 	 	 	 	 
51028	5	N	 	 	 	 	 	 	 	 	 	 
51028	6	N	 	 	 	 	 	 	 	 	 	 
51028	7	N	 	 	 	 	 	 	 	 	 	 
51029	1	Y	5	2	5	0	240	1	1	0	 	 
51029	2	N	 	 	 	 	 	 	 	 	 	 
51029	3	N	 	 	 	 	 	 	 	 	 	 
51029	4	N	 	 	 	 	 	 	 	 	 	 
51029	5	N	 	 	 	 	 	 	 	 	 	 
51029	6	N	 	 	 	 	 	 	 	 	 	 
51029	7	N	 	 	 	 	 	 	 	 	 	 
51030	1	Y	2	2	5	4	1	2	4	0	 	 
51030	2	N	 	 	 	 	 	 	 	 	 	 
51030	3	N	 	 	 	 	 	 	 	 	 	 
51030	4	N	 	 	 	 	 	 	 	 	 	 
51030	5	N	 	 	 	 	 	 	 	 	 	 
51030	6	N	 	 	 	 	 	 	 	 	 	 
51030	7	N	 	 	 	 	 	 	 	 	 	 
51031	1	Y	2	2	13	0	100	1	1	0	 	 
51031	2	N	 	 	 	 	 	 	 	 	 	 
51031	3	N	 	 	 	 	 	 	 	 	 	 
51031	4	N	 	 	 	 	 	 	 	 	 	 
51031	5	N	 	 	 	 	 	 	 	 	 	 
51031	6	N	 	 	 	 	 	 	 	 	 	 
51031	7	N	 	 	 	 	 	 	 	 	 	 
51032	1	Y	0	 	 	 	138	1	3	12	1	8
51032	2	N	 	 	 	 	 	 	 	 	 	 
51032	3	N	 	 	 	 	 	 	 	 	 	 
51032	4	Y	3	2	5	4	0	 	 	0	 	 
51032	5	N	 	 	 	 	 	 	 	 	 	 
51032	6	N	 	 	 	 	 	 	 	 	 	 
51032	7	N	 	 	 	 	 	 	 	 	 	 
51033	1	Y	0	 	 	 	625	1	1	0	 	 
51033	2	N	 	 	 	 	 	 	 	 	 	 
51033	3	N	 	 	 	 	 	 	 	 	 	 
51033	4	Y	3	2	5	0	0	 	 	0	 	 
51033	5	N	 	 	 	 	 	 	 	 	 	 
51033	6	N	 	 	 	 	 	 	 	 	 	 
51033	7	N	 	 	 	 	 	 	 	 	 	 
51034	1	Y	5000	1	5	0	240	1	1	0	 	 
51034	2	N	 	 	 	 	 	 	 	 	 	 
51034	3	N	 	 	 	 	 	 	 	 	 	 
51034	4	N	 	 	 	 	 	 	 	 	 	 
51034	5	N	 	 	 	 	 	 	 	 	 	 
51034	6	N	 	 	 	 	 	 	 	 	 	 
51034	7	N	 	 	 	 	 	 	 	 	 	 
51035	1	Y	30000	1	5	0	900	1	2	0	 	 
51035	2	N	 	 	 	 	 	 	 	 	 	 
51035	3	N	 	 	 	 	 	 	 	 	 	 
51035	4	N	 	 	 	 	 	 	 	 	 	 
51035	5	N	 	 	 	 	 	 	 	 	 	 
51035	6	N	 	 	 	 	 	 	 	 	 	 
51035	7	N	 	 	 	 	 	 	 	 	 	 
51036	1	Y	0	 	 	 	60	1	1	0	 	 
51036	2	N	 	 	 	 	 	 	 	 	 	 
51036	3	N	 	 	 	 	 	 	 	 	 	 
51036	4	Y	2	2	5	0	0	 	 	0	 	 
51036	5	N	 	 	 	 	 	 	 	 	 	 
51036	6	N	 	 	 	 	 	 	 	 	 	 
51036	7	N	 	 	 	 	 	 	 	 	 	 
51037	1	Y	 	 	 	 	450	1	2	0	 	 
51037	2	N	 	 	 	 	 	 	 	 	 	 
51037	3	N	 	 	 	 	 	 	 	 	 	 
51037	4	N	 	 	 	 	 	 	 	 	 	 
51037	5	N	 	 	 	 	 	 	 	 	 	 
51037	6	N	 	 	 	 	 	 	 	 	 	 
51037	7	N	 	 	 	 	 	 	 	 	 	 
51038	1	Y	20000	1	5	0	45	1	1	0	 	 
51038	2	N	 	 	 	 	 	 	 	 	 	 
51038	3	N	 	 	 	 	 	 	 	 	 	 
51038	4	N	 	 	 	 	 	 	 	 	 	 
51038	5	N	 	 	 	 	 	 	 	 	 	 
51038	6	N	 	 	 	 	 	 	 	 	 	 
51038	7	N	 	 	 	 	 	 	 	 	 	 
51039	1	Y	4	2	5	0	250	1	1	0	 	 
51039	2	N	 	 	 	 	 	 	 	 	 	 
51039	3	N	 	 	 	 	 	 	 	 	 	 
51039	4	N	 	 	 	 	 	 	 	 	 	 
51039	5	N	 	 	 	 	 	 	 	 	 	 
51039	6	N	 	 	 	 	 	 	 	 	 	 
51039	7	N	 	 	 	 	 	 	 	 	 	 
51040	1	Y	0	 	 	 	325	1	1	0	 	 
51040	2	N	 	 	 	 	 	 	 	 	 	 
51040	3	N	 	 	 	 	 	 	 	 	 	 
51040	4	Y	2	2	5	0	0	 	 	0	 	 
51040	5	N	 	 	 	 	 	 	 	 	 	 
51040	6	N	 	 	 	 	 	 	 	 	 	 
51040	7	N	 	 	 	 	 	 	 	 	 	 
51041	1	Y	0	 	 	 	600	1	1	0	 	 
51041	2	N	 	 	 	 	 	 	 	 	 	 
51041	3	N	 	 	 	 	 	 	 	 	 	 
51041	4	Y	1	2	5	0	0	 	 	0	 	 
51041	5	N	 	 	 	 	 	 	 	 	 	 
51041	6	N	 	 	 	 	 	 	 	 	 	 
51041	7	N	 	 	 	 	 	 	 	 	 	 
51042	1	Y	5000	1	5	0	300	1	1	0	 	 
51042	2	N	 	 	 	 	 	 	 	 	 	 
51042	3	N	 	 	 	 	 	 	 	 	 	 
51042	4	N	 	 	 	 	 	 	 	 	 	 
51042	5	N	 	 	 	 	 	 	 	 	 	 
51042	6	N	 	 	 	 	 	 	 	 	 	 
51042	7	N	 	 	 	 	 	 	 	 	 	 
51043	1	Y	 	 	 	 	360	1	1	0	 	 
51043	2	N	 	 	 	 	 	 	 	 	 	 
51043	3	N	 	 	 	 	 	 	 	 	 	 
51043	4	N	 	 	 	 	 	 	 	 	 	 
51043	5	N	 	 	 	 	 	 	 	 	 	 
51043	6	N	 	 	 	 	 	 	 	 	 	 
51043	7	N	 	 	 	 	 	 	 	 	 	 
51044	1	Y	3	2	5	0	400	1	1	0	 	 
51044	2	N	 	 	 	 	 	 	 	 	 	 
51044	3	N	 	 	 	 	 	 	 	 	 	 
51044	4	N	 	 	 	 	 	 	 	 	 	 
51044	5	N	 	 	 	 	 	 	 	 	 	 
51044	6	N	 	 	 	 	 	 	 	 	 	 
51044	7	N	 	 	 	 	 	 	 	 	 	 
51045	1	Y	3	2	5	0	450	1	1	0	 	 
51045	2	N	 	 	 	 	 	 	 	 	 	 
51045	3	N	 	 	 	 	 	 	 	 	 	 
51045	4	N	 	 	 	 	 	 	 	 	 	 
51045	5	N	 	 	 	 	 	 	 	 	 	 
51045	6	N	 	 	 	 	 	 	 	 	 	 
51045	7	N	 	 	 	 	 	 	 	 	 	 
51046	1	N	 	 	 	 	 	 	 	 	 	 
51046	2	N	 	 	 	 	 	 	 	 	 	 
51046	3	Y	 	 	 	 	60	1	1	0	 	 
51046	4	N	 	 	 	 	 	 	 	 	 	 
51046	5	N	 	 	 	 	 	 	 	 	 	 
51046	6	N	 	 	 	 	 	 	 	 	 	 
51046	7	N	 	 	 	 	 	 	 	 	 	 
51047	1	Y	 	 	 	 	250	1	1	0	 	 
51047	2	N	 	 	 	 	 	 	 	 	 	 
51047	3	N	 	 	 	 	 	 	 	 	 	 
51047	4	N	 	 	 	 	 	 	 	 	 	 
51047	5	N	 	 	 	 	 	 	 	 	 	 
51047	6	N	 	 	 	 	 	 	 	 	 	 
51047	7	N	 	 	 	 	 	 	 	 	 	 
51048	1	Y	 	 	 	 	120	1	1	0	 	 
51048	2	N	 	 	 	 	 	 	 	 	 	 
51048	3	Y	 	 	 	 	120	1	1	0	 	 
51048	4	N	 	 	 	 	 	 	 	 	 	 
51048	5	N	 	 	 	 	 	 	 	 	 	 
51048	6	N	 	 	 	 	 	 	 	 	 	 
51048	7	N	 	 	 	 	 	 	 	 	 	 
51049	1	Y	0	 	 	 	150	1	1	0	 	 
51049	2	N	 	 	 	 	 	 	 	 	 	 
51049	3	Y	20000	1	5	0	0	 	 	0	 	 
51049	4	N	 	 	 	 	 	 	 	 	 	 
51049	5	N	 	 	 	 	 	 	 	 	 	 
51049	6	N	 	 	 	 	 	 	 	 	 	 
51049	7	N	 	 	 	 	 	 	 	 	 	 
51052	1	Y	 	 	 	 	120	1	1	0	 	 
51052	2	N	 	 	 	 	 	 	 	 	 	 
51052	3	N	 	 	 	 	 	 	 	 	 	 
51052	4	N	 	 	 	 	 	 	 	 	 	 
51052	5	N	 	 	 	 	 	 	 	 	 	 
51052	6	N	 	 	 	 	 	 	 	 	 	 
51052	7	N	 	 	 	 	 	 	 	 	 	 
51056	1	Y	1	2	5	0	0	 	 	0	 	 
51056	2	N	 	 	 	 	 	 	 	 	 	 
51056	3	Y	0	 	 	 	450	1	2	0	 	 
51056	4	N	 	 	 	 	 	 	 	 	 	 
51056	5	N	 	 	 	 	 	 	 	 	 	 
51056	6	N	 	 	 	 	 	 	 	 	 	 
51056	7	N	 	 	 	 	 	 	 	 	 	 
51058	1	Y	20	2	5	0	90	1	1	0	 	 
51058	2	N	 	 	 	 	 	 	 	 	 	 
51058	3	N	 	 	 	 	 	 	 	 	 	 
51058	4	N	 	 	 	 	 	 	 	 	 	 
51058	5	N	 	 	 	 	 	 	 	 	 	 
51058	6	N	 	 	 	 	 	 	 	 	 	 
51058	7	N	 	 	 	 	 	 	 	 	 	 
51059	1	Y	1	2	5	0	50	1	1	0	 	 
51059	2	N	 	 	 	 	 	 	 	 	 	 
51059	3	N	 	 	 	 	 	 	 	 	 	 
51059	4	N	 	 	 	 	 	 	 	 	 	 
51059	5	N	 	 	 	 	 	 	 	 	 	 
51059	6	N	 	 	 	 	 	 	 	 	 	 
51059	7	N	 	 	 	 	 	 	 	 	 	 
51060	1	Y	1	2	11	0	336	1	2	0	 	 
51060	2	N	 	 	 	 	 	 	 	 	 	 
51060	3	N	 	 	 	 	 	 	 	 	 	 
51060	4	N	 	 	 	 	 	 	 	 	 	 
51060	5	N	 	 	 	 	 	 	 	 	 	 
51060	6	N	 	 	 	 	 	 	 	 	 	 
51060	7	N	 	 	 	 	 	 	 	 	 	 
51061	1	Y	2	2	5	0	300	1	1	0	 	 
51061	2	N	 	 	 	 	 	 	 	 	 	 
51061	3	N	 	 	 	 	 	 	 	 	 	 
51061	4	N	 	 	 	 	 	 	 	 	 	 
51061	5	N	 	 	 	 	 	 	 	 	 	 
51061	6	N	 	 	 	 	 	 	 	 	 	 
51061	7	N	 	 	 	 	 	 	 	 	 	 
51062	1	Y	3	2	5	0	180	1	2	0	 	 
51062	2	N	 	 	 	 	 	 	 	 	 	 
51062	3	N	 	 	 	 	 	 	 	 	 	 
51062	4	N	 	 	 	 	 	 	 	 	 	 
51062	5	N	 	 	 	 	 	 	 	 	 	 
51062	6	N	 	 	 	 	 	 	 	 	 	 
51062	7	N	 	 	 	 	 	 	 	 	 	 
51063	1	Y	5	2	5	0	150	1	1	0	 	 
51063	2	N	 	 	 	 	 	 	 	 	 	 
51063	3	N	 	 	 	 	 	 	 	 	 	 
51063	4	N	 	 	 	 	 	 	 	 	 	 
51063	5	N	 	 	 	 	 	 	 	 	 	 
51063	6	N	 	 	 	 	 	 	 	 	 	 
51063	7	N	 	 	 	 	 	 	 	 	 	 
51064	1	Y	10	2	5	0	160	1	1	0	 	 
51064	2	N	 	 	 	 	 	 	 	 	 	 
51064	3	N	 	 	 	 	 	 	 	 	 	 
51064	4	N	 	 	 	 	 	 	 	 	 	 
51064	5	N	 	 	 	 	 	 	 	 	 	 
51064	6	N	 	 	 	 	 	 	 	 	 	 
51064	7	N	 	 	 	 	 	 	 	 	 	 
51065	1	Y	 	 	 	 	300	1	1	0	 	 
51065	2	N	 	 	 	 	 	 	 	 	 	 
51065	3	N	 	 	 	 	 	 	 	 	 	 
51065	4	N	 	 	 	 	 	 	 	 	 	 
51065	5	N	 	 	 	 	 	 	 	 	 	 
51065	6	N	 	 	 	 	 	 	 	 	 	 
51065	7	N	 	 	 	 	 	 	 	 	 	 
51067	1	N	 	 	 	 	 	 	 	 	 	 
51067	2	N	 	 	 	 	 	 	 	 	 	 
51067	3	N	 	 	 	 	 	 	 	 	 	 
51067	4	Y	 	 	 	 	20	1	1	0	 	 
51067	5	N	 	 	 	 	 	 	 	 	 	 
51067	6	N	 	 	 	 	 	 	 	 	 	 
51067	7	N	 	 	 	 	 	 	 	 	 	 
51068	1	Y	10	2	5	0	100	1	1	0	 	 
51068	2	N	 	 	 	 	 	 	 	 	 	 
51068	3	N	 	 	 	 	 	 	 	 	 	 
51068	4	N	 	 	 	 	 	 	 	 	 	 
51068	5	N	 	 	 	 	 	 	 	 	 	 
51068	6	N	 	 	 	 	 	 	 	 	 	 
51068	7	N	 	 	 	 	 	 	 	 	 	 
51069	1	N	 	 	 	 	 	 	 	 	 	 
51069	2	N	 	 	 	 	 	 	 	 	 	 
51069	3	N	 	 	 	 	 	 	 	 	 	 
51069	4	Y	1	2	5	0	60	1	1	0	 	 
51069	5	N	 	 	 	 	 	 	 	 	 	 
51069	6	N	 	 	 	 	 	 	 	 	 	 
51069	7	N	 	 	 	 	 	 	 	 	 	 
51070	1	N	 	 	 	 	 	 	 	 	 	 
51070	2	Y	 	 	 	 	72	1	3	0	 	 
51070	3	Y	 	 	 	 	72	1	3	0	 	 
51070	4	N	 	 	 	 	 	 	 	 	 	 
51070	5	N	 	 	 	 	 	 	 	 	 	 
51070	6	N	 	 	 	 	 	 	 	 	 	 
51070	7	N	 	 	 	 	 	 	 	 	 	 
51071	1	Y	 	 	 	 	90	1	1	0	 	 
51071	2	N	 	 	 	 	 	 	 	 	 	 
51071	3	N	 	 	 	 	 	 	 	 	 	 
51071	4	N	 	 	 	 	 	 	 	 	 	 
51071	5	N	 	 	 	 	 	 	 	 	 	 
51071	6	N	 	 	 	 	 	 	 	 	 	 
51071	7	N	 	 	 	 	 	 	 	 	 	 
51072	1	Y	 	 	 	 	200	1	1	0	 	 
51072	2	N	 	 	 	 	 	 	 	 	 	 
51072	3	N	 	 	 	 	 	 	 	 	 	 
51072	4	N	 	 	 	 	 	 	 	 	 	 
51072	5	N	 	 	 	 	 	 	 	 	 	 
51072	6	N	 	 	 	 	 	 	 	 	 	 
51072	7	N	 	 	 	 	 	 	 	 	 	 
51074	1	N	 	 	 	 	 	 	 	 	 	 
51074	2	N	 	 	 	 	 	 	 	 	 	 
51074	3	Y	 	 	 	 	100	1	1	0	 	 
51074	4	N	 	 	 	 	 	 	 	 	 	 
51074	5	N	 	 	 	 	 	 	 	 	 	 
51074	6	N	 	 	 	 	 	 	 	 	 	 
51074	7	N	 	 	 	 	 	 	 	 	 	 
51075	1	Y	250000	1	5	0	70	1	1	0	 	 
51075	2	N	 	 	 	 	 	 	 	 	 	 
51075	3	N	 	 	 	 	 	 	 	 	 	 
51075	4	N	 	 	 	 	 	 	 	 	 	 
51075	5	N	 	 	 	 	 	 	 	 	 	 
51075	6	N	 	 	 	 	 	 	 	 	 	 
51075	7	N	 	 	 	 	 	 	 	 	 	 
51077	1	Y	6	6	5	0	180	1	1	0	 	 
51077	2	N	 	 	 	 	 	 	 	 	 	 
51077	3	N	 	 	 	 	 	 	 	 	 	 
51077	4	N	 	 	 	 	 	 	 	 	 	 
51077	5	N	 	 	 	 	 	 	 	 	 	 
51077	6	N	 	 	 	 	 	 	 	 	 	 
51077	7	N	 	 	 	 	 	 	 	 	 	 
51078	1	Y	 	 	 	 	80	1	1	0	 	 
51078	2	N	 	 	 	 	 	 	 	 	 	 
51078	3	N	 	 	 	 	 	 	 	 	 	 
51078	4	Y	 	 	 	 	80	1	3	0	 	 
51078	5	N	 	 	 	 	 	 	 	 	 	 
51078	6	N	 	 	 	 	 	 	 	 	 	 
51078	7	N	 	 	 	 	 	 	 	 	 	 
51080	1	Y	25000	1	5	0	261	1	1	0	 	 
51080	2	N	 	 	 	 	 	 	 	 	 	 
51080	3	N	 	 	 	 	 	 	 	 	 	 
51080	4	N	 	 	 	 	 	 	 	 	 	 
51080	5	N	 	 	 	 	 	 	 	 	 	 
51080	6	N	 	 	 	 	 	 	 	 	 	 
51080	7	N	 	 	 	 	 	 	 	 	 	 
51081	1	Y	15000	1	5	0	300	1	4	0	 	 
51081	2	N	 	 	 	 	 	 	 	 	 	 
51081	3	N	 	 	 	 	 	 	 	 	 	 
51081	4	N	 	 	 	 	 	 	 	 	 	 
51081	5	N	 	 	 	 	 	 	 	 	 	 
51081	6	N	 	 	 	 	 	 	 	 	 	 
51081	7	N	 	 	 	 	 	 	 	 	 	 
51082	1	Y	.5	2	5	0	300	1	1	0	 	 
51082	2	N	 	 	 	 	 	 	 	 	 	 
51082	3	N	 	 	 	 	 	 	 	 	 	 
51082	4	N	 	 	 	 	 	 	 	 	 	 
51082	5	N	 	 	 	 	 	 	 	 	 	 
51082	6	N	 	 	 	 	 	 	 	 	 	 
51082	7	N	 	 	 	 	 	 	 	 	 	 
51083	1	Y	3	2	5	0	60	1	1	0	 	 
51083	2	N	 	 	 	 	 	 	 	 	 	 
51083	3	N	 	 	 	 	 	 	 	 	 	 
51083	4	N	 	 	 	 	 	 	 	 	 	 
51083	5	N	 	 	 	 	 	 	 	 	 	 
51083	6	N	 	 	 	 	 	 	 	 	 	 
51083	7	N	 	 	 	 	 	 	 	 	 	 
51084	1	Y	2	2	5	0	144	1	1	0	 	 
51084	2	N	 	 	 	 	 	 	 	 	 	 
51084	3	N	 	 	 	 	 	 	 	 	 	 
51084	4	N	 	 	 	 	 	 	 	 	 	 
51084	5	N	 	 	 	 	 	 	 	 	 	 
51084	6	N	 	 	 	 	 	 	 	 	 	 
51084	7	N	 	 	 	 	 	 	 	 	 	 
51085	1	Y	30	2	5	0	50	1	1	20	1	8
51085	2	N	 	 	 	 	 	 	 	 	 	 
51085	3	N	 	 	 	 	 	 	 	 	 	 
51085	4	N	 	 	 	 	 	 	 	 	 	 
51085	5	N	 	 	 	 	 	 	 	 	 	 
51085	6	N	 	 	 	 	 	 	 	 	 	 
51085	7	N	 	 	 	 	 	 	 	 	 	 
51086	1	Y	1	2	5	0	120	1	1	0	 	 
51086	2	N	 	 	 	 	 	 	 	 	 	 
51086	3	N	 	 	 	 	 	 	 	 	 	 
51086	4	N	 	 	 	 	 	 	 	 	 	 
51086	5	N	 	 	 	 	 	 	 	 	 	 
51086	6	N	 	 	 	 	 	 	 	 	 	 
51086	7	N	 	 	 	 	 	 	 	 	 	 
51087	1	Y	 	 	 	 	90	1	1	0	 	 
51087	2	N	 	 	 	 	 	 	 	 	 	 
51087	3	N	 	 	 	 	 	 	 	 	 	 
51087	4	N	 	 	 	 	 	 	 	 	 	 
51087	5	N	 	 	 	 	 	 	 	 	 	 
51087	6	N	 	 	 	 	 	 	 	 	 	 
51087	7	N	 	 	 	 	 	 	 	 	 	 
51088	1	Y	3	2	5	0	0	 	 	0	 	 
51088	2	N	 	 	 	 	 	 	 	 	 	 
51088	3	N	 	 	 	 	 	 	 	 	 	 
51088	4	Y	0	 	 	 	35	1	1	0	 	 
51088	5	N	 	 	 	 	 	 	 	 	 	 
51088	6	N	 	 	 	 	 	 	 	 	 	 
51088	7	N	 	 	 	 	 	 	 	 	 	 
51089	1	Y	2	2	5	0	0	 	 	0	 	 
51089	2	N	 	 	 	 	 	 	 	 	 	 
51089	3	Y	0	 	 	 	750	1	1	0	 	 
51089	4	N	 	 	 	 	 	 	 	 	 	 
51089	5	N	 	 	 	 	 	 	 	 	 	 
51089	6	N	 	 	 	 	 	 	 	 	 	 
51089	7	N	 	 	 	 	 	 	 	 	 	 
51090	1	Y	20	2	5	0	600	1	2	0	 	 
51090	2	N	 	 	 	 	 	 	 	 	 	 
51090	3	N	 	 	 	 	 	 	 	 	 	 
51090	4	N	 	 	 	 	 	 	 	 	 	 
51090	5	N	 	 	 	 	 	 	 	 	 	 
51090	6	N	 	 	 	 	 	 	 	 	 	 
51090	7	N	 	 	 	 	 	 	 	 	 	 
51091	1	Y	 	 	 	 	420	1	3	0	 	 
51091	2	N	 	 	 	 	 	 	 	 	 	 
51091	3	N	 	 	 	 	 	 	 	 	 	 
51091	4	N	 	 	 	 	 	 	 	 	 	 
51091	5	N	 	 	 	 	 	 	 	 	 	 
51091	6	N	 	 	 	 	 	 	 	 	 	 
51091	7	N	 	 	 	 	 	 	 	 	 	 
51092	1	Y	 	 	 	 	50	1	1	0	 	 
51092	2	N	 	 	 	 	 	 	 	 	 	 
51092	3	N	 	 	 	 	 	 	 	 	 	 
51092	4	N	 	 	 	 	 	 	 	 	 	 
51092	5	N	 	 	 	 	 	 	 	 	 	 
51092	6	N	 	 	 	 	 	 	 	 	 	 
51092	7	N	 	 	 	 	 	 	 	 	 	 
51094	1	Y	 	 	 	 	100	1	1	0	 	 
51094	2	N	 	 	 	 	 	 	 	 	 	 
51094	3	N	 	 	 	 	 	 	 	 	 	 
51094	4	N	 	 	 	 	 	 	 	 	 	 
51094	5	N	 	 	 	 	 	 	 	 	 	 
51094	6	N	 	 	 	 	 	 	 	 	 	 
51094	7	N	 	 	 	 	 	 	 	 	 	 
51095	1	N	 	 	 	 	 	 	 	 	 	 
51095	2	N	 	 	 	 	 	 	 	 	 	 
51095	3	Y	 	 	 	 	78	1	1	0	 	 
51095	4	N	 	 	 	 	 	 	 	 	 	 
51095	5	N	 	 	 	 	 	 	 	 	 	 
51095	6	N	 	 	 	 	 	 	 	 	 	 
51095	7	N	 	 	 	 	 	 	 	 	 	 
