CHILDCODE	NONFODR5	BGHTR5	SPYRR5	SPNMR5
11009	11	1	1200	2
11009	12	0	 	 
11009	13	0	 	 
11009	15	1	450	2
11009	16	0	 	 
11009	17	0	 	 
11009	18	1	50	1
11009	19	1	350	1
11009	20	0	 	 
11009	21	0	 	 
11009	22	1	350	2
11009	23	0	 	 
11009	24	0	 	 
11009	25	0	 	 
11009	26	1	168000	0
11009	27	0	 	 
11009	28	0	 	 
11009	29	0	 	 
11009	30	0	 	 
11009	31	0	 	 
11010	1	0	 	 
11010	2	1	300	 
11010	3	1	100	0
11010	4	1	100	4
11010	5	0	 	 
11010	6	1	100	 
11010	7	1	80	0
11010	8	1	80	4
11010	9	1	150	4
11010	10	1	150	0
11010	11	0	 	 
11010	12	1	300	2
11010	13	0	 	 
11010	15	1	300	2
11010	16	0	 	 
11010	17	0	 	 
11010	18	0	 	 
11010	19	0	 	 
11010	20	1	140	1
11010	21	0	 	 
11010	22	0	 	 
11010	23	0	 	 
11010	24	0	 	 
11010	25	0	 	 
11010	26	1	1332	0
11010	27	0	 	 
11010	28	0	 	 
11010	29	0	 	 
11010	30	0	 	 
11010	31	0	 	 
11011	1	0	 	 
11011	2	0	 	 
11011	3	1	150	2
11011	4	1	200	0
11011	5	1	50	 
11011	6	1	50	 
11011	7	1	100	2
11011	8	0	 	 
11011	9	1	75	0
11011	10	1	75	0
11011	11	1	10	0
11011	12	0	 	 
11011	13	0	 	 
11011	15	1	250	0
11011	16	0	 	 
11011	17	0	 	 
11011	18	1	50	1
11011	19	0	 	 
11011	20	0	 	 
11011	21	0	 	 
11011	22	0	 	 
11011	23	0	 	 
11011	24	0	 	 
11011	25	0	 	 
11011	26	0	 	 
11011	27	0	 	 
11011	28	0	 	 
11011	29	0	 	 
11011	30	1	200	 
11011	31	0	 	 
11012	1	1	56	 
11012	2	1	90	 
11012	3	1	150	4
11012	4	1	300	0
11012	5	1	11	 
11012	6	1	22	 
11012	7	1	11	4
11012	8	1	162	0
11012	9	1	115	0
11012	10	1	90	4
11012	11	0	 	 
11012	12	0	 	 
11012	13	0	 	 
11012	15	1	200	2
11012	16	0	 	 
11012	17	1	170	4
11012	18	1	60	1
11012	19	1	100	1
11012	20	1	120	0
11012	21	0	 	 
11012	22	0	 	 
11012	23	0	 	 
11012	24	0	 	 
11012	25	1	90	0
11012	26	1	5400	0
11012	27	0	 	 
11012	28	0	 	 
11012	29	1	100	0
11012	30	0	 	 
11012	31	0	 	 
11013	1	1	300	 
11013	2	1	200	 
11013	3	1	500	1
11013	4	1	200	0
11013	5	1	50	 
11013	6	1	70	 
11013	7	1	300	1
11013	8	1	300	0
11013	9	1	140	1
11013	10	1	250	0
11013	11	0	 	 
11013	12	1	90	2
11013	13	0	 	 
11013	15	1	400	1
11013	16	0	 	 
11013	17	0	 	 
11013	18	1	30	0
11013	19	1	50	1
11013	20	1	2500	4
11013	21	0	 	 
11013	22	0	 	 
11013	23	0	 	 
11013	24	0	 	 
11013	25	0	 	 
11013	26	1	600	0
11013	27	0	 	 
11013	28	0	 	 
11013	29	0	 	 
11013	30	0	 	 
11013	31	0	 	 
11014	1	0	 	 
11014	2	1	400	 
11014	3	0	 	 
11014	4	1	800	1
11014	5	0	 	 
11014	6	0	 	 
11014	7	0	 	 
11014	8	0	 	 
11014	9	1	750	1
11014	10	0	 	 
11014	11	0	 	 
11014	12	1	20	0
11014	13	0	 	 
11014	15	1	1450	1
11014	16	0	 	 
11014	17	0	 	 
11014	18	1	100	1
11014	19	0	 	 
11014	20	0	 	 
11014	21	0	 	 
11014	22	0	 	 
11014	23	0	 	 
11014	24	0	 	 
11014	25	0	 	 
11014	26	0	 	 
11014	27	0	 	 
11014	28	0	 	 
11014	29	1	800	0
11014	30	0	 	 
11014	31	0	 	 
11015	1	0	 	 
11015	2	0	 	 
11015	3	0	 	 
11015	4	0	 	 
11015	5	1	1500	 
11015	6	1	1050	 
11015	7	0	 	 
11015	8	1	1050	2
11015	9	1	1400	3
11015	10	0	 	 
11015	11	0	 	 
11015	12	0	 	 
11015	13	0	 	 
11015	15	1	1750	2
11015	16	0	 	 
11015	17	1	700	1
11015	18	1	4600	1
11015	19	1	30	1
11015	20	0	 	 
11015	21	0	 	 
11015	22	1	100	1
11015	23	0	 	 
11015	24	0	 	 
11015	25	0	 	 
11015	26	0	 	 
11015	27	0	 	 
11015	28	0	 	 
11015	29	0	 	 
11015	30	1	1050	 
11015	31	1	1750	 
11016	1	1	200	 
11016	2	1	200	 
11016	3	1	150	0
11016	4	1	400	1
11016	5	1	140	 
11016	6	1	100	 
11016	7	1	70	0
11016	8	1	200	1
11016	9	1	800	1
11016	10	0	 	 
11016	11	0	 	 
11016	12	1	50	1
11016	13	0	 	 
11016	15	1	1200	1
11016	16	0	 	 
11016	17	1	350	1
11016	18	1	600	1
11016	19	1	30	1
11016	20	1	240	1
11016	21	0	 	 
11016	22	0	 	 
11016	23	0	 	 
11016	24	0	 	 
11016	25	0	 	 
11016	26	1	6600	0
11016	27	0	 	 
11016	28	0	 	 
11016	29	0	 	 
11016	30	0	 	 
11016	31	0	 	 
11017	1	1	200	 
11017	2	1	200	 
11017	3	1	100	0
11017	4	1	200	2
11017	5	1	35	 
11017	6	1	35	 
11017	7	1	30	0
11017	8	1	80	2
11017	9	1	55	4
11017	10	0	 	 
11017	11	0	 	 
11017	12	1	-77	 
11017	13	0	 	 
11017	15	1	187	1
11017	16	0	 	 
11017	17	0	 	 
11017	18	1	3	0
11017	19	0	 	 
11017	20	0	 	 
11017	21	0	 	 
11017	22	0	 	 
11017	23	0	 	 
11017	24	0	 	 
11017	25	0	 	 
11017	26	1	1500	0
11017	27	0	 	 
11017	28	0	 	 
11017	29	0	 	 
11017	30	0	 	 
11017	31	0	 	 
11018	1	1	600	 
11018	2	1	600	 
11018	3	1	500	4
11018	4	0	 	 
11018	5	1	500	 
11018	6	1	200	 
11018	7	1	500	4
11018	8	0	 	 
11018	9	0	 	 
11018	10	1	100	4
11018	11	0	 	 
11018	12	1	20	4
11018	13	0	 	 
11018	15	1	200	4
11018	16	0	 	 
11018	17	1	500	1
11018	18	1	500	1
11018	19	1	200	1
11018	20	1	300	1
11018	21	1	300	1
11018	22	1	2160	0
11018	23	0	 	 
11018	24	0	 	 
11018	25	0	 	 
11018	26	0	 	 
11018	27	0	 	 
11018	28	0	 	 
11018	29	0	 	 
11018	30	0	 	 
11018	31	0	 	 
11019	1	0	 	 
11019	2	0	 	 
11019	3	1	300	0
11019	4	1	300	2
11019	5	1	100	 
11019	6	1	100	 
11019	7	1	100	0
11019	8	1	100	2
11019	9	1	250	2
11019	10	1	250	0
11019	11	0	 	 
11019	12	1	30	4
11019	13	0	 	 
11019	15	1	400	3
11019	16	1	300	0
11019	17	0	 	 
11019	18	1	200	1
11019	19	0	 	 
11019	20	0	 	 
11019	21	0	 	 
11019	22	0	 	 
11019	23	0	 	 
11019	24	0	 	 
11019	25	0	 	 
11019	26	1	7000	0
11019	27	0	 	 
11019	28	0	 	 
11019	29	0	 	 
11019	30	1	400	 
11019	31	0	 	 
11020	1	1	700	 
11020	2	1	700	 
11020	3	0	 	 
11020	4	1	800	4
11020	5	1	300	 
11020	6	1	200	 
11020	7	0	 	 
11020	8	1	300	4
11020	9	1	150	4
11020	10	0	 	 
11020	11	0	 	 
11020	12	1	15	4
11020	13	0	 	 
11020	15	1	250	4
11020	16	0	 	 
11020	17	1	70	0
11020	18	1	100	1
11020	19	1	60	1
11020	20	0	 	 
11020	21	0	 	 
11020	22	1	100	1
11020	23	0	 	 
11020	24	0	 	 
11020	25	0	 	 
11020	26	0	 	 
11020	27	0	 	 
11020	28	0	 	 
11020	29	0	 	 
11020	30	0	 	 
11020	31	0	 	 
11021	1	1	320	 
11021	2	1	600	 
11021	3	1	300	4
11021	4	0	 	 
11021	5	1	60	 
11021	6	1	600	 
11021	7	1	200	4
11021	8	0	 	 
11021	9	0	 	 
11021	10	1	90	4
11021	11	0	 	 
11021	12	1	50	4
11021	13	0	 	 
11021	15	1	220	4
11021	16	0	 	 
11021	17	1	35	4
11021	18	1	180	4
11021	19	1	300	1
11021	20	0	 	 
11021	21	1	150	1
11021	22	0	 	 
11021	23	0	 	 
11021	24	0	 	 
11021	25	1	200	0
11021	26	0	 	 
11021	27	0	 	 
11021	28	0	 	 
11021	29	0	 	 
11021	30	0	 	 
11021	31	0	 	 
11022	1	1	300	 
11022	2	1	150	 
11022	3	0	 	 
11022	4	1	300	1
11022	5	1	100	 
11022	6	1	100	 
11022	7	0	 	 
11022	8	1	300	1
11022	9	1	180	1
11022	10	0	 	 
11022	11	0	 	 
11022	12	1	320	2
11022	13	0	 	 
11022	15	1	300	1
11022	16	0	 	 
11022	17	0	 	 
11022	18	0	 	 
11022	19	0	 	 
11022	20	0	 	 
11022	21	0	 	 
11022	22	0	 	 
11022	23	0	 	 
11022	24	0	 	 
11022	25	0	 	 
11022	26	0	 	 
11022	27	0	 	 
11022	28	0	 	 
11022	29	0	 	 
11022	30	0	 	 
11022	31	0	 	 
11023	1	1	200	 
11023	2	1	100	 
11023	3	1	200	0
11023	4	1	200	4
11023	5	1	100	 
11023	6	0	 	 
11023	7	0	 	 
11023	8	0	 	 
11023	9	1	50	4
11023	10	1	50	0
11023	11	0	 	 
11023	12	1	20	2
11023	13	0	 	 
11023	15	1	70	1
11023	16	0	 	 
11023	17	0	 	 
11023	18	1	50	1
11023	19	0	 	 
11023	20	0	 	 
11023	21	0	 	 
11023	22	0	 	 
11023	23	0	 	 
11023	24	0	 	 
11023	25	0	 	 
11023	26	0	 	 
11023	27	0	 	 
11023	28	0	 	 
11023	29	0	 	 
11023	30	0	 	 
11023	31	0	 	 
11024	1	1	150	 
11024	2	1	200	 
11024	3	1	500	2
11024	4	1	200	2
11024	5	0	 	 
11024	6	0	 	 
11024	7	1	200	3
11024	8	1	80	4
11024	9	1	150	0
11024	10	1	350	2
11024	11	0	 	 
11024	12	1	60	1
11024	13	1	120	4
11024	15	1	370	1
11024	16	0	 	 
11024	17	0	 	 
11024	18	1	1200	3
11024	19	0	 	 
11024	20	0	 	 
11024	21	0	 	 
11024	22	1	60	2
11024	23	1	1168	0
11024	24	0	 	 
11024	25	0	 	 
11024	26	1	1200	0
11024	27	0	 	 
11024	28	0	 	 
11024	29	0	 	 
11024	30	1	350	 
11024	31	1	700	 
11025	1	0	 	 
11025	2	0	 	 
11025	3	1	600	0
11025	4	1	1200	2
11025	5	1	90	 
11025	6	1	90	 
11025	7	1	250	0
11025	8	1	1000	2
11025	9	0	 	 
11025	10	0	 	 
11025	11	0	 	 
11025	12	1	10	4
11025	13	0	 	 
11025	15	1	150	4
11025	16	1	40	4
11025	17	0	 	 
11025	18	1	300	1
11025	19	1	1500	1
11025	20	1	450	1
11025	21	1	10	0
11025	22	0	 	 
11025	23	0	 	 
11025	24	0	 	 
11025	25	0	 	 
11025	26	0	 	 
11025	27	0	 	 
11025	28	0	 	 
11025	29	1	3120	0
11025	30	1	800	 
11025	31	0	 	 
11026	1	1	500	 
11026	2	1	200	 
11026	3	1	200	0
11026	4	1	200	2
11026	5	1	100	 
11026	6	1	50	 
11026	7	1	50	0
11026	8	1	50	2
11026	9	1	150	2
11026	10	1	50	0
11026	11	0	 	 
11026	12	0	 	 
11026	13	0	 	 
11026	15	1	300	1
11026	16	0	 	 
11026	17	0	 	 
11026	18	1	40	1
11026	19	1	200	1
11026	20	1	4000	0
11026	21	0	 	 
11026	22	1	250	0
11026	23	0	 	 
11026	24	0	 	 
11026	25	1	3000	0
11026	26	1	12000	0
11026	27	0	 	 
11026	28	0	 	 
11026	29	1	2000	0
11026	30	0	 	 
11026	31	1	500	 
11027	1	1	300	 
11027	2	1	200	 
11027	3	1	300	4
11027	4	0	 	 
11027	5	1	200	 
11027	6	1	160	 
11027	7	1	100	4
11027	8	0	 	 
11027	9	0	 	 
11027	10	1	60	4
11027	11	0	 	 
11027	12	1	15	4
11027	13	0	 	 
11027	15	1	180	4
11027	16	0	 	 
11027	17	1	100	0
11027	18	1	60	0
11027	19	1	10	4
11027	20	1	50	1
11027	21	0	 	 
11027	22	1	1800	1
11027	23	0	 	 
11027	24	1	400	0
11027	25	1	2000	0
11027	26	1	1000	0
11027	27	0	 	 
11027	28	0	 	 
11027	29	0	 	 
11027	30	0	 	 
11027	31	0	 	 
11028	1	0	 	 
11028	2	1	200	 
11028	3	1	100	4
11028	4	1	100	0
11028	5	0	 	 
