CHILDCODE	NONFODR5	BGHTR5	SPYRR5	SPNMR5
51080	12	1	30	2
51080	13	0	 	 
51080	15	1	150	2
51080	16	0	 	 
51080	17	0	 	 
51080	18	1	120	0
51080	19	0	 	 
51080	20	0	 	 
51080	21	0	 	 
51080	22	1	250	1
51080	23	0	 	 
51080	24	0	 	 
51080	25	0	 	 
51080	26	1	4200	1
51080	27	0	 	 
51080	28	0	 	 
51080	29	0	 	 
51080	30	0	 	 
51080	31	0	 	 
51081	1	1	112	 
51081	2	1	84	 
51081	3	0	 	 
51081	4	1	195	3
51081	5	1	65	 
51081	6	1	35	 
51081	7	0	 	 
51081	8	1	125	3
51081	9	1	250	2
51081	10	0	 	 
51081	11	0	 	 
51081	12	1	35	2
51081	13	0	 	 
51081	15	1	123	2
51081	16	0	 	 
51081	17	1	25	0
51081	18	1	98	0
51081	19	0	 	 
51081	20	1	53	2
51081	21	0	 	 
51081	22	0	 	 
51081	23	0	 	 
51081	24	0	 	 
51081	25	0	 	 
51081	26	0	 	 
51081	27	0	 	 
51081	28	0	 	 
51081	29	0	 	 
51081	30	0	 	 
51081	31	0	 	 
51082	1	1	300	 
51082	2	1	100	 
51082	3	1	100	0
51082	4	1	200	1
51082	5	1	200	 
51082	6	1	50	 
51082	7	1	50	0
51082	8	1	150	1
51082	9	1	50	4
51082	10	0	 	 
51082	11	0	 	 
51082	12	1	35	1
51082	13	0	 	 
51082	15	1	45	1
51082	16	0	 	 
51082	17	0	 	 
51082	18	1	50	0
51082	19	0	 	 
51082	20	0	 	 
51082	21	0	 	 
51082	22	1	100	2
51082	23	0	 	 
51082	24	0	 	 
51082	25	0	 	 
51082	26	0	 	 
51082	27	0	 	 
51082	28	0	 	 
51082	29	1	90	1
51082	30	0	 	 
51082	31	0	 	 
51083	1	0	 	 
51083	2	1	150	 
51083	3	1	100	2
51083	4	0	 	 
51083	5	0	 	 
51083	6	1	20	 
51083	7	1	100	2
51083	8	0	 	 
51083	9	0	 	 
51083	10	1	150	2
51083	11	0	 	 
51083	12	1	102	2
51083	13	0	 	 
51083	15	1	200	2
51083	16	0	 	 
51083	17	0	 	 
51083	18	1	20	2
51083	19	1	250	1
51083	20	0	 	 
51083	21	0	 	 
51083	22	0	 	 
51083	23	0	 	 
51083	24	0	 	 
51083	25	0	 	 
51083	26	0	 	 
51083	27	0	 	 
51083	28	0	 	 
51083	29	0	 	 
51083	30	0	 	 
51083	31	0	 	 
51084	1	1	150	 
51084	2	0	 	 
51084	3	1	160	1
51084	4	0	 	 
51084	5	1	80	 
51084	6	1	25	 
51084	7	1	35	2
51084	8	0	 	 
51084	9	0	 	 
51084	10	1	350	1
51084	11	0	 	 
51084	12	1	10	2
51084	13	0	 	 
51084	15	1	200	2
51084	16	0	 	 
51084	17	1	15	0
51084	18	0	 	 
51084	19	0	 	 
51084	20	0	 	 
51084	21	0	 	 
51084	22	0	 	 
51084	23	0	 	 
51084	24	0	 	 
51084	25	0	 	 
51084	26	1	2500	0
51084	27	0	 	 
51084	28	0	 	 
51084	29	0	 	 
51084	30	1	150	 
51084	31	0	 	 
51085	1	1	200	 
51085	2	1	300	 
51085	3	1	300	2
51085	4	0	 	 
51085	5	1	150	 
51085	6	1	300	 
51085	7	1	200	2
51085	8	0	 	 
51085	9	0	 	 
51085	10	1	120	4
51085	11	0	 	 
51085	12	0	 	 
51085	13	0	 	 
51085	15	0	 	 
51085	16	0	 	 
51085	17	0	 	 
51085	18	0	 	 
51085	19	0	 	 
51085	20	0	 	 
51085	21	0	 	 
51085	22	1	400	2
51085	23	0	 	 
51085	24	0	 	 
51085	25	0	 	 
51085	26	0	 	 
51085	27	0	 	 
51085	28	0	 	 
51085	29	0	 	 
51085	30	0	 	 
51085	31	0	 	 
51086	1	1	180	 
51086	2	1	100	 
51086	3	0	 	 
51086	4	1	280	1
51086	5	1	45	 
51086	6	1	20	 
51086	7	0	 	 
51086	8	1	100	1
51086	9	1	120	1
51086	10	0	 	 
51086	11	0	 	 
51086	12	1	30	1
51086	13	0	 	 
51086	15	1	200	1
51086	16	0	 	 
51086	17	1	200	2
51086	18	1	850	2
51086	19	0	 	 
51086	20	0	 	 
51086	21	0	 	 
51086	22	1	400	4
51086	23	0	 	 
51086	24	0	 	 
51086	25	0	 	 
51086	26	1	1200	0
51086	27	0	 	 
51086	28	0	 	 
51086	29	0	 	 
51086	30	0	 	 
51086	31	0	 	 
51087	1	1	400	 
51087	2	1	300	 
51087	3	1	600	1
51087	4	0	 	 
51087	5	1	250	 
51087	6	1	150	 
51087	7	1	450	1
51087	8	0	 	 
51087	9	0	 	 
51087	10	1	400	0
51087	11	1	1080	0
51087	12	0	 	 
51087	13	0	 	 
51087	15	1	230	0
51087	16	0	 	 
51087	17	1	5000	0
51087	18	1	3000	0
51087	19	0	 	 
51087	20	0	 	 
51087	21	0	 	 
51087	22	0	 	 
51087	23	0	 	 
51087	24	0	 	 
51087	25	0	 	 
51087	26	0	 	 
51087	27	0	 	 
51087	28	0	 	 
51087	29	0	 	 
51087	30	0	 	 
51087	31	0	 	 
51088	1	0	 	 
51088	2	1	100	 
51088	3	0	 	 
51088	4	1	200	2
51088	5	0	 	 
51088	6	0	 	 
51088	7	0	 	 
51088	8	1	100	2
51088	9	1	130	3
51088	10	0	 	 
51088	11	0	 	 
51088	12	1	320	1
51088	13	0	 	 
51088	15	1	230	3
51088	16	0	 	 
51088	17	1	210	0
51088	18	1	100	1
51088	19	0	 	 
51088	20	0	 	 
51088	21	0	 	 
51088	22	0	 	 
51088	23	0	 	 
51088	24	0	 	 
51088	25	0	 	 
51088	26	0	 	 
51088	27	0	 	 
51088	28	0	 	 
51088	29	0	 	 
51088	30	0	 	 
51088	31	0	 	 
51089	1	1	100	 
51089	2	1	100	 
51089	3	1	200	4
51089	4	1	300	0
51089	5	1	20	 
51089	6	1	10	 
51089	7	1	55	4
51089	8	1	135	0
51089	9	1	150	0
51089	10	0	 	 
51089	11	1	30	1
51089	12	0	 	 
51089	13	0	 	 
51089	15	1	700	1
51089	16	0	 	 
51089	17	0	 	 
51089	18	0	 	 
51089	19	0	 	 
51089	20	0	 	 
51089	21	0	 	 
51089	22	1	90	0
51089	23	0	 	 
51089	24	0	 	 
51089	25	0	 	 
51089	26	0	 	 
51089	27	0	 	 
51089	28	0	 	 
51089	29	0	 	 
51089	30	0	 	 
51089	31	0	 	 
51090	1	1	20	 
51090	2	1	100	 
51090	3	1	300	1
51090	4	0	 	 
51090	5	0	 	 
51090	6	1	20	 
51090	7	1	200	1
51090	8	0	 	 
51090	9	0	 	 
51090	10	1	250	2
51090	11	1	80	4
51090	12	1	30	2
51090	13	0	 	 
51090	15	1	150	2
51090	16	0	 	 
51090	17	0	 	 
51090	18	1	30	1
51090	19	1	15	1
51090	20	0	 	 
51090	21	0	 	 
51090	22	0	 	 
51090	23	0	 	 
51090	24	0	 	 
51090	25	0	 	 
51090	26	1	810	0
51090	27	0	 	 
51090	28	0	 	 
51090	29	0	 	 
51090	30	0	 	 
51090	31	0	 	 
51091	1	1	230	 
51091	2	1	230	 
51091	3	0	 	 
51091	4	1	400	2
51091	5	1	70	 
51091	6	1	70	 
51091	7	1	200	2
51091	8	0	 	 
51091	9	1	200	2
51091	10	0	 	 
51091	11	1	100	1
51091	12	0	 	 
51091	13	0	 	 
51091	15	1	1000	1
51091	16	0	 	 
51091	17	0	 	 
51091	18	1	500	1
51091	19	0	 	 
51091	20	0	 	 
51091	21	0	 	 
51091	22	1	300	1
51091	23	0	 	 
51091	24	0	 	 
51091	25	0	 	 
51091	26	1	4000	0
51091	27	0	 	 
51091	28	0	 	 
51091	29	0	 	 
51091	30	0	 	 
51091	31	0	 	 
51092	1	1	500	 
51092	2	0	 	 
51092	3	1	500	4
51092	4	1	500	0
51092	5	1	180	 
51092	6	0	 	 
51092	7	1	250	4
51092	8	1	250	0
51092	9	1	250	0
51092	10	1	250	4
51092	11	1	0	 
51092	12	1	60	2
51092	13	0	 	 
51092	15	1	300	2
51092	16	0	 	 
51092	17	0	 	 
51092	18	1	90	2
51092	19	0	 	 
51092	20	0	 	 
51092	21	0	 	 
51092	22	1	300	1
51092	23	0	 	 
51092	24	0	 	 
51092	25	0	 	 
51092	26	0	 	 
51092	27	0	 	 
51092	28	0	 	 
51092	29	0	 	 
51092	30	0	 	 
51092	31	0	 	 
51094	1	0	 	 
51094	2	0	 	 
51094	3	0	 	 
51094	4	1	300	1
51094	5	0	 	 
51094	6	0	 	 
51094	7	1	140	3
51094	8	0	 	 
51094	9	0	 	 
51094	10	0	 	 
51094	11	0	 	 
51094	12	1	100	4
51094	13	0	 	 
51094	15	1	175	4
51094	16	0	 	 
51094	17	0	 	 
51094	18	0	 	 
51094	19	0	 	 
51094	20	0	 	 
51094	21	0	 	 
51094	22	0	 	 
51094	23	0	 	 
51094	24	0	 	 
51094	25	0	 	 
51094	26	0	 	 
51094	27	0	 	 
51094	28	0	 	 
51094	29	0	 	 
51094	30	0	 	 
51094	31	0	 	 
51095	1	0	 	 
51095	2	0	 	 
51095	3	1	200	4
51095	4	0	 	 
51095	5	0	 	 
51095	6	0	 	 
51095	7	1	250	4
51095	8	0	 	 
51095	9	0	 	 
51095	10	1	60	4
51095	11	0	 	 
51095	12	1	130	4
51095	13	0	 	 
51095	15	1	200	4
51095	16	0	 	 
51095	17	1	240	0
51095	18	1	2000	0
51095	19	0	 	 
51095	20	0	 	 
51095	21	0	 	 
51095	22	0	 	 
51095	23	0	 	 
51095	24	0	 	 
51095	25	0	 	 
51095	26	1	2040	0
51095	27	0	 	 
51095	28	0	 	 
51095	29	0	 	 
51095	30	0	 	 
51095	31	0	 	 
51099	1	0	 	 
51099	2	0	 	 
51099	3	1	40	4
51099	4	0	 	 
51099	5	0	 	 
51099	6	0	 	 
51099	7	1	75	4
51099	8	0	 	 
51099	9	0	 	 
51099	10	1	60	4
51099	11	0	 	 
51099	12	1	30	4
51099	13	0	 	 
51099	15	1	80	4
51099	16	0	 	 
51099	17	0	 	 
51099	18	0	 	 
51099	19	0	 	 
51099	20	0	 	 
51099	21	0	 	 
51099	22	1	100	2
51099	23	0	 	 
51099	24	0	 	 
51099	25	0	 	 
51099	26	0	 	 
51099	27	0	 	 
51099	28	0	 	 
51099	29	0	 	 
51099	30	0	 	 
51099	31	0	 	 
51100	1	0	 	 
51100	2	0	 	 
51100	3	0	 	 
51100	4	0	 	 
51100	5	1	45	 
51100	6	1	30	 
51100	7	1	30	0
51100	8	1	70	3
51100	9	1	100	3
51100	10	0	 	 
51100	11	0	 	 
51100	12	1	95	2
51100	13	0	 	 
51100	15	1	150	2
51100	16	1	400	4
51100	17	0	 	 
51100	18	0	 	 
51100	19	0	 	 
51100	20	0	 	 
51100	21	0	 	 
51100	22	0	 	 
51100	23	0	 	 
51100	24	0	 	 
51100	25	0	 	 
51100	26	0	 	 
51100	27	0	 	 
51100	28	0	 	 
51100	29	0	 	 
51100	30	0	 	 
51100	31	1	300	 
51101	1	1	60	 
51101	2	1	120	 
51101	3	1	70	0
51101	4	1	50	2
51101	5	1	5	 
51101	6	1	6	 
51101	7	1	50	2
51101	8	1	70	0
51101	9	1	80	2
51101	10	1	80	0
51101	11	0	 	 
51101	12	1	20	1
51101	13	0	 	 
51101	15	1	100	1
51101	16	0	 	 
51101	17	0	 	 
51101	18	1	10	1
51101	19	0	 	 
51101	20	0	 	 
51101	21	0	 	 
51101	22	0	 	 
51101	23	0	 	 
51101	24	0	 	 
51101	25	0	 	 
51101	26	0	 	 
51101	27	0	 	 
51101	28	0	 	 
51101	29	0	 	 
51101	30	0	 	 
51101	31	0	 	 
51102	1	0	 	 
51102	2	0	 	 
51102	3	0	 	 
51102	4	0	 	 
51102	5	0	 	 
51102	6	0	 	 
51102	7	0	 	 
51102	8	0	 	 
51102	9	0	 	 
51102	10	0	 	 
51102	11	0	 	 
51102	12	0	 	 
51102	13	0	 	 
51102	15	1	200	1
51102	16	0	 	 
51102	17	0	 	 
51102	18	0	 	 
51102	19	0	 	 
51102	20	0	 	 
51102	21	0	 	 
51102	22	0	 	 
51102	23	0	 	 
51102	24	0	 	 
51102	25	0	 	 
51102	26	0	 	 
51102	27	0	 	 
51102	28	0	 	 
51102	29	0	 	 
51102	30	0	 	 
51102	31	0	 	 
51103	1	0	 	 
51103	2	1	55	 
51103	3	1	40	0
51103	4	1	200	2
51103	5	1	60	 
51103	6	1	45	 
51103	7	0	 	 
51103	8	1	85	3
51103	9	1	365	3
51103	10	0	 	 
51103	11	0	 	 
51103	12	1	100	2
51103	13	0	 	 
51103	15	1	200	1
51103	16	0	 	 
51103	17	1	160	0
51103	18	1	100	0
51103	19	1	12	0
51103	20	0	 	 
51103	21	0	 	 
51103	22	1	100	1
51103	23	0	 	 
51103	24	0	 	 
51103	25	1	1500	0
51103	26	1	2392	0
51103	27	0	 	 
51103	28	0	 	 
51103	29	1	300	0
51103	30	0	 	 
51103	31	0	 	 
51104	1	1	300	 
51104	2	1	300	 
51104	3	1	100	0
51104	4	0	 	 
51104	5	1	300	 
51104	6	1	300	 
51104	7	1	100	4
51104	8	0	 	 
51104	9	0	 	 
51104	10	0	 	 
51104	11	0	 	 
51104	12	1	50	4
51104	13	0	 	 
51104	15	1	100	4
51104	16	0	 	 
51104	17	0	 	 
51104	18	0	 	 
51104	19	0	 	 
51104	20	0	 	 
51104	21	0	 	 
51104	22	1	100	0
51104	23	0	 	 
51104	24	0	 	 
51104	25	0	 	 
51104	26	0	 	 
51104	27	0	 	 
51104	28	0	 	 
51104	29	0	 	 
51104	30	0	 	 
51104	31	0	 	 
51105	1	1	100	 
51105	2	1	300	 
51105	3	1	200	4
51105	4	1	400	0
51105	5	0	 	 
51105	6	1	100	 
51105	7	1	120	4
51105	8	1	250	0
51105	9	1	80	0
51105	10	1	80	4
51105	11	1	60	0
51105	12	0	 	 
51105	13	0	 	 
51105	15	1	200	3
51105	16	0	 	 
51105	17	0	 	 
51105	18	1	100	0
51105	19	0	 	 
51105	20	1	30	0
51105	21	0	 	 
51105	22	1	80	1
51105	23	0	 	 
51105	24	0	 	 
51105	25	0	 	 
51105	26	1	1356	0
51105	27	0	 	 
51105	28	0	 	 
51105	29	0	 	 
51105	30	0	 	 
51105	31	0	 	 
61001	1	1	300	 
61001	2	1	300	 
61001	3	1	300	4
61001	4	1	800	0
61001	5	1	300	 
61001	6	1	300	 
61001	7	1	300	4
61001	8	1	200	0
61001	9	1	67	0
61001	10	1	73	4
61001	11	0	 	 
61001	12	1	280	2
61001	13	0	 	 
61001	15	1	350	2
61001	16	0	 	 
61001	17	0	 	 
61001	18	0	 	 
61001	19	0	 	 
61001	20	0	 	 
61001	21	0	 	 
61001	22	0	 	 
61001	23	0	 	 
61001	24	0	 	 
61001	25	0	 	 
61001	26	1	200	0
61001	27	0	 	 
61001	28	0	 	 
61001	29	0	 	 
61001	30	0	 	 
61001	31	0	 	 
61002	1	1	400	 
61002	2	1	280	 
61002	3	1	250	0
61002	4	1	600	1
61002	5	0	 	 
61002	6	1	200	 
61002	7	1	150	0
61002	8	1	150	1
61002	9	1	180	1
61002	10	1	97	0
61002	11	1	273	1
61002	12	0	 	 
61002	13	0	 	 
61002	15	1	580	1
61002	16	0	 	 
61002	17	1	4000	0
61002	18	0	 	 
61002	19	1	1440	1
61002	20	0	 	 
61002	21	1	30	0
61002	22	0	 	 
61002	23	1	100	0
61002	24	0	 	 
61002	25	0	 	 
61002	26	0	 	 
61002	27	0	 	 
61002	28	0	 	 
61002	29	0	 	 
61002	30	0	 	 
61002	31	0	 	 
61003	1	0	 	 
61003	2	0	 	 
61003	3	0	 	 
61003	4	1	700	2
61003	5	1	100	 
61003	6	1	100	 
61003	7	0	 	 
61003	8	1	250	1
61003	9	1	200	2
61003	10	0	 	 
61003	11	0	 	 
61003	12	1	30	0
61003	13	0	 	 
61003	15	1	180	2
61003	16	0	 	 
61003	17	0	 	 
61003	18	1	50	1
61003	19	0	 	 
61003	20	0	 	 
61003	21	0	 	 
61003	22	1	180	1
61003	23	0	 	 
61003	24	0	 	 
61003	25	0	 	 
61003	26	1	400	0
61003	27	0	 	 
61003	28	0	 	 
61003	29	0	 	 
61003	30	1	500	 
61003	31	0	 	 
61004	1	0	 	 
61004	2	1	300	 
61004	3	0	 	 
61004	4	1	300	4
61004	5	0	 	 
61004	6	1	399	 
61004	7	0	 	 
61004	8	1	300	4
61004	9	1	200	4
61004	10	0	 	 
61004	11	1	150	4
61004	12	1	400	4
61004	13	0	 	 
61004	15	1	200	4
61004	16	0	 	 
61004	17	0	 	 
61004	18	0	 	 
61004	19	1	1200	2
61004	20	0	 	 
61004	21	1	399	2
61004	22	1	100	2
61004	23	0	 	 
61004	24	0	 	 
61004	25	0	 	 
61004	26	0	 	 
61004	27	0	 	 
61004	28	0	 	 
61004	29	0	 	 
61004	30	0	 	 
61004	31	0	 	 
61005	1	1	100	 
61005	2	1	50	 
61005	3	1	150	4
61005	4	1	120	0
61005	5	1	0	 
61005	6	1	15	 
61005	7	1	121	4
61005	8	1	85	0
61005	9	1	85	0
61005	10	1	130	4
61005	11	0	 	 
61005	12	1	152	1
61005	13	0	 	 
61005	15	1	230	2
61005	16	0	 	 
61005	17	1	50	4
61005	18	1	20	4
61005	19	1	50	4
61005	20	1	300	1
61005	21	0	 	 
61005	22	0	 	 
61005	23	1	100	0
61005	24	0	 	 
61005	25	1	20000	0
61005	26	0	 	 
61005	27	0	 	 
61005	28	0	 	 
61005	29	0	 	 
61005	30	0	 	 
61005	31	0	 	 
61006	1	1	200	 
61006	2	1	300	 
61006	3	1	1200	1
61006	4	0	 	 
61006	5	1	120	 
61006	6	1	100	 
61006	7	1	500	1
61006	8	0	 	 
61006	9	0	 	 
61006	10	1	200	1
61006	11	0	 	 
61006	12	1	400	1
61006	13	0	 	 
61006	15	1	350	1
61006	16	0	 	 
61006	17	1	100	1
61006	18	1	800	1
61006	19	0	 	 
61006	20	0	 	 
61006	21	0	 	 
61006	22	0	 	 
61006	23	0	 	 
61006	24	0	 	 
61006	25	0	 	 
61006	26	1	1920	0
61006	27	0	 	 
61006	28	0	 	 
61006	29	0	 	 
61006	30	0	 	 
61006	31	0	 	 
61007	1	0	 	 
61007	2	1	80	 
61007	3	1	100	4
61007	4	0	 	 
61007	5	1	35	 
61007	6	0	 	 
61007	7	1	35	4
61007	8	0	 	 
61007	9	0	 	 
61007	10	1	60	4
61007	11	0	 	 
61007	12	1	105	4
61007	13	0	 	 
61007	15	1	80	4
61007	16	0	 	 
61007	17	0	 	 
61007	18	1	15	1
61007	19	0	 	 
61007	20	0	 	 
61007	21	0	 	 
61007	22	0	 	 
61007	23	0	 	 
61007	24	0	 	 
61007	25	0	 	 
61007	26	0	 	 
61007	27	0	 	 
61007	28	0	 	 
61007	29	0	 	 
61007	30	0	 	 
61007	31	0	 	 
61008	1	1	360	 
61008	2	1	200	 
61008	3	1	100	4
61008	4	1	100	0
61008	5	1	105	 
61008	6	1	90	 
61008	7	1	90	4
61008	8	1	170	0
61008	9	1	150	0
61008	10	1	135	4
61008	11	0	 	 
61008	12	1	30	4
61008	13	0	 	 
61008	15	1	820	1
61008	16	1	300	0
61008	17	1	150	0
61008	18	1	250	0
61008	19	1	28	1
61008	20	1	120	1
61008	21	1	155	1
61008	22	1	100	0
61008	23	0	 	 
61008	24	0	 	 
61008	25	0	 	 
61008	26	0	 	 
61008	27	0	 	 
61008	28	0	 	 
61008	29	0	 	 
61008	30	0	 	 
61008	31	0	 	 
61009	1	1	100	 
61009	2	1	100	 
61009	3	1	200	4
61009	4	1	200	0
61009	5	1	100	 
61009	6	1	100	 
61009	7	1	100	4
61009	8	1	100	0
61009	9	1	200	0
61009	10	1	100	4
61009	11	0	 	 
61009	12	1	200	1
61009	13	0	 	 
61009	15	1	300	1
61009	16	0	 	 
61009	17	0	 	 
61009	18	0	 	 
61009	19	1	30	1
61009	20	1	90	1
61009	21	0	 	 
61009	22	1	20	0
61009	23	0	 	 
61009	24	0	 	 
61009	25	0	 	 
61009	26	0	 	 
61009	27	0	 	 
61009	28	0	 	 
61009	29	0	 	 
61009	30	0	 	 
61009	31	0	 	 
61010	1	1	200	 
61010	2	1	120	 
61010	3	1	184	3
61010	4	1	80	0
61010	5	1	120	 
61010	6	1	70	 
61010	7	1	60	2
61010	8	1	150	0
61010	9	1	28	0
61010	10	1	28	4
61010	11	1	124	0
61010	12	1	124	1
61010	13	0	 	 
61010	15	1	100	1
61010	16	0	 	 
61010	17	0	 	 
61010	18	1	21	0
61010	19	0	 	 
61010	20	0	 	 
61010	21	0	 	 
61010	22	0	 	 
61010	23	0	 	 
61010	24	0	 	 
61010	25	1	10000	0
61010	26	1	4560	0
61010	27	0	 	 
61010	28	0	 	 
61010	29	0	 	 
61010	30	0	 	 
61010	31	0	 	 
61011	1	1	500	 
61011	2	1	500	 
61011	3	1	300	2
61011	4	1	300	0
61011	5	1	600	 
61011	6	1	200	 
61011	7	1	450	2
61011	8	1	450	0
61011	9	1	150	0
61011	10	1	450	2
61011	11	1	300	2
61011	12	1	300	2
61011	13	0	 	 
61011	15	1	500	1
61011	16	0	 	 
61011	17	0	 	 
61011	18	0	 	 
61011	19	0	 	 
61011	20	0	 	 
61011	21	0	 	 
61011	22	1	1000	2
61011	23	0	 	 
61011	24	0	 	 
61011	25	0	 	 
61011	26	0	 	 
61011	27	0	 	 
61011	28	0	 	 
61011	29	0	 	 
61011	30	0	 	 
61011	31	0	 	 
61012	1	1	50	 
61012	2	1	150	 
61012	3	0	 	 
61012	4	1	300	3
61012	5	1	50	 
61012	6	1	200	 
61012	7	0	 	 
61012	8	1	300	2
61012	9	0	 	 
61012	10	0	 	 
61012	11	1	230	4
61012	12	1	80	4
61012	13	0	 	 
61012	15	1	80	4
61012	16	0	 	 
61012	17	0	 	 
61012	18	0	 	 
61012	19	0	 	 
61012	20	0	 	 
61012	21	0	 	 
61012	22	1	800	1
61012	23	0	 	 
61012	24	0	 	 
61012	25	0	 	 
61012	26	1	2500	0
61012	27	0	 	 
61012	28	0	 	 
61012	29	0	 	 
61012	30	0	 	 
61012	31	0	 	 
61013	1	1	200	 
61013	2	1	200	 
61013	3	1	200	4
61013	4	1	200	0
61013	5	1	500	 
61013	6	1	130	 
61013	7	1	100	4
61013	8	1	100	0
61013	9	0	 	 
61013	10	0	 	 
61013	11	0	 	 
61013	12	0	 	 
61013	13	0	 	 
61013	15	0	 	 
61013	16	0	 	 
61013	17	1	500	0
61013	18	0	 	 
61013	19	0	 	 
61013	20	0	 	 
61013	21	0	 	 
61013	22	0	 	 
61013	23	0	 	 
61013	24	0	 	 
61013	25	0	 	 
61013	26	0	 	 
61013	27	0	 	 
61013	28	0	 	 
61013	29	0	 	 
61013	30	0	 	 
61013	31	0	 	 
61014	1	0	 	 
61014	2	1	300	 
61014	3	1	1000	2
61014	4	0	 	 
61014	5	0	 	 
61014	6	1	300	 
61014	7	1	1000	2
61014	8	0	 	 
61014	9	0	 	 
61014	10	1	50	4
61014	11	1	185	4
61014	12	1	300	4
61014	13	0	 	 
61014	15	1	1000	2
61014	16	0	 	 
61014	17	0	 	 
61014	18	0	 	 
61014	19	1	20	2
61014	20	0	 	 
61014	21	0	 	 
61014	22	1	3000	2
61014	23	0	 	 
61014	24	0	 	 
61014	25	0	 	 
61014	26	0	 	 
61014	27	0	 	 
61014	28	0	 	 
61014	29	0	 	 
61014	30	0	 	 
61014	31	0	 	 
61015	1	1	180	 
61015	2	1	60	 
61015	3	1	200	4
61015	4	0	 	 
61015	5	1	60	 
61015	6	1	50	 
61015	7	1	150	4
61015	8	0	 	 
61015	9	0	 	 
61015	10	1	120	4
61015	11	1	400	4
61015	12	0	 	 
61015	13	0	 	 
61015	15	1	600	4
61015	16	0	 	 
61015	17	1	100	1
61015	18	1	50	1
61015	19	0	 	 
61015	20	0	 	 
61015	21	0	 	 
61015	22	0	 	 
61015	23	0	 	 
61015	24	0	 	 
61015	25	0	 	 
61015	26	1	14400	0
61015	27	0	 	 
61015	28	0	 	 
61015	29	0	 	 
61015	30	0	 	 
61015	31	0	 	 
61016	1	0	 	 
61016	2	0	 	 
61016	3	0	 	 
61016	4	1	200	3
61016	5	0	 	 
61016	6	0	 	 
61016	7	0	 	 
61016	8	1	100	2
61016	9	0	 	 
61016	10	0	 	 
61016	11	0	 	 
61016	12	0	 	 
61016	13	0	 	 
61016	15	0	 	 
61016	16	0	 	 
61016	17	0	 	 
61016	18	0	 	 
61016	19	0	 	 
61016	20	0	 	 
61016	21	0	 	 
61016	22	0	 	 
61016	23	0	 	 
61016	24	0	 	 
61016	25	0	 	 
61016	26	1	2400	0
61016	27	0	 	 
61016	28	0	 	 
61016	29	0	 	 
61016	30	0	 	 
61016	31	0	 	 
61017	1	1	100	 
61017	2	1	400	 
61017	3	0	 	 
61017	4	1	400	4
61017	5	1	200	 
61017	6	1	100	 
61017	7	0	 	 
61017	8	1	100	4
61017	9	1	120	4
61017	10	0	 	 
61017	11	0	 	 
61017	12	1	140	4
61017	13	0	 	 
61017	15	1	70	4
61017	16	0	 	 
61017	17	0	 	 
61017	18	1	15	1
61017	19	1	40	4
61017	20	0	 	 
61017	21	0	 	 
61017	22	1	100	1
61017	23	0	 	 
61017	24	0	 	 
61017	25	1	500	0
61017	26	0	 	 
61017	27	0	 	 
61017	28	0	 	 
61017	29	0	 	 
61017	30	0	 	 
61017	31	0	 	 
61018	1	1	200	 
61018	2	1	150	 
61018	3	1	200	4
61018	4	1	200	0
61018	5	1	250	 
61018	6	1	120	 
61018	7	1	300	4
61018	8	1	150	0
61018	9	1	180	0
61018	10	1	135	4
61018	11	0	 	 
61018	12	1	450	1
61018	13	0	 	 
61018	15	1	350	1
61018	16	0	 	 
61018	17	0	 	 
61018	18	1	40	1
61018	19	0	 	 
61018	20	1	20	3
61018	21	0	 	 
61018	22	0	 	 
61018	23	0	 	 
61018	24	0	 	 
61018	25	0	 	 
61018	26	0	 	 
61018	27	0	 	 
61018	28	0	 	 
61018	29	0	 	 
61018	30	0	 	 
61018	31	0	 	 
61019	1	0	 	 
61019	2	0	 	 
61019	3	1	200	2
61019	4	0	 	 
61019	5	0	 	 
61019	6	0	 	 
61019	7	1	90	2
61019	8	0	 	 
61019	9	0	 	 
61019	10	1	44	2
61019	11	0	 	 
61019	12	1	101	2
61019	13	0	 	 
61019	15	1	150	2
61019	16	0	 	 
61019	17	0	 	 
61019	18	0	 	 
61019	19	1	300	2
61019	20	0	 	 
61019	21	0	 	 
61019	22	0	 	 
61019	23	0	 	 
61019	24	0	 	 
61019	25	0	 	 
61019	26	1	300	0
61019	27	0	 	 
61019	28	0	 	 
61019	29	0	 	 
61019	30	0	 	 
61019	31	0	 	 
61021	1	1	80	 
61021	2	1	65	 
61021	3	1	59	4
61021	4	1	40	0
61021	5	0	 	 
61021	6	1	20	 
61021	7	1	90	4
61021	8	1	50	0
61021	9	0	 	 
61021	10	0	 	 
61021	11	0	 	 
61021	12	1	80	2
61021	13	0	 	 
61021	15	1	300	3
61021	16	0	 	 
61021	17	0	 	 
61021	18	1	60	1
61021	19	0	 	 
61021	20	1	400	3
61021	21	0	 	 
61021	22	0	 	 
61021	23	0	 	 
61021	24	0	 	 
61021	25	0	 	 
61021	26	0	 	 
61021	27	0	 	 
61021	28	0	 	 
61021	29	0	 	 
61021	30	0	 	 
61021	31	0	 	 
61022	1	1	500	 
61022	2	1	500	 
61022	3	1	500	0
61022	4	1	1000	2
61022	5	1	700	 
61022	6	1	200	 
61022	7	1	100	0
61022	8	1	1000	3
61022	9	1	250	3
61022	10	0	 	 
61022	11	0	 	 
61022	12	1	250	3
61022	13	0	 	 
61022	15	1	200	2
61022	16	0	 	 
61022	17	0	 	 
61022	18	1	100	1
