CHILDCODE	LVSKIDR5	AYANR5	NMAMR5	VLAMR5
11017	57	0	 	 
11017	58	0	 	 
11018	1	 	 	 
11018	2	 	 	 
11018	6	 	 	 
11018	9	 	 	 
11018	13	 	 	 
11018	14	 	 	 
11018	15	 	 	 
11018	16	 	 	 
11018	17	 	 	 
11018	51	 	 	 
11018	52	 	 	 
11018	53	 	 	 
11018	54	 	 	 
11018	55	 	 	 
11018	56	 	 	 
11018	57	 	 	 
11018	58	 	 	 
11019	1	 	 	 
11019	2	 	 	 
11019	6	 	 	 
11019	9	 	 	 
11019	13	 	 	 
11019	14	 	 	 
11019	15	 	 	 
11019	16	 	 	 
11019	17	 	 	 
11019	51	 	 	 
11019	52	 	 	 
11019	53	 	 	 
11019	54	 	 	 
11019	55	 	 	 
11019	56	 	 	 
11019	57	 	 	 
11019	58	 	 	 
11020	1	 	 	 
11020	2	 	 	 
11020	6	 	 	 
11020	9	 	 	 
11020	13	 	 	 
11020	14	 	 	 
11020	15	 	 	 
11020	16	 	 	 
11020	17	 	 	 
11020	51	 	 	 
11020	52	 	 	 
11020	53	 	 	 
11020	54	 	 	 
11020	55	 	 	 
11020	56	 	 	 
11020	57	 	 	 
11020	58	 	 	 
11021	1	 	 	 
11021	2	 	 	 
11021	6	 	 	 
11021	9	 	 	 
11021	13	 	 	 
11021	14	 	 	 
11021	15	 	 	 
11021	16	 	 	 
11021	17	 	 	 
11021	51	 	 	 
11021	52	 	 	 
11021	53	 	 	 
11021	54	 	 	 
11021	55	 	 	 
11021	56	 	 	 
11021	57	 	 	 
11021	58	 	 	 
11022	1	0	 	 
11022	2	0	 	 
11022	6	0	 	 
11022	9	0	 	 
11022	13	0	 	 
11022	14	0	 	 
11022	15	0	 	 
11022	16	1	10	175
11022	17	0	 	 
11022	51	0	 	 
11022	52	0	 	 
11022	53	0	 	 
11022	54	0	 	 
11022	55	0	 	 
11022	56	0	 	 
11022	57	0	 	 
11022	58	0	 	 
11023	1	 	 	 
11023	2	 	 	 
11023	6	 	 	 
11023	9	 	 	 
11023	13	 	 	 
11023	14	 	 	 
