CHILDCODE	PAYCIDR4	PAYTUTR4	PAYOTHR4
21012	2	 	 
21012	3	 	 
21012	4	 	 
21012	5	 	 
21012	6	 	 
21013	1	 	 
21013	2	 	 
21013	3	 	 
21013	4	 	 
21013	5	 	 
21013	6	 	 
21014	1	 	 
21014	2	 	 
21014	3	 	 
21014	4	 	 
21014	5	 	 
21014	6	 	 
21015	1	 	 
21015	2	 	 
21015	3	 	 
21015	4	 	 
21015	5	 	 
21015	6	 	 
21017	1	 	 
21017	2	 	 
21017	3	 	 
21017	4	 	 
21017	5	 	 
21017	6	 	 
21018	1	 	 
21018	2	 	 
21018	3	 	 
21018	4	 	 
21018	5	 	 
21018	6	 	 
21020	1	 	 
21020	2	 	 
21020	3	 	 
21020	4	 	 
21020	5	 	 
21020	6	 	 
21022	1	0	0
21022	2	1	1
21022	3	0	0
21022	4	0	0
21022	5	0	0
21022	6	1	1
21023	1	0	0
21023	2	1	1
21023	3	0	0
21023	4	0	0
21023	5	0	0
21023	6	1	1
21024	1	 	 
21024	2	 	 
21024	3	 	 
21024	4	 	 
21024	5	 	 
21024	6	 	 
21025	1	0	0
21025	2	1	1
21025	3	1	1
21025	4	1	1
21025	5	0	0
21025	6	0	0
21026	1	 	 
21026	2	 	 
21026	3	 	 
21026	4	 	 
21026	5	 	 
21026	6	 	 
21027	1	 	 
21027	2	 	 
21027	3	 	 
21027	4	 	 
21027	5	 	 
21027	6	 	 
21029	1	0	0
21029	2	1	1
21029	3	0	0
21029	4	0	0
21029	5	0	0
21029	6	0	0
21030	1	0	0
21030	2	1	1
21030	3	1	1
21030	4	0	0
21030	5	0	0
21030	6	0	0
21031	1	 	 
21031	2	 	 
21031	3	 	 
21031	4	 	 
21031	5	 	 
21031	6	 	 
21032	1	 	 
21032	2	 	 
21032	3	 	 
21032	4	 	 
21032	5	 	 
21032	6	 	 
21034	1	 	 
21034	2	 	 
21034	3	 	 
21034	4	 	 
21034	5	 	 
21034	6	 	 
21036	1	0	1
21036	2	1	1
21036	3	0	0
21036	4	0	0
21036	5	0	0
21036	6	1	0
21038	1	 	 
21038	2	 	 
21038	3	 	 
21038	4	 	 
21038	5	 	 
21038	6	 	 
21039	1	0	0
21039	2	1	1
21039	3	0	0
21039	4	0	0
21039	5	1	1
21039	6	1	1
21041	1	 	 
21041	2	 	 
21041	3	 	 
21041	4	 	 
21041	5	 	 
21041	6	 	 
21044	1	 	 
21044	2	 	 
21044	3	 	 
21044	4	 	 
21044	5	 	 
21044	6	 	 
21046	1	 	 
21046	2	 	 
21046	3	 	 
21046	4	 	 
21046	5	 	 
21046	6	 	 
21047	1	 	 
21047	2	 	 
21047	3	 	 
21047	4	 	 
21047	5	 	 
21047	6	 	 
21049	1	 	 
21049	2	 	 
21049	3	 	 
21049	4	 	 
21049	5	 	 
21049	6	 	 
21056	1	 	 
21056	2	 	 
21056	3	 	 
21056	4	 	 
21056	5	 	 
21056	6	 	 
21069	1	0	1
21069	2	1	1
21069	3	0	0
21069	4	0	0
21069	5	0	0
21069	6	0	0
21072	1	0	0
21072	2	1	1
21072	3	0	0
21072	4	0	0
21072	5	0	0
21072	6	0	0
21083	1	 	 
21083	2	 	 
21083	3	 	 
21083	4	 	 
21083	5	 	 
21083	6	 	 
21090	1	0	0
21090	2	1	1
21090	3	0	0
21090	4	0	0
21090	5	0	0
21090	6	0	0
21094	1	0	0
21094	2	1	1
21094	3	1	1
21094	4	0	1
21094	5	0	0
21094	6	1	1
31001	1	0	0
31001	2	1	1
31001	3	0	0
31001	4	0	0
31001	5	0	0
31001	6	0	0
31002	1	0	0
31002	2	1	1
31002	3	0	0
31002	4	0	0
31002	5	0	0
31002	6	0	0
31004	1	 	 
31004	2	 	 
31004	3	 	 
31004	4	 	 
31004	5	 	 
31004	6	 	 
31005	1	0	0
31005	2	1	1
31005	3	0	0
31005	4	0	0
31005	5	0	0
31005	6	0	0
31006	1	 	 
31006	2	 	 
31006	3	 	 
31006	4	 	 
31006	5	 	 
31006	6	 	 
31007	1	 	 
31007	2	 	 
31007	3	 	 
31007	4	 	 
31007	5	 	 
31007	6	 	 
31008	1	 	 
31008	2	 	 
31008	3	 	 
31008	4	 	 
31008	5	 	 
31008	6	 	 
31010	1	 	 
31010	2	 	 
31010	3	 	 
31010	4	 	 
31010	5	 	 
31010	6	 	 
31011	1	1	1
31011	2	0	0
31011	3	0	0
31011	4	0	0
31011	5	0	0
31011	6	0	0
31012	1	 	 
31012	2	 	 
31012	3	 	 
31012	4	 	 
31012	5	 	 
31012	6	 	 
31013	1	 	 
31013	2	 	 
31013	3	 	 
31013	4	 	 
31013	5	 	 
31013	6	 	 
31018	1	 	 
31018	2	 	 
31018	3	 	 
31018	4	 	 
31018	5	 	 
31018	6	 	 
31020	1	 	 
31020	2	 	 
31020	3	 	 
31020	4	 	 
31020	5	 	 
31020	6	 	 
31021	1	0	0
31021	2	1	1
31021	3	1	1
31021	4	0	0
31021	5	1	1
31021	6	1	1
31023	1	 	 
31023	2	 	 
31023	3	 	 
31023	4	 	 
31023	5	 	 
31023	6	 	 
31024	1	 	 
31024	2	 	 
31024	3	 	 
31024	4	 	 
31024	5	 	 
31024	6	 	 
31025	1	 	 
31025	2	 	 
31025	3	 	 
31025	4	 	 
31025	5	 	 
31025	6	 	 
31027	1	 	 
31027	2	 	 
31027	3	 	 
31027	4	 	 
31027	5	 	 
31027	6	 	 
31028	1	 	 
31028	2	 	 
31028	3	 	 
31028	4	 	 
31028	5	 	 
31028	6	 	 
31029	1	 	 
31029	2	 	 
31029	3	 	 
31029	4	 	 
31029	5	 	 
31029	6	 	 
31031	1	 	 
31031	2	 	 
31031	3	 	 
31031	4	 	 
31031	5	 	 
31031	6	 	 
31032	1	0	0
31032	2	1	1
31032	3	0	0
31032	4	0	0
31032	5	0	0
31032	6	1	0
31035	1	 	 
31035	2	 	 
31035	3	 	 
31035	4	 	 
31035	5	 	 
31035	6	 	 
31036	1	0	0
31036	2	1	0
31036	3	0	0
31036	4	0	0
31036	5	1	1
31036	6	1	1
31037	1	 	 
31037	2	 	 
31037	3	 	 
31037	4	 	 
31037	5	 	 
31037	6	 	 
31038	1	 	 
31038	2	 	 
31038	3	 	 
31038	4	 	 
31038	5	 	 
31038	6	 	 
31039	1	 	 
31039	2	 	 
31039	3	 	 
31039	4	 	 
31039	5	 	 
31039	6	 	 
31040	1	 	 
31040	2	 	 
31040	3	 	 
31040	4	 	 
31040	5	 	 
31040	6	 	 
31043	1	 	 
31043	2	 	 
31043	3	 	 
31043	4	 	 
31043	5	 	 
31043	6	 	 
31044	1	0	0
31044	2	1	1
31044	3	0	0
31044	4	0	0
31044	5	0	0
31044	6	1	1
31045	1	0	0
31045	2	1	1
31045	3	1	1
31045	4	0	0
31045	5	0	0
31045	6	0	0
31046	1	0	0
31046	2	1	1
31046	3	0	0
31046	4	0	0
31046	5	0	0
31046	6	0	0
31048	1	 	 
31048	2	 	 
31048	3	 	 
31048	4	 	 
31048	5	 	 
31048	6	 	 
31049	1	0	0
31049	2	1	1
31049	3	0	1
31049	4	0	0
31049	5	0	0
31049	6	1	0
31050	1	 	 
31050	2	 	 
31050	3	 	 
31050	4	 	 
31050	5	 	 
31050	6	 	 
31052	1	 	 
31052	2	 	 
31052	3	 	 
31052	4	 	 
31052	5	 	 
31052	6	 	 
31058	1	 	 
31058	2	 	 
31058	3	 	 
31058	4	 	 
31058	5	 	 
31058	6	 	 
31059	1	 	 
31059	2	 	 
31059	3	 	 
31059	4	 	 
31059	5	 	 
31059	6	 	 
31060	1	 	 
31060	2	 	 
31060	3	 	 
31060	4	 	 
31060	5	 	 
31060	6	 	 
31079	1	 	 
31079	2	 	 
31079	3	 	 
31079	4	 	 
31079	5	 	 
31079	6	 	 
31096	1	 	 
31096	2	 	 
31096	3	 	 
31096	4	 	 
31096	5	 	 
31096	6	 	 
31098	1	 	 
31098	2	 	 
31098	3	 	 
31098	4	 	 
31098	5	 	 
31098	6	 	 
31108	1	0	0
31108	2	1	1
31108	3	0	0
31108	4	0	1
31108	5	0	0
31108	6	1	1
31134	1	0	0
31134	2	1	1
31134	3	0	0
31134	4	0	0
31134	5	0	0
31134	6	0	0
41001	1	 	 
41001	2	 	 
