CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTWEKR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
11037	1	11	3	4	8	2	1	100	 	2	 	0	 
11037	2	88	 	 	 	 	 	 	 	 	 	 	 
11037	3	88	 	 	 	 	 	 	 	 	 	 	 
11038	1	1	2	8	7	3	0	 	 	 	 	1	12
11038	2	88	 	 	 	 	 	 	 	 	 	 	 
11038	3	88	 	 	 	 	 	 	 	 	 	 	 
11039	1	19	2	12	30	1	0	 	 	 	 	0	 
11039	2	88	 	 	 	 	 	 	 	 	 	 	 
11039	3	88	 	 	 	 	 	 	 	 	 	 	 
11040	1	1	2	6	20	5	0	 	 	 	 	1	6
11040	2	12	3	12	26	7	1	1500	 	4	 	1	12
11040	3	88	 	 	 	 	 	 	 	 	 	 	 
11041	1	88	 	 	 	 	 	 	 	 	 	 	 
11041	2	88	 	 	 	 	 	 	 	 	 	 	 
11041	3	88	 	 	 	 	 	 	 	 	 	 	 
11042	1	13	1	12	28	12	1	5000	 	4	 	1	-77
11042	2	88	 	 	 	 	 	 	 	 	 	 	 
11042	3	88	 	 	 	 	 	 	 	 	 	 	 
11043	1	12	1	7	27	9	1	10000	 	5	 	1	-77
11043	2	5	1	2	25	10	1	3000	 	4	 	0	 
11043	3	88	 	 	 	 	 	 	 	 	 	 	 
11044	1	88	 	 	 	 	 	 	 	 	 	 	 
11044	2	88	 	 	 	 	 	 	 	 	 	 	 
11044	3	88	 	 	 	 	 	 	 	 	 	 	 
11048	1	12	3	4	14	14	1	800	 	4	 	1	11
11048	2	1	2	1	15	2	0	 	 	 	 	1	1
11048	3	88	 	 	 	 	 	 	 	 	 	 	 
11050	1	1	2	6	3	4	0	 	 	 	 	1	3
11050	2	5	3	1	28	8	1	3000	 	4	 	0	 
11050	3	88	 	 	 	 	 	 	 	 	 	 	 
11052	1	88	 	 	 	 	 	 	 	 	 	 	 
11052	2	88	 	 	 	 	 	 	 	 	 	 	 
11052	3	88	 	 	 	 	 	 	 	 	 	 	 
11061	1	13	1	11	30	8	1	4500	 	4	 	0	 
11061	2	88	 	 	 	 	 	 	 	 	 	 	 
11061	3	88	 	 	 	 	 	 	 	 	 	 	 
11063	1	88	 	 	 	 	 	 	 	 	 	 	 
11063	2	88	 	 	 	 	 	 	 	 	 	 	 
11063	3	88	 	 	 	 	 	 	 	 	 	 	 
11069	1	1	2	6	3	5	0	 	 	 	 	0	 
11069	2	12	3	5	26	8	1	900	 	4	 	1	12
11069	3	88	 	 	 	 	 	 	 	 	 	 	 
11074	1	1	2	1	7	4	0	 	 	 	 	0	 
11074	2	88	 	 	 	 	 	 	 	 	 	 	 
11074	3	88	 	 	 	 	 	 	 	 	 	 	 
11088	1	13	3	2	28	6	1	1200	 	4	 	0	 
11088	2	88	 	 	 	 	 	 	 	 	 	 	 
11088	3	88	 	 	 	 	 	 	 	 	 	 	 
21002	1	13	1	12	26	10	1	3500	 	4	 	1	-77
21002	2	88	 	 	 	 	 	 	 	 	 	 	 
21002	3	88	 	 	 	 	 	 	 	 	 	 	 
21004	1	3	2	12	20	7	5	300	 	4	 	1	12
21004	2	88	 	 	 	 	 	 	 	 	 	 	 
21004	3	88	 	 	 	 	 	 	 	 	 	 	 
21005	1	10	2	3	10	3	0	 	 	 	 	1	2
21005	2	88	 	 	 	 	 	 	 	 	 	 	 
21005	3	88	 	 	 	 	 	 	 	 	 	 	 
21007	1	12	3	5	30	10	1	2500	 	4	 	1	0
21007	2	88	 	 	 	 	 	 	 	 	 	 	 
21007	3	88	 	 	 	 	 	 	 	 	 	 	 
21008	1	13	1	7	30	10	1	2600	 	4	 	1	-77
21008	2	88	 	 	 	 	 	 	 	 	 	 	 
21008	3	88	 	 	 	 	 	 	 	 	 	 	 
21009	1	88	 	 	 	 	 	 	 	 	 	 	 
21009	2	88	 	 	 	 	 	 	 	 	 	 	 
21009	3	88	 	 	 	 	 	 	 	 	 	 	 
21011	1	12	3	6	30	7	1	2500	 	4	 	0	 
21011	2	10	2	4	15	4	1	1000	 	4	 	0	 
21011	3	88	 	 	 	 	 	 	 	 	 	 	 
21012	1	12	3	12	30	14	1	1800	 	4	 	1	12
21012	2	1	1	1	4	8	0	 	 	 	 	0	 
21012	3	88	 	 	 	 	 	 	 	 	 	 	 
21013	1	13	3	9	30	12	1	1500	 	4	 	0	 
21013	2	1	2	1	18	8	0	 	 	 	 	1	1
21013	3	4	2	1	25	2	0	 	 	 	 	0	 
21014	1	5	1	2	26	8	1	3400	 	4	 	0	 
21014	2	88	 	 	 	 	 	 	 	 	 	 	 
21014	3	88	 	 	 	 	 	 	 	 	 	 	 
21015	1	12	3	8	8	12	1	1000	 	4	 	0	 
21015	2	3	2	2	3	7	0	 	 	 	 	1	2
21015	3	88	 	 	 	 	 	 	 	 	 	 	 
21017	1	10	2	12	30	3	0	 	 	 	 	1	12
21017	2	88	 	 	 	 	 	 	 	 	 	 	 
21017	3	88	 	 	 	 	 	 	 	 	 	 	 
21018	1	13	1	6	28	12	1	4000	 	4	 	0	 
21018	2	88	 	 	 	 	 	 	 	 	 	 	 
21018	3	88	 	 	 	 	 	 	 	 	 	 	 
21020	1	20	3	8	15	6	1	1000	 	4	 	1	9
21020	2	88	 	 	 	 	 	 	 	 	 	 	 
