CHILDCODE	TRANIDR4	TYPTRNR4	DELTRNR4	PAYTRNR4	TRNCMPR4	DURTTLR4	ATDTRNR4	ADDTRNR4	CRTDIPR4
11006	1	1	1	0	1	7	 	 	0
11010	1	3	6	0	1	150	 	 	0
11020	1	1	2	1	1	90	 	 	1
11025	1	2	3	1	0	 	4	4	 
11025	2	2	3	1	1	24	 	 	 
11038	1	1	2	1	0	 	30	60	1
11061	1	3	5	0	1	14	 	 	0
11069	1	3	6	0	0	 	126	365	0
21017	1	2	3	1	1	30	 	 	 
21018	1	2	3	0	1	30	 	 	 
21023	1	1	2	0	1	7	 	 	0
21029	1	1	2	1	0	 	440	484	1
21039	1	 	 	 	 	 	 	 	 
31007	1	2	1	0	1	5	 	 	 
31038	1	3	3	0	1	75	 	 	0
41011	1	3	3	0	1	90	 	 	0
41019	1	3	6	0	0	 	45	120	0
41025	1	1	2	0	0	 	420	440	1
41028	1	3	6	0	1	730	 	 	0
41038	1	1	1	0	1	90	 	 	1
41046	1	3	6	0	1	30	 	 	0
41050	1	1	1	0	1	65	 	 	0
51016	1	 	 	 	 	 	 	 	 
51024	1	2	3	0	0	 	7	60	 
51036	1	2	3	1	1	60	 	 	 
51042	1	1	2	1	0	 	50	30	1
61015	1	1	5	1	1	365	 	 	0
61036	1	3	5	1	1	180	 	 	0
61039	1	2	2	0	1	5	 	 	 
61042	1	 	 	 	 	 	 	 	 
61044	1	1	2	1	0	 	216	144	1
61047	1	2	7	0	1	7	 	 	 
61048	1	 	 	 	 	 	 	 	 
71003	1	2	3	0	1	7	 	 	 
71031	1	1	3	0	1	15	 	 	0
71032	1	3	7	1	1	180	 	 	0
71037	1	1	3	1	1	60	 	 	1
71042	1	1	3	0	0	 	1	30	0
71042	2	2	3	0	1	7	 	 	 
71047	1	1	2	1	0	 	40	60	1
71047	2	1	2	1	0	 	40	60	1
71091	1	2	1	1	1	28	 	 	 
71120	1	 	 	 	 	 	 	 	 
81003	1	2	2	1	1	90	 	 	 
81030	1	1	2	1	0	 	30	-77	1
81036	1	1	2	0	1	7	 	 	1
81039	1	3	7	1	0	 	300	60	0
81043	1	1	4	0	1	24	 	 	1
81045	1	1	1	0	1	60	 	 	0
81130	1	1	5	1	1	9	 	 	0
81139	1	1	1	1	1	90	 	 	1
91001	1	2	5	0	0	 	120	-77	 
91047	1	2	7	1	1	180	 	 	 
101004	1	3	3	0	1	30	 	 	0
101039	1	2	3	0	1	15	 	 	 
101054	1	2	3	0	1	7	 	 	 
111027	1	1	3	0	1	5	 	 	0
111039	1	2	5	0	0	 	30	300	 
111040	1	2	3	0	1	300	 	 	 
111042	1	2	5	0	0	 	60	0	 
111050	1	3	5	0	0	 	-77	-77	0
111111	1	2	5	0	0	 	60	0	 
121003	1	1	1	0	1	16	 	 	0
121009	1	1	3	1	1	10	 	 	0
121030	1	2	5	0	1	60	 	 	 
121036	1	2	3	1	0	 	40	-77	 
121039	1	2	3	1	1	30	 	 	 
121052	1	 	 	 	 	 	 	 	 
131012	1	2	4	1	1	40	 	 	 
131054	1	2	2	1	1	90	 	 	 
141006	1	2	3	1	0	 	10	13	 
141010	1	2	3	1	0	 	7	14	 
141018	1	 	 	 	 	 	 	 	 
141033	1	 	 	 	 	 	 	 	 
141045	1	 	 	 	 	 	 	 	 
141050	1	2	5	1	1	90	 	 	 
151005	1	3	3	0	1	30	 	 	0
151008	1	3	6	0	1	90	 	 	0
151012	1	3	3	0	1	60	 	 	0
151014	1	2	3	0	1	7	 	 	 
151040	1	1	2	1	1	16	 	 	1
151041	1	3	3	0	0	 	7	30	0
151043	1	2	3	1	1	16	 	 	 
151044	1	3	6	0	1	30	 	 	0
161002	1	 	 	 	 	 	 	 	 
161005	1	 	 	 	 	 	 	 	 
161019	1	2	3	1	1	99	 	 	 
161024	1	3	3	0	1	30	 	 	0
161033	1	3	3	0	1	30	 	 	0
161035	1	1	1	1	0	 	420	540	0
161045	1	3	3	0	1	90	 	 	0
171006	1	3	6	0	1	365	 	 	0
171015	1	3	6	0	1	60	 	 	0
171031	1	3	7	0	1	180	 	 	0
171046	1	2	7	0	1	21	 	 	 
171053	1	3	7	0	1	14	 	 	0
171057	1	2	3	0	0	 	180	82	 
171060	1	3	3	0	0	 	150	920	1
181001	1	1	1	0	1	7	 	 	1
181005	1	2	7	1	0	 	270	365	 
181006	1	1	2	1	0	 	260	390	1
181009	1	2	2	1	0	 	30	60	 
181033	1	1	2	1	1	30	 	 	1
181036	1	 	 	 	 	 	 	 	 
181042	1	1	3	1	0	 	450	270	1
181044	1	2	3	1	0	 	510	700	 
181046	1	2	3	1	0	 	60	11	 
181058	1	2	3	1	1	90	 	 	 
181059	1	1	2	1	0	 	64	26	1
191007	1	2	3	0	1	7	 	 	 
191014	1	2	2	1	0	 	90	90	 
191015	1	3	3	1	1	120	 	 	0
191020	1	1	2	1	1	90	 	 	1
191026	1	2	3	1	1	60	 	 	 
191027	1	2	3	0	0	 	104	60	 
191028	1	2	3	0	1	30	 	 	 
191038	1	 	 	 	 	 	 	 	 
191041	1	2	3	0	1	60	 	 	 
191043	1	2	3	1	0	 	60	540	 
191044	1	2	3	0	1	30	 	 	 
191047	1	2	2	1	1	120	 	 	 
191048	1	2	7	1	1	200	 	 	 
201002	1	1	3	1	1	10	 	 	0
201017	1	3	6	0	1	180	 	 	0
201034	1	3	7	0	1	90	 	 	0
201037	1	1	2	1	1	90	 	 	1
201039	1	1	3	1	0	 	36	72	1
201056	1	1	3	0	1	14	 	 	0
201068	1	3	3	0	0	 	8	0	0
