CHILDCODE	MOVEIDR4	YRMOVER4	MTHSTYR4	WHMOVER4	TYPKEBR4	RSNMVR41	RSNMVR42	KNWANYR4	KNWBSTR4
11003	1	2009	48	3	1	1	88	1	4
11003	2	2013	19	3	4	20	88	0	 
11004	1	2013	7	3	2	2	88	1	4
11005	1	2012	18	3	 	5	88	0	 
11009	1	2013	12	3	4	1	88	1	5
11010	1	2012	8	3	2	5	88	1	5
11010	2	2013	2	3	4	1	88	1	5
11010	3	2013	3	3	1	1	88	1	5
11015	1	2012	17	3	1	5	88	1	5
11016	1	2012	18	3	2	5	88	0	 
11019	1	2012	17	3	1	5	88	1	4
11020	1	2011	26	3	10	5	88	0	 
11021	1	2012	14	2	10	5	88	1	5
11022	1	2012	14	2	2	5	88	0	 
11025	1	2013	2	2	2	5	88	0	 
11030	1	2013	6	3	1	5	88	1	5
11031	1	2012	12	3	10	5	88	1	4
11032	1	2012	16	3	1	1	88	1	5
11033	1	2012	18	3	1	5	88	1	5
11034	1	2012	17	3	1	5	88	1	4
11037	1	2012	17	3	1	5	88	0	 
11038	1	2012	2	2	2	5	88	1	5
11039	1	2012	22	3	1	1	11	1	3
11041	1	2011	24	2	4	11	88	0	 
11042	1	2010	36	3	1	1	2	1	4
11043	1	2013	3	3	3	1	88	1	6
11048	1	2012	18	3	1	5	9	1	4
11050	1	2013	1	3	5	1	88	0	 
11052	1	2012	18	3	1	5	88	1	2
11061	1	2011	12	3	1	23	1	1	4
11063	1	2012	2	2	2	8	88	0	 
11069	1	2013	5	3	5	1	88	1	4
11074	1	2012	15	2	2	5	88	1	5
11088	1	2013	8	3	3	5	88	0	 
21007	1	2012	1	3	3	1	88	1	4
21008	1	2013	7	3	1	1	88	1	5
21009	1	2012	15	3	1	5	88	0	 
21011	1	2013	6	3	2	1	88	1	4
21011	2	2014	0	3	4	21	88	1	4
21012	1	2010	24	3	5	1	88	1	2
21012	2	2013	7	3	2	1	88	1	2
21013	1	2012	16	3	10	1	88	1	5
21014	1	2010	2	2	3	1	88	0	 
21014	2	2011	2	3	1	1	88	1	4
21014	3	2013	2	3	1	1	88	1	4
21015	1	2011	18	3	4	2	88	1	5
21015	2	2013	8	3	4	1	88	1	5
21018	1	2011	18	3	1	1	88	1	5
21022	1	2012	15	2	3	5	88	0	 
21023	1	2012	15	2	2	5	88	0	 
21024	1	2011	2	3	1	1	88	1	4
21024	2	2011	5	3	4	1	88	1	2
21024	3	2013	12	2	4	1	88	1	2
21025	1	2010	23	2	3	5	88	0	 
21026	1	2009	4	3	4	2	88	0	 
21027	1	2012	14	3	5	2	88	1	4
21029	1	2012	20	3	2	5	88	0	 
21030	1	2012	2	3	1	2	88	1	2
21030	2	2013	6	3	3	5	88	0	 
21031	1	2010	15	3	3	2	88	1	5
21031	2	2011	26	3	1	2	88	1	5
21031	3	2013	6	3	2	2	88	1	2
21032	1	2013	9	3	4	1	4	1	4
21034	1	2011	24	3	1	2	88	1	2
21036	1	2013	6	3	1	5	88	0	 
21038	1	2010	22	3	1	1	88	1	4
21038	2	2012	4	3	4	1	88	1	5
21038	3	2012	30	3	4	1	88	1	5
21039	1	2012	14	2	2	5	88	0	 
21041	1	2013	6	3	1	2	88	1	2
21044	1	2010	26	3	1	1	88	1	2
21046	1	2010	43	2	2	1	88	0	 
21047	1	2013	17	3	2	1	88	1	4
21049	1	2009	53	3	5	1	88	1	4
21056	1	2014	24	3	2	1	88	1	4
21069	1	2012	16	3	1	5	1	1	5
21072	1	2013	6	3	1	5	88	0	 
21083	1	2013	3	2	2	1	88	0	 
21090	1	2013	4	2	2	5	88	1	5
21094	1	2013	7	3	2	5	88	0	 
21094	2	2010	2	2	2	5	88	0	 
31001	1	2012	16	3	2	5	88	1	4
31002	1	2012	15	3	1	5	88	0	 
31005	1	2013	3	2	2	5	88	1	5
31006	1	2011	24	3	4	1	88	1	4
31008	1	 	 	 	 	 	 	 	 
31010	1	2013	2	3	2	5	88	0	 
31011	1	2013	18	3	1	6	88	1	4
31020	1	2013	2	3	4	1	88	1	4
31021	1	2012	24	3	2	5	88	0	 
31028	1	2010	66	3	1	1	88	1	4
31028	2	2013	15	1	4	11	88	0	 
31032	1	2013	6	3	3	5	88	0	 
31035	1	2009	48	2	4	11	88	0	 
31036	1	2012	15	2	2	5	88	0	 
31037	1	2013	4	1	5	11	88	1	3
31037	2	2012	5	3	2	5	88	0	 
31038	1	2012	14	3	4	1	88	1	4
31038	2	2013	1	3	2	1	88	1	5
31039	1	2012	17	2	2	1	88	1	4
31040	1	2013	1	2	2	2	88	1	5
31043	1	2012	15	3	1	1	88	1	4
