CHILDCODE	SCHCSTIDR4	FEESR4	PAYPRDR4	NUMPRDR4
11032	9	 	 	 
11032	10	 	 	 
11033	1	80	5	1
11033	2	3000	4	2
11033	3	0	 	 
11033	4	 	 	 
11033	5	0	 	 
11033	6	600	2	9
11033	7	200	2	9
11033	8	10000	5	1
11033	9	600	3	1
11033	10	 	 	 
11034	1	80	5	1
11034	2	4000	4	2
11034	3	-77	 	 
11034	4	4000	4	2
11034	5	0	 	 
11034	6	1500	2	9
11034	7	600	2	9
11034	8	13000	5	1
11034	9	500	3	1
11034	10	 	 	 
11035	1	 	 	 
11035	2	 	 	 
11035	3	 	 	 
11035	4	 	 	 
11035	5	 	 	 
11035	6	 	 	 
11035	7	 	 	 
11035	8	 	 	 
11035	9	 	 	 
11035	10	 	 	 
11037	1	-77	 	 
11037	2	3000	4	2
11037	3	-77	 	 
11037	4	3500	4	2
11037	5	0	 	 
11037	6	2500	2	9
11037	7	300	2	9
11037	8	13000	5	1
11037	9	1000	3	1
11037	10	 	 	 
11038	1	50	5	1
11038	2	1100	4	1
11038	3	390	3	1
11038	4	 	 	 
11038	5	600	5	1
11038	6	200	2	1
11038	7	140	1	3
11038	8	3000	3	1
11038	9	400	3	1
11038	10	 	 	 
11039	1	 	 	 
11039	2	 	 	 
11039	3	 	 	 
11039	4	 	 	 
11039	5	 	 	 
11039	6	 	 	 
11039	7	 	 	 
11039	8	 	 	 
11039	9	 	 	 
11039	10	 	 	 
11040	1	 	 	 
11040	2	 	 	 
11040	3	 	 	 
11040	4	 	 	 
11040	5	 	 	 
11040	6	 	 	 
11040	7	 	 	 
11040	8	 	 	 
11040	9	 	 	 
11040	10	 	 	 
11041	1	 	 	 
11041	2	 	 	 
11041	3	 	 	 
11041	4	 	 	 
11041	5	 	 	 
11041	6	 	 	 
11041	7	 	 	 
11041	8	 	 	 
11041	9	 	 	 
11041	10	 	 	 
11042	1	 	 	 
11042	2	 	 	 
11042	3	 	 	 
11042	4	 	 	 
11042	5	 	 	 
11042	6	 	 	 
11042	7	 	 	 
11042	8	 	 	 
11042	9	 	 	 
11042	10	 	 	 
11043	1	 	 	 
11043	2	 	 	 
11043	3	 	 	 
11043	4	 	 	 
11043	5	 	 	 
11043	6	 	 	 
11043	7	 	 	 
11043	8	 	 	 
11043	9	 	 	 
11043	10	 	 	 
11044	1	 	 	 
11044	2	 	 	 
11044	3	 	 	 
11044	4	 	 	 
11044	5	 	 	 
11044	6	 	 	 
11044	7	 	 	 
11044	8	 	 	 
11044	9	 	 	 
11044	10	 	 	 
11048	1	60	5	1
11048	2	5500	4	2
11048	3	0	 	 
11048	4	 	 	 
11048	5	0	 	 
11048	6	2000	2	10
11048	7	200	2	10
11048	8	0	 	 
11048	9	300	4	2
11048	10	 	 	 
11050	1	 	 	 
11050	2	 	 	 
11050	3	 	 	 
11050	4	 	 	 
11050	5	 	 	 
11050	6	 	 	 
11050	7	 	 	 
11050	8	 	 	 
11050	9	 	 	 
11050	10	 	 	 
11052	1	80	5	1
11052	2	3200	4	2
11052	3	0	 	 
11052	4	 	 	 
11052	5	0	 	 
11052	6	2000	2	9
11052	7	200	2	9
11052	8	0	 	 
11052	9	700	3	1
11052	10	 	 	 
11061	1	 	 	 
11061	2	 	 	 
11061	3	 	 	 
11061	4	 	 	 
11061	5	 	 	 
11061	6	 	 	 
11061	7	 	 	 
11061	8	 	 	 
11061	9	 	 	 
11061	10	 	 	 
11063	1	 	 	 
11063	2	 	 	 
11063	3	 	 	 
11063	4	 	 	 
11063	5	 	 	 
11063	6	 	 	 
11063	7	 	 	 
11063	8	 	 	 
11063	9	 	 	 
11063	10	 	 	 
11069	1	 	 	 
11069	2	 	 	 
11069	3	 	 	 
11069	4	 	 	 
11069	5	 	 	 
11069	6	 	 	 
11069	7	 	 	 
11069	8	 	 	 
11069	9	 	 	 
11069	10	 	 	 
11074	1	50	3	1
11074	2	397	2	1
11074	3	200	3	2
11074	4	 	 	 
11074	5	0	 	 
11074	6	0	 	 
11074	7	0	 	 
11074	8	250	5	1
11074	9	1000	3	2
11074	10	 	 	 
11088	1	150	88	1
11088	2	3000	4	2
11088	3	200	4	2
11088	4	 	 	 
11088	5	6000	5	1
11088	6	800	1	9
11088	7	0	 	 
11088	8	0	 	 
11088	9	500	4	2
11088	10	 	 	 
21002	1	 	 	 
21002	2	 	 	 
21002	3	 	 	 
21002	4	 	 	 
21002	5	 	 	 
21002	6	 	 	 
21002	7	 	 	 
21002	8	 	 	 
21002	9	 	 	 
21002	10	 	 	 
21004	1	 	 	 
