CHILDCODE	DINT	PRIDRSR5	HHSIZE	HEADID	RESPOND	HEADLANG	CARELANG	CHLDLANG	PECLOC5	PECODPT5	PECODISTR5	PECODIS5	ANTHRHSE5	ANTHRADD5	PECODIS15	PEMUDANZ5	PEUBIC5	PHONE5	PEHPOST5	PEDCVIV5	PEDPAGT5	PEDPOC5	PEDPPA5	CHLDDNI5	TIENDNI5	DOCDNI5	ADDSAME5	CLUSTID5	YLCOMM5	PLACEID5	LINKCMM5	PLACENR5	LONGCOMM5	TRNSCOMM5	MINIADM5	PEMINIID5	TYPESITE5	PEMUDR45
18001	12/08/2016	0	6	20	1	31	31	31	 	24	 	 	0	 	 	 	2	1	1	1	1	0	0	88	 	 	0	 	1	PE01C01	0	 	 	 	0	 	1	1
18002	18/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18003	17/08/2016	2	7	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18004	17/08/2016	0	4	25	0	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	1
18005	16/08/2016	0	4	5	0	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18006	10/08/2016	2	5	10	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18007	15/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18008	18/08/2016	2	4	1	2	31	31	31	 	24	 	 	1	1	 	 	 	1	1	1	1	0	1	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18009	16/08/2016	2	5	2	2	31	31	31	 	24	 	 	0	 	 	 	2	1	1	1	1	0	0	1	1	3	0	 	1	PE01C01	0	 	 	 	0	 	1	0
18010	10/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18011	10/08/2016	0	3	18	0	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	1
18012	11/08/2016	2	3	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18013	09/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18015	14/08/2016	1	7	1	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18016	12/08/2016	2	7	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18017	16/08/2016	0	3	0	0	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	1
18018	09/08/2016	0	4	7	0	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	1
18019	12/09/2016	0	3	0	0	31	31	31	 	24	 	 	1	1	 	 	1	1	1	1	0	0	0	88	 	 	0	 	1	PE01C01	0	 	 	 	0	 	1	1
18020	09/08/2016	1	5	4	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18021	17/08/2016	2	4	5	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18022	21/08/2016	0	6	2	0	31	31	31	 	24	 	 	0	 	 	 	2	1	1	0	1	0	0	88	 	 	0	 	1	PE01C01	0	 	 	 	0	 	1	1
18023	14/10/2016	1	3	1	2	31	31	31	 	1	 	 	0	 	 	 	1	1	0	 	 	 	 	88	 	 	0	 	1	PE80C32	0	 	 	 	0	 	1	1
18024	15/08/2016	2	3	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18025	17/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18026	11/08/2016	2	4	2	0	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18027	15/01/2017	0	3	19	0	31	31	31	 	15	 	 	0	 	 	 	 	1	1	1	0	0	0	88	 	 	1	 	0	 	0	 	 	 	1	PE87MC58	1	1
18028	12/08/2016	0	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18029	14/01/2017	0	1	0	0	31	31	31	 	15	 	 	0	 	 	 	5	1	1	1	0	0	0	1	1	1	0	 	0	 	0	 	 	 	0	 	1	1
18030	10/08/2016	1	3	1	1	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18032	09/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	1	1	1	1	1	0	0	88	 	 	0	 	1	PE01C01	0	 	 	 	0	 	1	1
18034	11/08/2016	2	3	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18035	10/08/2016	1	7	2	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18036	11/08/2016	0	7	0	0	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	1
18037	19/08/2016	5	5	5	5	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18038	09/08/2016	0	8	0	0	31	31	31	 	24	 	 	2	1	 	 	5	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	1
18039	10/08/2016	2	8	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	0	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18040	24/08/2016	0	1	0	0	31	31	31	 	7	 	 	2	1	 	 	5	1	1	1	1	1	1	88	 	 	0	 	0	 	0	 	 	 	1	PE84MC48	1	1
18041	13/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18042	09/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	1	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18044	20/08/2016	16	5	1	16	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18045	16/07/2016	1	4	2	1	31	31	31	 	7	 	 	0	 	 	 	1	1	77	 	 	 	 	1	1	3	0	 	0	 	0	 	 	 	1	PE84MC48	1	1
18046	09/08/2016	0	2	0	0	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	1	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18047	19/08/2016	0	3	7	0	31	31	31	 	24	 	 	1	1	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	1
18048	17/08/2016	0	3	7	0	31	31	31	 	24	 	 	0	 	 	 	1	1	1	1	1	0	0	88	 	 	0	 	1	PE01C01	0	 	 	 	0	 	1	1
18049	15/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
18050	15/08/2016	2	3	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
28001	02/09/2016	16	3	0	16	31	31	31	 	20	 	 	0	 	 	 	1	1	1	1	1	0	0	88	 	 	0	 	1	PE02C01	0	 	 	 	0	 	2	1
28002	06/09/2016	0	2	17	0	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE02C01	0	 	 	 	0	 	2	0
28003	05/09/2016	2	3	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE02C01	0	 	 	 	0	 	2	0
28004	15/01/2017	0	2	0	0	31	31	31	 	15	 	 	0	 	 	 	5	1	1	1	0	0	0	88	 	 	0	 	0	 	0	 	 	 	1	PE88MC88	1	1
28006	03/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	2	0
28007	11/01/2017	0	1	0	0	31	31	31	 	15	 	 	0	 	 	 	5	1	1	0	1	0	0	88	 	 	0	 	0	 	0	 	 	 	1	PE82MC97	1	1
28008	03/09/2016	2	5	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
28009	05/09/2016	0	3	6	0	31	31	31	 	20	 	 	1	1	 	 	1	1	0	 	 	 	 	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	2	0
28010	12/09/2016	0	2	17	0	31	31	31	 	20	 	 	0	 	 	 	2	1	0	 	 	 	 	1	1	3	0	 	1	PE02C02	0	 	 	 	0	 	2	88
28011	03/09/2016	1	6	18	1	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE02C02	0	 	 	 	0	 	1	0
28012	08/09/2016	1	4	1	1	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE02C02	0	 	 	 	0	 	1	0
28013	12/09/2016	0	3	8	0	31	31	31	 	20	 	 	1	1	 	 	1	1	1	1	0	0	0	88	 	 	0	 	1	PE02C02	0	 	 	 	0	 	1	0
28014	12/09/2016	0	3	4	0	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
28015	06/09/2016	0	4	1	0	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
28016	04/10/2016	0	2	0	0	31	31	31	 	20	 	 	0	 	 	 	3	1	1	1	0	0	0	1	1	1	0	 	0	 	0	 	 	 	1	PE84MC63	1	1
28017	08/09/2016	18	3	0	18	31	31	31	 	20	 	 	0	 	 	 	2	1	1	0	1	0	0	88	 	 	0	 	1	PE02C01	0	 	 	 	0	 	2	1
28018	11/09/2016	0	3	0	16	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
28020	03/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE02C03	0	 	 	 	0	 	1	0
28021	09/09/2016	2	4	3	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE02C03	0	 	 	 	0	 	1	0
28022	31/08/2016	2	6	2	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE02C04	0	 	 	 	0	 	1	0
28023	04/09/2016	2	7	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	88	 	 	1	 	1	PE02C03	0	 	 	 	0	 	1	0
28024	08/09/2016	17	3	0	17	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE02C03	0	 	 	 	0	 	1	0
28025	03/09/2016	0	4	7	0	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
38001	26/09/2016	0	2	2	0	31	31	31	 	20	 	 	0	 	 	 	 	0	1	0	1	0	0	1	1	1	0	 	1	PE03C11	0	 	 	 	0	 	2	1
38002	26/09/2016	2	10	2	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	0	 	1	PE03C01	30	1	0	 	2	0
38003	04/10/2016	0	5	19	0	31	31	31	 	20	 	 	1	1	 	 	3	1	1	1	0	0	0	1	1	3	0	 	0	 	0	 	 	 	1	PE84MC59	2	1
38004	26/09/2017	3	8	4	3	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE03C11	0	 	 	 	0	 	2	0
38005	26/09/2016	1	9	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	1	1	3	1	 	1	PE03C11	0	 	 	 	0	 	2	0
38006	09/10/2016	0	1	0	0	31	31	31	 	14	 	 	0	 	 	 	2	1	0	 	 	 	 	88	 	 	0	 	0	 	0	 	 	 	1	PE84MC11	1	1
