CHILDCODE	FOODIDR4	FARMR4	PRSNR4	OWBSR4	PRPYR4	EATR4	FDSPR4	ETALR4	VLOVR4	VLFRR4	VLPRR4	VLOWR4	VLPYR4	VLB4R4
11001	1	 	N	 	 	1	32	1	 	 	 	 	 	0
11001	2	 	N	 	 	1	6	1	 	 	 	 	 	 
11001	3	 	N	 	 	1	6	1	 	 	 	 	 	 
11001	4	 	N	 	 	1	10,8	1	 	 	 	 	 	0
11001	5	 	N	 	 	1	28	1	 	 	 	 	 	 
11001	6	 	Y	 	 	1	0	 	 	 	20	 	 	 
11001	7	 	N	 	 	1	6	1	 	 	 	 	 	0
11001	8	 	N	 	 	1	32	1	 	 	 	 	 	 
11001	9	 	N	 	 	1	40	1	 	 	 	 	 	 
11001	10	 	N	 	 	0	 	 	 	 	 	 	 	 
11001	11	 	N	 	 	1	10	1	 	 	 	 	 	 
11001	12	 	N	 	 	1	32,2	1	 	 	 	 	 	0
11001	13	 	N	 	 	1	30	1	 	 	 	 	 	 
11001	14	 	N	 	 	0	 	 	 	 	 	 	 	 
11001	15	 	N	 	 	1	4	1	 	 	 	 	 	0
11001	16	 	N	 	 	1	5,5	1	 	 	 	 	 	0
11001	17	 	N	 	 	1	12	1	 	 	 	 	 	0
11001	18	 	N	 	 	0	 	 	 	 	 	 	 	 
11001	19	 	N	 	 	1	16	1	 	 	 	 	 	0
11001	20	 	N	 	 	1	12	1	 	 	 	 	 	0
11001	21	 	N	 	 	1	3	1	 	 	 	 	 	 
11001	22	 	N	 	 	1	9	1	 	 	 	 	 	 
11001	23	 	N	 	 	1	4	1	 	 	 	 	 	 
11001	24	 	N	 	 	0	 	 	 	 	 	 	 	 
11001	25	 	N	 	 	1	20	1	 	 	 	 	 	0
11001	26	 	N	 	 	1	6	1	 	 	 	 	 	0
11001	27	 	N	 	 	1	5	1	 	 	 	 	 	 
11001	28	 	N	 	 	1	2	1	 	 	 	 	 	 
11001	29	 	N	 	 	1	15	1	 	 	 	 	 	 
11001	30	 	N	 	 	1	40	1	 	 	 	 	 	 
11001	31	 	N	 	 	0	 	 	 	 	 	 	 	 
11001	32	 	N	 	 	0	 	 	 	 	 	 	 	 
11001	33	 	N	 	 	1	10	1	 	 	 	 	 	 
11001	34	 	N	 	 	0	 	 	 	 	 	 	 	 
11001	35	 	N	 	 	0	 	 	 	 	 	 	 	 
11002	1	 	N	N	 	1	44,8	1	 	 	 	 	 	0
11002	2	 	N	N	 	0	 	 	 	 	 	 	 	 
11002	3	 	N	N	 	1	2	1	 	 	 	 	 	 
11002	4	 	Y	N	 	1	6,6	1	 	 	10	 	 	0
11002	5	 	Y	N	 	1	9,8	1	 	 	7	 	 	 
11002	6	 	N	N	 	1	4,6	1	 	 	 	 	 	 
11002	7	 	N	N	 	1	4	1	 	 	 	 	 	0
11002	8	 	N	N	 	0	 	 	 	 	 	 	 	 
11002	9	 	N	N	 	1	32	1	 	 	 	 	 	 
11002	10	 	N	N	 	1	8,4	1	 	 	 	 	 	 
11002	11	 	N	N	 	1	18,2	1	 	 	 	 	 	 
11002	12	 	N	N	 	1	21	1	 	 	 	 	 	0
11002	13	 	N	N	 	1	12	1	 	 	 	 	 	 
11002	14	 	N	N	 	1	1,2	1	 	 	 	 	 	 
11002	15	 	N	N	 	1	4	1	 	 	 	 	 	0
11002	16	 	N	N	 	1	8,5	1	 	 	 	 	 	0
11002	17	 	N	N	 	1	3,9	1	 	 	 	 	 	0
11002	18	 	N	N	 	0	 	 	 	 	 	 	 	 
11002	19	 	N	N	 	1	5,9	1	 	 	 	 	 	0
11002	20	 	N	N	 	1	12,8	1	 	 	 	 	 	0
11002	21	 	N	N	 	1	6	1	 	 	 	 	 	 
11002	22	 	N	N	 	1	28	1	 	 	 	 	 	 
11002	23	 	N	N	 	1	14	1	 	 	 	 	 	 
11002	24	 	N	N	 	0	 	 	 	 	 	 	 	 
11002	25	 	N	N	 	1	28	1	 	 	 	 	 	0
11002	26	 	N	N	 	1	1	1	 	 	 	 	 	0
11002	27	 	N	Y	 	1	0	 	 	 	 	13	 	 
11002	28	 	N	N	 	1	7	1	 	 	 	 	 	 
