CHILDID	ADDSAME	CLUSTID	YLCOMM	PLACEID	NRSTCOMM	PLACENR	ALRDMINI	PEMINIID	TYPESITE	REGION
PE011001	1	1	1	0101	0	8888	0	8888	1	31
PE011002	1	1	1	0101	0	8888	0	8888	1	31
PE011003	1	1	1	0101	0	8888	0	8888	1	31
PE011004	1	1	1	0101	0	8888	0	8888	1	31
PE011005	1	1	1	0101	0	8888	0	8888	1	31
PE011006	1	1	1	0101	0	8888	0	8888	1	31
PE011007	1	1	1	0102	0	8888	0	8888	1	31
PE011008	1	1	1	0101	0	8888	0	8888	1	31
PE011009	1	1	1	0101	0	8888	0	8888	1	31
PE011010	1	1	1	0101	0	8888	0	8888	1	31
PE011011	1	1	1	0101	0	8888	0	8888	1	31
PE011012	1	1	1	0101	0	8888	0	8888	1	31
PE011013	1	1	1	0101	0	8888	0	8888	1	31
PE011014	1	1	0	8888	0	8888	1	8180	2	31
PE011015	1	1	0	8888	0	8888	1	8317	1	31
PE011016	1	1	1	0102	0	8888	0	8888	1	31
PE011017	1	1	1	0101	0	8888	0	8888	1	31
PE011018	1	1	1	0101	0	8888	0	8888	1	31
PE011019	1	1	1	0101	0	8888	0	8888	1	31
PE011020	1	1	1	0101	0	8888	0	8888	1	31
PE011021	1	1	1	0101	0	8888	0	8888	1	31
PE011022	1	1	1	0101	0	8888	0	8888	1	31
PE011023	1	1	1	0101	0	8888	0	8888	1	31
PE011024	1	1	1	0101	0	8888	0	8888	1	31
PE011025	1	1	1	0101	0	8888	0	8888	1	31
PE011026	1	1	1	0101	0	8888	0	8888	1	31
PE011027	1	1	1	0101	0	8888	0	8888	1	31
PE011028	1	1	1	0101	0	8888	0	8888	1	31
PE011029	1	1	1	0101	0	8888	0	8888	1	31
PE011030	1	1	1	0101	0	8888	0	8888	1	31
PE011031	1	1	1	0101	0	8888	0	8888	1	31
PE011032	0	1	0	8888	0	8888	1	8406	1	31
PE011033	1	1	1	0101	0	8888	0	8888	1	31
PE011034	1	1	1	0101	0	8888	0	8888	1	31
PE011035	0	1	1	0101	0	8888	0	8888	1	31
PE011036	1	1	1	0101	0	8888	0	8888	1	31
PE011037	1	1	1	0101	0	8888	0	8888	1	31
PE011038	1	1	1	0101	0	8888	0	8888	1	31
PE011039	1	1	0	8888	0	8888	1	8277	1	31
PE011040	1	1	1	0101	0	8888	0	8888	1	31
PE011041	1	1	0	8888	0	8888	1	8358	2	31
PE011042	0	1	1	0101	0	8888	0	8888	1	31
PE011043	1	1	1	0101	0	8888	0	8888	1	31
PE011044	1	1	1	0101	0	8888	0	8888	1	31
PE011045	0	1	1	0101	0	8888	0	8888	1	31
PE011046	1	1	1	0101	0	8888	0	8888	1	31
PE011047	1	1	1	0101	0	8888	0	8888	1	31
PE011048	1	1	0	8888	0	8888	1	8185	2	31
PE011049	1	1	1	0101	0	8888	0	8888	1	31
PE011050	1	1	1	0102	0	8888	0	8888	1	31
PE011051	1	1	1	0101	0	8888	0	8888	1	31
PE011052	1	1	0	8888	0	8888	1	8325	1	31
PE011053	1	1	1	0101	0	8888	0	8888	1	31
PE011054	1	1	0	8888	0	8888	1	8412	1	31
PE011055	1	1	1	0101	0	8888	0	8888	1	31
PE011056	0	1	0	8888	0	8888	1	8408	1	31
PE011057	1	1	1	0101	0	8888	0	8888	1	31
PE011059	0	1	0	8888	0	8888	1	8310	1	31
PE011060	0	1	1	0101	0	8888	0	8888	1	31
PE011061	1	1	1	0101	0	8888	0	8888	1	31
PE011062	1	1	1	0101	0	8888	0	8888	1	31
PE011063	1	1	1	0101	0	8888	0	8888	1	31
PE011064	1	1	1	0101	0	8888	0	8888	1	31
PE011065	1	1	1	0101	0	8888	0	8888	1	31
PE011066	1	1	1	0101	0	8888	0	8888	1	31
PE011067	1	1	1	0101	0	8888	0	8888	1	31
PE011068	1	1	1	0101	0	8888	0	8888	1	31
PE011070	1	1	1	0101	0	8888	0	8888	1	31
PE011071	0	1	1	0102	0	8888	0	8888	1	31
PE011072	1	1	1	0101	0	8888	0	8888	1	31
PE011073	1	1	1	0101	0	8888	0	8888	1	31
PE011074	0	1	1	0101	0	8888	0	8888	1	31
PE011075	1	1	0	8888	0	8888	1	8402	1	31
PE011076	1	1	1	0101	0	8888	0	8888	1	31
PE011077	1	1	1	0101	0	8888	0	8888	1	31
PE011078	1	1	1	0101	0	8888	0	8888	1	31
PE011079	0	1	1	0101	0	8888	0	8888	1	31
PE011080	1	1	1	0102	0	8888	0	8888	1	31
PE011081	0	1	1	0101	0	8888	0	8888	1	31
PE011082	1	1	1	0101	0	8888	0	8888	1	31
PE011083	0	1	1	0802	0	8888	0	8888	1	31
PE011084	1	1	1	0101	0	8888	0	8888	1	31
PE011085	1	1	1	0101	0	8888	0	8888	1	31
PE011086	1	1	0	8888	0	8888	1	8311	1	31
PE011087	1	1	0	8888	0	8888	1	0701	1	32
PE011088	1	1	1	0101	0	8888	0	8888	1	31
PE011089	1	1	1	0101	0	8888	0	8888	1	31
PE011090	0	1	1	0101	0	8888	0	8888	1	31
PE011091	1	1	1	0101	0	8888	0	8888	1	31
PE011092	1	1	1	0101	0	8888	0	8888	1	31
PE011093	1	1	1	0101	0	8888	0	8888	1	31
PE011094	0	1	1	0101	0	8888	0	8888	1	31
PE011095	1	1	1	0101	0	8888	0	8888	1	31
PE011096	1	1	1	0101	0	8888	0	8888	1	31
PE011097	1	1	1	0101	0	8888	0	8888	1	31
PE011098	1	1	1	0101	0	8888	0	8888	1	31
PE011099	1	1	1	0101	0	8888	0	8888	1	31
PE011100	1	1	0	8888	0	8888	1	8181	2	31
PE021001	1	2	1	0201	0	8888	0	8888	2	31
PE021002	1	2	1	0201	0	8888	0	8888	2	31
PE021003	1	2	1	0201	0	8888	0	8888	2	31
PE021004	1	2	1	0202	0	8888	0	8888	2	31
PE021005	1	2	1	0202	0	8888	0	8888	2	31
PE021006	1	2	1	0202	0	8888	0	8888	2	31
PE021007	1	2	1	0202	0	8888	0	8888	1	31
PE021008	1	2	1	0202	0	8888	0	8888	1	31
PE021009	1	2	1	0202	0	8888	0	8888	1	31
PE021010	1	2	1	0202	0	8888	0	8888	1	31
PE021011	1	2	1	0202	0	8888	0	8888	1	31
PE021012	1	2	1	0202	0	8888	0	8888	1	31
PE021013	1	2	1	0202	0	8888	0	8888	1	31
PE021014	1	2	1	0202	0	8888	0	8888	1	31
PE021015	1	2	1	0202	0	8888	0	8888	1	31
PE021016	1	2	1	0202	0	8888	0	8888	1	31
PE021017	1	2	1	0202	0	8888	0	8888	1	31
PE021018	1	2	1	0202	0	8888	0	8888	1	31
PE021019	1	2	1	0202	0	8888	0	8888	1	31
PE021020	1	2	1	0202	0	8888	0	8888	1	31
PE021021	1	2	1	0202	0	8888	0	8888	1	31
PE021022	1	2	1	0202	0	8888	0	8888	1	31
PE021023	1	2	1	0202	0	8888	0	8888	1	31
PE021024	1	2	1	0202	0	8888	0	8888	1	31
PE021025	1	2	1	0203	0	8888	0	8888	1	31
PE021026	1	2	1	0203	0	8888	0	8888	1	31
PE021027	1	2	1	0202	0	8888	0	8888	1	31
PE021028	1	2	1	0203	0	8888	0	8888	1	31
PE021029	1	2	1	0203	0	8888	0	8888	1	31
PE021030	1	2	1	0203	0	8888	0	8888	1	31
PE021031	1	2	1	0204	0	8888	0	8888	1	31
PE021032	1	2	1	0203	0	8888	0	8888	1	31
PE021033	1	2	1	0203	0	8888	0	8888	1	31
PE021034	1	2	1	0203	0	8888	0	8888	1	31
PE021035	1	2	1	0203	0	8888	0	8888	1	31
PE021036	1	2	1	0203	0	8888	0	8888	1	31
PE021037	1	2	1	0203	0	8888	0	8888	1	31
PE021038	1	2	1	0203	0	8888	0	8888	1	31
PE021039	1	2	1	0203	0	8888	0	8888	1	31
PE021040	1	2	1	0203	0	8888	0	8888	1	31
