CHILDCODE	CROPIDR4	CROPR4	QNTHRVR4	OUTCRPR4
11015	1	132	8	11
11015	2	4	50	11
11041	1	85	2	10
11051	1	53	150	10
11072	1	108	10	8
11086	1	55	30	10
11086	2	44	40	10
11086	3	86	5	10
11086	4	108	1	10
11091	1	4	-77	7
21001	1	4	2500	2
21002	1	104	50	2
21002	2	108	30	2
21003	1	4	7200	2
21004	1	4	720	11
21004	2	53	160	10
21005	1	4	312	11
21006	1	4	1000	11
21007	1	4	720	11
21013	1	4	87	7
21014	1	4	300	11
21016	1	4	4800	11
21018	1	4	966	2
21019	1	53	1500	2
21022	1	4	80	11
21023	1	53	50	10
21024	1	4	80	2
21025	1	4	36000	8
21027	1	4	50	11
21028	1	4	120	11
21033	1	53	350	10
21035	1	4	40	11
21036	1	53	32	4
21038	1	53	25	4
21042	1	53	48	10
21043	1	4	385	11
21043	2	4	22000	8
21045	1	4	12000	8
21045	2	109	1000	8
21045	3	104	1000	8
21049	1	4	8160	2
21049	2	109	100	8
21050	1	53	40	10
21050	2	4	240	11
21053	1	53	160	10
21053	2	89	2	10
21055	1	53	230	10
21055	2	69	200	10
21055	3	132	30	2
21055	4	89	10	10
21060	1	53	190	10
21060	2	4	440	11
21065	1	53	500	10
21068	1	53	72	10
21072	1	69	325	2
21072	2	89	180	2
21072	3	72	10	2
21072	4	102	2	2
21072	5	10	14	8
21072	6	82	400	2
21072	7	101	25	2
21075	1	4	780	7
21077	1	53	3570	2
21078	1	53	23970	2
21079	1	4	180	2
21083	1	53	140	10
21083	2	4	60000	8
21084	1	4	31200	2
21084	2	45	500	2
21090	1	53	43	10
21092	1	4	2808	2
21092	2	123	3	10
21094	1	53	20	10
21095	1	4	4160	2
21097	1	53	8	10
21099	1	53	28	4
21099	2	4	4000	8
31002	1	44	12	10
31002	2	75	12	10
31002	3	99	1,5	10
31002	4	89	5	10
31002	5	55	22	10
31002	6	12	2	3
31002	7	69	3	10
31002	8	10	25	7
31002	9	56	15	8
31002	10	101	4	2
31002	12	86	2	10
31003	1	44	10	5
31003	2	75	5	5
31003	3	89	96	2
31003	4	99	1	9
31005	1	44	6	5
31005	2	75	6	5
31005	3	55	7	10
31006	1	44	10	10
31006	2	75	10	10
31006	3	89	4	10
31006	4	12	2	2
31006	5	56	12	8
31006	6	55	2	10
31007	1	44	8	5
31007	2	99	1	5
31007	3	75	6	5
31009	1	44	6	10
31009	2	75	6	10
31009	3	55	-79	79
31009	4	99	-79	79
31009	5	79	-79	79
31011	1	44	3	5
31011	2	75	3	5
31012	1	44	100	2
31012	2	89	50	2
31012	3	55	150	2
31013	1	32	40	10
31013	2	75	35	10
31013	3	89	6	10
31013	4	55	12	10
31014	1	55	10	10
31014	2	44	10	5
31014	3	75	6	5
31014	4	89	2	10
31014	5	17	8	9
31014	6	51	1	11
31014	7	102	10	2
31014	8	26	-77	2
31014	9	12	-77	2
31014	10	10	-77	2
31015	1	4	7800	8
31016	1	99	1	10
31016	2	44	3	10
31016	3	4	1	10
31016	4	89	1	10
31016	5	108	5	2
31016	6	102	20	7
