CHILDCODE	ASSTIDR4	ASSETR4	NMOWNR4	VLASTR4	ASACTR4
11002	1	22	500	1000	7
11002	2	15	9	620	7
11003	1	25	1	6000	6
11004	1	15	24	500	7
11004	2	10	80	200	9
11005	1	 	 	 	 
11007	1	41	1	1000	9
11008	1	13	4	500	9
11009	1	30	4	200000	5
11010	1	15	5	300	10
11011	1	25	1	2000	6
11011	2	30	4	80	3
11012	1	5	16	557,5	2
11012	2	15	10	1121	7
11013	1	25	1	2000	6
11013	2	15	7	80	7
11014	1	12	0	 	9
11014	2	25	1	1500	6
11015	1	1	15	200	11
11015	2	11	1	566	10
11015	3	17	1	141	10
11017	1	1	4	100	11
11017	2	15	2	27	7
11018	1	23	10	1100	7
11019	1	25	1	2500	6
11019	2	30	1	45	7
11019	3	40	1	1200	3
11019	4	3	1	1200	3
11020	1	25	1	800	12
11021	1	13	6	150	12
11021	2	30	2	300	3
11022	1	23	4	970	7
11023	1	30	2	30	11
11024	1	25	1	1000	6
11024	2	15	1	0	9
11025	1	25	1	1500	6
11027	1	15	10	50	7
11029	1	25	1	4000	6
11030	1	30	30	300	11
11030	2	23	2	80	11
11031	1	25	1	1300	12
11032	1	40	1	40000	3
11033	1	40	1	3000	3
11033	2	30	3	100	3
11035	1	15	3	100	7
11036	1	30	2	10	3
11037	1	25	1	500	7
11037	2	23	4	200	7
11038	1	25	1	2000	6
11039	1	1	15	350	11
11039	2	2	1	50	11
11040	1	23	2	55	7
11040	2	25	0	 	6
11041	1	1	2	10	1
11042	1	23	3	8,5	7
11043	1	13	10	25	9
11044	1	13	22	200	9
11045	1	25	1	1500	6
11046	1	15	4	45	7
11048	1	17	100	5400	9
11048	2	15	8	4860	9
11051	1	15	10	100	7
11051	2	1	23	3500	1
11052	1	2	1	40	2
11054	1	17	220	20000	9
11055	1	13	35	1300	9
11056	1	25	1	81000	10
11056	2	41	2	3240	10
11056	3	30	50	550	10
11057	1	13	50	3000	9
11060	1	13	20	3000	9
11061	1	25	1	2000	6
11064	1	23	2	100	7
11065	1	25	1	2000	6
11065	2	17	12	100	12
11066	1	25	1	2000	6
11066	2	23	12	610	7
11067	1	11	4	2000	10
11070	1	25	1	6000	6
11071	1	15	4	1500	7
11071	2	25	1	1000	12
11072	1	25	1	7000	6
11073	1	17	50	6000	6
11074	1	23	100	300	7
11075	1	13	5	70	9
11076	1	15	15	150	7
11078	1	25	1	2000	6
11080	1	25	1	2600	6
11081	1	12	3	150	9
11084	1	25	1	4000	6
11085	1	30	5	500	11
11086	1	1	-77	-77	1
11088	1	25	1	2000	6
11088	2	19	1	800	8
11088	3	15	2	70	7
11091	1	15	130	300	7
11091	2	1	5	30	1
11093	1	25	1	3000	6
11095	1	25	2	8000	7
11095	2	15	5	50	7
11095	3	23	2	100	7
11098	1	41	8	16000	7
11099	1	23	1	100	7
11100	1	25	1	2300	6
21001	1	1	6	75	1
21002	1	1	5	25	1
21003	1	1	5	25	1
21003	2	8	1	80	1
21003	3	25	2	4000	1
21003	4	15	32	300	7
21004	1	1	5	100	1
21004	2	23	2	150	7
21005	1	1	3	35	1
21006	1	1	10	150	1
21007	1	1	3	70	1
21008	1	1	3	30	11
21011	1	23	7	170	7
21011	2	15	101	370	8
21013	1	1	5	150	1
21014	1	1	10	100	1
21015	1	15	20	500	9
21015	2	1	4	45	11
21016	1	23	5	380	7
21016	2	15	200	3600	7
21016	3	1	10	105	1
