CHILDCODE	DNFDIDR4	DONNMER4	DONTYPR4	DONRCVR4	DONAMTR4	DONMSRR4	DONPRCR4	PRCMSRR4
31089	1	LECHE	1	6	3	6	3	6
31089	2	BOLSA DE QUACKER	3	6	1	2	6	2
31089	3	QUACKER CON LECHE O LECHE CON COCOA	3	220	1	8	1	8
31089	4	GALLETAS DE SODA CON MERMELADA O MIEL	9	220	1	5	1	5
31089	5	ARROZ O TALLARIN CON ATUN Y MENESTRAS	10	360	1	9	3	9
31089	6	CHICHA	10	360	1	8	0,5	8
31090	1	GALLETAS CON MERMELADA	9	120	3	5	1	5
31090	2	QUACKER CON LECHE	3	120	3	8	0,5	8
31090	3	ARROZ CON MENESTRA Y ATUN	10	120	3	9	3	9
31090	4	CHICHA	10	120	3	8	0,5	8
31091	1	LECHE	1	6	4	6	3	6
31091	2	AVENA	3	6	2	2	2,2	2
31091	3	LECHE	10	120	1	8	1	8
31091	4	GALLETAS CON MERMELADA	9	120	1	7	0,5	6
31091	5	SEGUNDO	10	180	1	9	3	9
31092	1	LECHE EN TARRO	1	12	3	6	3	6
31092	2	QUAKER	3	12	2	2	2,5	2
31092	3	LECHE CON AVENA	3	200	2	8	1	8
31092	4	GALLETAS	9	200	2	7	0,5	7
31092	5	ARROZ CON FREJOLES Y ATUN	10	200	2	9	5	9
31093	1	LECHE CON QUAKER	1	100	1	8	2	8
31093	2	LECHE CON COCOA	1	100	1	8	1	8
31093	3	GALLETAS	9	200	1	10	0,5	10
31093	4	TALLARINES CON ATUN	10	50	1	5	3	5
31093	5	ARROZ  CON  FREJOL	10	100	1	5	3	5
31094	1	DESAYUNO ESCOLAR	10	120	3	5	1	5
31094	2	ALMUERZO ESCOLAR	10	200	3	5	5	5
31095	1	GALLETA CON MERMELADA	9	180	1	7	0,5	7
31095	2	ALMUERZO ESCOLAR	10	180	1	5	3	5
31096	1	LECHE	1	120	3	8	1	8
31096	2	PAN CON MERMELADA	10	120	3	7	0,5	7
31097	1	GALLETAS CON MERMELADA O MIEL	9	105	1	5	0,5	5
31097	2	AVENA CON LECHE	1	105	1	8	1,5	8
31097	3	MENESTRA CON ARROZ Y ATUN	10	140	1	9	3	9
31098	1	AVENA CON LECHE	10	180	1	8	1	8
31098	2	GALLETA	9	180	1	7	0,5	7
31098	3	ALMUERZO ESCOLAR	10	180	1	5	3	5
31099	1	DESAYUNO ESCOLAR	10	140	1	8	1	8
31099	2	PAN CON MANTEQUILLA	9	140	1	7	1	7
31100	1	VASO DE LECHE	10	160	1	8	1	8
31100	2	ALMUERZO	10	160	1	9	300	9
41001	1	LECHE CON QUAKER	10	200	1	8	1	8
41001	2	GALLETA CON MERMELADA	10	200	2	7	1	7
41001	3	ARROZ CON ATUN	10	50	1	9	4	9
41002	1	AVENA	3	6	4	4	1,5	4
41002	2	LECHE	1	6	5	6	2,8	6
41002	3	AVENA CON LECHE	10	100	2	8	1	8
41002	4	GALLETAS CON MERMELADA	9	100	4	7	0,5	7
41003	1	LECHE CON AVENA	10	115	1	8	1	8
41003	2	GALLETA CON MERMELADA	10	115	1	5	1	5
41003	3	COMIDA PREPARADA	10	80	1	5	5	5
41004	1	GALLETAS CON MIEL	10	200	4	7	0,5	7
41004	2	QUAKER CON LECHE	10	200	2	8	1	8
41004	3	ARROZ CON ATUN	10	50	2	9	4	9
41005	1	LECHE	1	6	15	6	3	6
41005	2	AVENA	3	6	10	2	3	2
41005	3	QUAKER CON LECHE	10	80	1	8	1	8
41005	4	GALLETA CON MERMELADA	10	80	1	5	0,4	5
41006	1	AVENA CON LECHE	10	120	1	8	1	8
41006	2	GALLETAS CON MANJAR	9	120	1	7	0,5	7
41006	3	SEGUNDO	10	80	1	9	3	9
41007	1	AVENA PREPARADA	10	160	2	8	1,5	8
41007	2	GALLETA CON MERMELADA, PAN CON QUESO, ETC	10	160	2	7	0,5	7
41008	1	AVENA CON LECHE	10	180	1	8	1	8
41008	2	CALLETA CON MERMELADA	9	180	1	7	0,5	7
41008	3	ALMUERZO ESCOLAR	10	180	1	5	5	5
41008	4	LECHE	1	6	8	6	3	6
41008	5	AVENA	3	6	8	2	1,5	2
41009	1	AVENA CON LECHE	10	80	3	8	1	8
41009	2	GALLETA CON MERMELADA O MAJARBLANCO	10	80	3	5	0,6	5
41010	1	LECHE	1	6	14	6	2,8	6
41010	2	AVENA	3	6	12	2	4	2
41010	3	LECHE CON AVENA	10	154	1	8	1	8
41010	4	GALLETA CON MERMELADA	10	154	1	7	0,3	7
41010	5	COMIDA PREPARADA	10	60	2	5	2,5	5
41011	1	ALMUERZO ESCOLAR	10	60	2	5	4	5
41011	2	DESAYUNO ESCOLAR	10	60	2	5	3	5
41012	1	LECHE CON QUAKER	10	200	2	8	1	8
41012	2	GALLETAS CON MERMELADA	10	200	2	7	0,5	7
41012	3	ARROZ CON LENTEJAS	10	200	2	9	5	9
41012	4	ZANAHORIA	15	1	1	2	1	2
41013	1	SEGUNDO	10	75	1	9	3	9
41013	2	AVENA CON LECHE	10	75	1	8	1,5	8
41013	3	GALLETAS CON MANJAR	9	75	1	5	0,5	5
41014	1	LECHE	1	4	12	6	3	6
41014	2	AVENA	3	4	1	4	2	4
41014	3	AVENA CON LECHE	10	120	3	8	1	8
41014	4	GALLETA CON  MERMELADA	10	120	3	5	0,5	5
41014	5	MENESTRA CON ARROZ Y ATUN	10	120	3	9	5	9
41017	1	COMIDA PREPARADA (ALMUERZO)	10	59	1	5	5	5
41017	2	LECHE CON AVENA	10	50	1	8	1	8
41017	3	GALLETA	9	50	1	7	0,3	7
41018	1	LECHE CON AVENA	10	60	1	8	1	8
41018	2	GALLETA CON MERMELADA	9	60	1	5	0,5	5
41018	3	COMIDA PREPARADA	10	120	1	5	4	5
41019	1	AVENA CON LECHE	1	180	1	8	1	8
41019	2	PAN CON QUESO	9	180	1	7	0,3	7
41020	1	VASO DE  LECHE	1	1	12	6	2,8	6
41020	2	DESAYUNO ESCOLAR	10	150	1	8	1	8
41020	3	ALMUERZO ESCOLAR	10	150	1	9	3	9
41021	1	LECHE CON AVENA	10	120	4	8	0,5	8
41021	2	GALLETA CON MERMELADA	9	120	3	5	0,3	5
41021	3	LECHE	1	72	12	6	3	6
41021	4	HARINA DE PLATANO	8	12	2	2	4	2
41022	1	AVENA CON CON LECHE	10	90	1	8	1	8
41022	2	GALLETA CON MERMELADA	10	90	1	5	1	5
41022	3	ARROZ CON MENESTRA O TALLARINES  Y ATUN	10	150	1	9	3,5	9
41023	1	DESAYUNO ESCOLAR	1	180	3	8	0,5	8
41023	2	GALLETA CON MERMELADA	9	180	3	8	0,5	8
41023	3	ALMUERZO ESCOLAR	10	180	3	5	3	5
41024	1	DESAYUNO ESCOLAR	10	200	2	5	2	5
41024	2	ALMUERZO ESCOLAR	10	120	2	5	4	5
41025	1	LECHE	1	48	12	6	3,5	6
41025	2	AVENA	3	4	1	4	1,5	4
41025	3	COMIDA PREPARADA	10	80	2	5	3,5	5
41025	4	LECHE CON AVENA	10	80	2	8	1,5	8
41025	5	GALLETA CON MANJAR	10	80	2	5	0,5	5
41027	1	DESAYUNO ESCOLAR	10	120	2	5	2,5	5
41027	2	ALMUERZO ESCOLAR	10	120	2	5	5	5
41029	1	LECHE CON AVENA	10	180	1	8	1	8
41029	2	GALLETA CON MERMELADA	9	180	1	7	1	7
41029	3	ALMUERZO ESCOLAR	10	180	1	9	2	9
41030	1	LECHE CON QUAKER	10	200	1	8	1	8
41030	2	GALLETA CON MERMELADA	10	200	1	7	0,3	7
41030	3	ARROZ CON MENESTRAS CON POLLO	10	200	1	9	3	9
41031	1	FREJOLES	6	3	23	2	0,7	2
41031	2	QUAKER CON LECHE	10	200	2	8	1	8
41031	3	GALLETA CON MIEL	10	200	2	7	0,5	7
41032	1	TARRO DE LECHE	1	4	24	6	3	6
41032	2	AVENA CON LECHE	10	120	5	8	1	8
41032	3	GALLETA CON MERMELALA	10	120	5	5	0,7	5
41032	4	ARROZ CON MENESTRA Y ATUN	10	120	5	9	3	9
41033	1	AVENA CON LECHE	10	50	1	8	1	8
41033	2	GALLETA CON MERMELADA	9	50	1	5	0,5	5
41033	3	SEGUNDO	10	50	1	9	2	9
41034	1	AVENA CON LECHE	10	100	3	8	1	8
41034	2	GALLETA	9	180	3	5	0,3	5
41034	3	SEGUNDOS	10	100	3	9	1	9
41035	1	DESAYUNO ESCOLAR	10	120	3	5	2	5
41035	2	ALMUERZO ESCOLAR	10	120	3	5	4	5
41037	1	LECHE	1	4	12	6	3	6
41038	1	TARRO DE LECHE	1	48	12	6	3	6
41038	2	AVENA CON LECHE	10	60	1	8	1,5	8
41038	3	GALLETA CON MERMELADA	10	60	1	5	0,5	5
41038	4	ARROZ CON MENESTRA Y ATUN	10	60	1	9	5	9
41039	1	DESAYUNO ESCOLAR	10	6	1	8	0,5	8
41039	2	ALMUERZO ESCOLAR	10	6	1	5	1	5
41040	1	DESAYUNO ESCOLAR	1	80	1	8	1	8
41040	2	ALMUERZO ESCOLAR	10	80	1	5	4	5
41040	3	GALLETA CON MERMELADA	9	80	1	7	0,5	7
41041	1	AVENA CON LECHE	10	140	1	8	0,5	8
41041	2	GALLETAS CON MERMELADA	9	140	1	5	0,5	5
41041	3	ALMUERZO	10	180	1	9	1,5	9
41042	1	LECHE	1	4	12	6	3	6
41042	2	AVENA	3	4	1	4	3	4
41042	3	AVENA CON LECHE	10	90	2	8	1	8
41042	4	GALLETA CON MERMELADA	10	90	2	5	0,2	5
41042	5	ARROZ CON MENESTRA  TALLARIN Y ATUN	10	150	2	9	2	9
41043	1	AVENA CON LECHE	10	180	2	8	1	8
41043	2	GALLETA CON MERMELADA	9	180	2	7	0,5	7
41043	3	ALMUERZO ESCOLAR	10	180	2	9	3	5
41044	1	AVENA CON LECHE	10	180	2	8	1	8
41044	2	GALLETA CON MERMELADA	9	180	2	7	0,5	7
41044	3	ALMUERZO ESCOLAR	10	180	2	9	5	9
41045	1	DESAYUNO ESCOLAR	10	80	2	8	0,5	8
41045	2	GALLETA CON MERMELADA	9	80	2	5	0,5	5
41045	3	ALMUERZO ESCOLAR	10	80	2	5	3	5
41046	1	VASO DE LECHE	1	4	12	6	2,5	6
41046	2	DESAYUNO ESCOLAR	10	144	1	5	1	5
41046	3	ALMUERZO ESCOLAR	10	144	1	5	3	5
41047	1	DESAYUNO ESCOLAR	10	60	1	5	2	5
41047	2	ALMUERZO ESCOLAR	10	60	1	5	3	5
41047	3	VASO DE LACHE	1	3	1	6	3	6
41048	1	AVENA CON LECHE	10	7	1	8	0,5	8
41048	2	GALLETAS	9	180	2	7	0,3	7
41048	3	SEGUNDOS	10	180	1	9	-77	9
41049	1	QUAKER CON LECHE	10	200	1	8	1	8
41049	2	GALLETAS CON MIEL	10	200	1	7	0,4	7
41049	3	ARROZ CON FREJOLES Y POLLO	10	200	1	9	3	9
41050	1	AVENA CON LECHE	10	90	4	8	1	8
41050	2	GALLETA CON MERMELADA	10	360	4	5	0,6	5
41050	3	ARROZ CON MENESTRA Y ATUN	10	640	4	9	2,5	9
41052	1	DESAYUNO ESCOLAR	10	120	2	5	1,5	5
41052	2	ALMUERZO ESCOLAR	10	200	2	5	3	5
41053	1	AVENA CON LECHE	10	60	1	8	0,5	8
41053	2	GALLETA CON MERMELADA Y MANJAR	10	60	1	5	1	5
41053	3	ARROZ CON MENESTRA Y ATUN	10	240	1	9	3	9
41053	4	ARROZ	8	10	1	2	2	2
41053	5	QUESO	1	20	1	2	8	2
41054	1	LECHE	1	36	1	6	3,5	6
41054	2	AVENA	3	12	1	2	3	2
41054	3	DESAYUNO ESCOLAR	1	80	1	8	1	8
41054	4	GALLETA CON MIEL	9	80	1	7	0,5	7
41054	5	ALMUERZO ESCOLAR	10	80	1	5	3	5
41055	1	AVENA CON LECHE	10	60	1	8	1	8
41055	2	GALLETAS	9	60	1	5	0,3	5
41055	3	SEGUNDOS	10	120	1	9	2	9
41056	1	SEGUNDO	10	70	1	9	3	9
41056	2	LECHE	1	140	1	8	1	8
41056	3	GALLETAS CON MANJAR	9	140	1	7	0,5	7
41057	1	AVENA CON LECHE	10	180	1	8	1	8
41057	2	GALLETA CON MERMELADA	9	180	1	7	0,5	7
41059	1	VASO DE LECHE	1	5	12	6	2,7	6
41060	1	VASO DE LECHE	3	4	4	2	4	2
41060	2	LECHE	1	4	12	6	2,5	6
41060	3	DESAYUNO ESCOLAR	10	160	1	8	1,5	8
41060	4	ALMUERZO ESCOLAR	10	160	1	9	5	9
41061	1	DESAYUNO ESCOLAR	10	120	2	5	1	5
41061	2	ALMUERZO ESCOLAR	10	200	2	5	3	5
41062	1	DESAYUNO ESCOLAR	10	200	1	5	4	5
41063	1	LECHE	1	180	1	8	0,5	8
41063	2	GALLETA	9	180	1	7	0,3	7
41064	1	DESAYUNO ESCOLAR	10	120	3	5	2	5
41064	2	ALMUERZO ESCOLAR	10	120	3	5	3	5
41065	1	DESAYUNO ESCOLAR	10	120	1	5	1	5
41065	2	ALMUERZO ESCOLAR	10	200	1	5	2	5
41066	1	LECHE	1	48	12	6	2,5	6
41066	2	AVENA	3	4	1	4	2	4
41066	3	LECHE CON AVENA	10	40	2	8	0,5	8
41066	4	GALLETA CON MANJAR	10	40	2	5	0,5	5
41066	5	ARROY CON ATUN Y PAPAS	10	40	2	5	4	5
41067	1	AVENA CON LECHE	10	100	1	8	1	8
41067	2	GALLETA CON MERMELADA	10	100	1	5	0,5	5
41068	1	AVENA CON LECHE	10	180	3	8	1	8
41068	2	GALLETA CON MERMELADA	9	180	3	7	0,5	7
41068	3	LECHE FRESCA	1	60	1	1	3	1
41069	1	DESAYUNO ESCOLAR	1	180	1	8	1	8
41069	2	GALLETA	9	180	1	7	0,5	7
41069	3	ALMUERZO ESCOLAR	10	180	1	5	3	5
41070	1	LECHE	1	4	12	6	3,5	6
41070	2	AVENA CON LECHE	10	80	2	8	1	8
41070	3	GALLETA CON MERMELADA	10	80	2	5	0,6	5
41070	4	ARROZ CON MENESTRA Y ATUN	10	80	2	9	3	9
41071	1	LECHE CON HARINA DE PLATANO	10	160	2	8	1	8
41071	2	GALLETA , PAN CON MERMELADA	10	160	0,5	7	0,5	7
41072	1	LECHE CON  AVENA	10	60	1	8	1	8
41072	2	GALLETA CON MERMELADA	10	60	1	5	0,5	5
41072	3	ARROZ CON MENESTRA	10	60	1	5	4	5
41073	1	GALLETAS CON MERMELADA	10	200	1	7	0,5	7
41073	2	QUAKER CON LECHE	10	200	1	8	1	8
41073	3	ARROZ CON FREJOLES CON ATUN	10	200	1	9	3	9
41074	1	AVENA CON LECHE	10	180	2	8	1	8
41074	2	GALLETA CON MERMELADA	9	180	2	7	0,5	7
41074	3	ALMUERZO ESCOLAR COMPLETO( SOPA Y SEGUNDO)	10	180	2	5	5	5
41075	1	DESAYUNO ESCOLAR	1	180	1	8	0,5	8
41075	2	GALLETA	1	180	1	7	0,5	7
41075	3	ALMUERZO ESCOLAR	10	180	1	5	3	5
41076	1	LECHE	1	200	3	8	1	8
41076	2	GALLETA	10	200	3	7	0,5	7
41076	3	ARROZ CON MENESTRAS Y ATUN	10	200	3	9	3	9
41078	1	LECHE	1	48	1	6	3	6
41078	2	AVENA	3	12	1	4	2	4
41079	1	DESAYUNO ESCOLAR	10	200	2	5	1,5	5
41079	2	ALMUERZO ESCOLAR	10	200	2	5	4	5
41080	1	AVENA CONN LECHE	10	180	2	8	1	8
41080	2	GALLETA	9	180	2	7	0,5	7
41080	3	ALMUERZO ESCOLAR	10	180	2	5	5	5
41081	1	LECHE	1	60	1	8	1	8
41081	2	GALLETA CON MERMELADA	10	60	1	5	0,5	5
41081	3	ALIMENTOS PREPARADOS	10	60	1	5	6	5
41083	1	DESAYUNO ESCOLAR	10	120	2	5	2	5
41083	2	ALMUERZO ESCOLAR	10	200	2	5	5	5
41084	1	QUAKER CON LECHE	10	200	1	8	1	8
41084	2	GALLETA CON MANJAR	10	200	1	7	0,5	7
41084	3	ARROZ CON MENESTRAS ATUN	10	200	1	9	3	9
41085	1	VASO DE LECHE	1	4	3	6	2,8	6
41085	2	DESAYUNO ESCOLAR	10	80	1	8	1	8
41085	3	ALMUERZO  ESCOLAR	10	220	1	5	3,5	5
41086	1	LECHE	1	160	1	8	0,5	8
41086	2	PAN CON QUESO	10	160	1	7	0,5	7
41087	1	DESAYUNO ESCOLAR	10	20	1	5	1	5
41088	1	LECHE CON AVENA	10	115	1	8	1	8
41088	2	GALLETA CON MERMELADA	10	115	1	5	0,5	5
41088	3	ARROZ CON MENESTRA	10	60	2	5	5	5
41089	1	ALIMETOS PREPARADOS (ALMUERZO)	10	60	2	5	6	5
41089	2	LECHE CON GALLETA	10	60	2	5	2	5
41090	1	AVENA CON LECHE	10	100	1	8	1	8
41090	2	GALLETAS	9	100	4	7	0,3	7
41090	3	SEGUNDO	10	80	1	9	3	9
41092	1	DESAYUNO ESCOLAR	10	200	3	5	3	5
41093	1	DESAYUNO ESCOLAR	10	200	2	5	1	5
41096	1	DESAYUNO ESCOLAR QUAKER CON LECHE	10	140	4	8	1	8
41096	2	GALLETA SODA	9	140	4	7	0,5	7
41096	3	ALMUERZO ESCOAR	10	140	4	9	5	9
41097	1	LECHE	1	48	3	6	3	6
41097	2	AVENA	3	12	1	4	2	4
41097	3	DESAYUNO ESCOLAR	1	180	2	8	1	8
41097	4	GALLETA	9	180	2	7	0,5	7
41097	5	ALMUERZO ESCOLAR	10	100	2	5	3	5
41098	1	AVENA CON LECHE	10	180	1	8	1	8
41098	2	GALLETA CON MERMELADA	9	180	1	7	0,5	7
41098	3	ALMUERZO ESCOLAR	10	180	1	6	3	5
41098	4	LECHE	1	12	4	6	3	6
41099	1	VASO DE LECHE	1	1	12	6	3	6
41099	2	DESAYUNO ESCOLAR	10	175	1	8	1	8
41099	3	ALMUERZO ESCOLAR	10	175	1	9	4	9
41100	1	LECHE	1	3	24	6	2,7	6
41100	2	HARINA DE PLATANO	15	3	1	4	1,5	4
41100	3	LECHE CON AVENA	10	180	2	8	1	8
41100	4	GALLETA CON MERMELADA	9	180	2	7	0,5	7
41100	5	ALMUERZO ESCOLAR	10	180	2	9	3	9
41101	1	DESAYUNO ESCOLAR	1	180	2	8	0,5	8
41101	2	GALLETA	9	180	2	7	0,3	7
51001	1	AVENA CON LECHE	10	120	1	8	0,5	8
51001	2	GALLETAS	9	120	2	7	0,5	7
51001	3	SEGUNDO	10	120	1	5	2	5
51002	1	PLATANOS	15	48	80	7	0,1	7
51002	2	YUCA	15	4	2	2	1,5	2
51002	3	QUAKER CON LECHE	10	200	1	8	1	8
51002	4	PAN CON QUESO	10	200	1	7	0,5	7
51003	1	AVENA CON LECHE Y PAN CON CAMOTE	10	100	2	5	1	5
51004	1	REFRESCO DE SOYA, CARAMBOLA O CHICHA MORADA	10	80	2	8	0,5	8
51004	2	PAN CON MANJAR	10	80	2	7	0,5	7
51005	1	QUAKER CON AVENA	10	80	1	8	1	8
51005	2	PAN CON HUEVO O CAMOTE	10	80	1	7	0,5	7
51007	1	PAN CON MANJAR	9	160	1	5	0,5	5
51007	2	LECHE CON QUAKER	1	160	1	8	1	8
51009	1	LECHE	1	30	2	8	0,5	8
51009	2	AVENA	3	1	2	3	1,5	3
51010	1	LECHE CON AVENA O CON HARINA DE PLATANO	10	160	2	8	1,5	8
51010	2	PAN CON CAMOTE,CON HUEVO	10	16	2	7	0,5	7
51010	3	LECHE FRESCA	1	40	3	8	2	8
51010	4	PAN	9	20	3	7	0,2	7
51011	1	LECHE	1	200	4	8	0,5	8
51011	2	PAN CON HUEVO	10	200	4	7	0,5	7
51012	1	LECHE	1	200	1	8	0,5	8
51012	2	PAN CON HUEVO	10	200	1	7	0,5	7
51015	1	AVENA CON LECHE	10	180	2	8	1	8
51015	2	PAN CON VARIEDAD	9	180	2	5	0,5	5
51016	1	AVENA CON LECHE	10	180	1	8	1	8
51016	2	PAN CON VARIEDAD	9	180	1	5	0,5	5
51017	1	AVENA CON LECHE	10	180	1	8	1,5	8
51017	2	PAN CON VARIEDAD	9	180	2	5	0,5	5
51018	1	DESAYUNO ESCOLAR	10	200	1	5	3	5
51020	1	LECHE	1	20	1	8	1	8
51020	2	PAN	9	20	1	7	0,5	7
51022	1	AVENA CON  LECHE	10	180	2	8	1	8
51022	2	GALLETA  CON MERMELADA	9	180	2	7	0,5	8
51025	1	QUAKER  CON LECHE	10	120	1	8	1,2	8
51025	2	GALLETAS CON MERMELADAS	10	120	1	5	0,5	5
51026	1	VASO DE LECHE	1	48	1	1	1	1
51026	2	DESAYUNO ESCOLAR	10	35	1	5	2	5
51027	1	QUAKER CON LECHE	10	100	1	8	1,5	8
51027	2	GALLETA	9	100	1	5	0,3	5
51029	1	AVENA CON LECHE	2	180	1	7	1	7
51029	2	GALLETA CON MERMELADA	2	180	180	7	0,5	7
51031	1	QUAKER CON LECHE	10	200	1	8	1	8
51031	2	PAN CON HUEVO	10	200	1	7	1	7
51033	1	LACTEO AVENA	1	12	1	2	5	2
51033	2	DESAYUNO ESCOLAR	10	180	1	5	1	5
51033	3	GALLETA	9	18	1	7	0,5	7
51034	1	PAN CON HUEVO	10	140	2	5	0,5	5
51034	2	LECHE CON QUAKER	1	140	2	8	0,5	8
51035	1	DESAYUNO ESCOLAR	10	180	1	5	1	5
51036	1	DESAYUNO ESCOLAR (LECHE CON GALLETAS)	10	140	1	5	1	5
51037	1	LECHE CON AVENA	10	180	1	8	1	8
51037	2	PAN CON TORREJAS	10	180	1	7	0,5	7
51039	1	DESAYUNO ESCOLAR	10	160	1	5	1,5	5
51040	1	AVENA CON LECHE	10	180	1	8	0,5	8
51040	2	PAN CON VARIEDAD	9	180	1	5	0,5	5
51041	1	LECHE	1	24	1	1	1	1
51041	2	PAN	9	180	1	7	0,3	7
51041	3	DESAYUNO ESCOLAR	1	180	1	8	1	8
51042	1	DESAYUNO ESCOLAR	1	180	2	8	1	8
51042	2	PAN	9	180	2	7	0,5	7
51044	1	PAN	9	180	1	7	0,5	7
51044	2	DESAYUNO ESCOLAR	1	180	1	8	1	8
51045	1	PAN	9	180	1	7	0,5	7
51045	2	DESAYUNO  ESCOLAR	1	180	1	8	0,5	8
51046	1	PAN	9	180	1	7	0,2	7
51046	2	LECHE	1	180	1	8	0,5	8
51047	1	PAN CON MANTEQUILLA,ATUN,TORTILLA	10	200	1	7	1	7
51047	2	QUAKER CON LECHE	10	200	1	8	1	8
51048	1	LECHE	1	160	1	8	0,5	8
51048	2	PAN CON MERMELADA	9	160	1	7	0,5	7
51049	1	LECHE FRESCA	1	52	1,3	1	1,3	1
51049	2	LECHE	1	240	1	8	0,5	8
51049	3	GALLETAS	9	240	1	7	0,5	7
51049	4	ALMUERZO ESCOLAR	10	40	1	5	2	5
51051	1	DESAYUNO ESCOLAR	10	120	1	5	1	5
51051	2	ALMUERZO ESCOLAR	10	200	1	5	5	5
51051	3	VASO DE LECHE	10	140	2	5	4	5
51052	1	LECHE	1	6	8	1	1,5	1
51052	2	LECHE	1	240	1	8	0,5	8
51052	3	GALLETA	9	240	1	7	0,3	7
51056	1	AVENA CON LECHE	10	180	1	8	1	8
51056	2	GALLETA	9	180	1	7	0,5	7
51058	1	LECHE CON ARINA DE PLATANO	10	160	2	8	1	8
51058	2	GALLETA CON  MERMELADA	10	160	2	5	0,5	5
51058	3	ARROZ CON TORTILLAS	10	20	2	5	4	5
51060	1	LECHE EN TARRO	1	80	1	6	3	6
51060	2	AVENA	3	80	1	3	0,5	3
51060	3	SALMON PREPARADO	7	16	1	6	4,5	6
51061	1	DESAYUNO ESCOLAR	10	200	2	5	3	5
51062	1	LECHE FRESCA	1	48	1	1	1	1
51062	2	LECHE	1	120	2	8	0,5	8
51062	3	GALLETA	9	120	2	7	0,3	7
51063	1	AVENA CON LECHE	10	200	1	8	1	8
51063	2	PAN CON CAMOTE FRITO	10	200	1	7	0,5	7
51063	3	ALMUERZO ESCOLAR	10	40	1	5	4	5
51065	1	DESAYUNO ESCOLAR	10	120	1	5	2	5
51065	2	VASO DE LECHE	1	12	4	6	3	6
51065	3	VASO DE LECHE	3	12	1	2	5	2
51068	1	DESAYUNO ESCOLAR	10	120	1	5	3	5
51069	1	DESAYUNO ESCOLAR (LECHE CON QUAKER Y PAN CON MERMELADA)	10	120	3	5	2	5
51069	2	VASO DE LECHE	1	10	0,5	1	0,5	1
51071	1	LECHE	1	192	6	1	1	1
51071	2	AVENA CON LECHE	10	180	3	8	0,5	8
51071	3	PAN CON MANTEQUILLA	9	160	3	5	0,2	5
51072	1	PAN	9	180	2	7	0,5	7
51072	2	LECHE CON AVENA	1	180	2	8	1	8
51073	1	LECHE	1	6	5	6	1,5	6
51073	2	QUAKER	8	6	2	2	2	2
51074	1	DESAYUNO ESCOLAR	10	120	1	5	1,5	5
51075	1	PAN CON MERMELADA	9	180	1	5	0,4	5
51075	2	LECHE	1	180	1	8	0,5	5
51075	3	LECHE	1	6	6	1	1	1
51076	1	VASO DE LECHE	1	6	5	6	3	6
51077	1	QUAKER CON LECHE	10	200	2	8	0,7	8
51077	2	PAN CON HUEVO	10	200	2	7	1	7
51078	1	AVENA CON LECHE	10	180	1	8	1	8
51078	2	PAN CON QUESO	9	180	1	7	1	7
51079	1	AVENA CON LECHE	10	180	2	8	1	8
51079	2	GALLETA	9	180	2	7	0,3	7
51080	1	AVENA CON LECHE	10	180	2	8	0,5	8
51080	2	PAN CON QUESO	9	180	2	7	0,5	7
51081	1	LECHE	1	72	6	1	1,2	1
51081	2	LECHE CON AVENA	10	160	1	8	0,5	8
51081	3	PAN CON QUESO	10	160	1	7	0,3	7
51081	4	LECHE	1	30	1	8	0,5	8
51081	5	PAN	9	30	1	7	0,2	7
51082	1	LECHE	1	72	6	2	1	1
51082	2	LECHE CON AVENA	10	160	3	8	0,5	8
51082	3	PAN CON HUEVO	10	160	3	7	0,5	7
51083	1	LECHE CON ARINA DE PLATANO	10	160	2	8	1	8
51083	2	PAN CON QUESO	10	160	2	7	0,5	7
51084	1	QUAKER	3	200	2	8	0,7	8
51084	2	GALLETAS	9	200	2	7	0,5	7
51085	1	QUAKER CON LECHE	10	200	2	8	0,5	8
51085	2	PAN CON MERMELADA	10	200	2	7	0,3	7
51086	1	DESAYUNO ESCOLAR	1	180	1	8	1	8
51086	2	GALLETA	9	180	1	7	0,3	7
51087	1	LECHE	1	12	24	6	3	6
51087	2	AVENA	3	12	12	4	3	4
51087	3	AVENA CON LECHE	10	100	3	8	1	8
51087	4	PAN CON MERMELADA	10	100	3	5	0,5	5
51088	1	LECHE	1	120	1	8	1	8
51088	2	GALLETA	9	120	1	7	0,5	7
51088	3	ALIMENTOS PREPARADOS (ALMUERZO)	10	120	1	5	4,5	5
51089	1	LECHE CON HARINA DE PLATANO	10	160	3	8	1	8
51089	2	PAN CON HUEVO	10	160	3	7	0,5	7
51090	1	AVENA CON LECHE	10	180	1	7	0,5	7
51090	2	PAN CON CAMOTE	9	180	1	7	0,5	7
51091	1	QUAKER CON LECHE	10	200	1	8	0,5	8
51091	2	PAN CON MERMELADA	10	200	1	7	0,5	7
51092	1	LECHE	1	12	1	1	1,2	1
51092	2	QUAKER CON LECHE	10	200	2	8	1	8
51092	3	PAN CON MERMELADA	10	200	2	7	0,8	7
51094	1	DESAYUNO ESCOLAR	10	180	1	5	2	5
51095	1	DESAYUNO ESCOLAR	10	160	1,3	5	1,3	5
51099	1	LECHE	1	12	2	1	1	1
51099	2	AVENA CON LECHE	10	180	1	8	1	8
51099	3	PAN CON VARIEDAD	9	180	1	5	0,5	5
51100	1	LECHE	1	12	4	1	1	1
51100	2	LECHE	1	60	1	8	0,5	8
51100	3	PAN	9	60	1	5	0,1	5
51101	1	DESAYUNO ESCOLAR	1	180	3	8	1	8
