CHILDCODE	DNFDIDR4	DONNMER4	DONTYPR4	DONRCVR4	DONAMTR4	DONMSRR4	DONPRCR4	PRCMSRR4
11080	2	PAN CON ATUN, CON MERMELADA, MANTEQUILLA.	9	400	2	7	0,7	7
11081	1	LECHE	2	12	240	6	360	6
11081	2	AVENA	3	80	1	8	1	8
11081	3	PAN	9	80	1	7	0,5	7
11085	1	AVENA	3	90	1	8	1	8
11085	2	PAN	9	90	1	7	0,5	7
11086	1	AVENA CON LECHE, QUINUA	10	110	2	8	1,5	8
11086	2	PAN CON JAMONADA, CON CAMOTE, CON ACEITUNA, CON QUESO	10	110	2	7	1,5	7
11086	3	CHOCLO CON QUESO	10	50	2	9	2,5	7
11088	1	AVENA CON LECHE	10	360	2	8	360	8
11088	2	PAN CON MERMELADA	9	360	2	7	0,5	7
11089	1	AVENA Y LECHE	10	100	1	8	1	8
11089	2	PAN Y MERMELADA	10	100	1	7	1	7
11090	1	AVENA	3	100	1	8	1	8
11090	2	PAN CON MANTEQUILLA	9	100	1	7	0,5	7
11090	3	LECHE	1	2	2	6	3,2	6
11090	4	AVENA	3	2	2	2	3	2
11093	1	LECHE CON AVENA	10	360	2	8	1,5	8
11094	1	VASO DE LECHE	3	12	1	8	2	8
11095	1	AVENA	3	5	1	8	1,6	8
11095	2	PAN	10	5	1	7	1	7
11096	1	AVENA	10	4	1	8	1	8
11096	2	PAN CON MERMELADA	9	4	1	5	0,5	5
11098	1	QUAKER CON LECHE	10	100	1	8	1	8
11098	2	PAN CON MERMELADA,ATUN, MANTEQUILLA	9	100	1	7	0,5	7
11099	1	AVENA CON LECHE	10	200	1	8	1,5	8
11099	2	PAN CON JAMONADA	9	200	1	7	0,5	7
11100	1	DOS TARROS DE LECHE	1	12	2	6	3	6
11100	2	AVENA	3	12	1	2	2,5	2
11100	3	PAN CON MERMELADA	10	600	3	7	0,7	7
11100	4	KUAQUER CON LECHE	10	600	3	8	0,5	8
21001	1	AVENA	3	12	1	4	2	4
21001	2	LECHE	1	12	1	6	3	6
21002	1	AVENA CON LECHE	10	312	1	8	0,7	8
21002	2	ARROZ	8	12	5	2	13	2
21002	3	AZUCAR	11	12	3	2	2	2
21002	4	ACEITE	5	12	1	1	7	1
21002	5	PAPA	15	12	10	2	1,4	2
21002	6	CARNE DE CHANCHO	7	48	1	2	10	2
21002	7	PESCADOS	7	12	1	2	8	2
21002	8	HUEVOS	15	360	1	7	0,4	7
21002	9	COMIDA PREPARADA	10	144	3	9	5	9
21006	1	VASO DE LECHE	1	4	1	8	0,5	8
21006	2	PA N	9	4	1	7	1	7
21013	1	AVENA	3	120	1	8	1	8
21013	2	PAN CON MERMELADA	9	120	1	7	0,5	7
21013	3	HUEVO	15	120	1	7	0,5	7
21014	1	AVENA	3	90	1	8	1,5	8
21014	2	PAN	9	90	1	7	1	7
21015	1	AVENA	3	12	1	4	3	4
21015	2	LECHE GLORIA	1	12	3	6	3	6
21023	1	VASO DE LECHE	1	12	2	6	3,2	6
21025	1	ARROZ	8	3	50	2	1,6	2
21025	2	CEBOLLA	15	1	1	10	20	10
21026	1	ARROZ	8	2	50	2	1,6	2
21026	2	CEBOLLA	15	1	50	2	0,6	2
21029	1	AVENA CON LECHE	10	210	1	8	1	8
21030	1	ARROZ	8	3	50	2	1,6	2
21031	1	AVENA	10	120	1	5	1	5
21033	1	AVENA	3	12	1	2	1,5	2
21033	2	LECHE	1	36	3	6	3,2	6
21033	3	COMIDA PREPARADA	10	200	1	9	4	9
21035	1	AVENA CON LECHE	10	210	1	8	1	8
21038	1	AVENA CON LECHE	10	240	1	8	2	8
21039	1	AVENA CON LECHE	10	210	1	8	1	8
21040	1	LECHE	1	11	2	6	3	6
21040	2	AVENA QUACKER	3	11	1	4	2,5	4
21040	3	QUACKER CON  LECHE	3	7	0,5	1	5	1
21041	1	AVENA CON LECHE	10	260	1	5	1	5
21041	2	GALLETAS	9	260	1	7	0,3	7
21044	1	AVENA CON LECHE	10	240	1	1	4	1
21045	1	LECHE EVAPORADA	1	12	3	7	3	7
21046	1	QUACKER	3	12	1	2	3	2
21046	2	LECHE	1	12	1,5	6	5,3	6
21046	3	QUACKER DE AVENA	3	120	1	8	0,5	8
21046	4	PAN CON MANTEQUILLA O ATUN O HUEVO	9	120	1	7	0,5	7
21048	1	LECHE EVAPORADA	1	5	6	7	3,5	7
21048	2	ACEITE	5	4	1	1	7	1
21048	3	LENTEJAS	6	4	2	2	4	2
21051	1	LECHE EN TARRO	1	6	2	7	3,5	7
21054	1	ARROZ	8	4	75	2	2,5	2
21058	1	AVENA	3	12	1	2	4,8	2
21058	2	LECHE	1	12	3	6	3,3	6
21058	3	QUAKER CON LECHE	10	100	1	8	1	8
21058	4	PAN CON MERMERMELADA,ATUN.	10	100	1	7	1	7
21060	1	LECHE	1	24	2	6	2,7	6
21060	2	AVENA	3	12	1	2	4	2
21062	1	avena y leche	10	228	1	8	1	8
21062	2	ARROZ	8	2	100	2	1,6	2
21065	1	LECHE	1	12	2	7	4	7
21065	2	AVENA	3	12	1	2	2	2
21067	1	LECHE EN TARRO	1	8,8	2	6	3,5	7
21068	1	LECHE	1	30	3	6	3	6
21068	2	AVENA	3	5	1	3	2,4	3
21069	1	PAN CON ATUN,MERMELADA	10	100	1	7	0,5	7
21069	2	QUAKER CON LECHE	10	100	1	8	1	8
21070	1	LECHE EVAPORADA	1	12	2	7	3,2	7
21071	1	ARROZ	8	8	2	2	2	2
21071	2	ACEITE	5	8	1	1	5	1
21071	3	MENESTRA	6	8	1	4	2	4
21071	4	AVENA	3	12	1	2	4,8	2
21071	5	VASO DE LECHE	10	36	1	8	1	8
21071	6	ARROZ	8	2	100	2	1,8	2
21072	1	QUACKER	3	58	1	8	2	8
21072	2	PAN CON MANTEQUILLA O MERMELADA O TORTILLA	9	58	1	7	1	7
21072	3	AVENA CON LECHE	3	84	1	8	1	8
21074	1	ACEITE	5	5	1	1	6,5	1
21074	2	MENESTRA	6	5	1	4	3	4
21074	3	ARROZ	8	5	4	4	1,3	4
21079	1	LECHE	1	4	24	6	3,2	6
21080	1	LECHE	1	8	16	6	3,2	6
21080	2	QUAKER	3	8	16	2	4,8	2
21085	1	AVENA CON LECHE	10	144	1	8	1	8
21087	1	LECHE	1	12	2	6	6,4	6
21087	2	AVENA	3	12	2	4	6	4
21091	1	LECHE CON KUAQUER Y SANDWICH	10	100	1	8	1,5	8
21093	1	AVENA CON LECHE	10	240	1	8	1	8
21093	2	ARROZ	8	2	100	2	1,6	2
21096	1	LECHE	1	4	24	6	3,2	6
21098	1	QUAQUER	3	200	2	8	0,5	8
21098	2	PAN CON MERMELADA	9	200	2	7	0,8	7
31002	1	GALLETA	9	100	3	7	0,5	7
31002	2	LECHE	1	100	1	8	1	8
31002	3	FIDEO CON ATUN	10	180	1	9	2	9
31002	4	ARROZ CON MENESTRA	10	180	1	9	2	9
31003	1	LECHE CON COCOA	1	160	0,5	1	2	1
31003	2	GALLETAS CON MIEL	9	160	1	7	0,5	7
31003	3	TALLARINES CON ATUN Y FREJOLES	10	160	1	9	2	9
31005	1	DESAYUNO ESCOLAR	10	100	1	5	1,5	5
31005	2	ALMUERZO ESCOLAR	10	200	1	5	4	5
31006	1	LECHE	1	48	4	6	2,5	6
31006	2	AVENA	3	12	1	2	4	2
31006	3	ALIMENTOS PREPARADO	10	200	6	5	4	5
31007	1	MENESTRA CON ARROZ Y ATUN	10	600	3	9	5	9
31007	2	GALLETA CON MERMELADA,MIEL	10	180	3	5	0,5	5
31007	3	QUAKER CON LECHE	10	180	3	8	1,5	8
31007	4	LECHE	1	30	5	6	3,2	6
31009	1	DESAYUNO ESCOLAR	10	200	5	5	7,5	5
31009	2	ALMUERZO ESCOLAR	10	200	5	5	15	5
31011	1	AVENA CON ECHE	3	180	3	8	1	8
31011	2	GALLETA CON MERMELADA	9	180	3	7	0,5	7
31011	3	ALMUERZO ESCOLAR	10	180	3	5	3	5
31012	1	AVENA CON LECHE	10	180	1	8	1	8
31012	2	GALLETA CON MERMELADA	9	180	1	7	0,5	7
31012	3	ALMUERZO ESCOLAR	10	180	1	5	4	5
31013	1	QUAKER CON LECHE	10	200	3	8	1	8
31013	2	GALLETA SODA	9	200	3	7	0,5	7
31013	3	ARROZ CON FREJOLES Y ATUN	10	200	3	9	5	9
31013	4	AVENA	3	48	4	2	2	2
31013	5	LECHE EN TARRO	1	48	12	6	3	6
31014	1	DESAYUNO ESCOLAR	10	120	1	5	1	5
31014	2	ALMUERZO ESCOLAR	10	200	1	5	3	5
31015	1	DESAYUNO ESCOLAR	10	200	2	5	6	5
31015	2	ALMUERZO ESCOLAR	10	200	2	5	6	5
31017	1	DESAYUNO  AVENA LECHE	10	320	2	8	2	8
31017	2	ALMUERZO  ESCOLAR	10	320	2	9	3	9
31018	1	GALLETAS CON MERMELADA	10	200	2	7	1	7
31018	2	QUAKER CON LECHE	10	200	2	8	1	8
31018	3	ARROZ CON FREJOLES Y ATUN	10	200	2	9	5	9
31019	1	QUAKER CON LECHE	10	80	2	8	1,5	8
31019	2	GALLETA CON MERMELADA O MIEL DE ABEJA	10	80	2	7	1	7
31019	3	ARROZ CON MENESTRA Y ATUN	10	220	2	9	3	9
31021	1	ARROZ CON ATUN	10	80	1	9	2	9
31021	2	ARROZ  CON FREJOLES	10	80	1	9	2	9
31021	3	GALLETAS  CON MERMELADA	9	1	1	7	0,5	7
31021	4	LECHE	1	80	1	8	1	8
31022	1	DESAYUNO AVENA	3	80	2	8	1,5	8
31022	2	LECHE CON AVENA	10	24	1	1	4	1
31023	1	AVENA CON LECHA	10	180	2	8	1	8
31023	2	GALLETA CON MERMELADA	9	180	2	7	1	7
31023	3	ALMUERZO ESCOLAR	10	180	2	5	4	5
31024	1	VASO AVENA	3	200	2	8	1	8
31024	2	GALLETAS  DE SODA	9	200	2	7	0,3	7
31026	1	LECHE	1	6	5	6	3	6
31026	2	AVENA	3	6	2	2	3	2
31026	3	TASA DE LECHE	10	10	1	8	1	8
31026	4	GALLETAS	9	10	1	7	1	7
31027	1	VASO DE AVENA	3	6	1	8	1	8
31027	2	GALLETAS CON MERMELADA	9	6	1	7	1	7
