CHILDCODE	FVVLIDR4	FVVALR4	SLVALR4
11001	1	21	300
11001	2	11	300
11001	3	12	250
11001	4	24	200
11001	5	4	150
11002	1	21	800
11002	2	11	500
11002	3	4	200
11002	4	12	100
11002	5	22	20
11003	1	6	3000
11003	2	11	700
11003	3	26	600
11003	4	4	600
11003	5	12	300
11004	1	21	500
11004	2	4	200
11004	3	12	50
11004	4	23	50
11004	5	26	50
11005	1	12	70
11005	2	10	50
11005	3	98	 
11005	4	98	 
11005	5	98	 
11006	1	12	800
11006	2	24	600
11006	3	4	400
11006	4	25	90
11006	5	8	50
11007	1	21	2200
11007	2	11	1000
11007	3	26	700
11007	4	12	600
11007	5	28	400
11008	1	11	500
11008	2	21	500
11008	3	26	200
11008	4	12	200
11008	5	24	100
11009	1	6	300000
11009	2	4	5600
11009	3	7	4000
11009	4	21	3000
11009	5	11	1000
11010	1	21	1500
11010	2	11	1000
11010	3	4	500
11010	4	24	500
11010	5	12	300
11011	1	4	300
11011	2	24	150
11011	3	12	50
11011	4	8	50
11011	5	25	30
11012	1	6	8000
11012	2	7	2000
11012	3	12	1000
11012	4	4	1000
11012	5	24	200
11013	1	7	2000
11013	2	4	300
11013	3	25	100
11013	4	12	60
11013	5	22	30
11014	1	6	2000
11014	2	25	450
11014	3	12	120
11014	4	8	40
11014	5	22	40
11015	1	11	1132
11015	2	26	849
11015	3	4	566
11015	4	24	566
11015	5	7	400
11016	1	21	1000
11016	2	11	500
11016	3	24	500
11016	4	12	500
11016	5	4	300
11017	1	7	700
11017	2	4	400
11017	3	12	100
11017	4	25	80
11017	5	10	50
11018	1	21	1600
11018	2	11	500
11018	3	4	200
11018	4	28	100
11018	5	5	80
11019	1	26	600
11019	2	11	600
11019	3	4	250
11019	4	24	150
11019	5	25	50
11020	1	7	2800
11020	2	11	800
11020	3	21	800
11020	4	4	400
11020	5	24	400
11021	1	4	500
11021	2	11	500
11021	3	24	100
11021	4	8	100
11021	5	22	40
11022	1	11	900
11022	2	26	500
11022	3	12	200
11022	4	4	100
11022	5	22	30
11023	1	4	1500
11023	2	11	800
11023	3	24	300
11023	4	12	200
11023	5	25	100
11024	1	7	1000
11024	2	11	300
11024	3	24	300
11024	4	4	300
11024	5	12	200
11025	1	7	1500
11025	2	21	1000
11025	3	26	500
11025	4	11	500
11025	5	12	300
11026	1	21	2500
11026	2	11	900
11026	3	24	800
11026	4	12	500
11026	5	25	50
11027	1	11	500
11027	2	4	500
11027	3	3	350
11027	4	24	150
11027	5	15	100
11028	1	21	1000
11028	2	12	200
11028	3	4	100
11028	4	24	100
11028	5	25	40
11029	1	6	4000
11029	2	4	1000
11029	3	24	500
11029	4	21	500
11029	5	11	300
11030	1	11	500
11030	2	26	400
11030	3	21	300
11030	4	23	80
11030	5	22	50
11031	1	4	2000
11031	2	7	1200
11031	3	21	1000
11031	4	26	500
11031	5	12	400
11032	1	11	1200
11032	2	21	1000
11032	3	4	1000
11032	4	12	1000
11032	5	10	800
11033	1	7	3000
11033	2	8	600
11033	3	11	300
11033	4	12	50
11033	5	25	40
11034	1	4	300
11034	2	24	200
11034	3	10	100
11034	4	12	50
11034	5	23	30
11035	1	11	300
11035	2	12	250
11035	3	4	200
11035	4	25	200
11035	5	10	100
11036	1	4	200
11036	2	23	80
11036	3	8	60
11036	4	22	50
11036	5	12	50
11037	1	7	500
11037	2	11	150
11037	3	12	80
11037	4	4	40
11037	5	98	 
11038	1	7	2000
11038	2	21	900
11038	3	11	500
11038	4	26	300
11038	5	24	200
11039	1	4	150
11039	2	24	120
11039	3	25	100
11039	4	5	80
11039	5	22	30
11040	1	12	300
11040	2	4	200
11040	3	26	200
11040	4	24	200
11040	5	25	50
11041	1	4	350
11041	2	12	180
11041	3	25	80
11041	4	23	50
11041	5	22	20
11042	1	4	300
11042	2	12	100
11042	3	5	40
11042	4	98	 
11042	5	98	 
11043	1	4	500
11043	2	3	500
11043	3	24	400
11043	4	11	200
11043	5	25	40
11044	1	21	1000
11044	2	4	700
11044	3	11	500
11044	4	12	200
11044	5	8	100
11045	1	21	1000
11045	2	4	700
11045	3	26	700
11045	4	12	180
11045	5	10	150
11046	1	7	2500
11046	2	21	1700
11046	3	26	890
11046	4	11	500
11046	5	4	400
11047	1	26	1100
11047	2	21	1000
11047	3	4	600
11047	4	11	500
11047	5	10	300
11048	1	6	40500
11048	2	21	810
11048	3	4	540
11048	4	11	400
11048	5	23	50
11049	1	4	2200
11049	2	21	2000
11049	3	26	1000
11049	4	11	500
11049	5	5	400
11050	1	11	800
11050	2	24	500
11050	3	4	400
11050	4	12	200
11050	5	8	80
11051	1	4	800
11051	2	11	500
11051	3	12	400
11051	4	23	80
11051	5	22	60
11052	1	6	13000
11052	2	7	1500
11052	3	21	800
11052	4	26	500
11052	5	4	100
11053	1	11	500
11053	2	24	300
11053	3	4	200
11053	4	25	200
11053	5	10	100
11054	1	21	150
11054	2	4	90
11054	3	11	50
11054	4	25	20
11054	5	23	20
11055	1	21	1800
11055	2	26	1100
11055	3	11	700
11055	4	8	350
11055	5	10	350
11056	1	6	187000
11056	2	4	3200
11056	3	26	2500
