CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
11042	13	1	4	4	1	 
11043	9	1	3	4	1	 
11043	10	1	4	4	1	 
11043	11	1	5	4	1	 
11043	12	1	6	4	1	 
11043	13	1	7	4	1	 
11044	9	1	2	4	1	 
11044	10	1	3	4	1	 
11044	11	1	4	4	1	 
11044	12	1	5	4	1	 
11044	13	1	6	4	1	 
11045	9	1	3	4	1	 
11045	10	1	4	4	1	 
11045	11	1	5	4	1	 
11045	12	1	5	4	0	15
11045	13	1	6	4	0	24
11046	9	1	3	4	1	 
11046	10	1	4	4	1	 
11046	11	1	5	4	1	 
11046	12	1	6	4	1	 
11046	13	1	7	4	0	24
11047	9	1	2	7	1	 
11047	10	1	3	7	1	 
11047	11	1	4	7	1	 
11047	12	1	5	7	1	 
11047	13	1	6	7	1	 
11048	9	1	3	4	1	 
11048	10	1	4	4	1	 
11048	11	1	5	4	1	 
11048	12	1	6	4	0	89
11048	13	1	7	1	0	89
11049	9	1	2	4	1	 
11049	10	1	3	4	1	 
11049	11	1	4	1	0	24
11049	12	1	5	1	1	 
11049	13	1	6	1	1	 
11050	9	1	3	4	1	 
11050	10	1	4	4	1	 
11050	11	1	5	4	1	 
11050	12	1	6	4	1	 
11050	13	1	7	4	0	24
11051	9	1	2	4	1	 
11051	10	1	3	4	1	 
11051	11	1	4	4	1	 
11051	12	1	5	4	1	 
11051	13	1	6	4	1	 
11052	9	1	3	1	0	20
11052	10	1	4	4	1	 
11052	11	1	5	4	1	 
11052	12	1	6	4	1	 
11052	13	1	7	1	0	20
11053	9	1	3	4	1	 
11053	10	1	4	4	1	 
11053	11	1	5	4	1	 
11053	12	1	6	4	1	 
11053	13	1	7	4	1	 
11054	9	1	2	1	1	 
11054	10	1	3	1	1	 
11054	11	1	4	1	0	14
11054	12	1	5	4	0	14
11054	13	1	6	4	1	 
11055	9	1	3	4	1	 
11055	10	1	4	4	1	 
11055	11	1	5	4	1	 
11055	12	1	6	4	1	 
11055	13	1	7	4	0	24
11056	9	1	2	1	1	 
11056	10	1	3	1	1	 
11056	11	1	4	1	0	15
11056	12	1	5	1	1	 
11056	13	1	6	1	0	20
11057	9	1	2	4	1	 
11057	10	1	2	4	1	 
11057	11	1	3	4	1	 
11057	12	1	4	4	1	 
11057	13	1	5	4	1	 
11059	9	1	3	1	1	 
11059	10	1	4	1	1	 
11059	11	1	5	1	1	 
11059	12	1	6	1	1	 
11059	13	1	7	1	0	15
11060	9	1	3	4	1	 
11060	10	1	4	4	1	 
11060	11	1	5	4	1	 
11060	12	1	6	4	1	 
11060	13	1	7	4	0	24
11061	9	1	3	4	1	 
11061	10	1	4	4	1	 
11061	11	1	5	4	1	 
11061	12	1	6	4	1	 
11061	13	1	7	4	1	 
11062	9	1	3	4	1	 
11062	10	1	4	4	1	 
11062	11	1	5	4	1	 
11062	12	1	6	4	1	 
11062	13	1	7	7	0	24
11063	9	1	2	4	1	 
11063	10	1	3	4	1	 
11063	11	1	4	4	1	 
11063	12	1	5	4	1	 
11063	13	1	6	4	1	 
11064	9	1	2	4	1	 
11064	10	1	3	4	1	 
11064	11	1	4	4	1	 
11064	12	1	5	4	1	 
11064	13	1	6	4	1	 
11065	9	1	3	4	1	 
11065	10	1	4	4	1	 
11065	11	1	5	4	1	 
11065	12	1	6	4	1	 
11065	13	1	7	4	1	 
11066	9	1	3	4	1	 
11066	10	1	4	4	1	 
11066	11	1	5	4	1	 
11066	12	1	6	4	1	 
11066	13	1	7	4	0	24
11067	9	1	3	4	1	 
11067	10	1	4	4	1	 
11067	11	1	5	4	1	 
11067	12	1	6	4	1	 
11067	13	1	7	4	0	24
11068	9	1	2	4	1	 
11068	10	1	3	4	1	 
11068	11	1	4	4	1	 
11068	12	1	5	4	1	 
11068	13	1	6	4	1	 
11070	9	1	3	4	1	 
11070	10	1	4	1	1	 
11070	11	1	5	1	1	 
11070	12	1	6	1	1	 
11070	13	1	7	1	1	 
11071	9	1	2	4	1	 
11071	10	1	3	4	1	 
11071	11	1	4	4	1	 
11071	12	1	5	4	1	 
11071	13	1	6	4	1	 
11072	9	1	3	4	1	 
11072	10	1	4	4	1	 
11072	11	1	5	4	1	 
11072	12	1	6	4	1	 
11072	13	1	7	4	0	24
11073	9	1	2	4	1	 
11073	10	1	3	4	0	15
11073	11	1	4	4	1	 
11073	12	1	5	4	1	 
11073	13	1	6	4	1	 
11074	9	1	3	1	1	 
11074	10	1	4	1	0	24
11074	11	1	5	1	1	 
11074	12	1	6	1	0	24
11074	13	1	7	1	1	 
11075	9	1	3	3	1	 
11075	10	1	4	4	1	 
11075	11	1	5	4	1	 
11075	12	1	5	4	0	20
11075	13	1	5	4	1	 
11076	9	1	3	4	1	 
11076	10	1	4	4	1	 
11076	11	1	5	4	1	 
11076	12	1	6	4	1	 
11076	13	1	7	4	0	24
11077	9	1	2	4	1	 
11077	10	1	3	4	1	 
11077	11	1	4	4	1	 
11077	12	1	5	4	1	 
11077	13	1	6	4	1	 
11078	9	1	2	4	1	 
11078	10	1	2	4	1	 
11078	11	1	3	4	1	 
11078	12	1	4	4	1	 
11078	13	1	5	4	1	 
11079	9	1	3	4	1	 
11079	10	1	4	4	1	 
11079	11	1	5	4	1	 
11079	12	1	6	4	1	 
11079	13	1	7	1	0	24
11080	9	1	3	4	1	 
11080	10	1	4	4	1	 
11080	11	1	5	4	1	 
11080	12	1	6	4	1	 
11080	13	1	7	4	0	24
11081	9	1	2	4	1	 
11081	10	1	3	4	1	 
11081	11	1	4	4	1	 
11081	12	1	5	4	1	 
11081	13	1	6	4	1	 
11082	9	1	0	4	 	 
11082	10	1	1	4	0	24
11082	11	1	2	4	1	 
11082	12	1	3	4	1	 
11082	13	1	4	4	1	 
11083	9	1	2	7	0	24
11083	10	1	3	7	1	 
11083	11	1	4	7	0	13
11083	12	1	5	7	1	 
11083	13	1	6	7	1	 
11084	9	1	2	1	0	13
11084	10	1	3	1	0	24
11084	11	1	4	1	1	 
11084	12	1	5	1	1	 
11084	13	1	6	1	1	 
11085	9	1	2	4	1	 
11085	10	1	3	4	1	 
11085	11	1	4	4	1	 
11085	12	1	5	4	1	 
11085	13	1	6	4	1	 
11086	9	1	3	1	1	 
11086	10	1	4	1	1	 
11086	11	1	5	4	0	15
11086	12	1	6	4	1	 
11086	13	1	7	1	0	15
11087	9	1	3	4	0	6
11087	10	1	4	4	1	 
11087	11	1	5	4	1	 
11087	12	1	6	4	1	 
11087	13	1	7	1	0	6
11088	9	1	2	4	1	 
11088	10	1	3	4	1	 
11088	11	1	4	4	1	 
11088	12	1	5	4	1	 
11088	13	1	6	4	1	 
11089	9	1	2	4	1	 
11089	10	1	3	4	1	 
11089	11	1	4	4	1	 
11089	12	1	5	4	1	 
11089	13	1	6	4	1	 
11090	9	1	2	4	1	 
11090	10	1	3	4	1	 
11090	11	1	4	4	1	 
11090	12	1	5	4	1	 
11090	13	1	6	4	1	 
11091	9	1	3	4	1	 
11091	10	1	4	4	1	 
11091	11	1	5	4	1	 
11091	12	1	6	4	1	 
11091	13	1	7	4	1	 
11092	9	1	2	1	0	24
11092	10	1	3	1	1	 
11092	11	1	4	1	1	 
11092	12	1	5	1	1	 
11092	13	1	6	1	1	 
11093	9	1	3	4	1	 
11093	10	1	4	4	1	 
11093	11	1	5	4	1	 
11093	12	1	6	4	1	 
11093	13	1	7	4	1	 
11094	9	1	2	4	1	 
11094	10	1	3	4	1	 
11094	11	1	4	4	1	 
11094	12	1	4	4	1	 
11094	13	1	5	4	1	 
11095	9	1	3	4	0	24
11095	10	1	4	4	1	 
11095	11	1	5	4	1	 
11095	12	1	6	4	1	 
11095	13	1	7	4	0	24
11096	9	1	2	4	1	 
11096	10	1	3	4	1	 
11096	11	1	4	4	1	 
11096	12	1	5	4	1	 
11096	13	1	6	4	1	 
11097	9	1	3	1	0	24
11097	10	1	4	1	1	 
11097	11	1	5	1	1	 
11097	12	1	6	1	1	 
11097	13	1	7	1	1	 
11098	9	1	2	4	1	 
11098	10	1	3	4	1	 
11098	11	1	4	4	1	 
11098	12	1	5	4	1	 
11098	13	1	6	4	1	 
11099	9	1	3	4	1	 
11099	10	1	4	4	1	 
11099	11	1	4	4	1	 
11099	12	1	5	4	1	 
11099	13	1	6	4	1	 
11100	9	1	2	4	0	24
11100	10	1	3	4	1	 
11100	11	1	4	4	1	 
11100	12	1	5	4	1	 
11100	13	1	6	4	1	 
21001	9	1	2	4	1	 
21001	10	1	3	4	1	 
21001	11	1	4	4	1	 
21001	12	1	5	4	1	 
21001	13	1	6	4	1	 
21002	9	1	2	4	1	 
21002	10	1	3	4	1	 
21002	11	1	4	4	1	 
