CHILDCODE	CHMVIDR4	CNTRYR4	DPTMNTR4	TYPLOCR4	YRMOVER4	MTHSTYR4	MVEMEMR4	RSNMVR41	RSNMVR42
11006	1	51	24	1	2012	0	80	3	88
11012	1	51	24	1	2011	23	0	9	88
11012	2	51	24	1	2012	0	0	3	88
11032	1	51	20	5	2013	0	0	9	88
11035	1	51	24	1	2011	0	80	9	 
11035	2	51	6	5	2009	12	80	8	88
11037	1	51	15	5	2013	12	80	1	88
11037	2	51	24	5	2014	0	0	8	88
11038	1	51	24	1	2012	0	80	1	88
11045	1	51	15	7	2012	12	0	1	4
11045	2	51	24	5	2013	0	0	4	1
11053	1	 	 	 	 	 	 	 	 
11054	1	51	14	1	2010	0	80	9	88
11056	1	51	20	5	2013	0	80	3	88
11057	1	51	24	1	2011	0	80	9	88
11060	1	51	24	1	2013	0	80	9	88
11065	1	51	24	1	2010	0	80	9	88
11066	1	51	24	1	2010	0	80	9	88
11073	1	51	15	5	2010	6	3	3	88
11074	1	51	24	1	2012	0	2	4	5
11075	1	51	20	4	2012	0	80	3	1
11079	1	51	24	1	2013	0	80	9	88
11083	1	51	13	5	2011	0	80	3	88
11084	1	51	24	4	2010	0	80	3	88
11087	1	51	6	1	2011	3	80	9	88
11090	1	51	24	5	2009	0	2	3	88
11091	1	51	24	1	2012	0	80	9	88
11094	1	 	 	 	 	 	 	 	 
21046	1	51	20	1	2010	24	80	3	88
21046	2	51	20	1	2011	0	80	1	88
21048	1	51	20	2	2011	8	2	3	88
21048	2	51	20	2	2011	1	2	3	88
21048	3	51	20	2	2013	0	2	9	88
21060	1	51	20	1	2010	0	80	4	88
21064	1	51	20	1	2010	0	80	9	88
21072	1	51	20	1	2010	0	80	9	88
21081	1	51	7	5	2011	0	2	3	88
21098	1	51	20	4	2010	3	80	3	88
21098	2	51	24	5	2013	0	1	4	88
31004	1	51	6	4	2013	6	90	2	9
31005	1	51	14	5	2012	5	90	1	88
31005	2	51	20	4	2013	0	0	9	88
31007	1	51	22	5	2012	1	0	9	88
31007	2	51	20	5	2012	0	0	1	9
31015	1	51	22	5	2011	12	80	5	88
31015	2	51	20	5	2012	0	1	1	88
31018	1	51	20	3	2013	0	2	3	1
31022	1	51	20	2	2012	0	80	8	88
31029	1	51	6	5	77	77	79	79	 
31029	2	51	6	3	77	77	79	79	 
31029	3	51	15	5	2013	0	3	3	88
31030	1	51	20	1	2011	0	80	9	1
31035	1	51	22	5	2009	18	3	3	88
31035	2	51	20	5	2011	0	3	3	88
31050	1	51	20	2	2011	0	0	9	88
31061	1	51	20	1	2012	9	80	9	88
31071	1	51	20	3	2013	0	4	1	88
31094	1	51	20	1	2011	0	80	9	88
41002	1	51	1	1	2010	0	80	9	88
41007	1	51	1	5	2013	5	80	9	88
41007	2	51	15	5	2014	0	80	3	88
41019	1	51	6	5	2012	6	3	3	88
41019	2	51	22	5	2012	0	3	3	88
41021	1	51	1	3	2010	0	80	3	88
41027	1	51	1	1	2010	0	80	3	88
41031	1	51	1	3	2012	0	80	9	88
41056	1	51	1	2	2013	0	80	9	88
41057	1	51	1	5	2010	12	80	11	9
41057	2	51	22	5	2011	12	1	9	88
41057	3	51	1	3	2012	0	2	1	9
41061	1	51	1	1	2011	0	80	9	88
41062	1	51	1	2	2010	0	2	1	3
41063	1	51	1	3	2013	0	80	1	88
41068	1	51	1	3	2010	0	3	1	3
41079	1	51	1	1	2010	0	80	1	88
41082	1	51	22	4	2010	0	80	9	88
41086	1	51	22	4	2011	0	80	3	88
41087	1	51	1	2	2011	0	2	3	88
41091	1	51	1	2	2011	0	80	1	8
41094	1	51	15	5	2013	11	1	3	88
41094	2	51	1	5	2014	0	0	9	88
41096	1	51	22	4	2013	0	80	1	88
51001	1	51	22	4	2009	12	2	3	88
51001	2	51	22	2	2010	3	2	3	88
51001	3	51	22	1	2011	20	80	4	88
51001	4	51	22	2	2013	0	2	3	88
51002	1	51	17	5	2012	4	80	10	88
51002	2	51	22	5	2012	0	80	1	88
51003	1	51	22	1	2011	0	80	9	88
51008	1	51	22	3	2010	0	80	3	88
51027	1	51	22	1	2012	5	80	1	3
51027	2	51	22	1	2012	0	80	3	1
51029	1	51	22	2	2013	0	4	1	88
51030	1	51	20	5	2011	0	2	5	1
51034	1	51	22	2	2011	0	80	3	1
51043	1	51	22	3	2013	0	80	9	88
51048	1	51	22	2	2013	0	80	4	88
51060	1	51	22	3	2010	0	80	3	88
51064	1	51	22	1	2012	12	3	9	88
51064	2	51	22	3	2013	0	3	3	88
51065	1	51	1	5	2009	0	3	3	88
51069	1	51	22	2	2012	0	1	1	9
51073	1	51	22	4	2013	5	1	3	88
51073	2	51	22	2	2014	0	1	3	88
51076	1	51	22	3	2013	0	80	3	88
51086	1	51	22	2	2010	2	80	3	88
51086	2	51	1	4	2013	0	80	9	88
51087	1	51	22	1	2012	0	80	7	9
51088	1	51	22	5	2010	6	0	5	88
51088	2	51	1	4	2010	0	0	4	88
51094	1	51	17	1	2013	0	80	9	3
51105	1	51	15	5	2011	6	1	3	1
51105	2	51	14	5	2011	0	1	2	88
61002	1	51	22	2	2011	0	0	1	88
61011	1	51	22	1	2010	0	80	9	88
61019	1	51	22	3	2012	0	80	1	88
61029	1	51	22	2	2010	0	80	3	88
61032	1	51	22	1	2012	0	80	9	88
61037	1	51	22	2	2013	0	80	9	88
61038	1	51	22	2	2011	0	80	9	88
61043	1	51	22	1	2010	0	80	9	88
61044	1	51	22	2	2013	0	80	3	88
61049	1	51	22	1	2012	0	4	3	5
61051	1	51	22	2	2010	6	80	9	88
61051	2	51	22	2	2010	0	80	9	88
61053	1	51	15	1	2010	0	2	9	88
61057	1	51	22	2	2012	0	2	4	88
61065	1	51	22	1	2013	0	80	9	88
61071	1	51	22	1	2013	0	80	11	88
61072	1	51	22	3	2010	12	2	9	88
61072	2	51	22	3	2011	0	2	3	88
61073	1	51	22	2	2009	36	80	9	88
61073	2	51	22	1	2012	8	80	9	88
61073	3	51	22	2	2012	0	80	9	88
61076	1	51	7	5	2012	10	1	3	88
61076	2	51	22	1	2009	0	80	9	88
61083	1	51	22	1	2013	0	0	1	88
61084	1	51	22	3	2010	0	2	5	88
61085	1	51	22	2	2011	0	80	9	88
61087	1	51	22	2	2010	0	80	3	9
61095	1	51	16	1	2013	0	80	9	88
61098	1	51	22	2	2011	0	80	3	9
61100	1	51	22	5	2011	0	80	3	9
61101	1	51	13	5	2010	0	80	3	1
71009	1	51	6	1	2012	0	80	9	88
71014	1	51	15	5	2010	2	80	5	9
71014	2	51	14	5	2012	11	80	9	88
71014	3	51	15	5	2013	0	80	9	88
71025	1	51	6	1	2012	0	2	9	88
71026	1	51	6	1	2009	24	80	4	88
71026	2	51	6	1	2011	23	80	9	88
71030	1	51	15	2	2010	0	3	9	88
71031	1	51	6	1	2010	0	80	9	88
71041	1	51	6	1	2010	10	2	5	88
71041	2	51	6	1	2011	26	2	3	88
71041	3	51	6	1	2013	0	2	1	88
71052	1	51	6	1	2011	1	80	9	 
71052	2	51	6	1	2012	0	80	4	88
71057	1	51	6	1	2012	0	80	8	88
71064	1	51	6	1	2009	0	80	9	88
71066	1	51	6	2	2011	0	2	4	88
71071	1	51	15	5	2012	6	80	3	88
71071	2	51	15	1	2013	0	80	9	88
71078	1	51	6	1	2011	0	80	9	88
71087	1	51	6	1	2009	0	80	9	88
71088	1	51	15	2	2012	0	3	9	88
71089	1	51	6	1	2012	0	80	9	9
71091	1	51	6	1	2013	0	80	3	88
71092	1	51	6	1	2009	12	80	9	88
71094	1	51	6	1	2012	36	80	9	88
71102	1	51	6	1	2013	0	80	3	88
81004	1	51	13	2	2011	0	3	9	88
81007	1	51	13	2	2013	0	80	4	88
81012	1	51	13	1	2011	0	80	1	88
81013	1	51	10	5	2012	1	80	3	88
81013	2	51	13	5	2013	0	80	3	88
81032	1	51	13	1	2009	36	80	9	88
81032	2	51	13	1	2013	5	80	3	88
81033	1	51	13	4	2010	0	80	4	88
81034	1	51	6	1	2010	0	3	9	88
81036	1	51	13	1	2009	0	2	4	88
81041	1	51	13	2	2009	0	2	4	88
81045	1	51	13	2	2013	0	80	1	88
81057	1	51	13	1	2009	0	2	4	88
81062	1	51	13	3	2011	24	80	9	88
81062	2	51	13	3	2013	0	80	1	88
81067	1	51	13	1	2012	12	4	1	88
81067	2	51	13	1	2013	0	80	9	88
81073	1	51	14	3	2013	0	80	9	88
81075	1	51	13	3	2011	0	0	9	88
81077	1	51	13	3	2012	0	0	1	88
81088	1	51	13	2	2012	8	2	4	88
81088	2	51	13	2	2012	0	2	1	88
81092	1	51	13	1	2012	0	80	9	88
81096	1	51	13	2	2013	0	80	3	88
81102	1	51	13	3	2010	30	80	3	88
81102	2	51	13	3	2013	0	80	1	88
91003	1	51	2	1	2012	0	80	9	88
91019	1	51	15	4	2013	0	80	9	88
91027	1	51	2	4	2010	0	80	1	9
91028	1	51	2	1	2013	0	80	9	88
91038	1	51	2	1	2009	2	80	9	88
91038	2	51	2	1	2011	0	80	88	 
91044	1	51	2	1	2013	4	80	1	88
91044	2	51	2	1	2013	0	80	9	88
91047	1	51	2	2	2010	27	4	1	88
91059	1	51	2	1	2013	0	3	3	9
91073	1	51	2	3	2011	2	2	4	88
91073	2	51	2	1	2013	0	2	3	88
91082	1	51	15	5	2012	0	80	4	9
91098	1	51	2	1	2010	0	80	3	1
101002	1	51	15	5	2010	39	80	3	88
101002	2	51	15	1	2013	0	80	9	88
101004	1	51	2	1	2011	0	80	9	88
101005	1	51	14	5	2013	0	2	3	1
101006	1	51	2	2	2012	0	80	9	88
101008	1	51	2	1	2013	0	2	6	88
101012	1	51	13	4	2011	0	80	3	9
101019	1	 	 	 	 	 	 	 	 
101020	1	51	2	1	2009	24	80	9	88
101020	2	51	2	1	2011	12	80	9	88
101020	3	51	2	1	2012	0	80	9	88
101021	1	51	15	4	2013	0	80	9	88
101029	1	51	2	1	2012	0	80	9	88
101036	1	51	2	1	2009	9	80	9	88
101043	1	51	20	5	2012	0	80	4	3
101052	1	51	2	1	2013	0	80	4	88
101055	1	51	2	1	2012	0	80	9	88
101059	1	51	2	1	2011	0	80	9	88
101060	1	51	13	2	2013	0	80	9	88
101067	1	51	2	1	2012	0	80	9	88
101069	1	51	2	1	2011	6	80	9	88
101069	2	51	2	1	2011	12	80	9	88
101069	3	51	2	1	2013	0	80	9	88
101072	1	51	2	1	2013	0	80	9	88
101091	1	51	2	5	2010	24	80	3	88
101091	2	51	15	5	2012	12	2	3	88
101091	3	51	2	5	2013	12	0	1	88
101091	4	51	15	5	2014	0	2	4	88
101099	1	51	2	1	2010	24	3	9	88
101099	2	51	2	1	2012	0	3	1	88
111006	1	51	15	1	2011	0	80	9	88
111011	1	51	15	4	2010	18	80	9	88
111011	2	51	10	5	2011	0	80	9	88
111018	1	51	15	4	2013	0	80	1	88
111025	1	51	15	4	2006	0	80	9	88
111033	1	51	10	1	2013	0	80	7	9
111034	1	51	10	3	2010	0	80	3	88
111042	1	51	10	1	2013	0	80	9	 
111048	1	51	10	2	2011	0	80	9	88
111056	1	51	22	5	2011	0	80	3	88
111057	1	51	10	3	2011	0	80	3	4
111062	1	51	2	5	2009	6	80	3	88
111062	2	51	10	5	2012	0	2	3	7
111063	1	51	15	4	2010	36	2	3	88
111063	2	51	10	4	2014	0	0	3	88
111070	1	51	15	4	2012	0	80	1	3
111071	1	51	15	1	2011	0	80	9	88
111079	1	51	10	2	2010	0	80	9	3
111080	1	51	15	5	2010	0	80	1	3
111081	1	51	15	4	2010	0	80	3	1
111082	1	51	15	4	2011	4	2	11	88
111082	2	51	10	4	2011	25	2	11	88
111086	1	51	10	1	2010	0	80	9	88
111087	1	51	10	3	2013	0	4	1	88
111101	1	51	10	2	2010	0	80	9	88
121002	1	51	19	4	2010	0	80	3	88
121017	1	51	7	3	2009	3	3	9	88
121017	2	51	15	3	2012	0	80	9	11
121023	1	80	 	7	2009	40	3	3	9
121027	1	51	15	1	2010	30	80	3	88
121043	1	51	21	3	2012	0	2	7	88
121057	1	51	15	2	2013	0	80	9	88
121059	1	51	15	1	2009	12	80	3	88
121059	2	51	15	1	2010	0	80	3	88
121066	1	51	15	2	2009	0	3	7	9
121075	1	51	15	1	2010	0	80	9	88
121079	1	51	15	1	2012	18	80	11	9
121080	1	51	15	3	2011	12	3	9	88
131006	1	51	19	5	2009	3	80	3	88
131006	2	51	15	5	2012	0	80	1	88
131018	1	 	 	 	 	 	 	 	 
131022	1	51	12	4	2011	24	1	5	4
131022	2	51	15	6	2013	0	4	1	88
131026	1	51	8	2	2009	0	80	4	88
131029	1	51	12	5	2009	12	80	3	88
131029	2	51	11	5	2010	12	80	3	88
131029	3	51	15	5	2011	0	80	3	88
131032	1	51	15	1	2011	28	3	9	88
131051	1	51	15	1	2010	36	3	9	88
131066	1	51	15	1	2012	8	80	9	88
131067	1	51	15	1	2010	12	1	3	88
131067	2	51	15	1	2011	21	3	3	88
131067	3	51	15	1	2012	9	3	9	88
131079	1	51	4	1	2011	18	80	9	88
131082	1	51	15	1	2011	0	80	3	1
131087	1	51	15	1	2011	6	2	1	3
131087	2	51	15	1	2012	0	2	9	88
131100	1	51	15	2	2011	23	3	11	3
131101	1	51	10	5	2010	6	2	4	88
141003	1	51	12	4	2012	12	80	9	9
141008	1	51	15	2	2013	0	1	9	3
141016	1	51	24	5	2010	1	80	3	88
141028	1	51	12	5	2010	0	1	4	88
141046	1	51	15	2	2010	10	80	9	88
141057	1	51	15	1	2010	0	80	9	88
141059	1	51	15	2	2010	0	2	9	88
141066	1	51	15	1	2012	0	80	9	88
141067	1	51	15	2	2009	48	80	9	88
141068	1	51	15	1	2012	0	90	1	9
141087	1	51	15	1	2011	0	80	9	88
151013	1	51	10	1	2012	0	3	3	88
151017	1	51	10	4	2010	24	2	3	88
151017	2	51	12	4	2012	0	2	9	88
151020	1	51	15	5	2011	24	80	9	88
151020	2	51	15	1	2013	0	80	9	88
151021	1	51	10	4	2011	11	0	1	88
151021	2	51	12	4	2012	0	0	9	88
151025	1	51	25	5	2009	0	80	9	88
151028	1	51	12	1	2013	0	0	3	1
151032	1	51	12	2	2011	0	80	3	88
151043	1	51	12	1	2010	0	80	3	88
151049	1	51	12	5	2011	20	2	3	9
151049	2	51	15	4	2013	0	2	3	9
151051	1	51	12	4	2011	2	4	4	88
151051	2	51	25	4	2013	0	4	9	88
151062	1	51	12	2	2010	0	80	3	1
151064	1	51	12	1	2010	12	4	6	88
151064	2	51	12	1	2011	3	4	6	88
151064	3	51	12	1	2011	12	4	6	88
151064	4	51	12	1	2013	0	4	6	88
151071	1	51	12	1	2010	6	80	3	88
151071	2	51	12	1	2011	6	80	3	88
151071	3	51	12	1	2012	6	80	3	88
151071	4	51	12	1	2013	0	80	3	88
151075	1	51	15	5	2010	0	80	4	9
151076	1	51	11	5	2012	12	2	4	88
151076	2	51	12	5	2013	0	4	4	88
151079	1	51	12	1	2011	0	80	1	3
151081	1	51	12	2	2013	0	80	5	88
151094	1	51	15	4	2013	0	1	1	88
151096	1	51	12	1	2009	0	0	1	88
151102	1	51	12	3	2009	4	3	9	88
151102	2	51	12	3	2009	23	3	9	88
151102	3	51	12	1	2010	0	3	4	88
161005	1	51	5	5	2012	0	80	1	3
161008	1	51	6	1	2010	0	80	9	88
161009	1	51	5	2	2010	0	2	3	1
161011	1	51	5	1	2011	0	80	9	88
161014	1	51	5	2	2013	0	2	4	88
161026	1	51	5	1	2011	0	2	9	88
161031	1	51	5	1	2011	0	80	3	1
161034	1	51	5	2	2009	0	2	4	3
161037	1	51	5	2	2011	0	3	1	3
161039	1	51	5	2	2012	0	4	1	88
161040	1	51	5	3	2011	0	80	9	88
161044	1	51	5	1	2010	0	3	9	88
161049	1	51	15	1	2013	0	80	9	88
161058	1	51	5	1	2012	0	80	1	 
161061	1	51	5	2	2010	0	80	3	88
161070	1	51	5	1	2012	9	80	9	88
161070	2	51	5	1	2013	0	80	9	88
161071	1	51	5	1	2010	0	3	3	1
