CHILDCODE	GRPIDR4	HHMEMR4	GROUPR4	LEADMR4	BENFTR41	BENFTR42	BENFTR43
11003	1	2	7	0	6	88	 
11003	2	0	18	0	4	5	 
11006	1	2	23	0	5	88	 
11006	2	2	11	1	3	88	 
11007	1	1	7	0	11	88	 
11007	2	1	20	1	7	4	8
11007	3	1	20	1	4	8	88
11008	1	0	18	0	8	88	 
11008	2	1	18	0	8	88	 
11008	3	2	18	0	8	88	 
11008	4	15	18	0	8	88	 
11008	5	16	18	0	8	88	 
11009	1	1	22	1	3	88	 
11009	2	2	14	1	2	1	88
11009	3	3	16	1	8	5	88
11010	1	18	7	0	4	88	 
11010	2	19	18	0	8	88	 
11010	3	0	20	0	7	88	 
11014	1	1	7	1	4	88	 
11014	2	1	18	1	7	8	88
11014	3	15	18	1	8	88	 
11016	1	2	23	0	5	88	 
11020	1	2	18	1	8	88	 
11020	2	1	18	1	8	88	 
11020	3	0	18	0	8	88	 
11023	1	2	7	0	11	88	 
11026	1	0	18	0	8	88	 
11026	2	1	18	1	8	88	 
11026	3	2	18	1	8	88	 
11026	4	3	18	0	8	88	 
11026	5	15	18	0	8	88	 
11026	6	16	18	0	8	88	 
11026	7	17	18	0	8	88	 
11026	8	18	18	0	8	88	 
11027	1	2	7	0	2	6	88
11027	2	3	20	0	1	88	 
11027	3	0	16	1	4	1	8
11032	1	4	14	1	3	10	88
11041	1	2	31	1	11	88	 
11042	1	5	18	0	4	88	 
11042	2	5	7	0	11	 	 
11051	1	0	18	0	8	88	 
11056	1	3	20	0	7	88	 
11056	2	0	20	0	7	88	 
11057	1	2	7	0	8	88	 
11057	2	0	20	0	7	9	88
11060	1	2	18	0	8	88	 
11067	1	2	14	1	10	88	 
11070	1	17	18	1	5	88	 
11072	1	2	23	0	5	88	 
11074	1	6	14	0	10	88	 
11076	1	2	7	0	11	88	 
11100	1	1	23	0	5	88	 
21002	1	6	31	1	11	88	 
21007	1	1	2	0	6	88	 
21016	1	1	5	0	10	9	88
21018	1	1	4	0	3	88	 
21018	2	2	4	0	3	88	 
21028	1	1	24	0	11	88	 
21033	1	2	23	0	5	88	 
21042	1	0	18	1	4	8	88
21042	2	1	18	1	8	4	6
21042	3	2	18	1	8	4	88
21042	4	15	18	0	4	8	88
21042	5	16	18	0	8	4	88
21045	1	2	18	0	5	8	88
21045	2	0	18	0	8	88	 
21045	3	1	18	0	4	88	 
21045	4	3	18	0	5	8	88
21048	1	2	7	0	11	88	 
21049	1	2	7	0	4	88	 
21051	1	2	7	0	4	88	 
21051	2	5	5	0	6	3	88
21061	1	2	7	0	4	88	 
21065	1	1	7	0	4	88	 
21065	2	1	7	1	8	4	88
21065	3	1	23	0	1	5	88
21066	1	0	20	0	7	88	 
21066	2	2	7	0	4	88	 
21067	1	10	7	0	4	88	 
21068	1	2	23	1	6	88	 
21069	1	2	7	0	4	88	 
21070	1	2	7	0	4	88	 
21070	2	2	23	0	1	88	 
21071	1	1	18	1	6	8	88
21080	1	1	22	1	2	1	88
21084	1	1	5	1	3	88	 
21088	1	0	18	0	4	8	88
21088	2	2	18	1	5	8	88
21088	3	3	18	0	4	8	88
21094	1	2	18	1	6	88	 
21094	2	0	18	0	6	88	 
21095	1	2	2	0	10	3	88
21100	1	1	4	0	3	88	 
21100	2	0	20	0	7	88	 
31002	1	2	18	0	8	7	88
