CHILDCODE	FVVLIDR4	FVVALR4	SLVALR4
10001	1	4	32000
10001	2	11	5000
10001	3	12	500
10001	4	5	800
10001	5	7	600
10002	1	4	25000
10002	2	14	4000
10002	3	8	3000
10002	4	12	3000
10002	5	1	1000
10003	1	1	700
10003	2	4	300
10003	3	5	600
10003	4	13	500
10003	5	11	1000
10004	1	16	30000
10004	2	8	15000
10004	3	4	12000
10004	4	12	2000
10004	5	11	1500
10005	1	1	1000
10005	2	5	300
10005	3	8	200
10005	4	10	100
10005	5	11	100
10006	1	4	3000
10006	2	8	1000
10006	3	7	1000
10006	4	1	500
10006	5	5	200
10007	1	4	3000
10007	2	11	1000
10007	3	7	800
10007	4	9	1000
10007	5	10	600
10008	1	16	16000
10008	2	8	3000
10008	3	4	3000
10008	4	1	700
10008	5	5	600
10009	1	4	10000
10009	2	12	1000
10009	3	5	500
10009	4	7	500
10009	5	8	500
10010	1	4	3000
10010	2	8	10000
10010	3	11	1000
10010	4	5	200
10010	5	10	150
10011	1	4	2000
10011	2	12	1000
10011	3	1	500
10011	4	7	500
10011	5	11	300
10012	1	4	10000
10012	2	8	3000
10012	3	12	2000
10012	4	13	1000
10012	5	7	1000
10013	1	4	30000
10013	2	1	10000
10013	3	8	3000
10013	4	7	5000
10013	5	11	10000
10014	1	4	10000
10014	2	8	15000
10014	3	12	3000
10014	4	11	10000
10014	5	7	2000
10015	1	4	12000
10015	2	12	1000
10015	3	8	7000
10015	4	7	500
10015	5	1	500
10016	1	4	2000
10016	2	8	300
10016	3	5	50
10016	4	7	200
10016	5	10	50
10017	1	4	4000
10017	2	1	1500
10017	3	5	700
10017	4	7	500
10017	5	10	300
10018	1	4	6000
10018	2	7	1300
10018	3	8	20000
10018	4	13	600
10018	5	1	500
10019	1	4	10000
10019	2	1	2000
10019	3	7	2000
10019	4	5	1500
10019	5	13	1000
10020	1	1	50
10020	2	5	200
10020	3	16	1500
10020	4	10	50
10020	5	11	200
10021	1	4	-77
10021	2	8	50000
10021	3	1	10000
10021	4	7	-77
10021	5	12	3000
10022	1	4	10000
10022	2	12	2000
10022	3	7	1000
10022	4	1	1000
10022	5	8	2000
10024	1	8	15000
10024	2	16	5000
10024	3	4	2500
10024	4	11	1000
10024	5	12	1000
10025	1	4	1500
10025	2	5	1000
10025	3	7	1000
10025	4	11	1000
10025	5	16	2000
10026	1	4	5000
10026	2	8	6000
10026	3	11	600
10026	4	12	1000
10026	5	5	300
10027	1	4	30000
10027	2	8	20000
10027	3	7	2000
10027	4	1	1000
10027	5	14	4000
10029	1	4	15000
10029	2	8	15000
10029	3	12	3000
10029	4	11	1000
10029	5	10	500
10030	1	4	3000
10030	2	8	21000
10030	3	13	1200
10030	4	11	1000
10030	5	7	1000
10031	1	4	5000
10031	2	12	2000
10031	3	1	1000
10031	4	7	700
10031	5	5	600
10032	1	4	2000
10032	2	8	20000
10032	3	11	500
10032	4	7	200
10032	5	1	300
10033	1	4	3000
10033	2	12	2000
10033	3	1	1000
10033	4	11	1000
10033	5	5	1000
10034	1	4	3000
10034	2	8	4000
10034	3	7	2000
10034	4	5	3000
10034	5	11	1500
10035	1	8	30000
10035	2	4	7000
10035	3	11	3000
10035	4	5	2000
10035	5	7	600
10036	1	4	43000
10036	2	8	20000
10036	3	5	2000
10036	4	1	4000
10036	5	7	2500
10037	1	4	3000
10037	2	8	10000
10037	3	12	3000
10037	4	1	2000
10037	5	5	400
10038	1	4	3000
10038	2	12	2000
10038	3	7	700
10038	4	1	500
10038	5	13	500
10039	1	4	10000
10039	2	8	10000
10039	3	13	1000
10039	4	7	1500
10039	5	12	1000
10040	1	4	4200
10040	2	8	1000
10040	3	11	1000
10040	4	12	3500
10040	5	7	2000
10041	1	4	12000
10041	2	7	1000
10041	3	8	1000
10041	4	1	500
10041	5	10	500
10042	1	4	32000
10042	2	14	8000
10042	3	8	1000
10042	4	12	3000
10042	5	7	300
10043	1	4	4000
10043	2	5	1500
10043	3	8	600
10043	4	7	500
10043	5	13	400
10044	1	4	32000
10044	2	1	1000
10044	3	7	6000
10044	4	12	1500
10044	5	11	5000
10045	1	4	15000
10045	2	1	2000
10045	3	8	2000
10045	4	13	1000
10045	5	7	1000
10046	1	4	3000
10046	2	12	3000
10046	3	8	800
10046	4	13	700
10046	5	1	600
10047	1	4	2000
10047	2	1	5000
10047	3	8	1000
10047	4	12	800
10047	5	7	600
10048	1	4	50000
10048	2	8	26000
10048	3	7	1500
10048	4	1	600
10048	5	10	600
10049	1	4	10000
10049	2	8	1000
10049	3	12	200
10049	4	13	400
10049	5	7	100
10050	1	7	2000
10050	2	5	1500
10050	3	4	3000
10050	4	8	1000
10050	5	10	300
10051	1	4	23000
10051	2	12	2000
10051	3	5	1000
10051	4	1	1000
10051	5	8	2000
10052	1	14	7000
10052	2	4	4000
10052	3	12	3000
10052	4	1	1000
10052	5	13	800
10053	1	8	2500
10053	2	7	400
10053	3	11	400
10053	4	1	300
10053	5	10	300
10055	1	4	15000
10055	2	7	500
10055	3	1	500
10055	4	12	2000
10055	5	14	2000
10056	1	4	35000
10056	2	8	30000
10056	3	14	5000
10056	4	12	1500
10056	5	1	1000
10057	1	4	-77
10057	2	7	700
10057	3	5	-77
10057	4	1	1000
10057	5	8	-77
10058	1	4	20000
10058	2	1	2000
10058	3	11	2500
