CHILDCODE	CONTIDR4	SCHPYR4	HCNTRR4	EXGRNR4	RSEXPR4
50059	4	1	36	0	 
50059	5	0	 	 	 
50059	6	1	290	0	 
50059	7	0	 	 	 
50059	8	 	 	 	 
50060	1	1	100	0	 
50060	2	1	90	0	 
50060	3	1	20	0	 
50060	4	1	36	0	 
50060	5	0	 	 	 
50060	6	1	290	0	 
50060	7	0	 	 	 
50060	8	 	 	 	 
50061	1	1	100	0	 
50061	2	1	90	0	 
50061	3	1	20	0	 
50061	4	1	36	0	 
50061	5	1	50	0	 
50061	6	1	290	0	 
50061	7	0	 	 	 
50061	8	 	 	 	 
50062	1	0	 	 	 
50062	2	1	136	0	 
50062	3	0	 	 	 
50062	4	1	120	0	 
50062	5	0	 	 	 
50062	6	1	580	0	 
50062	7	1	80	0	 
50062	8	 	 	 	 
50065	1	1	265	0	 
50065	2	1	70	0	 
50065	3	1	40	0	 
50065	4	1	50	0	 
50065	5	1	90	0	 
50065	6	1	265	0	 
50065	7	0	 	 	 
50065	8	 	 	 	 
50066	1	0	 	 	 
50066	2	1	68	0	 
50066	3	1	45	0	 
50066	4	1	45	0	 
50066	5	1	30	0	 
50066	6	1	290	0	 
50066	7	1	65	0	 
50066	8	 	 	 	 
50068	1	1	-77	0	 
50068	2	0	 	 	 
50068	3	0	 	 	 
50068	4	1	50	0	 
50068	5	0	 	 	 
50068	6	0	 	 	 
50068	7	0	 	 	 
50068	8	 	-77	 	 
50069	1	0	 	 	 
50069	2	1	68	0	 
50069	3	0	 	 	 
50069	4	0	 	 	 
50069	5	0	 	 	 
50069	6	1	290	0	 
50069	7	0	 	 	 
50069	8	 	 	 	 
50070	1	1	120	0	 
50070	2	1	68	0	 
50070	3	0	 	 	 
50070	4	1	60	0	 
50070	5	0	 	 	 
50070	6	1	290	0	 
50070	7	0	 	 	 
50070	8	 	 	 	 
50072	1	1	120	0	 
50072	2	1	68	0	 
50072	3	1	25	0	 
50072	4	1	60	0	 
50072	5	0	 	 	 
50072	6	1	290	0	 
50072	7	0	 	 	 
50072	8	 	 	 	 
50073	1	1	120	0	 
50073	2	1	68	0	 
50073	3	1	25	0	 
50073	4	1	60	0	 
50073	5	0	 	 	 
50073	6	1	290	0	 
50073	7	0	 	 	 
50073	8	 	 	 	 
50074	1	0	 	 	 
50074	2	1	100	0	 
50074	3	0	 	 	 
50074	4	1	30	0	 
50074	5	0	 	 	 
50074	6	0	 	 	 
50074	7	0	 	 	 
50074	8	 	 	 	 
50075	1	1	360	0	 
50075	2	1	114	0	 
50075	3	1	90	0	 
50075	4	1	-77	0	 
50075	5	0	 	 	 
50075	6	1	560	0	 
50075	7	1	-77	0	 
50075	8	 	-77	 	 
50076	1	0	 	 	 
50076	2	1	68	0	 
50076	3	1	25	0	 
50076	4	1	60	0	 
50076	5	0	 	 	 
50076	6	1	290	0	 
50076	7	0	 	 	 
50076	8	 	 	 	 
50077	1	1	265	0	 
50077	2	1	70	0	 
50077	3	1	50	0	 
50077	4	1	60	0	 
50077	5	1	70	0	 
50077	6	1	265	0	 
50077	7	0	 	 	 
50077	8	 	 	 	 
50078	1	1	120	0	 
50078	2	0	 	 	 
50078	3	1	25	0	 
50078	4	1	60	0	 
50078	5	0	 	 	 
50078	6	1	180	0	 
50078	7	0	 	 	 
50078	8	 	 	 	 
50079	1	0	 	 	 
50079	2	1	68	0	 
50079	3	0	 	 	 
50079	4	1	250	0	 
50079	5	1	100	0	 
50079	6	1	290	0	 
50079	7	1	600	0	 
50079	8	 	 	 	 
50080	1	0	 	 	 
50080	2	1	68	0	 
50080	3	1	45	0	 
50080	4	0	 	 	 
50080	5	1	20	0	 
50080	6	1	290	0	 
50080	7	1	40	0	 
50080	8	 	 	 	 
50081	1	0	 	 	 
50081	2	1	68	0	 
50081	3	1	45	0	 
50081	4	1	45	0	 
50081	5	1	30	0	 
50081	6	1	290	0	 
50081	7	1	90	0	 
50081	8	 	 	 	 
50082	1	1	120	0	 
50082	2	1	68	0	 
50082	3	1	25	0	 
50082	4	0	 	 	 
50082	5	0	 	 	 
50082	6	1	290	0	 
50082	7	0	 	 	 
50082	8	 	 	 	 
50083	1	1	-77	0	 
50083	2	1	-77	0	 
50083	3	1	-77	0	 
50083	4	1	-77	0	 
50083	5	1	-77	0	 
50083	6	1	-77	0	 
50083	7	0	 	 	 
50083	8	 	-77	 	 
50084	1	0	 	 	 
50084	2	1	-77	0	 
50084	3	1	-77	0	 
50084	4	0	 	 	 
50084	5	1	-77	0	 
50084	6	1	-77	0	 
50084	7	0	 	 	 
50084	8	 	-77	 	 
50085	1	1	240	0	 
50085	2	1	70	0	 
50085	3	1	70	0	 
50085	4	1	40	0	 
50085	5	1	90	0	 
50085	6	1	265	0	 
50085	7	0	 	 	 
50085	8	 	 	 	 
50086	1	1	-77	0	 
50086	2	1	-77	0	 
50086	3	1	-77	0	 
50086	4	1	-77	0	 
50086	5	1	-77	0	 
50086	6	1	-77	0	 
50086	7	0	 	 	 
50086	8	 	-77	 	 
50087	1	1	-77	0	 
50087	2	1	-77	0	 
50087	3	0	 	 	 
50087	4	1	72	0	 
50087	5	0	 	 	 
50087	6	1	285	0	 
50087	7	0	 	 	 
50087	8	 	-77	 	 
50089	1	1	120	0	 
50089	2	0	 	 	 
50089	3	0	 	 	 
50089	4	1	20	0	 
50089	5	0	 	 	 
50089	6	1	280	0	 
50089	7	0	 	 	 
50089	8	 	 	 	 
50091	1	0	 	 	 
50091	2	1	68	0	 
50091	3	0	 	 	 
50091	4	0	 	 	 
50091	5	1	50	0	 
50091	6	1	260	0	 
50091	7	0	 	 	 
50091	8	 	 	 	 
50092	1	0	 	 	 
50092	2	1	34	34	6
50092	3	1	45	0	 
50092	4	1	32	0	 
50092	5	0	 	 	 
50092	6	1	145	145	6
50092	7	1	45	0	 
50092	8	 	 	 	 
50093	1	1	250	0	 
50093	2	1	70	0	 
50093	3	1	50	0	 
50093	4	1	50	0	 
50093	5	1	20	0	 
50093	6	1	265	0	 
50093	7	0	 	 	 
50093	8	 	 	 	 
50094	1	0	 	 	 
50094	2	1	64	0	 
50094	3	1	45	0	 
50094	4	1	36	0	 
50094	5	0	 	 	 
50094	6	1	290	0	 
50094	7	0	 	 	 
50094	8	 	 	 	 
50095	1	1	-77	0	 
50095	2	1	68	0	 
50095	3	0	 	 	 
50095	4	0	 	 	 
50095	5	0	 	 	 
50095	6	1	290	0	 
50095	7	0	 	 	 
50095	8	 	0	 	 
50096	1	1	450	0	 
50096	2	0	 	 	 
50096	3	1	80	0	 
50096	4	1	90	0	 
50096	5	1	100	0	 
50096	6	1	580	0	 
50096	7	1	180	0	 
50096	8	 	 	 	 
50097	1	0	 	 	 
50097	2	0	 	 	 
50097	3	0	 	 	 
50097	4	0	 	 	 
50097	5	0	 	 	 
50097	6	1	290	0	 
50097	7	0	 	 	 
50097	8	 	 	 	 
50098	1	1	250	0	 
50098	2	1	40	0	 
50098	3	1	20	0	 
50098	4	1	50	0	 
50098	5	1	70	0	 
50098	6	1	265	265	6
50098	7	0	 	 	 
50098	8	 	 	 	 
50100	1	0	 	 	 
50100	2	1	68	0	 
50100	3	1	25	0	 
50100	4	1	60	0	 
50100	5	0	 	 	 
50100	6	1	190	0	 
50100	7	0	 	 	 
50100	8	 	 	 	 
50102	1	2	100	0	 
50102	2	1	68	0	 
50102	3	0	 	 	 
50102	4	1	36	0	 
50102	5	0	 	 	 
50102	6	1	290	0	 
50102	7	1	60	0	 
50102	8	 	 	 	 
50105	1	1	20	0	 
50105	2	1	136	0	 
50105	3	0	 	 	 
50105	4	1	60	0	 
50105	5	0	 	 	 
50105	6	1	580	0	 
50105	7	1	45	0	 
50105	8	 	 	 	 
50107	1	1	120	0	 
50107	2	1	68	0	 
50107	3	1	25	0	 
50107	4	1	60	0	 
50107	5	0	 	 	 
50107	6	1	180	0	 
50107	7	0	 	 	 
50107	8	 	 	 	 
50108	1	1	100	0	 
50108	2	1	68	0	 
50108	3	1	25	0	 
50108	4	2	36	0	 
50108	5	0	 	 	 
50108	6	1	290	0	 
50108	7	1	50	0	 
50108	8	 	 	 	 
50109	1	1	100	0	 
50109	2	1	68	0	 
50109	3	0	 	 	 
50109	4	1	36	0	 
50109	5	0	 	 	 
50109	6	1	290	0	 
50109	7	1	25	0	 
50109	8	 	 	 	 
50114	1	0	 	 	 
50114	2	1	68	0	 
50114	3	1	30	0	 
50114	4	1	45	0	 
50114	5	1	30	0	 
50114	6	1	290	0	 
50114	7	1	60	0	 
50114	8	 	 	 	 
50115	1	1	250	0	 
50115	2	1	60	0	 
50115	3	1	40	0	 
50115	4	1	60	0	 
50115	5	1	70	0	 
50115	6	1	290	0	 
50115	7	0	 	 	 
50115	8	 	 	 	 
50117	1	0	 	 	 
50117	2	1	68	68	6
50117	3	1	90	0	 
50117	4	1	45	0	 
50117	5	1	50	0	 
50117	6	1	290	290	6
50117	7	1	20	0	 
50117	8	 	 	 	 
50118	1	0	 	 	 
50118	2	0	 	 	 
50118	3	0	 	 	 
50118	4	0	 	 	 
50118	5	0	 	 	 
50118	6	0	 	 	 
50118	7	0	 	 	 
50118	8	 	 	 	 
60001	1	1	-77	0	 
60001	2	1	65	0	 
60001	3	1	45	0	 
60001	4	1	-77	0	 
60001	5	1	-77	0	 
60001	6	1	290	0	 
60001	7	1	-77	0	 
60001	8	 	800	 	 
60002	1	0	 	 	 
60002	2	0	 	 	 
60002	3	0	 	 	 
60002	4	0	 	 	 
60002	5	0	 	 	 
60002	6	1	290	0	 
60002	7	0	 	 	 
60002	8	 	 	 	 
60003	1	1	540	0	 
60003	2	2	75	0	 
60003	3	1	20	0	 
60003	4	1	72	0	 
60003	5	2	50	0	 
60003	6	1	290	0	 
60003	7	0	 	 	 
60003	8	 	 	 	 
60004	1	1	290	0	 
60004	2	2	65	0	 
60004	3	0	 	 	 
60004	4	0	 	 	 
60004	5	0	 	 	 
60004	6	1	290	0	 
60004	7	0	 	 	 
60004	8	 	 	 	 
60005	1	0	 	 	 
60005	2	0	 	 	 
60005	3	0	 	 	 
60005	4	0	 	 	 
60005	5	0	 	 	 
60005	6	0	 	 	 
60005	7	0	 	 	 
60005	8	 	 	 	 
60006	1	1	80	0	 
60006	2	1	65	0	 
60006	3	1	45	0	 
60006	4	2	100	0	 
60006	5	0	 	 	 
60006	6	1	290	0	 
60006	7	1	45	0	 
60006	8	 	 	 	 
60007	1	0	 	 	 
60007	2	0	 	 	 
60007	3	1	50	0	 
60007	4	1	172	0	 
60007	5	0	 	 	 
60007	6	1	290	0	 
60007	7	0	 	 	 
60007	8	 	 	 	 
60008	1	0	 	 	 
60008	2	0	 	 	 
60008	3	0	 	 	 
60008	4	0	 	 	 
60008	5	0	 	 	 
60008	6	0	 	 	 
60008	7	0	 	 	 
60008	8	 	 	 	 
60009	1	1	-77	0	 
60009	2	1	65	0	 
60009	3	1	45	0	 
60009	4	1	-77	0	 
60009	5	1	-77	0	 
60009	6	1	290	0	 
60009	7	1	-77	0	 
60009	8	 	700	 	 
60010	1	1	290	0	 
60010	2	2	65	0	 
60010	3	0	 	 	 
60010	4	1	270	0	 
60010	5	1	60	0	 
60010	6	1	290	0	 
60010	7	0	 	 	 
60010	8	 	 	 	 
60012	1	1	140	0	 
60012	2	0	 	 	 
60012	3	0	 	 	 
60012	4	1	60	0	 
60012	5	1	120	0	 
60012	6	2	290	0	 
60012	7	0	 	 	 
60012	8	 	 	 	 
60013	1	0	 	 	 
60013	2	1	65	0	 
60013	3	1	45	0	 
60013	4	1	50	0	 
60013	5	1	120	0	 
60013	6	2	2900	0	 
60013	7	0	 	 	 
60013	8	 	 	 	 
60014	1	1	-77	-77	88
60014	2	2	65	0	 
60014	3	0	 	 	 
60014	4	0	 	 	 
60014	5	0	 	 	 
60014	6	1	290	0	 
60014	7	0	 	 	 
60014	8	 	0	0	 
60015	1	1	-77	0	 
60015	2	1	-77	0	 
60015	3	1	-77	0	 
60015	4	1	-77	0	 
60015	5	1	-77	0	 
60015	6	2	580	0	 
60015	7	1	-77	0	 
60015	8	 	1850	 	 
60016	1	1	140	0	 
60016	2	1	65	0	 
60016	3	1	45	0	 
60016	4	1	50	0	 
60016	5	1	120	0	 
60016	6	2	290	0	 
60016	7	0	 	 	 
60016	8	 	 	 	 
60018	1	1	80	0	 
60018	2	1	65	0	 
60018	3	1	45	0	 
60018	4	0	 	 	 
60018	5	2	400	0	 
60018	6	1	290	0	 
60018	7	2	200	0	 
60018	8	 	 	 	 
60019	1	0	 	 	 
60019	2	0	 	 	 
60019	3	0	 	 	 
60019	4	0	 	 	 
60019	5	0	 	 	 
60019	6	0	 	 	 
60019	7	0	 	 	 
60019	8	 	 	 	 
60020	1	1	-77	-77	88
60020	2	2	65	0	 
60020	3	1	-77	-77	88
60020	4	0	 	 	 
60020	5	0	 	 	 
60020	6	1	290	0	 
60020	7	0	 	 	 
60020	8	 	500	0	 
60023	1	0	 	 	 
60023	2	0	 	 	 
60023	3	0	 	 	 
60023	4	0	 	 	 
60023	5	0	 	 	 
60023	6	0	 	 	 
60023	7	0	 	 	 
60023	8	 	 	 	 
60024	1	0	 	 	 
60024	2	1	75	0	 
60024	3	1	20	0	 
60024	4	1	72	0	 
60024	5	0	 	 	 
60024	6	1	290	0	 
60024	7	0	 	 	 
60024	8	 	 	 	 
60025	1	1	100	0	 
60025	2	1	60	0	 
60025	3	1	30	0	 
60025	4	1	60	0	 
60025	5	0	 	 	 
60025	6	0	 	 	 
60025	7	0	 	 	 
60025	8	 	 	 	 
60026	1	1	180	0	 
60026	2	1	65	0	 
60026	3	1	45	0	 
60026	4	2	50	0	 
60026	5	2	150	0	 
60026	6	2	290	0	 
60026	7	1	30	0	 
60026	8	 	 	 	 
60027	1	1	230	0	 
60027	2	1	65	0	 
60027	3	1	45	0	 
60027	4	1	70	0	 
60027	5	1	120	0	 
60027	6	2	290	0	 
60027	7	0	 	 	 
60027	8	 	 	 	 
60028	1	1	-77	0	 
60028	2	1	-77	0	 
60028	3	1	-77	0	 
60028	4	1	-77	0	 
60028	5	1	-77	0	 
60028	6	2	290	0	 
60028	7	0	 	 	 
60028	8	 	680	 	 
60029	1	1	-77	-77	88
60029	2	2	65	0	 
60029	3	0	 	 	 
60029	4	1	100	0	 
60029	5	0	 	 	 
60029	6	1	290	0	 
60029	7	0	 	 	 
60029	8	 	520	0	 
60031	1	1	750	0	 
60031	2	2	75	0	 
60031	3	0	 	 	 
60031	4	0	 	 	 
60031	5	0	 	 	 
60031	6	1	290	0	 
60031	7	0	 	 	 
60031	8	 	 	 	 
60032	1	1	80	0	 
60032	2	1	65	0	 
60032	3	0	 	 	 
60032	4	0	 	 	 
60032	5	2	50	0	 
60032	6	1	290	0	 
60032	7	1	20	0	 
60032	8	 	 	 	 
60033	1	1	-77	0	 
60033	2	1	0	65	 
60033	3	1	45	0	 
60033	4	0	 	 	 
60033	5	0	 	 	 
60033	6	1	0	290	 
60033	7	1	50	0	 
60033	8	 	300	 	 
60034	1	0	 	 	 
60034	2	1	75	0	 
60034	3	0	 	 	 
60034	4	1	72	0	 
60034	5	0	 	 	 
60034	6	1	290	0	 
60034	7	0	 	 	 
60034	8	 	 	 	 
60035	1	0	 	 	 
60035	2	0	 	 	 
60035	3	1	20	0	 
60035	4	1	36	0	 
60035	5	0	 	 	 
60035	6	1	290	0	 
60035	7	0	 	 	 
60035	8	 	 	 	 
60036	1	1	-77	0	 
60036	2	1	-77	0	 
60036	3	1	-77	0	 
60036	4	1	-77	0	 
60036	5	1	-77	0	 
60036	6	2	650	0	 
60036	7	0	 	 	 
60036	8	 	1250	 	 
60037	1	1	-77	0	 
60037	2	1	65	0	 
60037	3	1	45	0	 
60037	4	1	-77	0	 
60037	5	1	-77	0	 
60037	6	1	290	0	 
60037	7	1	-77	0	 
60037	8	 	800	 	 
60038	1	1	180	0	 
60038	2	1	65	0	 
60038	3	1	45	0	 
60038	4	1	50	0	 
60038	5	1	120	0	 
60038	6	2	290	0	 
60038	7	1	30	0	 
60038	8	 	 	 	 
60039	1	0	 	 	 
60039	2	2	75	0	 
60039	3	1	20	0	 
60039	4	1	36	0	 
60039	5	0	 	 	 
60039	6	1	290	0	 
60039	7	0	 	 	 
60039	8	 	 	 	 
60040	1	1	20	0	 
60040	2	0	 	 	 
60040	3	1	10	0	 
60040	4	1	36	0	 
60040	5	0	 	 	 
60040	6	0	 	 	 
60040	7	0	 	 	 
60040	8	 	 	 	 
60041	1	0	 	 	 
60041	2	0	 	 	 
60041	3	0	 	 	 
60041	4	0	 	 	 
60041	5	0	 	 	 
60041	6	0	 	 	 
60041	7	0	 	 	 
60041	8	 	 	 	 
60043	1	1	230	0	 
60043	2	1	65	0	 
60043	3	1	45	0	 
60043	4	1	70	0	 
60043	5	1	150	0	 
60043	6	2	290	0	 
60043	7	1	50	0	 
60043	8	 	 	 	 
60044	1	1	-77	0	 
60044	2	1	65	0	 
60044	3	1	-77	0	 
60044	4	1	-77	0	 
60044	5	1	-77	0	 
60044	6	1	290	0	 
60044	7	1	-77	0	 
60044	8	 	800	 	 
60045	1	0	 	 	 
60045	2	2	75	0	 
60045	3	1	20	0	 
60045	4	1	72	0	 
60045	5	0	 	 	 
60045	6	1	290	0	 
60045	7	0	 	 	 
60045	8	 	 	 	 
60047	1	1	230	0	 
60047	2	1	65	0	 
60047	3	1	45	0	 
60047	4	1	70	0	 
60047	5	1	150	0	 
60047	6	2	290	0	 
60047	7	0	 	 	 
60047	8	 	 	 	 
60048	1	0	 	 	 
60048	2	2	65	0	 
60048	3	0	 	 	 
60048	4	0	 	 	 
60048	5	0	 	 	 
60048	6	1	290	0	 
60048	7	0	 	 	 
60048	8	 	 	 	 
60049	1	0	 	 	 
60049	2	2	65	0	 
60049	3	0	 	 	 
60049	4	0	 	 	 
60049	5	0	 	 	 
60049	6	1	290	0	 
60049	7	0	 	 	 
60049	8	 	 	 	 
60050	1	0	 	 	 
60050	2	2	75	0	 
60050	3	1	10	0	 
60050	4	1	72	0	 
60050	5	2	100	0	 
60050	6	1	290	0	 
60050	7	0	 	 	 
60050	8	 	 	 	 
60051	1	1	-77	0	 
60051	2	1	130	0	 
60051	3	1	-77	0	 
60051	4	1	200	0	 
60051	5	0	 	 	 
60051	6	1	600	0	 
60051	7	1	300	0	 
60051	8	 	2000	 	 
60052	1	1	-77	-77	88
60052	2	2	65	0	 
60052	3	0	 	 	 
60052	4	1	100	0	 
60052	5	0	 	 	 
60052	6	1	290	0	 
60052	7	0	 	 	 
60052	8	 	250	0	 
60053	1	0	 	 	 
60053	2	0	 	 	 
60053	3	0	 	 	 
60053	4	0	 	 	 
60053	5	0	 	 	 
60053	6	0	 	 	 
60053	7	0	 	 	 
60053	8	 	 	 	 
60054	1	1	-77	0	 
60054	2	1	65	0	 
60054	3	1	45	0	 
60054	4	1	50	0	 
60054	5	0	 	 	 
60054	6	1	290	0	 
60054	7	1	50	0	 
60054	8	 	800	 	 
60056	1	1	80	0	 
60056	2	1	65	0	 
60056	3	0	 	 	 
60056	4	0	 	 	 
60056	5	2	50	0	 
60056	6	1	290	0	 
60056	7	1	30	0	 
60056	8	 	 	 	 
60057	1	1	-77	0	 
60057	2	1	-77	0	 
60057	3	1	-77	0	 
60057	4	1	-77	0	 
60057	5	1	-77	0	 
60057	6	2	290	0	 
60057	7	0	 	 	 
60057	8	 	690	 	 
60058	1	1	200	0	 
60058	2	2	150	0	 
60058	3	1	100	0	 
60058	4	1	144	0	 
60058	5	2	40	0	 
60058	6	1	580	0	 
60058	7	0	 	 	 
60058	8	 	 	 	 
60059	1	1	230	0	 
60059	2	1	65	0	 
60059	3	1	45	0	 
60059	4	1	70	0	 
60059	5	1	120	0	 
60059	6	2	290	0	 
60059	7	0	 	 	 
60059	8	 	 	 	 
60060	1	1	-77	0	 
60060	2	1	65	0	 
60060	3	1	45	0	 
60060	4	1	-77	0	 
60060	5	1	-77	0	 
60060	6	0	 	 	 
60060	7	1	-77	0	 
60060	8	 	700	 	 
60061	1	1	40	0	 
60061	2	2	160	0	 
60061	3	1	-77	0	 
60061	4	1	72	0	 
60061	5	0	 	 	 
60061	6	1	580	0	 
60061	7	2	10	0	 
60061	8	 	3000	 	 
60062	1	1	-77	-77	88
60062	2	2	65	0	 
60062	3	0	 	 	 
60062	4	1	30	0	 
60062	5	1	50	0	 
60062	6	1	290	0	 
60062	7	0	 	 	 
60062	8	 	520	0	 
60063	1	1	400	0	 
60063	2	1	75	0	 
60063	3	0	 	 	 
60063	4	1	36	0	 
60063	5	0	 	 	 
60063	6	1	290	0	 
60063	7	0	 	 	 
60063	8	 	 	 	 
60064	1	1	540	0	 
60064	2	1	130	0	 
60064	3	1	90	0	 
60064	4	1	150	0	 
60064	5	1	200	0	 
60064	6	2	580	0	 
60064	7	0	 	 	 
60064	8	 	 	 	 
60065	1	0	 	 	 
60065	2	2	75	0	 
60065	3	0	 	 	 
60065	4	1	72	0	 
60065	5	0	 	 	 
60065	6	1	290	0	 
60065	7	2	600	0	 
60065	8	 	 	 	 
60066	1	1	80	0	 
60066	2	0	 	 	 
60066	3	0	 	 	 
60066	4	1	50	0	 
60066	5	1	50	0	 
60066	6	1	290	0	 
60066	7	0	 	 	 
60066	8	 	 	 	 
60067	1	1	900	0	 
60067	2	0	 	 	 
60067	3	1	150	0	 
60067	4	1	120	0	 
60067	5	1	200	0	 
60067	6	1	900	0	 
60067	7	1	500	0	 
60067	8	 	 	 	 
60068	1	1	80	0	 
60068	2	1	65	0	 
60068	3	1	45	0	 
60068	4	1	50	0	 
60068	5	1	50	0	 
60068	6	1	290	0	 
60068	7	0	 	 	 
60068	8	 	 	 	 
60069	1	1	-77	0	 
60069	2	1	-77	0	 
60069	3	1	-77	0	 
60069	4	1	-77	0	 
60069	5	1	-77	0	 
60069	6	2	290	0	 
60069	7	0	 	 	 
60069	8	 	780	 	 
60070	1	0	 	 	 
60070	2	1	75	0	 
60070	3	0	 	 	 
60070	4	1	72	0	 
60070	5	0	 	 	 
60070	6	1	290	0	 
60070	7	0	 	 	 
60070	8	 	 	 	 
60071	1	1	230	0	 
60071	2	1	65	0	 
60071	3	1	45	0	 
60071	4	1	60	0	 
60071	5	1	120	0	 
60071	6	2	290	0	 
60071	7	0	 	 	 
60071	8	 	 	 	 
60073	1	1	-77	-77	88
60073	2	2	65	0	 
60073	3	1	60	0	 
60073	4	0	 	 	 
60073	5	0	 	 	 
60073	6	1	290	0	 
60073	7	0	 	 	 
60073	8	 	670	0	 
60074	1	0	 	 	 
60074	2	0	 	 	 
60074	3	1	90	0	 
60074	4	1	250	0	 
60074	5	1	150	0	 
60074	6	1	580	0	 
60074	7	1	110	0	 
60074	8	 	 	 	 
60075	1	1	-77	0	 
60075	2	1	65	0	 
60075	3	1	45	0	 
60075	4	1	-77	0	 
60075	5	1	-77	0	 
60075	6	1	290	0	 
60075	7	1	-77	0	 
60075	8	 	860	 	 
60076	1	1	-77	0	 
60076	2	1	-77	0	 
60076	3	1	-77	0	 
60076	4	1	-77	0	 
60076	5	1	-77	0	 
60076	6	2	580	0	 
60076	7	0	 	 	 
60076	8	 	960	 	 
60077	1	0	 	 	 
60077	2	1	75	0	 
60077	3	0	 	 	 
60077	4	1	36	0	 
60077	5	0	 	 	 
60077	6	1	290	0	 
60077	7	0	 	 	 
60077	8	 	 	 	 
60078	1	0	 	 	 
60078	2	0	 	 	 
60078	3	0	 	 	 
60078	4	0	 	 	 
60078	5	0	 	 	 
60078	6	0	 	 	 
60078	7	0	 	 	 
60078	8	 	 	 	 
60079	1	1	-77	0	 
60079	2	1	65	0	 
60079	3	1	45	0	 
60079	4	1	-77	0	 
60079	5	1	-77	0	 
60079	6	1	290	0	 
60079	7	1	-77	0	 
60079	8	 	1000	 	 
60080	1	1	-77	0	 
60080	2	1	65	0	 
60080	3	1	45	0	 
60080	4	1	-77	0	 
60080	5	1	-77	0	 
60080	6	1	290	0	 
60080	7	1	-77	0	 
60080	8	 	1000	 	 
60081	1	1	290	0	 
60081	2	1	65	0	 
60081	3	1	45	0	 
60081	4	1	50	0	 
60081	5	1	50	0	 
60081	6	1	290	0	 
60081	7	1	100	0	 
60081	8	 	 	 	 
60082	1	1	230	0	 
60082	2	1	65	0	 
60082	3	1	45	0	 
60082	4	1	50	0	 
60082	5	1	100	0	 
60082	6	2	290	0	 
60082	7	0	 	 	 
60082	8	 	 	 	 
60083	1	1	230	0	 
60083	2	1	65	0	 
60083	3	1	45	0	 
60083	4	1	50	0	 
60083	5	1	100	0	 
60083	6	2	290	0	 
60083	7	0	 	 	 
60083	8	 	 	 	 
60084	1	1	-77	-77	88
60084	2	2	65	0	 
60084	3	1	60	0	 
60084	4	1	-77	-77	88
60084	5	1	-77	-77	88
60084	6	1	290	0	 
60084	7	0	 	 	 
60084	8	 	750	0	 
60085	1	1	290	0	 
60085	2	1	65	0	 
60085	3	1	45	0	 
60085	4	1	50	0	 
60085	5	1	50	0	 
60085	6	1	290	0	 
60085	7	1	100	0	 
60085	8	 	 	 	 
60086	1	1	-77	0	 
60086	2	1	65	0	 
60086	3	1	45	0	 
60086	4	1	-77	0	 
60086	5	1	-77	0	 
60086	6	1	290	0	 
60086	7	1	-77	0	 
60086	8	 	900	 	 
60087	1	1	-77	0	 
60087	2	1	65	0	 
60087	3	1	45	0	 
60087	4	1	-77	0	 
60087	5	1	-77	0	 
60087	6	1	290	0	 
60087	7	1	-77	0	 
60087	8	 	1000	 	 
60088	1	1	-77	-77	88
60088	2	2	65	0	 
60088	3	0	 	 	 
60088	4	1	36	0	 
60088	5	0	 	 	 
60088	6	1	290	0	 
60088	7	0	 	 	 
60088	8	 	520	0	 
60089	1	1	300	0	 
60089	2	1	130	0	 
60089	3	1	90	0	 
60089	4	1	150	0	 
60089	5	1	100	0	 
60089	6	1	580	0	 
60089	7	1	100	0	 
60089	8	 	 	 	 
60091	1	1	290	0	 
60091	2	1	65	0	 
60091	3	1	45	0	 
60091	4	1	50	0	 
60091	5	1	50	0	 
60091	6	1	290	0	 
60091	7	1	100	0	 
60091	8	 	 	 	 
60092	1	1	230	0	 
60092	2	1	65	0	 
60092	3	1	45	0	 
60092	4	1	60	0	 
60092	5	1	120	0	 
60092	6	2	290	0	 
60092	7	0	 	 	 
60092	8	 	 	 	 
60093	1	0	 	 	 
60093	2	0	 	 	 
60093	3	0	 	 	 
60093	4	1	50	0	 
60093	5	0	 	 	 
60093	6	1	290	0	 
60093	7	0	 	 	 
60093	8	 	 	 	 
60094	1	1	-77	-77	88
60094	2	2	-77	-77	88
60094	3	1	-77	-77	88
60094	4	1	-77	-77	88
60094	5	0	 	 	 
60094	6	1	-77	-77	88
60094	7	0	 	 	 
60094	8	 	720	0	 
60095	1	1	-77	0	 
60095	2	1	-77	0	 
60095	3	1	-77	0	 
60095	4	1	50	0	 
60095	5	1	50	0	 
60095	6	1	310	0	 
60095	7	1	100	0	 
60095	8	 	-77	 	 
60096	1	1	270	0	 
60096	2	1	45	0	 
60096	3	1	45	0	 
60096	4	0	 	 	 
60096	5	0	 	 	 
60096	6	1	290	0	 
60096	7	1	50	0	 
60096	8	 	 	 	 
60097	1	1	80	0	 
60097	2	1	65	0	 
60097	3	1	50	0	 
60097	4	0	 	 	 
60097	5	0	 	 	 
60097	6	1	290	0	 
60097	7	0	 	 	 
60097	8	 	 	 	 
60098	1	0	 	 	 
60098	2	1	195	0	 
60098	3	0	 	 	 
60098	4	0	 	 	 
60098	5	0	 	 	 
60098	6	1	290	0	 
60098	7	0	 	 	 
60098	8	 	 	 	 
60099	1	1	-77	0	 
60099	2	1	-77	0	 
60099	3	1	-77	0	 
60099	4	1	50	0	 
60099	5	1	120	0	 
60099	6	2	290	0	 
60099	7	0	 	 	 
60099	8	 	580	 	 
