CHILDCODE	CONTIDR4	SCHPYR4	HCNTRR4	EXGRNR4	RSEXPR4
10029	3	0	 	 	 
10029	4	1	20	0	 
10029	5	1	100	0	 
10029	6	2	290	0	 
10029	7	1	30	0	 
10029	8	 	 	 	 
10030	1	0	 	 	 
10030	2	1	100	0	 
10030	3	0	 	 	 
10030	4	1	40	0	 
10030	5	1	80	0	 
10030	6	0	 	 	 
10030	7	0	 	 	 
10030	8	 	 	 	 
10031	1	0	 	 	 
10031	2	1	120	0	 
10031	3	0	 	 	 
10031	4	1	10	0	 
10031	5	1	70	0	 
10031	6	1	290	0	 
10031	7	1	15	0	 
10031	8	 	 	 	 
10032	1	1	180	0	 
10032	2	1	240	0	 
10032	3	0	 	 	 
10032	4	1	30	0	 
10032	5	0	 	 	 
10032	6	0	 	 	 
10032	7	0	 	 	 
10032	8	 	 	 	 
10033	1	0	 	 	 
10033	2	1	120	0	 
10033	3	0	 	 	 
10033	4	1	10	0	 
10033	5	1	70	0	 
10033	6	1	290	0	 
10033	7	1	10	0	 
10033	8	 	 	 	 
10034	1	1	180	0	 
10034	2	1	240	0	 
10034	3	0	 	 	 
10034	4	1	130	0	 
10034	5	0	 	 	 
10034	6	1	550	0	 
10034	7	0	 	 	 
10034	8	 	 	 	 
10035	1	1	120	0	 
10035	2	1	360	0	 
10035	3	1	130	0	 
10035	4	1	60	0	 
10035	5	0	 	 	 
10035	6	1	780	0	 
10035	7	0	 	 	 
10035	8	 	 	 	 
10036	1	0	 	 	 
10036	2	1	240	0	 
10036	3	0	 	 	 
10036	4	1	40	0	 
10036	5	1	140	0	 
10036	6	1	580	0	 
10036	7	0	 	 	 
10036	8	 	 	 	 
10037	1	0	 	 	 
10037	2	1	150	0	 
10037	3	0	 	 	 
10037	4	1	30	0	 
10037	5	1	22	0	 
10037	6	1	290	0	 
10037	7	0	 	 	 
10037	8	 	 	 	 
10038	1	0	 	 	 
10038	2	1	120	0	 
10038	3	0	 	 	 
10038	4	1	15	0	 
10038	5	1	70	0	 
10038	6	1	290	0	 
10038	7	1	15	0	 
10038	8	 	 	 	 
10039	1	1	170	0	 
10039	2	1	150	0	 
10039	3	0	 	 	 
10039	4	1	10	0	 
10039	5	1	30	0	 
10039	6	0	 	 	 
10039	7	0	 	 	 
10039	8	 	 	 	 
10040	1	1	450	0	 
10040	2	1	750	0	 
10040	3	0	 	 	 
10040	4	1	70	0	 
10040	5	0	 	 	 
10040	6	1	850	0	 
10040	7	0	 	 	 
10040	8	 	 	 	 
10041	1	1	200	0	 
10041	2	2	240	0	 
10041	3	0	 	 	 
10041	4	1	60	0	 
10041	5	1	200	0	 
10041	6	2	290	0	 
10041	7	1	100	0	 
10041	8	 	 	 	 
10042	1	0	 	 	 
10042	2	1	100	0	 
10042	3	0	 	 	 
10042	4	1	20	0	 
10042	5	1	70	0	 
10042	6	2	145	0	 
10042	7	0	 	 	 
10042	8	 	 	 	 
10043	1	0	 	 	 
10043	2	1	240	0	 
10043	3	0	 	 	 
10043	4	1	20	0	 
10043	5	1	160	0	 
10043	6	1	580	0	 
10043	7	0	 	 	 
10043	8	 	 	 	 
10044	1	0	 	 	 
10044	2	2	100	0	 
10044	3	1	15	0	 
10044	4	1	30	0	 
10044	5	2	80	0	 
10044	6	2	290	0	 
10044	7	1	50	0	 
10044	8	 	 	 	 
10045	1	0	 	 	 
10045	2	2	240	0	 
10045	3	0	 	 	 
10045	4	1	40	0	 
10045	5	1	105	0	 
10045	6	2	580	0	 
10045	7	0	 	 	 
10045	8	 	 	 	 
10046	1	0	 	 	 
10046	2	1	120	0	 
10046	3	0	 	 	 
10046	4	1	15	0	 
10046	5	1	70	0	 
10046	6	1	290	0	 
10046	7	1	15	0	 
10046	8	 	 	 	 
10047	1	0	 	 	 
10047	2	1	120	0	 
10047	3	0	 	 	 
10047	4	1	10	0	 
10047	5	1	70	0	 
10047	6	1	290	0	 
10047	7	0	 	 	 
10047	8	 	 	 	 
10048	1	0	 	 	 
10048	2	1	240	0	 
10048	3	0	 	 	 
10048	4	1	20	0	 
10048	5	1	173	0	 
10048	6	1	290	0	 
10048	7	1	100	0	 
10048	8	 	 	 	 
10049	1	1	100	0	 
10049	2	1	130	0	 
10049	3	0	 	 	 
10049	4	1	10	0	 
10049	5	0	 	 	 
10049	6	1	290	0	 
10049	7	0	 	 	 
10049	8	 	 	 	 
10050	1	1	-77	0	 
10050	2	1	360	0	 
10050	3	0	 	 	 
10050	4	1	30	0	 
10050	5	1	300	0	 
10050	6	1	870	0	 
10050	7	1	50	0	 
10050	8	 	-77	 	 
10051	1	1	-77	0	 
10051	2	1	100	0	 
10051	3	0	 	 	 
10051	4	1	40	0	 
10051	5	1	40	0	 
10051	6	2	220	0	 
10051	7	1	20	0	 
10051	8	 	600	 	 
10052	1	0	 	 	 
10052	2	1	120	0	 
10052	3	0	 	 	 
10052	4	1	10	0	 
10052	5	1	70	0	 
10052	6	1	290	0	 
10052	7	1	15	0	 
10052	8	 	 	 	 
10053	1	0	 	 	 
10053	2	1	120	0	 
10053	3	0	 	 	 
10053	4	1	20	0	 
10053	5	1	70	0	 
10053	6	1	120	0	 
10053	7	1	15	0	 
10053	8	 	 	 	 
10055	1	0	 	 	 
10055	2	1	-77	0	 
10055	3	0	 	 	 
10055	4	1	-77	0	 
10055	5	1	105	0	 
10055	6	1	-77	0	 
10055	7	1	-77	0	 
10055	8	 	-77	 	 
10056	1	0	 	 	 
10056	2	2	120	0	 
10056	3	0	 	 	 
10056	4	1	15	0	 
10056	5	1	70	0	 
10056	6	1	290	0	 
10056	7	1	15	0	 
10056	8	 	 	 	 
10057	1	0	 	 	 
10057	2	1	240	0	 
10057	3	0	 	 	 
10057	4	1	40	0	 
10057	5	1	140	0	 
10057	6	1	290	0	 
10057	7	0	 	 	 
10057	8	 	 	 	 
10058	1	1	100	0	 
10058	2	1	125	0	 
10058	3	0	 	 	 
10058	4	1	10	0	 
10058	5	1	70	0	 
10058	6	1	300	0	 
10058	7	0	 	 	 
10058	8	 	 	 	 
10059	1	1	50	0	 
10059	2	1	340	0	 
10059	3	0	 	 	 
10059	4	1	50	0	 
10059	5	0	 	 	 
10059	6	1	580	0	 
10059	7	0	 	 	 
10059	8	 	 	 	 
10060	1	0	 	 	 
10060	2	1	120	0	 
10060	3	0	 	 	 
