CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	SAMESCR4	TYSCR4	PROVR4	SITER4	SCHNMER4
10001	5	0	 	 	 	 	 	 
10001	6	1	50	0	3	1	1	724
10001	7	1	50	1	3	1	1	724
10001	8	1	1	0	3	1	1	94
10001	9	1	2	1	3	1	1	94
10001	10	1	3	1	3	1	1	94
10001	11	1	4	1	3	1	1	94
10001	12	1	5	1	3	1	1	94
10002	5	88	 	 	 	 	 	 
10002	6	1	50	0	3	1	2	726
10002	7	1	1	0	3	1	1	94
10002	8	1	2	1	3	1	1	94
10002	9	1	3	1	3	1	1	94
10002	10	1	4	1	3	1	1	94
10002	11	1	5	1	3	1	1	94
10002	12	1	6	0	3	1	1	141
10003	5	1	50	0	3	1	1	726
10003	6	1	50	1	3	1	1	726
10003	7	1	1	0	3	1	1	94
10003	8	1	2	1	3	1	1	94
10003	9	1	3	1	3	1	1	94
10003	10	1	4	1	3	1	1	94
10003	11	1	5	1	3	1	1	94
10003	12	1	6	0	3	1	1	141
10004	5	1	50	1	3	1	1	728
10004	6	1	50	1	3	1	1	728
10004	7	1	1	0	3	1	1	94
10004	8	1	2	1	3	1	1	94
10004	9	1	3	1	3	1	1	94
10004	10	1	4	1	3	1	1	94
10004	11	1	5	1	3	1	1	94
10004	12	1	6	0	3	1	1	141
10005	5	0	 	 	 	 	 	 
10005	6	1	50	0	3	1	98	732
10005	7	1	1	0	3	1	98	574
10005	8	1	2	1	3	1	98	574
10005	9	1	3	1	3	1	98	574
10005	10	1	4	1	3	1	98	574
10005	11	1	5	1	3	1	98	574
10005	12	1	6	0	3	1	98	140
10006	5	1	50	1	3	1	1	726
10006	6	1	50	1	3	1	1	726
10006	7	1	1	0	3	1	1	92
10006	8	1	2	1	3	1	1	92
10006	9	1	3	1	3	1	1	92
10006	10	1	4	1	3	1	1	92
10006	11	1	5	1	3	1	1	92
10006	12	1	6	0	3	1	1	141
10007	5	1	50	0	3	1	1	724
10007	6	1	50	1	3	1	1	724
10007	7	1	1	0	3	1	1	94
10007	8	1	2	1	3	1	1	94
10007	9	1	3	1	3	1	1	94
10007	10	1	4	1	3	1	1	94
10007	11	1	5	1	3	1	1	94
10007	12	1	6	0	3	1	1	141
10008	5	1	50	0	3	1	1	726
10008	6	1	50	1	3	1	1	726
10008	7	1	1	0	3	1	1	94
10008	8	1	2	1	3	1	1	94
10008	9	1	3	1	3	1	1	94
10008	10	1	4	1	3	1	1	94
10008	11	1	5	1	3	1	1	94
10008	12	1	6	0	3	1	1	141
10009	5	1	50	1	3	1	1	726
10009	6	1	50	1	3	1	1	726
10009	7	1	1	0	3	1	1	94
10009	8	1	2	1	3	1	1	94
10009	9	1	3	1	3	1	1	94
10009	10	1	4	1	3	1	1	94
10009	11	1	5	1	3	1	1	94
10009	12	1	6	0	3	1	1	141
10010	5	1	50	0	3	1	1	724
10010	6	1	50	1	3	1	1	724
10010	7	1	1	0	3	1	1	94
10010	8	1	2	1	3	1	1	94
10010	9	1	3	1	3	1	1	94
10010	10	1	4	1	3	1	1	94
10010	11	1	5	1	3	1	1	94
10010	12	1	6	0	3	1	1	141
10011	5	1	50	0	3	98	98	1037
10011	6	1	50	1	3	98	98	1037
10011	7	1	1	0	3	98	98	689
10011	8	1	2	1	3	98	98	689
10011	9	1	3	1	3	98	98	689
10011	10	1	4	1	3	98	98	689
10011	11	1	5	1	3	98	98	689
10011	12	1	6	0	3	98	98	528
10012	5	1	50	1	3	1	1	725
10012	6	1	50	1	3	1	1	725
10012	7	1	1	0	3	1	1	91
10012	8	1	2	1	3	1	1	91
10012	9	1	3	1	3	1	1	91
10012	10	1	4	0	3	1	1	94
10012	11	1	5	1	3	1	1	94
10012	12	1	6	0	3	1	1	141
10013	5	1	50	1	3	1	98	785
10013	6	1	50	1	3	1	98	785
10013	7	1	50	1	3	1	98	785
10013	8	1	1	0	3	1	98	569
10013	9	1	2	1	3	1	98	569
10013	10	1	3	1	3	1	98	569
10013	11	1	4	1	3	1	98	569
10013	12	1	5	0	3	1	98	585
10014	5	0	 	 	 	 	 	 
10014	6	1	50	0	3	1	1	724
10014	7	1	50	1	3	1	1	724
10014	8	1	1	0	3	1	1	94
10014	9	1	2	1	3	1	1	94
10014	10	1	3	1	3	1	1	94
10014	11	1	4	1	3	1	1	94
10014	12	1	5	1	3	1	1	94
10015	5	1	50	1	3	1	1	724
10015	6	1	50	1	3	1	1	724
10015	7	1	1	0	3	1	1	94
10015	8	1	2	1	3	1	1	94
10015	9	1	3	1	3	1	1	94
10015	10	1	4	1	3	1	1	94
10015	11	1	5	1	3	1	1	94
10015	12	1	6	0	3	1	1	141
10016	5	0	 	 	 	 	 	 
10016	6	1	50	0	3	1	98	730
10016	7	1	50	1	3	1	98	730
10016	8	1	1	0	3	1	98	575
10016	9	1	2	1	3	1	98	575
10016	10	1	3	1	3	1	98	575
10016	11	1	4	1	3	1	98	575
10016	12	1	5	1	3	1	98	575
10017	5	0	 	 	 	 	 	 
10017	6	1	50	0	3	1	1	726
10017	7	1	1	0	3	1	1	94
10017	8	1	2	1	3	1	1	94
10017	9	1	3	1	3	1	1	94
10017	10	1	4	1	3	1	1	94
10017	11	1	5	1	3	1	1	94
10017	12	1	6	0	3	1	1	141
10018	5	1	50	0	3	1	1	726
10018	6	1	50	1	3	1	1	726
10018	7	1	1	0	3	1	1	94
10018	8	1	2	1	3	1	1	94
10018	9	1	3	1	3	1	1	94
10018	10	1	4	1	3	1	1	94
10018	11	1	5	1	3	1	1	94
10018	12	1	6	0	3	1	1	141
10019	5	1	50	1	3	1	1	724
10019	6	1	50	1	3	1	1	724
10019	7	1	1	0	3	1	1	92
10019	8	1	2	1	3	1	1	92
10019	9	1	3	1	3	1	1	92
10019	10	1	4	1	3	1	1	92
10019	11	1	5	1	3	1	1	92
10019	12	1	6	0	3	1	1	141
10020	5	1	50	0	3	1	1	729
10020	6	1	50	1	3	1	1	729
10020	7	1	1	0	3	1	98	575
10020	8	1	2	1	3	1	98	575
10020	9	1	3	1	3	1	98	575
10020	10	1	4	1	3	1	98	575
10020	11	1	5	1	3	1	98	575
10020	12	1	6	0	3	1	98	139
10021	5	1	50	0	3	1	1	726
10021	6	1	50	1	3	1	1	726
10021	7	1	1	0	3	1	1	94
10021	8	1	2	1	3	1	1	94
10021	9	1	3	1	3	1	1	94
10021	10	1	4	1	3	1	1	94
10021	11	1	5	1	3	1	1	94
10021	12	1	6	0	3	1	1	141
10022	5	1	50	1	3	1	1	724
10022	6	1	50	1	3	1	1	724
10022	7	1	1	0	3	1	1	93
10022	8	1	2	1	3	1	1	93
10022	9	1	3	1	3	1	1	93
10022	10	1	4	1	3	1	1	93
10022	11	1	5	1	3	1	1	93
10022	12	1	6	0	3	1	98	139
10024	5	88	 	 	 	 	 	 
10024	6	88	 	 	 	 	 	 
10024	7	1	50	0	3	1	1	728
10024	8	1	1	0	3	1	1	92
10024	9	1	2	1	3	1	1	92
10024	10	1	3	1	3	1	1	92
10024	11	1	4	1	3	1	1	92
10024	12	1	5	1	3	1	1	92
10025	5	1	50	1	3	1	1	726
10025	6	1	50	1	3	1	1	726
10025	7	1	1	0	3	1	1	92
10025	8	1	2	1	3	1	1	92
10025	9	1	3	1	3	1	1	92
10025	10	1	4	1	3	1	1	92
10025	11	1	5	1	3	1	1	92
10025	12	1	6	0	2	1	1	141
10026	5	1	50	0	3	1	1	724
10026	6	1	50	1	3	1	1	724
10026	7	1	1	0	3	1	1	92
10026	8	1	2	1	3	1	1	92
10026	9	1	3	1	3	1	1	92
10026	10	1	4	1	3	1	1	92
10026	11	1	5	1	3	1	1	92
10026	12	1	6	0	3	1	1	141
10027	5	1	50	0	3	1	98	733
10027	6	1	50	1	3	1	98	733
10027	7	1	1	0	3	1	98	577
10027	8	1	2	1	3	1	98	577
10027	9	1	3	1	3	1	98	577
10027	10	1	4	1	3	1	98	577
10027	11	1	5	1	3	1	98	577
10027	12	1	6	0	3	1	98	413
10029	5	1	50	1	3	1	1	724
10029	6	1	50	1	3	1	1	724
10029	7	1	1	0	3	1	98	575
10029	8	1	2	1	3	1	98	575
10029	9	1	3	1	3	1	98	575
10029	10	1	4	1	3	1	98	575
10029	11	1	5	1	3	1	98	575
10029	12	1	6	0	3	1	98	139
10030	5	1	50	0	3	1	1	727
10030	6	1	50	1	3	1	1	727
10030	7	1	1	0	3	1	1	93
10030	8	1	2	1	3	1	1	93
10030	9	1	3	1	3	1	1	93
10030	10	1	4	1	3	1	1	93
10030	11	1	5	1	3	1	1	93
10030	12	1	6	0	3	1	1	141
10031	5	0	 	 	 	 	 	 
10031	6	0	 	 	 	 	 	 
10031	7	1	50	0	3	1	1	727
10031	8	1	1	0	3	1	1	93
