CHILDCODE	CHMVIDR4	YRMOVER4	MSMOVER4	WHRMVER4	LOCMVER4	MVEMEMR4	RSNMVR41
10061	1	2010	20	3	10	2	5
10064	1	 	 	 	 	 	 
10093	1	2010	36	3	4	3	6
20025	1	2010	18	3	2	90	2
20028	1	2012	6	3	4	3	15
20047	1	2008	52	2	4	80	7
20062	1	2005	60	3	2	90	2
20112	1	2007	72	2	4	80	6
20123	1	2013	12	5	2	3	5
30007	1	2013	8	5	4	3	12
30009	1	2013	3	2	4	0	2
30041	1	2012	12	4	4	90	15
30055	1	2005	96	2	4	80	6
30072	1	2007	72	2	4	5	6
40013	1	2013	2	3	3	90	2
40069	1	2010	36	4	5	0	2
40079	1	2013	4	2	4	3	9
40093	1	2010	40	2	10	5	2
40122	1	2010	48	5	1	80	5
40171	1	2010	4	2	4	5	7
50009	1	 	 	 	 	 	 
50014	1	2011	24	2	4	2	8
50040	1	2012	19	5	5	3	12
50086	1	2011	28	3	2	0	2
50089	1	2013	9	4	4	2	8
50105	1	2011	24	4	4	3	2
60005	1	2010	12	2	4	3	6
60031	1	2010	9	5	1	3	5
60031	2	2013	5	2	4	3	5
60033	1	2010	-77	7	4	3	15
60056	1	2010	48	2	4	2	8
60074	1	2011	31	5	4	80	15
70006	1	2012	11	5	1	0	2
70011	1	2012	18	2	4	2	2
70016	1	2010	48	2	4	2	5
70025	1	2012	2	5	3	1	15
70039	1	2010	48	2	4	80	6
70054	1	2010	24	4	4	3	5
70065	1	2012	21	4	4	3	5
70081	1	2003	-77	4	5	3	5
70105	1	2010	40	5	4	3	7
70107	1	 	 	 	 	 	 
80008	1	2011	28	2	4	80	15
80014	1	2013	7	5	3	4	2
80038	1	2010	36	5	10	3	7
80040	1	2011	40	5	3	2	5
80050	1	2010	36	3	1	80	5
80083	1	2010	36	3	3	3	5
80083	2	2014	2	5	1	3	5
80095	1	2011	20	2	4	2	8
80099	1	2010	24	4	4	3	5
80162	1	 	 	 	 	 	 
90034	1	2010	38	2	5	0	2
90049	1	 	 	 	 	 	 
90085	1	2013	9	2	4	0	2
100043	1	2013	10	2	5	80	7
100076	1	2013	3	3	5	0	2
110001	1	2010	36	3	2	2	2
110007	3	2011	16	4	5	3	15
110035	1	2010	48	3	3	5	2
110038	1	2010	30	2	4	3	5
110038	2	2012	13	2	5	0	2
110045	1	2012	19	5	4	3	15
110057	1	2012	12	2	4	0	2
110059	1	2010	2	2	4	2	2
110125	1	2012	18	2	5	80	5
120004	1	2010	-79	5	4	3	7
120007	1	2010	 	3	4	80	6
120041	1	2008	63	5	3	3	5
120060	1	2012	18	2	5	0	2
120076	1	2010	14	3	2	5	2
120084	1	2012	5	2	5	0	2
120114	1	2010	48	4	1	80	12
130061	1	-77	25	4	1	2	5
140043	1	2010	12	5	10	3	5
150027	1	2012	24	4	4	3	12
150039	1	2012	24	2	4	3	5
150067	1	-77	3	5	10	3	5
150075	1	2013	13	5	4	3	5
150095	1	2012	18	5	2	3	5
150139	1	2010	36	4	1	3	5
160017	1	2010	45	5	3	3	5
160028	1	2004	48	5	2	3	15
160028	2	2009	36	5	2	80	15
160028	3	2012	19	3	3	80	15
160049	1	2010	40	5	2	3	5
160073	1	2010	48	4	1	3	12
160102	1	2010	43	4	1	2	15
160104	1	2012	19	4	1	80	5
170003	1	2012	9	2	2	80	7
170022	1	 	 	 	 	 	 
170024	1	2012	12	2	1	3	15
170040	1	2011	36	3	1	80	5
170044	1	2010	42	3	1	3	5
170053	1	2013	2	3	2	3	7
170062	1	2013	2	2	1	80	7
170074	1	 	 	 	 	 	 
170094	1	2013	1	3	1	80	15
170103	1	2011	24	3	1	3	5
170112	1	2010	48	3	1	80	7
170144	1	2012	11	2	1	80	15
180001	1	2010	48	3	1	3	7
180003	1	 	 	 	 	 	 
180006	1	 	 	 	 	 	 
180016	1	2010	39	3	1	1	8
180018	1	-77	-77	3	1	80	7
180021	1	2011	27	2	1	3	7
180023	1	2010	43	3	2	2	8
180025	1	2013	6	2	1	80	7
180027	2	2010	35	2	1	80	7
180030	1	2011	31	2	1	3	12
180035	1	2013	12	3	2	2	2
180037	1	2011	26	3	2	3	7
180043	1	2010	45	3	1	3	15
180047	1	2012	16	3	1	80	7
180048	1	2012	23	2	1	3	7
180057	1	2010	41	3	1	2	8
180061	1	 	 	 	 	 	 
180071	1	2012	14	2	1	80	7
180079	1	2010	36	2	1	3	7
180087	1	2008	48	3	1	80	7
180088	1	2010	47	3	1	2	7
180089	1	2010	48	3	2	3	7
180089	2	2012	44	3	2	3	7
180091	1	2013	11	2	1	3	12
180092	1	2011	43	3	1	3	7
180104	1	2013	4	3	1	3	15
180123	1	2012	6	2	1	80	7
180128	1	2012	15	2	1	80	7
190002	1	2012	15	2	1	2	7
190039	1	2012	21	2	2	1	6
190061	1	2013	1	3	1	2	7
190081	1	 	 	 	 	 	 
190095	1	2011	8	3	1	0	2
190113	1	2011	-77	2	1	2	2
200003	1	2011	36	3	3	3	5
200004	1	2010	8	3	3	80	7
200030	1	2011	3	2	2	3	12
200036	1	2011	24	3	1	80	12
200074	1	2010	36	2	1	2	12
200081	1	2013	0	2	2	80	7
200094	1	2011	24	3	1	80	7
200094	2	2010	12	2	1	80	15
200095	1	2013	12	3	1	80	5
200109	1	2014	7	3	3	3	5
200113	1	2010	48	3	2	3	7
