CHILDCODE	GRPIDR4	HHMEMR4	GROUPR4	LEADMR4	BENFTR41	BENFTR42	BENFTR43
10002	1	4	22	0	4	6	5
10002	2	5	22	0	6	5	7
10002	3	3	22	0	4	6	5
10002	4	6	22	0	6	4	88
10004	1	0	28	0	6	7	4
10005	1	2	43	0	3	2	6
10005	2	0	28	0	6	7	88
10008	1	1	4	0	77	88	 
10009	1	1	5	0	4	6	77
10017	1	0	28	0	4	7	6
10024	1	2	43	0	2	4	6
10024	2	0	28	0	7	6	88
10024	3	4	38	1	6	5	7
10031	1	3	43	0	6	7	88
10033	1	1	2	0	6	4	88
10033	2	2	43	0	4	5	88
10033	3	15	28	0	6	4	7
10033	4	0	28	0	6	4	7
10038	1	1	22	1	5	6	4
10038	2	0	28	0	6	7	88
10046	1	0	28	0	4	6	88
10047	1	1	4	0	77	88	 
10052	1	1	22	0	5	6	88
10052	2	2	2	0	3	2	6
10052	3	0	28	0	7	6	88
10055	1	1	5	0	5	7	77
10056	1	0	28	0	4	6	5
10060	1	1	22	0	6	88	 
10060	2	0	28	0	6	7	88
10071	1	0	28	0	7	6	5
10075	1	2	43	0	3	4	6
10075	2	3	38	0	6	7	88
10075	3	15	28	0	6	7	88
10075	4	0	28	0	6	7	88
10076	1	1	5	0	77	88	 
10076	2	3	2	0	2	77	88
10078	1	6	38	0	6	7	4
10078	2	1	28	0	6	7	88
10078	3	7	28	0	6	5	7
10083	1	0	28	0	6	7	88
10091	1	2	43	0	2	4	88
10091	2	3	38	0	6	7	88
10091	3	4	38	0	6	7	88
10091	4	0	28	0	6	7	88
10094	1	4	38	0	6	7	4
10094	2	0	28	0	4	7	88
10095	1	0	28	0	6	7	88
10109	1	0	28	0	6	7	88
10124	1	0	28	0	6	7	4
10140	1	1	2	0	1	6	5
20001	1	2	43	0	3	4	88
20028	1	2	43	0	4	8	6
20050	1	2	7	0	6	8	88
20066	1	5	43	0	7	88	 
20070	1	1	5	0	7	6	5
20084	1	2	43	0	7	88	 
20088	1	2	37	0	8	88	 
20088	2	2	29	1	8	88	 
20094	1	3	43	0	2	7	88
20106	1	2	4	1	2	4	5
20108	1	2	43	0	7	6	88
20119	1	2	43	0	3	88	 
20119	2	1	2	0	3	7	88
20125	1	2	4	0	1	4	6
20133	1	2	7	0	6	88	 
20133	2	2	28	0	6	9	88
20136	1	1	37	0	8	88	 
20136	2	2	43	1	7	88	 
30005	1	1	2	0	2	3	5
30008	1	3	38	0	4	5	6
30014	1	4	2	0	3	4	5
30015	1	1	35	0	2	3	5
30019	1	3	38	0	6	5	7
30023	1	2	2	0	3	5	2
30034	1	0	28	0	7	4	6
30035	1	 	 	 	 	 	 
30037	1	0	28	0	6	4	7
30039	1	4	43	0	5	3	6
30040	1	5	43	1	2	88	 
30040	2	4	4	0	7	88	 
30043	1	1	2	0	3	4	6
30043	2	2	43	0	4	2	3
30043	3	3	38	0	6	7	88
30048	1	15	28	0	6	4	7
30050	1	0	28	1	7	6	88
30056	1	1	43	0	77	88	 
30061	1	3	2	0	4	3	2
30063	1	7	38	0	6	7	88
30065	1	15	28	0	7	6	4
30069	1	15	38	0	6	7	88
30069	2	0	28	0	6	7	5
30070	1	1	5	0	77	88	 
30074	1	3	38	0	1	5	77
30075	1	1	4	0	77	88	 
30090	1	3	38	0	6	7	88
