CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4
10002	1	19	1	2012	99	7
10005	1	14	1	2008	99	4
10005	2	14	1	2010	99	8
10006	1	19	1	2008	2012	4
10008	1	 	 	 	 	 
10020	1	19	1	2010	99	8
10030	1	6	1	2002	99	7
10061	1	19	1	2003	99	8
10071	1	19	1	2013	99	4
10075	1	19	1	2010	99	6
10075	2	12	1	2010	99	5
10076	1	14	1	-77	99	6
10089	1	14	1	2010	2011	5
10124	1	2	1	2012	99	6
20001	1	12	1	2012	99	5
20002	1	12	1	2011	99	5
20003	1	12	1	2011	2013	5
20004	1	12	1	2011	99	5
20005	1	12	1	2011	99	5
20007	1	12	1	2011	2013	5
20008	1	12	1	2011	2013	5
20009	1	16	1	2011	2013	5
20010	1	12	1	2011	99	5
20012	1	12	1	2011	2013	5
20013	1	12	1	2010	2013	5
20016	1	12	1	2011	2013	5
20017	1	6	1	2008	99	8
20017	2	12	1	2011	2013	5
20017	3	19	1	2002	99	8
20018	1	12	1	2011	99	5
20019	1	6	1	2003	99	7
20020	1	12	1	2011	2013	5
20021	1	12	1	2011	99	5
20022	1	16	1	2011	2013	5
20023	1	12	1	2011	2013	5
20024	1	12	1	2011	2013	5
20025	1	12	1	2013	2013	5
20026	1	12	1	2011	2013	5
20027	1	12	1	2011	99	5
20028	1	12	1	2011	2013	5
20029	1	12	1	2011	99	77
20032	1	6	1	2004	99	7
20033	1	12	1	2011	99	5
20034	1	12	1	2011	2013	5
20034	2	19	1	2012	99	8
20035	1	16	1	2011	2013	5
20036	1	12	1	2011	2013	5
20037	1	12	1	2011	2013	5
20038	1	12	1	2012	99	5
20039	1	16	1	2011	2013	5
20041	1	12	1	2011	2013	3
20043	1	12	1	2011	99	4
20044	1	12	1	2012	99	77
20046	1	12	1	2012	99	4
20048	1	12	1	2011	99	4
20050	1	12	1	2011	99	4
20052	1	12	1	2011	2013	5
20053	1	12	1	2011	99	5
20054	1	12	1	2012	99	5
20055	1	12	1	2011	2013	5
20056	1	12	1	2011	2013	5
20057	1	12	1	2011	99	5
20060	1	12	1	2012	99	5
20061	1	12	1	2011	99	5
20062	1	12	1	2011	2013	5
20063	1	12	1	2011	99	5
20063	2	14	1	2011	99	6
20064	1	12	1	2011	2013	5
20065	1	12	1	2011	2013	5
20065	2	19	1	2011	99	4
20066	1	12	1	2011	2013	5
20067	1	12	1	2011	2013	5
20068	1	12	1	2011	99	5
20069	1	16	1	2011	2013	5
20070	1	12	1	2012	2013	5
20073	1	12	1	2011	2013	5
20075	1	12	1	2012	99	5
20077	1	12	1	2011	2013	5
20078	1	12	1	2011	2013	4
20079	1	12	1	2011	2013	5
20079	2	19	1	2012	99	2
20080	1	16	1	2011	2013	5
20081	1	12	1	2011	2013	5
20083	1	12	1	2011	99	5
20084	1	12	1	2011	2013	5
20086	1	12	1	2011	2013	5
20087	1	12	1	2011	2013	5
20088	1	12	1	2011	2013	5
20089	1	12	1	2011	2013	5
20090	1	12	1	2011	2013	5
20091	1	18	1	2007	99	8
20091	2	19	1	2008	99	8
20091	3	19	1	2013	99	6
20092	1	12	1	2011	2013	4
20094	1	12	1	2011	2013	5
20095	1	16	1	2011	2013	5
20096	1	12	1	2011	2013	5
20097	1	12	1	2011	2013	5
20098	1	12	1	2011	99	5
20099	1	12	1	2011	2013	4
20100	1	12	1	2011	2013	5
20100	2	19	1	2010	99	8
20105	1	12	1	2011	2013	5
20105	2	19	1	2009	99	6
20106	1	12	1	2011	2013	5
20108	1	12	1	2011	2013	5
20110	1	12	1	2012	99	5
20112	1	18	1	2012	99	5
20112	2	19	1	2013	99	8
20113	1	12	1	2011	99	5
20114	1	12	1	2011	2013	5
20117	1	12	1	2011	2013	5
20118	1	12	1	2011	2013	5
20119	1	16	1	2011	2013	5
20122	1	12	1	2011	99	5
20123	1	12	1	2010	2013	4
20125	1	12	1	2011	2013	4
20129	1	16	1	2011	2013	5
20131	1	12	1	2011	2013	5
20133	1	12	1	2009	2013	5
20135	1	12	1	2011	2013	5
20136	1	16	1	2011	2013	5
30001	1	18	1	2000	99	5
30002	1	18	1	2011	99	5
30005	1	19	1	2004	99	4
30008	1	 	 	 	 	 
30009	1	18	1	2010	99	5
30011	1	18	1	2010	99	5
30012	1	77	1	2008	2012	4
30013	1	12	1	2011	99	6
30013	2	6	1	2002	99	8
30014	1	19	1	2003	99	4
30015	1	19	1	2004	99	4
30016	1	12	1	2011	99	6
30016	2	19	1	2011	99	6
30017	1	19	1	-77	99	4
30018	1	18	1	2011	99	5
30020	1	14	1	2011	99	6
30020	2	19	1	2011	99	8
30024	1	14	1	2011	99	6
30027	1	19	1	-77	99	4
30028	1	18	1	2010	99	5
30029	1	19	1	-77	99	4
30031	1	19	1	-77	99	4
30034	1	19	1	2013	99	4
30035	1	19	1	2013	99	4
30036	1	14	1	2012	99	6
30036	2	19	1	-77	99	4
30037	1	19	1	2013	99	4
30038	1	6	1	-77	99	8
30038	2	19	1	-77	99	4
30039	1	19	1	2013	99	4
30040	1	19	1	2013	99	8
30040	2	19	1	-77	99	4
30041	1	19	1	2007	2012	6
30046	1	19	1	-77	99	4
30047	1	19	1	-77	99	4
30048	1	9	1	2010	99	4
30049	1	18	1	2011	99	6
30049	2	19	1	-77	99	4
30050	1	19	1	-77	99	4
30051	1	19	1	-77	99	4
30053	1	17	1	2012	2012	4
30053	2	19	1	77	99	4
30055	1	18	1	2010	99	4
30055	2	12	1	2008	99	6
30055	3	19	1	2005	99	4
30056	1	19	1	-77	99	4
30058	1	19	1	-77	99	4
30059	1	19	1	-77	99	4
30061	1	19	1	2003	99	4
30062	1	19	1	77	99	4
30063	1	19	1	-77	99	4
30064	1	19	1	-77	99	4
30065	1	19	1	-77	99	4
30066	1	19	1	-77	99	4
30067	1	9	1	2010	99	4
30070	1	6	1	-77	99	7
30070	2	19	1	2008	99	7
30079	1	77	1	2011	2011	4
30079	2	19	1	-77	99	4
30082	1	3	1	2009	99	5
30082	2	19	1	-77	99	4
30088	1	18	1	2010	2010	4
30097	1	14	1	2011	99	6
30098	1	12	1	2013	2014	4
30131	1	19	1	-77	99	4
30132	1	6	1	-77	99	6
30138	1	18	1	2009	99	4
40001	1	12	1	2011	99	3
40002	1	12	1	2011	2013	3
40003	1	12	1	2013	99	77
40004	1	12	1	2011	99	3
40005	1	12	1	2011	2013	3
40006	1	12	1	2011	2013	3
40007	1	12	1	2012	99	5
40007	2	19	1	2012	99	7
40008	1	12	1	2010	2013	4
40009	1	12	1	2011	2013	3
40010	1	12	1	2011	2012	3
40012	1	12	1	2011	2013	3
40013	1	12	1	2011	2013	3
40014	1	12	1	2011	2013	3
40015	1	12	1	2011	2013	3
40016	1	12	1	2012	99	4
40017	1	12	1	2011	2013	3
40017	2	18	1	2012	99	5
40018	1	12	1	2011	99	4
40020	1	12	1	2013	99	77
40021	1	12	1	2013	99	77
40022	1	12	1	2013	99	77
40023	1	12	1	2013	99	77
40024	1	12	1	2012	2014	3
40025	1	12	1	2011	2013	3
40026	1	12	1	2012	99	3
40028	1	12	1	2011	2013	3
40029	1	18	1	2011	99	5
40029	2	19	1	2012	99	8
40030	1	12	1	2013	99	77
40031	1	12	1	2011	2013	3
40032	1	12	1	2011	2013	3
40033	1	12	1	2011	2013	3
40034	1	12	1	2011	2013	3
40035	1	12	1	2011	2013	3
40036	1	12	1	2011	2013	3
40038	1	12	1	2013	99	3
40043	1	12	1	2011	2013	3
40044	1	12	1	2013	99	77
40045	1	12	1	2011	2013	3
40046	1	12	1	2013	99	77
40047	1	12	1	2011	2013	3
40047	2	19	1	2010	2013	8
40048	1	12	1	2013	99	77
40049	1	12	1	2012	99	3
40050	1	12	1	2011	2013	3
40051	1	12	1	2011	2013	3
40052	1	12	1	2013	99	77
40052	2	18	2	2013	99	77
40053	1	12	1	2012	99	3
40054	1	12	1	2013	99	77
40055	1	12	1	2011	2013	3
40056	1	12	1	2011	2012	3
40058	1	16	1	2013	99	4
40059	1	12	1	2012	2013	4
40060	1	16	2	2011	2013	6
40062	1	16	1	2011	99	4
40063	1	3	1	2013	99	4
40065	1	 	 	 	 	 
40065	2	 	 	 	 	 
40066	1	12	1	2013	99	4
40069	1	12	1	2010	2014	4
40070	1	12	77	2011	2013	3
40073	1	12	1	2012	99	4
40075	1	16	1	2011	2013	3
40077	1	19	1	2012	99	8
40077	2	19	2	2010	99	4
40078	1	12	1	2013	99	4
40079	1	12	1	2013	2014	4
40081	1	12	1	2013	99	77
40082	1	12	1	2013	99	4
40083	1	12	1	2011	2013	3
40085	1	12	1	2013	99	4
40087	1	12	1	2012	99	4
40088	1	12	1	2011	99	3
40089	1	12	1	2012	99	4
40090	1	12	1	2013	99	4
40091	1	12	1	2013	99	4
40092	1	16	1	2011	2013	3
40094	1	6	77	2010	99	8
40094	2	12	2	2011	2013	3
40095	1	16	1	2011	2013	3
40096	1	12	1	2011	2013	3
40097	1	16	1	2013	99	77
40098	1	16	1	2011	2013	3
40100	1	12	1	2013	99	4
40106	1	16	1	2011	2013	3
40108	1	16	1	2013	99	77
40113	1	12	1	2011	2013	3
40118	1	12	1	2011	2013	3
40118	2	6	1	2011	99	8
40119	1	12	1	2013	99	77
40129	1	12	1	2011	2013	3
40143	1	12	1	2011	2013	5
40145	1	12	1	2012	99	4
40151	1	12	1	2013	99	77
40164	1	12	1	2012	99	4
40171	1	12	1	2013	99	4
40174	1	12	1	2012	99	4
50005	1	16	1	2010	99	4
50005	2	19	1	2010	99	6
50007	1	19	1	2009	99	8
50008	1	12	1	2010	99	6
50008	2	18	1	2012	2012	4
50009	1	16	1	2011	2013	4
50015	1	19	1	2010	99	8
50024	1	12	1	2013	2013	4
50032	1	3	2	2013	2013	4
50034	1	12	1	2012	2013	4
50040	1	3	1	2010	2012	4
50046	1	12	2	2012	2012	4
50050	1	 	 	 	 	 
50054	1	12	1	2013	99	4
50058	1	19	1	2010	2012	6
50058	2	19	1	2010	99	4
50068	1	19	1	2000	99	4
50080	1	16	1	2011	2013	4
50081	1	19	1	2013	2013	4
50092	1	12	1	2013	99	4
50098	1	12	1	2013	99	4
50105	1	12	1	2010	2013	6
50107	1	19	1	-77	99	4
50114	1	19	1	2012	2012	4
50114	2	16	1	2012	2012	4
50117	2	 	 	 	 	 
60001	1	12	2	2012	2014	4
60019	1	12	1	2011	99	4
60025	1	19	1	2002	99	3
60054	1	19	1	2010	2011	4
60098	1	5	1	2013	2013	4
60100	1	14	2	2011	2011	4
70011	1	14	2	2013	2013	4
70011	2	12	1	2012	99	4
70012	1	19	1	2010	2010	4
70018	1	6	1	2012	99	7
70029	1	15	1	2010	2010	4
70032	1	19	1	2010	99	4
70038	1	19	1	2010	99	7
70038	2	19	1	2011	99	7
70060	1	19	1	2011	99	7
70067	1	19	1	2010	99	4
70071	1	19	1	2011	2011	7
70072	1	19	1	2010	99	7
70078	1	19	1	2012	2012	7
70081	1	3	1	2013	2013	4
70084	1	18	1	2012	2013	4
70093	1	19	1	2012	99	7
70105	1	12	1	2013	2014	4
80003	1	 	 	 	 	 
80016	1	3	1	2006	99	8
80021	1	3	1	2012	99	4
80026	1	14	2	2010	2013	6
80051	1	5	1	2010	2010	6
80065	1	19	1	2011	2011	77
80086	1	18	1	2010	99	4
80093	1	3	1	2011	99	4
80099	1	18	1	2010	2011	4
80100	1	14	1	2012	2013	4
80104	1	 	 	 	 	 
80124	1	3	1	2008	99	4
80142	1	6	1	1999	99	4
80165	1	3	1	2010	2011	5
90002	1	1	1	2013	2013	4
90002	2	19	1	2012	99	4
90004	1	18	1	-77	99	4
90005	1	1	1	2011	99	4
90005	2	14	1	2011	99	4
90005	3	12	1	2011	99	4
90006	1	 	 	 	 	 
90008	1	1	1	2012	2013	7
90009	1	12	1	-77	99	4
90010	1	1	1	2009	99	4
90012	1	18	1	-77	99	4
90014	1	12	1	2011	99	5
90015	1	1	1	2010	99	4
90015	2	14	1	2011	99	4
90016	1	1	1	2007	99	4
90017	1	1	1	2013	2013	4
90018	1	1	1	2010	99	4
90018	2	14	1	2010	99	7
90018	3	12	1	-77	99	4
90019	1	1	1	-77	99	4
90019	2	12	1	-77	99	4
90019	3	14	1	-77	99	4
