CHILDCODE	SHCKIDR4	EVNTR4	EV2010R4	EV2011R4	EV2012R4	EV2013R4
10007	25	0	 	 	 	 
10007	26	0	 	 	 	 
10007	27	0	 	 	 	 
10007	28	0	 	 	 	 
10007	29	0	 	 	 	 
10007	30	0	 	 	 	 
10007	31	0	 	 	 	 
10007	32	0	 	 	 	 
10007	34	0	 	 	 	 
10007	35	0	 	 	 	 
10007	36	0	 	 	 	 
10007	37	0	 	 	 	 
10007	38	0	 	 	 	 
10007	39	0	 	 	 	 
10007	40	0	 	 	 	 
10007	41	0	 	 	 	 
10007	42	0	 	 	 	 
10007	45	0	 	 	 	 
10007	47	0	 	 	 	 
10007	48	0	 	 	 	 
10007	61	0	 	 	 	 
10008	1	0	 	 	 	 
10008	10	0	 	 	 	 
10008	12	0	 	 	 	 
10008	13	0	 	 	 	 
10008	14	0	 	 	 	 
10008	16	0	 	 	 	 
10008	23	0	 	 	 	 
10008	24	0	 	 	 	 
10008	25	0	 	 	 	 
10008	26	0	 	 	 	 
10008	27	0	 	 	 	 
10008	28	0	 	 	 	 
10008	29	0	 	 	 	 
10008	30	0	 	 	 	 
10008	31	0	 	 	 	 
10008	32	0	 	 	 	 
10008	34	0	 	 	 	 
10008	35	0	 	 	 	 
10008	36	0	 	 	 	 
10008	37	0	 	 	 	 
10008	38	0	 	 	 	 
10008	39	0	 	 	 	 
10008	40	0	 	 	 	 
10008	41	0	 	 	 	 
10008	42	0	 	 	 	 
10008	45	0	 	 	 	 
10008	47	0	 	 	 	 
10008	48	0	 	 	 	 
10008	61	0	 	 	 	 
10009	1	0	 	 	 	 
10009	10	0	 	 	 	 
10009	12	0	 	 	 	 
10009	13	0	 	 	 	 
10009	14	1	N	Y	N	N
10009	16	1	N	N	Y	N
10009	23	0	 	 	 	 
10009	24	0	 	 	 	 
10009	25	0	 	 	 	 
10009	26	0	 	 	 	 
10009	27	0	 	 	 	 
10009	28	0	 	 	 	 
10009	29	1	N	N	N	Y
10009	30	0	 	 	 	 
10009	31	0	 	 	 	 
10009	32	0	 	 	 	 
10009	34	0	 	 	 	 
10009	35	0	 	 	 	 
10009	36	0	 	 	 	 
10009	37	0	 	 	 	 
10009	38	0	 	 	 	 
10009	39	0	 	 	 	 
10009	40	0	 	 	 	 
10009	41	0	 	 	 	 
10009	42	1	Y	Y	Y	Y
10009	45	0	 	 	 	 
10009	47	0	 	 	 	 
10009	48	0	 	 	 	 
10009	61	0	 	 	 	 
10010	1	0	 	 	 	 
10010	10	0	 	 	 	 
10010	12	0	 	 	 	 
10010	13	0	 	 	 	 
10010	14	0	 	 	 	 
10010	16	0	 	 	 	 
10010	23	0	 	 	 	 
10010	24	0	 	 	 	 
10010	25	0	 	 	 	 
10010	26	0	 	 	 	 
10010	27	0	 	 	 	 
10010	28	0	 	 	 	 
10010	29	0	 	 	 	 
10010	30	0	 	 	 	 
10010	31	0	 	 	 	 
10010	32	0	 	 	 	 
10010	34	0	 	 	 	 
10010	35	0	 	 	 	 
10010	36	0	 	 	 	 
10010	37	0	 	 	 	 
10010	38	0	 	 	 	 
10010	39	0	 	 	 	 
10010	40	0	 	 	 	 
10010	41	0	 	 	 	 
10010	42	0	 	 	 	 
10010	45	0	 	 	 	 
10010	47	0	 	 	 	 
10010	48	0	 	 	 	 
10010	61	0	 	 	 	 
10011	1	0	 	 	 	 
10011	10	0	 	 	 	 
10011	12	0	 	 	 	 
10011	13	0	 	 	 	 
10011	14	0	 	 	 	 
10011	16	0	 	 	 	 
10011	23	0	 	 	 	 
10011	24	0	 	 	 	 
10011	25	0	 	 	 	 
10011	26	0	 	 	 	 
10011	27	0	 	 	 	 
10011	28	0	 	 	 	 
10011	29	0	 	 	 	 
10011	30	0	 	 	 	 
10011	31	0	 	 	 	 
10011	32	0	 	 	 	 
10011	34	0	 	 	 	 
10011	35	0	 	 	 	 
10011	36	0	 	 	 	 
10011	37	1	N	N	Y	Y
10011	38	0	 	 	 	 
10011	39	0	 	 	 	 
10011	40	0	 	 	 	 
10011	41	0	 	 	 	 
10011	42	1	N	N	N	Y
10011	45	0	 	 	 	 
10011	47	0	 	 	 	 
10011	48	0	 	 	 	 
10011	61	0	 	 	 	 
10012	1	0	 	 	 	 
10012	10	0	 	 	 	 
10012	12	0	 	 	 	 
10012	13	0	 	 	 	 
10012	14	0	 	 	 	 
10012	16	1	N	N	N	Y
10012	23	0	 	 	 	 
10012	24	1	N	Y	N	N
10012	25	0	 	 	 	 
10012	26	0	 	 	 	 
10012	27	0	 	 	 	 
10012	28	0	 	 	 	 
10012	29	1	N	Y	N	N
10012	30	0	 	 	 	 
10012	31	0	 	 	 	 
10012	32	0	 	 	 	 
10012	34	0	 	 	 	 
10012	35	0	 	 	 	 
10012	36	0	 	 	 	 
10012	37	0	 	 	 	 
10012	38	0	 	 	 	 
10012	39	0	 	 	 	 
10012	40	0	 	 	 	 
10012	41	0	 	 	 	 
10012	42	1	Y	Y	Y	Y
10012	45	0	 	 	 	 
10012	47	0	 	 	 	 
10012	48	0	 	 	 	 
10012	61	0	 	 	 	 
10013	1	0	 	 	 	 
10013	10	0	 	 	 	 
10013	12	0	 	 	 	 
10013	13	0	 	 	 	 
10013	14	0	 	 	 	 
10013	16	0	 	 	 	 
10013	23	0	 	 	 	 
10013	24	0	 	 	 	 
10013	25	0	 	 	 	 
10013	26	0	 	 	 	 
10013	27	0	 	 	 	 
10013	28	0	 	 	 	 
10013	29	0	 	 	 	 
10013	30	0	 	 	 	 
10013	31	0	 	 	 	 
10013	32	0	 	 	 	 
10013	34	0	 	 	 	 
10013	35	0	 	 	 	 
10013	36	0	 	 	 	 
10013	37	0	 	 	 	 
10013	38	0	 	 	 	 
10013	39	0	 	 	 	 
10013	40	0	 	 	 	 
10013	41	0	 	 	 	 
10013	42	0	 	 	 	 
10013	45	0	 	 	 	 
10013	47	0	 	 	 	 
10013	48	0	 	 	 	 
10013	61	0	 	 	 	 
