CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	CHLBRNR4	CAREGVR4	THSCOMR4	LIVHSER4	YRDIEDR4	SEENMER4	WHRNOWR4	EVRLVDR4	LNGLVDR4	RELHHR4	MRTLSTR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	STLL18R4	EDCH18R4	HSSTRTR4	STRYRR4	GRADER4	STILLR4	WHYNOTR4	AGEGRDR4	TYPLSTR4	TYPATDR4	FEESR4	EXTTUTR4	PERFR4	BRDSCHR4	WHSCHR4	SLEEPR4	CHCARER4	HHCHRER4	NPYWRKR4	PAYWRKR4	SCHOOLR4	STUDYR4	PLAYR4	IMPAC1R4	RGJOB1R4	MONTH1R4	DAYS1R4	HOURS1R4	SSAC11R4	SSAC12R4	SSAC13R4	SSAC14R4	EMPAN1R4	OFPEN1R4	IMINC1R4	IMPAC2R4	RGJOB2R4	MONTH2R4	DAYS2R4	HOURS2R4	SSAC21R4	SSAC22R4	SSAC23R4	SSAC24R4	EMPAN2R4	OFPEN2R4	IMINC2R4	IMPAC3R4	RGJOB3R4	MONTH3R4	DAYS3R4	HOURS3R4	SSAC31R4	SSAC32R4	SSAC33R4	SSAC34R4	EMPAN3R4	OFPEN3R4	IMINC3R4	DISABR4	MEMAFCR4	MEMLNGR4	MLNHLR41	MLNHLR42	MLNHLR43	HTSFFR41	HTSFFR42	HTSFFR43	SEEKTRR4	WHSEEKR4	MEMTOBR4	MOTTOBR4	MEMALCR4
10002	8	6	10	 	1	7	7	 	0	 	1	 	 	 	 	 	7	 	4	3	 	 	 	 	1	6	4	1	 	 	 	3	0	900	2	 	 	8	0	0	0	0	4.5	4	7.5	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10002	9	 	30	 	2	 	13	 	0	 	1	 	 	 	 	 	6	1	98	98	1	12	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	6	15	8	1	0	1	0	0	 	1	15	1	12	30	4	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10002	10	 	2	 	1	 	14	 	0	 	1	 	 	 	 	 	7	 	9	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10003	0	8	12	 	2	0	0	 	 	1	1	 	 	 	 	 	5	0	2	1	 	 	 	 	1	6	6	1	 	 	 	3	0	210	2	0	2	7	0	4	0	0	5.5	1.5	6	15	1	12	30	4	1	1	1	1	0	 	0	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10003	1	36	40	 	1	1	1	 	1	 	1	 	 	 	 	 	1	1	98	98	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	7	6	8	1	0	1	1	0	 	1	15	1	12	30	2	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	0	 	1	17	88	 	6	 	 	2	1	0	0	0
10003	2	37	41	 	2	1	1	2	0	 	1	 	 	 	 	 	2	1	98	98	1	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	 	12	26	8	1	1	1	1	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	17	88	 	17	 	 	0	 	0	0	0
10003	3	13	17	 	2	7	7	 	0	 	1	 	 	 	 	 	5	0	2	1	 	 	 	 	1	6	11	1	 	 	 	3	1100	3080	2	 	 	7	0	0	0	0	5	7	5	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10003	4	5	9	 	2	7	7	 	0	 	1	 	 	 	 	 	5	 	2	1	 	 	 	 	1	6	3	1	 	 	 	3	0	300	1	 	 	7	0	0	0	0	5	3	9	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10003	5	2	6	 	1	7	7	 	0	 	1	 	 	 	 	 	5	 	2	1	 	 	 	 	1	6	0	1	 	 	 	3	0	0	88	 	 	10	0	0	0	0	6.5	0	7.5	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10004	0	8	12	 	2	0	0	 	 	1	1	 	 	 	 	 	5	0	2	1	 	 	 	 	1	6	6	1	 	 	 	3	270	900	1	0	1	8	1	1	0	0	4.5	4	5.5	19	 	 	 	 	 	 	 	 	 	 	 	15	1	12	30	2	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10004	1	42	46	 	1	1	1	 	0	 	1	 	 	 	 	 	1	1	98	98	1	6	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	 	3	30	24	1	1	0	0	1	0	1	1	0	3	15	8	0	0	1	0	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10004	2	43	47	 	2	1	1	0	1	 	1	 	 	 	 	 	2	1	98	98	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	6	15	8	1	0	1	0	0	 	1	4	1	12	30	1	1	1	1	1	0	 	0	15	1	12	30	4	1	1	1	1	0	 	0	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10004	3	21	25	 	1	7	7	 	0	 	1	 	 	 	 	 	5	0	2	1	1	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	6	15	8	1	0	1	0	0	 	0	12	 	4	25	8	1	1	0	0	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	1
10004	4	19	23	 	1	7	7	 	0	 	1	 	 	 	 	 	5	1	2	1	1	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	6	15	8	1	0	1	0	0	 	0	12	 	4	25	8	1	1	0	0	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	1	0	1
10004	5	 	21	 	2	 	16	 	0	 	1	 	 	 	 	 	6	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	6	15	8	1	0	1	0	0	 	1	15	1	12	30	4	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10004	6	 	1	 	2	 	15	 	0	 	1	 	 	 	 	 	7	 	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10005	0	8	12	 	2	0	0	 	 	0	1	 	 	 	 	 	5	0	2	98	 	 	 	 	1	6	6	1	 	 	 	3	270	2520	2	0	1	10	0	0	0	0	4.59999990463257	4	5.40000009536743	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	1	50	54	 	1	1	1	 	0	 	4	 	5	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	2	41	45	 	2	1	1	0	1	0	1	 	 	 	 	 	1	4	98	98	1	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	 	10	15	8	1	1	1	1	1	0	1	1	1	6	20	8	1	0	1	0	0	 	0	15	1	10	30	3	1	1	1	1	0	 	0	0	 	1	17	88	 	5	 	 	2	2	0	0	0
10005	3	21	25	 	1	7	7	 	0	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	4	19	23	 	2	7	7	 	0	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	5	16	20	 	1	7	7	 	0	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10006	0	8	13	 	1	0	0	 	 	1	1	 	 	 	 	 	5	0	2	1	 	 	 	 	1	6	6	1	 	 	 	3	270	0	3	0	1	9	0	2	0	0	5.5	2.5	5	19	 	 	 	 	 	 	 	 	 	 	 	15	1	12	30	2	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10006	1	46	51	 	1	1	1	 	0	 	1	 	 	 	 	 	1	1	98	98	1	5	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	5	25	8	0	1	0	1	1	0	1	1	1	6	15	6	1	0	1	0	0	 	0	15	1	6	30	2	1	0	1	0	0	 	0	0	 	0	 	 	 	 	 	 	 	 	1	1	1
10006	2	43	48	 	2	1	1	0	1	0	1	 	 	 	 	 	2	1	98	98	1	4	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	5	25	8	0	1	0	1	1	0	1	1	1	6	15	7	1	0	1	0	0	 	0	15	1	6	30	3	1	0	1	0	0	 	0	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10006	3	21	26	 	2	7	7	 	0	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10006	4	19	24	 	2	7	7	 	0	 	1	 	 	 	 	 	5	0	2	1	1	4	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	 	3	30	8	0	0	0	1	1	0	1	1	1	6	10	6	1	0	1	0	0	 	0	15	1	12	30	2	1	1	1	1	0	 	0	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10006	5	14	19	 	2	7	7	 	0	 	1	 	 	 	 	 	5	0	2	1	1	4	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	 	3	30	8	0	0	0	1	1	0	0	1	1	6	15	8	1	0	1	0	0	 	0	15	1	12	30	2	1	1	1	1	0	 	0	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10007	0	8	12	 	2	0	0	 	 	1	1	 	 	 	 	 	5	0	2	1	 	 	 	 	1	6	6	1	 	 	 	3	360	3600	2	0	1	12	0	1	0	0	5	2	4	16	0	12	30	1	1	1	1	1	0	 	0	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10007	1	34	38	 	1	1	1	 	0	 	1	 	 	 	 	 	1	1	98	98	1	10	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	6	15	6	1	0	0	1	0	 	0	10	1	12	20	7	1	1	1	1	0	 	1	88	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	1	0	1
10007	2	35	39	 	2	1	1	1	1	1	1	 	 	 	 	 	2	1	98	98	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	6	15	5	1	0	0	1	0	 	0	10	1	12	30	8	1	1	1	1	0	 	1	15	1	12	30	6	1	1	1	1	0	 	0	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10007	15	10	14	 	2	7	7	 	0	 	1	 	 	 	 	 	5	0	2	1	 	 	 	 	1	6	8	1	 	 	 	3	360	4800	2	 	 	6	2	2	1	0	5	3	6	16	1	12	30	2	1	1	1	1	0	 	0	15	0	12	30	1	1	1	1	1	0	 	0	19	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10007	16	4	8	 	2	7	7	 	0	 	1	 	 	 	 	 	5	 	2	1	 	 	 	 	1	6	1	1	 	 	 	3	360	1200	2	 	 	12	0	0	0	0	5	1	6	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10008	0	8	12	 	2	0	0	 	 	1	1	 	 	 	 	 	5	0	2	1	 	 	 	 	1	6	6	1	 	 	 	3	0	1440	2	0	2	10	0	2	0	0	5	3	4	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10008	1	43	47	 	1	1	1	 	0	 	1	 	 	 	 	 	1	1	98	4	1	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	7	7	8	1	0	1	1	0	 	1	7	1	3	20	8	1	0	0	1	1	0	0	88	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	1	0	0
10008	2	41	45	 	2	1	1	0	1	0	1	 	 	 	 	 	2	1	98	98	1	12	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	7	7	8	1	0	1	1	0	 	1	15	1	12	30	6	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10008	3	16	19	 	1	7	7	 	0	 	1	 	 	 	 	 	5	0	2	1	1	12	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	19	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	 	 	 	 	0	0	0
10008	4	78	82	 	1	6	6	 	0	 	1	 	 	 	 	 	8	3	98	98	1	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	17	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	11	88	 	23	 	 	0	 	0	0	0
10008	5	74	-88	 	2	6	6	 	 	 	 	2013	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
