formno	commid	credid	crdnme
R1COMM	ET1011	1	1
R1COMM	ET1011	2	5
R1COMM	ET1011	3	5
R1COMM	ET1021	1	3
R1COMM	ET1021	2	5
R1COMM	ET1021	3	4
R1COMM	ET1021	4	1
R1COMM	ET1022	1	5
R1COMM	ET1022	2	3
R1COMM	ET1022	3	1
R1COMM	ET1022	4	4
R1COMM	ET1031	1	1
R1COMM	ET1031	2	1
R1COMM	ET1032	1	1
R1COMM	ET1032	2	2
R1COMM	ET1032	3	5
R1COMM	ET2041	1	4
R1COMM	ET2041	2	5
R1COMM	ET2041	3	3
R1COMM	ET2051	1	5
R1COMM	ET2051	2	4
R1COMM	ET2061	1	1
R1COMM	ET2061	2	4
R1COMM	ET2071	1	5
R1COMM	ET2071	2	3
R1COMM	ET2071	3	4
R1COMM	ET2071	4	3
R1COMM	ET3091	1	5
R1COMM	ET3091	2	4
R1COMM	ET3101	1	4
R1COMM	ET3101	2	5
R1COMM	ET3111	1	3
R1COMM	ET3112	1	3
R1COMM	ET4121	1	4
R1COMM	ET4121	2	1
R1COMM	ET4131	1	4
R1COMM	ET4131	2	5
R1COMM	ET4131	3	3
R1COMM	ET4151	1	5
R1COMM	ET4151	2	4
R1COMM	ET4161	1	4
R1COMM	ET5171	1	5
R1COMM	ET5171	2	4
R1COMM	ET5181	1	3
R1COMM	ET5181	2	1
R1COMM	ET5191	1	5
R1COMM	ET5201	1	1
R1COMM	ET5201	2	3
