formno	commid	CLUSTID	REGION	area	pop	popchg	land1	land2	land3	land4	land5	land6	land7	land8	land9	land10	land11	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	specpol	specpol1	shanty	semi	perm	story	bigmult	smalmult	lang1	lang2	lang3	lang4	lang5	lang6	lang7	lang8	lang9	szlang1	szlang2	szlang3	eth1	eth2	eth3	eth4	eth5	eth6	eth7	eth8	eth9	szeth1	szeth2	szeth3	rel1	rel2	rel3	rel4	szrel1	szrel2	szrel3	legal	council	elechow	conclive	concvist	chief	chfhow	chflive	chfcvist	thfcrm	violcrm	yuthcrm	proscrm	comcrm	forcrm	speccrm	toil1	toil2	toil3	toil4	water1	water2	water3	water4	garb1	garb2	garb3	garb4	cansel	shop1	shop2	shop3	shop4	shop5	road1	road2	road3	road4	road5	frqpass	pubtran1	pubtran2	pubtran3	pubtran4	pubtran5	pubtran6	pubtran7	pubtran8	pubtran9	outtran	dispub	frqpub	prog	comgrp1	comgrp2	comgrp3	comgrp4	comgrp5	comgrp6	comgrp7	comgrp8	comgrp9	income1	income2	income3	income4	income5	income6	income7	income8	income9	inc1	inc2	inc3	whown	aqu1	aqu2	aqu3	aqu4	aqu5	aqu6	fert	insect	frmhlp1	frmhlp2	frmhlp3	frmhlp4	frmhlp5	frmhlp6	frmhlp7	frmhlp8	plant	factoty	putout	schpay	nurpay	munpay	helcost	midwife	batten	tradhe	villhel	menthel	sochel	adultlit	currency
R1COMM	ET3091	10	3	3747	3802	1	0	0	1	0	0	0	0	0	0	1	1	2	 	6	2	3	3	1	3	2	2	2	1	2	2	2	2	0	1	0	0	0	1	0	0	0	6	2	88	0	1	0	0	0	1	0	0	0	6	2	88	0	1	1	1	4	2	3	1	1	1	1	8	2	8	8	8	2	2	2	2	2	2	2	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	99	1	0	0	0	0	0	0	0	0	8	8	8	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	9	88	2	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	2	2	2	636	400	150	25	2	1	1	1	2	2	2	1
R1COMM	ET3101	11	3	 	3904	1	1	0	0	0	0	0	0	0	1	0	1	1	3904	 	5	3	3	3	3	2	2	2	1	1	2	2	2	0	1	0	0	0	1	0	0	0	6	2	99	0	1	0	0	0	1	0	0	0	6	2	99	0	1	1	1	2	4	3	1	1	2	2	1	1	1	1	8	2	2	2	2	2	2	2	0	1	0	1	1	1	1	0	0	0	1	0	9	0	0	0	1	0	0	1	0	0	0	99	1	0	0	0	0	0	0	0	0	8	8	8	2	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	7	1	5	2	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	2	2	2	700	500	9999	 	1	1	1	2	2	1	2	1
R1COMM	ET3111	12	3	18	900	1	0	1	1	0	0	0	0	0	0	0	1	2	 	12	2	3	2	1	3	 	 	2	2	1	2	2	2	0	1	0	0	0	1	0	1	0	6	2	8	0	1	0	0	0	1	0	0	0	6	2	8	0	1	0	0	2	88	88	1	1	2	2	2	2	8	8	8	2	2	2	2	2	1	2	0	1	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	99	1	0	0	0	0	0	0	0	0	2	8	8	2	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	88	88	2	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	2	1	9	9999	485	60	30	2	2	2	2	2	2	1	1
R1COMM	ET3112	14	3	18	900	1	0	1	1	0	0	0	0	0	0	0	1	2	 	10	3	3	3	1	1	2	3	2	2	1	2	2	2	0	1	0	0	0	1	0	0	0	6	2	88	0	1	0	0	0	1	0	0	0	6	2	88	0	1	1	0	2	3	88	1	2	8	8	8	1	1	1	8	1	2	2	1	1	1	2	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	99	1	0	0	0	0	0	0	0	0	8	8	8	2	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	2	88	2	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	2	1	2	750	555	9999	9999	2	1	1	2	2	1	2	1
R1COMM	ET4121	15	4	800	5640	1	1	0	1	0	0	0	0	0	0	0	1	2	 	8	3	3	2	3	3	1	1	2	2	1	2	2	2	0	1	1	0	0	0	0	0	0	3	2	10	0	0	1	0	0	0	0	0	0	3	10	88	0	0	0	1	4	88	88	1	2	8	8	8	1	3	1	8	2	2	2	2	2	1	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	12	0	1	0	0	0	0	0	0	0	1	1	2	2	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	1	7	5	1	1	1	1	0	1	0	2	2	1	0	0	1	1	1	1	0	1	2	2	9999	9999	222	6	2	1	1	1	2	2	2	1
R1COMM	ET4131	16	4	20000000	32561	1	1	1	0	0	0	0	0	0	1	0	0	1	32561	18	3	3	3	3	3	2	2	1	1	1	2	2	2	0	1	1	0	1	0	0	0	1	9	2	3	0	1	1	0	1	0	0	0	1	9	2	3	1	1	1	1	3	2	4	1	1	2	2	2	2	8	8	8	1	1	1	2	1	1	9	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	12	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	7	1	10	2	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	2	2	1	850	9999	230	9999	1	1	2	2	2	1	1	1
R1COMM	ET4151	19	4	20	6018	1	0	1	1	0	0	0	0	0	0	0	1	2	 	7	3	3	3	2	3	3	3	1	2	1	2	2	2	0	1	0	0	0	1	1	0	1	7	2	9	0	1	0	0	0	1	1	0	1	7	2	9	0	1	1	1	3	5	6	1	2	8	8	8	1	4	2	1	1	1	2	2	2	2	9	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	12	0	0	1	0	0	0	0	0	0	2	8	8	2	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	7	10	2	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	1	2	2	2	9999	9999	9999	2	1	1	1	1	2	2	2	1
R1COMM	ET4161	20	4	21	4725	1	0	0	1	0	0	0	0	0	0	0	1	2	 	15	5	3	2	1	1	1	3	2	1	1	2	2	2	0	1	0	1	0	0	0	0	0	4	2	10	0	0	0	1	0	0	0	0	0	4	10	8	0	1	1	1	4	3	2	1	2	8	8	8	1	1	1	8	1	2	2	2	2	1	9	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	12	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	2	3	2	1	1	1	0	0	1	 	 	0	0	0	0	0	0	0	0	9	2	2	9999	9999	9999	9999	2	1	1	2	2	2	2	1
R1COMM	ET5171	21	5	 	9000	1	0	0	1	0	0	0	0	0	0	0	1	2	 	14	7	3	3	1	3	2	2	2	1	1	2	2	2	0	0	0	0	0	0	0	1	0	8	88	88	0	0	0	0	0	0	0	1	0	8	88	88	0	1	0	0	2	88	88	1	1	1	1	8	1	4	1	1	2	2	2	2	2	1	9	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	99	1	0	0	0	0	0	0	0	0	8	8	8	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	7	6	2	1	0	0	0	0	0	1	2	0	0	0	1	1	1	1	0	2	2	2	9999	400	9999	7	1	1	1	1	2	1	 	1
R1COMM	ET5181	22	5	26331	8365	1	0	0	1	0	0	0	0	0	0	0	1	2	 	47	3	3	3	3	3	3	3	2	1	1	2	2	2	0	1	0	0	0	0	0	1	0	8	2	88	0	0	0	0	0	0	0	1	0	8	88	88	0	1	0	0	2	88	88	1	1	1	1	8	2	8	8	8	1	2	2	2	2	2	2	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	12	0	0	1	0	0	0	0	0	0	1	4	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	7	6	2	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	2	2	9	420	426	9999	.5	1	1	2	2	2	2	1	1
R1COMM	ET5191	23	5	159	8500	1	1	0	1	0	0	0	0	0	1	0	0	1	8500	17	4	3	3	2	2	2	3	1	1	1	1	2	2	0	1	0	0	0	0	0	1	0	8	2	88	0	0	0	0	0	0	0	1	0	8	88	88	0	1	0	1	2	4	88	1	1	2	1	8	2	8	8	8	2	2	2	1	2	2	9	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0	99	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	7	1	88	1	1	0	1	0	1	0	2	2	1	0	0	0	1	0	1	0	2	2	2	600	1050	250	5	1	1	1	1	2	1	1	1
R1COMM	ET5201	24	5	67.6399993896484	4150	1	0	0	1	0	0	0	0	0	0	0	0	2	 	15	4	 	 	 	1	 	 	2	1	1	2	2	2	0	0	0	0	0	0	0	1	0	8	88	88	0	0	0	0	0	0	0	1	0	8	88	88	0	1	0	0	2	88	88	1	1	1	1	8	2	8	8	8	2	2	2	2	2	2	2	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	8	0	1	0	0	1	0	0	0	0	1	9	9	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	7	88	2	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2	2	272	395	120	9999	1	1	1	1	2	1	2	1
