formno	commid	marid	market	typmark	posell	mardis	martme
R1COMM	ET1011	1	1	4	1	1	1
R1COMM	ET1011	2	2	8	8	8	8
R1COMM	ET1011	3	2	8	8	8	8
R1COMM	ET1021	1	1	4	1	1	1
R1COMM	ET1021	2	1	4	1	2	1
R1COMM	ET1021	3	2	8	8	8	8
R1COMM	ET1022	2	1	4	1	1	1
R1COMM	ET1031	1	1	4	1	1	1
R1COMM	ET1031	2	2	8	8	8	8
R1COMM	ET1031	3	2	8	8	8	8
R1COMM	ET1032	1	1	4	1	1	1
R1COMM	ET1032	2	2	8	8	8	8
R1COMM	ET1032	3	2	8	8	8	8
R1COMM	ET2041	1	1	4	1	1	1
R1COMM	ET2041	2	1	4	1	1	1
R1COMM	ET2051	1	2	8	8	8	8
R1COMM	ET2051	2	1	4	1	1	1
R1COMM	ET2051	3	2	8	8	8	8
R1COMM	ET2061	1	9	9	9	9	9
R1COMM	ET2061	2	9	9	9	9	9
R1COMM	ET2061	3	9	9	9	9	9
R1COMM	ET2071	1	1	1	1	2	3
R1COMM	ET2071	2	1	1	1	2	3
R1COMM	ET2071	3	1	1	1	2	3
R1COMM	ET3081	1	2	8	8	8	8
R1COMM	ET3081	2	2	8	8	8	8
R1COMM	ET3081	3	2	8	8	8	8
R1COMM	ET3091	1	2	8	8	8	8
R1COMM	ET3091	2	1	4	1	3	3
R1COMM	ET3091	3	1	4	1	3	3
R1COMM	ET3101	1	1	4	9	9	9
R1COMM	ET3111	1	2	8	8	8	8
R1COMM	ET3112	1	2	8	8	8	8
R1COMM	ET3112	2	2	8	8	8	8
R1COMM	ET3112	3	2	8	8	8	8
R1COMM	ET4121	1	1	1	1	1	1
R1COMM	ET4121	2	1	4	1	1	1
R1COMM	ET4121	3	2	8	8	8	8
R1COMM	ET4131	1	1	4	1	1	1
R1COMM	ET4131	2	1	4	1	1	1
R1COMM	ET4131	3	2	8	8	8	8
R1COMM	ET4151	1	2	8	8	8	8
R1COMM	ET4151	2	1	4	1	1	1
R1COMM	ET4151	3	2	8	8	8	8
R1COMM	ET4161	1	2	8	8	8	8
R1COMM	ET4161	2	1	4	1	2	1
R1COMM	ET4161	3	2	8	8	8	8
R1COMM	ET5171	1	1	4	1	4	4
R1COMM	ET5171	2	1	4	1	4	4
R1COMM	ET5171	3	1	4	1	4	4
R1COMM	ET5181	1	2	8	8	8	8
R1COMM	ET5181	2	1	4	1	3	2
R1COMM	ET5181	3	1	4	1	3	2
R1COMM	ET5191	1	1	1	1	4	1
R1COMM	ET5191	2	1	4	1	4	1
R1COMM	ET5191	3	2	8	8	8	8
R1COMM	ET5201	1	1	4	1	4	2
