formno	commid	frmid	frmcrp	frmsz
R1COMM	ET4121	1	94	1010
R1COMM	ET4121	2	4	912
R1COMM	ET4121	3	93	820
R1COMM	ET4121	4	2	728
R1COMM	ET4121	5	6	536
