formno	commid	monid	sufood	litwork	lotwrk	movwork
R1COMM	ET1011	1	1	0	0	0
R1COMM	ET1011	2	0	1	0	0
R1COMM	ET1011	3	0	0	0	1
R1COMM	ET1011	4	0	1	0	0
R1COMM	ET1011	5	0	1	0	0
R1COMM	ET1011	6	0	0	1	0
R1COMM	ET1011	7	0	0	1	0
R1COMM	ET1011	8	0	1	0	0
R1COMM	ET1011	9	1	0	0	0
R1COMM	ET1011	10	1	1	1	1
R1COMM	ET1011	11	1	1	1	1
R1COMM	ET1011	12	1	0	1	1
R1COMM	ET1021	1	1	0	1	0
R1COMM	ET1021	2	1	1	1	0
R1COMM	ET1021	3	1	1	1	0
R1COMM	ET1021	4	1	1	1	0
R1COMM	ET1021	5	1	1	0	0
R1COMM	ET1021	6	0	1	0	0
R1COMM	ET1021	7	0	1	0	0
R1COMM	ET1021	8	0	1	0	0
R1COMM	ET1021	9	0	1	0	0
R1COMM	ET1021	10	0	1	0	0
R1COMM	ET1021	11	0	0	0	1
R1COMM	ET1021	12	0	0	0	1
R1COMM	ET1022	1	1	0	0	0
R1COMM	ET1022	2	1	1	0	1
R1COMM	ET1022	3	0	1	0	1
R1COMM	ET1022	4	0	1	0	1
R1COMM	ET1022	5	0	1	0	1
R1COMM	ET1022	6	0	1	0	1
R1COMM	ET1022	7	0	1	0	1
R1COMM	ET1022	8	0	1	0	1
R1COMM	ET1022	9	0	1	0	1
R1COMM	ET1022	10	1	0	0	0
R1COMM	ET1022	11	1	0	0	0
R1COMM	ET1022	12	1	0	0	0
R1COMM	ET1031	1	1	0	0	1
R1COMM	ET1031	2	1	0	1	1
R1COMM	ET1031	3	0	1	1	1
R1COMM	ET1031	4	0	1	1	1
R1COMM	ET1031	5	0	1	1	1
R1COMM	ET1031	6	0	1	1	1
R1COMM	ET1031	7	0	1	1	1
R1COMM	ET1031	8	0	1	0	1
R1COMM	ET1031	9	0	0	0	0
R1COMM	ET1031	10	0	0	0	0
R1COMM	ET1031	11	0	0	0	0
R1COMM	ET1031	12	1	0	0	0
R1COMM	ET1032	1	1	0	0	0
R1COMM	ET1032	2	1	1	1	1
R1COMM	ET1032	3	0	1	1	1
R1COMM	ET1032	4	0	1	1	1
R1COMM	ET1032	5	0	1	1	1
R1COMM	ET1032	6	0	1	1	1
R1COMM	ET1032	7	0	1	1	1
R1COMM	ET1032	8	1	1	1	1
R1COMM	ET1032	9	1	1	1	0
R1COMM	ET1032	10	1	0	0	0
R1COMM	ET1032	11	1	0	0	0
R1COMM	ET1032	12	1	0	0	0
R1COMM	ET2041	1	1	0	1	0
R1COMM	ET2041	2	0	0	1	0
R1COMM	ET2041	3	0	0	1	0
R1COMM	ET2041	4	0	1	1	0
R1COMM	ET2041	5	0	1	1	0
R1COMM	ET2041	6	0	0	0	1
R1COMM	ET2041	7	0	0	0	1
R1COMM	ET2041	8	0	0	0	1
R1COMM	ET2041	9	0	0	0	1
R1COMM	ET2041	10	1	0	0	0
R1COMM	ET2041	11	1	0	0	0
R1COMM	ET2041	12	1	0	0	0
R1COMM	ET2051	1	1	1	0	0
R1COMM	ET2051	2	0	1	0	0
R1COMM	ET2051	3	0	1	0	0
R1COMM	ET2051	10	1	1	0	1
R1COMM	ET2051	11	1	1	0	1
R1COMM	ET2051	12	1	1	0	1
R1COMM	ET2061	1	1	0	0	0
R1COMM	ET2061	2	0	1	0	1
R1COMM	ET2061	3	0	1	1	0
R1COMM	ET2061	4	0	1	0	0
R1COMM	ET2061	9	1	0	0	0
R1COMM	ET2061	11	0	0	0	1
R1COMM	ET2061	12	1	0	0	1
R1COMM	ET2071	1	0	1	0	0
R1COMM	ET2071	2	0	0	0	1
R1COMM	ET2071	3	0	0	1	0
R1COMM	ET2071	4	1	0	0	0
R1COMM	ET2071	5	1	0	0	0
R1COMM	ET2071	6	1	0	0	0
R1COMM	ET2071	7	0	0	0	1
R1COMM	ET2071	8	0	1	0	0
R1COMM	ET2071	9	0	1	0	0
R1COMM	ET2071	10	0	1	0	0
R1COMM	ET2071	11	0	0	0	1
R1COMM	ET2071	12	0	0	0	1
R1COMM	ET3081	2	0	1	1	0
R1COMM	ET3081	3	0	1	1	0
R1COMM	ET3081	4	0	1	1	0
R1COMM	ET3081	5	0	1	0	1
R1COMM	ET3081	6	0	0	0	1
R1COMM	ET3081	10	1	0	0	0
R1COMM	ET3081	11	1	0	0	0
R1COMM	ET3081	12	1	0	0	0
R1COMM	ET3091	1	1	0	0	0
R1COMM	ET3091	2	0	1	1	0
R1COMM	ET3091	3	0	1	1	0
R1COMM	ET3091	4	0	1	0	0
R1COMM	ET3091	5	0	1	0	0
