formno	commid	services	seraval	serchng	serdis	sertme
R1COMM	ET1011	1	2	8	9	9
R1COMM	ET1011	2	2	8	9	9
R1COMM	ET1011	3	9	9	9	9
R1COMM	ET1011	4	9	9	9	9
R1COMM	ET1011	5	9	9	9	9
R1COMM	ET1011	6	9	9	9	9
R1COMM	ET1011	7	9	9	9	9
R1COMM	ET1011	8	1	1	1	1
R1COMM	ET1011	9	1	1	1	1
R1COMM	ET1011	10	2	8	9	9
R1COMM	ET1011	11	1	1	1	1
R1COMM	ET1011	12	1	3	1	1
R1COMM	ET1021	1	1	2	3	1
R1COMM	ET1021	2	2	8	9	9
R1COMM	ET1021	3	2	8	9	9
R1COMM	ET1021	4	1	1	1	1
R1COMM	ET1021	5	1	1	1	1
R1COMM	ET1021	6	1	1	1	1
R1COMM	ET1021	7	1	3	1	1
R1COMM	ET1021	8	1	2	1	1
R1COMM	ET1021	9	1	2	9	9
R1COMM	ET1021	10	2	8	9	9
R1COMM	ET1021	11	1	1	9	9
R1COMM	ET1021	12	1	1	9	9
R1COMM	ET1022	1	1	3	2	1
R1COMM	ET1022	2	1	3	1	1
R1COMM	ET1022	3	2	8	9	9
R1COMM	ET1022	4	1	1	1	1
R1COMM	ET1022	5	1	1	2	1
R1COMM	ET1022	6	1	1	2	1
R1COMM	ET1022	7	1	1	2	1
R1COMM	ET1022	8	1	1	1	1
R1COMM	ET1022	9	1	2	9	9
R1COMM	ET1022	10	2	8	9	9
R1COMM	ET1022	11	1	1	9	9
R1COMM	ET1022	12	1	1	9	9
R1COMM	ET1031	1	1	1	1	1
R1COMM	ET1031	2	2	8	9	9
R1COMM	ET1031	3	2	8	9	9
R1COMM	ET1031	4	1	1	1	1
R1COMM	ET1031	5	1	1	2	1
R1COMM	ET1031	6	1	1	1	1
R1COMM	ET1031	7	1	1	1	1
R1COMM	ET1031	8	1	1	1	1
R1COMM	ET1031	9	1	2	8	8
R1COMM	ET1031	10	2	8	9	9
R1COMM	ET1031	11	1	2	9	9
R1COMM	ET1031	12	1	3	1	1
R1COMM	ET1032	1	1	1	1	1
R1COMM	ET1032	2	1	3	1	1
R1COMM	ET1032	3	2	8	9	9
R1COMM	ET1032	4	1	1	1	1
R1COMM	ET1032	5	1	1	2	1
R1COMM	ET1032	6	1	1	1	1
R1COMM	ET1032	7	1	1	1	1
R1COMM	ET1032	8	1	1	1	1
R1COMM	ET1032	9	1	1	9	9
R1COMM	ET1032	10	2	8	9	9
R1COMM	ET1032	11	1	1	9	9
R1COMM	ET1032	12	1	1	9	9
R1COMM	ET2041	1	1	2	1	1
R1COMM	ET2041	2	2	8	9	9
R1COMM	ET2041	3	2	8	9	9
R1COMM	ET2041	4	1	1	1	1
R1COMM	ET2041	5	1	1	1	1
R1COMM	ET2041	6	1	1	1	1
R1COMM	ET2041	7	1	2	1	1
R1COMM	ET2041	8	1	1	1	1
R1COMM	ET2041	9	1	3	9	9
